NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
31,61,69,720,3,23,0,25.29,1019.13,25.78,543.11,-17.65
32,61,69,720,3,23,0,25.29,1019.13,25.81,543.55,-17.65
31,60,68,720,4,23,0,25.29,1019.13,25.82,549.33,-17.57
31,61,69,720,3,23,0,25.29,1019.12,25.85,544.43,-17.57
32,61,69,720,3,23,0,25.29,1019.12,25.85,547.98,-17.49
31,61,69,720,3,23,0,25.3,1019.11,25.87,548.88,-17.57
31,61,68,720,3,23,0,25.3,1019.12,25.88,548.43,-17.57
31,61,68,721,3,24,0,25.3,1019.12,25.89,543.99,-17.57
31,61,68,720,3,23,0,25.3,1019.12,25.88,548.43,-17.57
31,61,68,720,3,23,0,25.3,1019.12,25.91,547.09,-17.57
31,60,68,721,3,23,0,25.3,1019.12,25.9,547.54,-17.57
31,60,69,720,3,22,0,25.3,1019.12,25.89,546.2,-17.57
31,61,68,720,3,23,0,25.3,1019.12,25.91,547.54,-17.57
31,61,68,721,2,22,0,25.31,1019.12,25.91,547.09,-17.49
31,60,68,721,3,23,0,25.31,1019.11,25.91,546.2,-17.4
30,61,68,720,3,23,0,25.31,1019.1,25.91,545.32,-17.4
31,60,68,721,3,23,0,25.31,1019.1,25.92,545.76,-17.49
31,60,68,721,3,23,0,25.31,1019.11,25.91,547.98,-17.49
31,61,68,721,3,21,0,25.31,1019.11,25.93,545.76,-17.57
31,60,68,721,3,23,0,25.31,1019.12,25.91,544.43,-17.57
31,61,68,721,3,23,0,25.32,1019.12,25.93,545.32,-17.57
30,61,68,721,3,23,0,25.32,1019.12,25.93,547.54,-17.49
31,60,68,721,3,23,0,25.32,1019.11,25.91,541.36,-17.49
30,61,68,721,2,23,0,25.32,1019.11,25.92,547.54,-17.4
31,61,68,722,3,23,0,25.32,1019.1,25.92,545.32,-17.4
30,61,68,722,3,26,0,25.32,1019.1,25.9,545.76,-17.4
31,61,68,721,3,23,0,25.32,1019.1,25.91,543.11,-17.4
31,61,67,722,3,23,0,25.32,1019.1,25.91,545.32,-17.4
30,61,67,722,3,23,0,25.32,1019.1,25.92,547.54,-17.4
31,60,67,722,3,23,0,25.33,1019.1,25.92,545.76,-17.4
31,61,67,722,3,22,0,25.33,1019.1,25.92,545.76,-17.32
31,60,67,723,3,22,0,25.33,1019.09,25.93,545.32,-17.4
31,61,68,722,3,23,0,25.33,1019.1,25.94,544.87,-17.24
30,61,68,723,2,23,0,25.33,1019.08,25.92,541.36,-17.32
31,60,68,723,3,23,0,25.33,1019.09,25.91,544.87,-17.32
30,61,67,723,2,22,0,25.33,1019.09,25.9,545.32,-17.32
31,61,67,723,2,22,0,25.33,1019.09,25.9,542.23,-17.24
30,60,68,723,2,22,0,25.33,1019.08,25.9,543.99,-17.32
30,60,67,724,2,20,0,25.33,1019.09,25.91,543.99,-17.32
30,60,67,723,2,22,0,25.34,1019.09,25.91,543.55,-17.24
30,61,66,723,3,22,0,25.34,1019.08,25.93,543.11,-17.32
30,60,67,723,2,23,0,25.34,1019.09,25.93,544.87,-17.32
30,61,67,723,2,22,0,25.34,1019.09,25.94,543.11,-17.24
31,61,67,724,2,23,0,25.34,1019.08,25.94,543.11,-17.16
31,61,67,724,2,22,0,25.34,1019.07,25.93,546.65,-17.16
31,61,67,724,2,23,0,25.34,1019.07,25.93,546.65,-17.07
31,60,67,724,2,22,0,25.34,1019.06,25.93,543.99,-17.16
31,60,67,723,2,22,0,25.35,1019.07,25.91,541.36,-17.07
31,60,67,724,2,22,0,25.35,1019.06,25.91,544.87,-17.07
31,61,67,724,3,23,0,25.35,1019.06,25.91,545.32,-17.07
31,61,67,724,2,22,0,25.35,1019.06,25.9,544.87,-17.07
31,60,67,724,3,23,0,25.35,1019.06,25.91,543.11,-17.07
31,61,67,724,3,23,0,25.35,1019.06,25.9,545.32,-17.07
31,61,67,724,2,22,0,25.35,1019.06,25.89,543.11,-17.16
30,61,67,724,2,22,0,25.35,1019.07,25.89,537.89,-17.07
31,60,67,724,3,21,0,25.35,1019.06,25.89,543.55,-16.99
31,60,67,724,2,23,0,25.35,1019.05,25.89,542.23,-16.99
30,61,67,724,2,22,0,25.35,1019.05,25.89,543.11,-16.99
31,61,67,723,2,22,0,25.35,1019.05,25.89,543.99,-16.99
30,61,67,724,2,22,0,25.36,1019.05,25.89,546.65,-16.99
30,60,66,724,2,25,0,25.36,1019.05,25.89,544.43,-16.91
30,60,66,724,2,22,0,25.36,1019.04,25.89,547.09,-16.91
31,60,67,725,2,22,0,25.36,1019.04,25.9,543.11,-16.91
31,60,67,725,2,22,0,25.36,1019.04,25.9,543.55,-16.91
30,61,66,724,2,21,0,25.36,1019.04,25.88,541.8,-16.91
30,61,67,724,2,23,0,25.36,1019.04,25.88,546.65,-16.99
30,60,66,725,3,23,0,25.36,1019.05,25.88,543.99,-16.91
31,61,67,725,2,24,0,25.36,1019.04,25.88,541.36,-16.91
30,60,66,725,3,24,0,25.36,1019.04,25.87,543.99,-16.91
