NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
330,195,215,922,89.6577,19.5507,0.0022,28.5200,1016.3100,31.6660,110.4880,5.7252
330,196,214,922,97.3739,20.0839,0.0028,28.0700,1016.2900,31.6770,69.3130,5.8913
330,196,214,922,97.5283,20.3101,0.0028,27.8700,1016.3100,31.7020,71.5030,5.7252
331,195,214,922,101.3055,20.2874,0.0051,27.8300,1016.2700,31.7700,71.9950,6.0568
331,196,214,922,102.4334,20.3328,0.0048,27.8500,1016.3100,31.8180,71.0180,5.7252
331,195,214,923,103.5732,20.0839,0.0062,27.9000,1016.3100,31.8470,70.8980,5.7252
331,196,215,922,98.4598,20.3101,0.0075,27.9700,1016.3300,31.8840,70.2440,5.5592
331,196,214,922,101.4659,20.1967,0.0093,28.0400,1016.3100,31.8960,68.4080,5.7252
331,196,215,922,100.9855,20.0839,0.0103,28.1000,1016.3100,31.9110,69.1420,5.7252
331,197,215,922,105.3889,19.2674,0.0104,28.1600,1016.3100,31.9250,67.8530,5.7252
333,197,216,921,102.4334,20.1290,0.0157,28.2100,1016.3100,31.9140,66.2430,5.7252
332,197,214,922,107.0661,20.0839,0.0134,28.2600,1016.2900,31.9090,65.4150,5.8913
332,196,215,923,109.4572,20.0165,0.0192,28.3100,1016.2900,31.9150,63.8200,5.8913
333,197,216,923,99.5573,20.4012,0.0174,28.3400,1016.3300,31.9080,61.8870,5.5592
333,196,216,923,103.4096,21.9614,0.0392,28.3700,1016.3300,31.8940,59.6820,5.5592
333,198,215,923,114.9360,20.3556,0.0365,28.4000,1016.3300,31.9000,56.8850,5.5592
334,197,216,924,110.4977,20.1515,0.0306,28.4200,1016.3300,31.8890,55.1610,5.5592
334,197,215,924,109.4572,20.2647,0.0582,28.4500,1016.3100,31.8770,52.5320,5.7252
335,198,215,925,95.6906,20.3784,0.0440,28.4600,1016.3100,31.8780,50.9030,5.7252
335,197,216,925,112.6070,20.0839,0.0546,28.4800,1016.3100,31.8750,49.5770,5.7252
336,198,215,927,98.7722,20.3101,0.0856,28.4900,1016.3300,31.8660,48.0140,5.5592
336,198,215,928,107.0661,20.1064,0.1000,28.5000,1016.3100,31.8370,47.4970,5.7252
336,198,217,929,100.0312,20.0615,0.1203,28.5200,1016.3100,31.8580,47.3100,5.7252
337,197,216,931,92.8483,20.3328,0.3038,28.5200,1016.2900,31.8530,46.6260,5.8913
338,198,216,932,96.6053,20.3101,71.1025,28.5300,1016.3100,31.8360,46.4200,5.7252
337,199,216,933,108.5974,20.0390,2.7966,28.5400,1016.2900,31.8320,46.5230,5.8913
343,201,217,955,94.4839,19.2458,inf,28.5500,1016.3500,31.8100,46.4710,5.3932
343,200,217,956,101.4659,20.1290,inf,28.0900,1016.3100,31.9000,37.9340,5.7252
343,201,218,958,103.2463,20.3328,inf,27.8900,1016.3100,31.9470,40.8150,5.7252
343,201,217,959,96.7585,20.2420,inf,27.8500,1016.3100,31.9990,43.1240,5.7252
344,202,218,960,92.8483,20.5157,inf,27.8700,1016.3300,32.0400,44.3100,5.5592
345,201,217,962,102.2715,20.2647,inf,27.9300,1016.3300,32.0920,45.2670,5.5592
346,201,218,963,96.1469,19.8824,inf,28.0000,1016.3100,32.1380,45.6610,5.7252
346,202,218,964,108.2554,19.3325,inf,28.0700,1016.2900,32.1450,46.0630,5.8913
