NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
44,88,112,722,6,21,0,25.17,1007.78,27.79,461.42,76.76
44,89,112,722,6,21,0,25.17,1007.78,27.83,463.01,76.68
43,88,112,722,6,21,0,25.17,1007.79,27.87,462.69,76.51
43,88,112,723,6,21,0,25.16,1007.81,27.92,461.74,76.43
43,88,112,722,6,21,0,25.16,1007.82,27.96,465.25,76.34
43,88,112,723,5,21,0,25.16,1007.83,28.0,462.69,76.09
43,88,112,722,6,21,0,25.16,1007.86,28.04,461.1,75.76
43,89,112,723,6,21,0,25.17,1007.9,28.07,466.87,75.59
42,88,111,722,6,21,0,25.17,1007.92,28.07,461.74,75.51
42,88,111,723,6,21,0,25.17,1007.93,28.09,460.79,75.26
43,88,111,722,6,21,0,25.17,1007.96,28.1,463.65,75.01
43,88,111,722,6,21,0,25.17,1007.99,28.11,462.69,74.92
43,88,111,722,6,21,0,25.17,1008.0,28.12,464.93,74.84
42,88,111,722,5,21,0,25.17,1008.01,28.12,462.06,74.76
42,88,111,722,6,21,0,25.17,1008.02,28.13,463.65,74.67
42,88,111,723,6,21,0,25.17,1008.03,28.14,463.97,74.76
42,88,111,722,6,21,0,25.17,1008.02,28.13,464.93,74.76
42,88,110,722,6,21,0,25.17,1008.02,28.13,462.06,74.84
42,88,110,723,7,21,0,25.18,1008.01,28.12,462.37,74.92
42,88,111,722,6,21,0,25.18,1008.0,28.12,463.01,74.84
42,88,110,723,5,21,0,25.18,1008.01,28.1,463.33,74.92
42,88,110,722,6,21,0,25.18,1008.0,28.11,462.37,75.01
42,88,110,722,6,21,0,25.18,1007.99,28.11,462.37,75.01
42,88,110,722,6,18,0,25.18,1007.99,28.1,462.69,75.01
42,88,110,722,6,21,0,25.18,1007.99,28.11,465.58,75.01
41,87,110,722,6,21,0,25.19,1007.99,28.11,464.29,74.92
41,88,110,722,6,20,0,25.19,1008.0,28.12,466.55,74.92
41,88,109,722,6,21,0,25.19,1008.0,28.11,463.33,75.01
42,88,110,723,6,21,0,25.19,1007.99,28.11,461.74,74.92
42,87,109,723,6,21,0,25.19,1008.0,28.11,461.74,75.09
41,88,109,722,6,21,0,25.19,1007.98,28.1,463.01,75.17
42,88,110,722,6,20,0,25.19,1007.97,28.08,462.37,75.26
41,88,110,722,6,22,0,25.2,1007.96,28.11,464.29,75.34
41,87,109,722,6,21,0,25.2,1007.95,28.11,464.61,75.43
41,88,109,722,6,22,0,25.2,1007.94,28.12,463.01,75.51
41,88,109,722,6,22,0,25.2,1007.93,28.12,462.06,75.59
41,88,109,722,6,20,0,25.2,1007.92,28.13,457.96,75.68
40,87,109,722,7,22,0,25.2,1007.91,28.12,453.94,75.68
41,88,109,723,7,21,0,25.2,1007.91,28.12,459.21,75.68
41,88,108,722,7,21,0,25.2,1007.91,28.12,459.84,75.76
40,87,109,722,6,21,0,25.2,1007.9,28.11,462.37,75.68
40,88,109,722,6,21,0,25.2,1007.91,28.11,465.58,75.68
41,88,109,722,6,21,0,25.21,1007.91,28.1,465.25,75.76
41,87,109,722,6,22,0,25.21,1007.9,28.11,463.01,75.76
41,87,108,722,6,21,0,25.21,1007.9,28.11,465.58,75.76
41,88,109,722,7,21,0,25.21,1007.9,28.13,463.65,75.84
40,87,109,721,6,21,0,25.21,1007.89,28.12,457.02,75.93
41,87,108,722,6,21,0,25.21,1007.88,28.12,464.93,75.93
41,88,109,721,6,21,0,25.21,1007.88,28.12,454.24,76.01
41,87,108,721,6,21,0,25.22,1007.87,28.11,465.9,76.09
41,88,108,722,6,23,0,25.22,1007.86,28.11,463.97,76.01
41,88,108,722,6,22,0,25.22,1007.87,28.11,460.47,76.09
40,88,109,722,6,21,0,25.22,1007.86,28.11,461.74,76.09
41,87,109,722,5,21,0,25.22,1007.86,28.11,463.65,76.09
40,87,108,722,6,21,0,25.22,1007.86,28.11,460.16,76.01
41,88,109,722,6,21,0,25.22,1007.87,28.1,462.69,76.01
40,87,108,723,6,21,0,25.23,1007.87,28.11,463.01,75.93
41,88,108,722,6,21,0,25.23,1007.88,28.1,463.65,75.76
40,87,108,722,6,20,0,25.23,1007.9,28.09,466.87,75.68
40,87,108,722,6,21,0,25.23,1007.91,28.1,461.42,75.59
41,88,108,722,5,21,0,25.23,1007.92,28.11,462.69,75.43
40,87,108,722,6,20,0,25.23,1007.94,28.11,463.01,75.26
40,87,108,722,6,21,0,25.23,1007.96,28.12,459.53,75.17
40,87,108,722,6,21,0,25.23,1007.97,28.14,460.79,75.17
40,87,108,722,6,21,0,25.23,1007.97,28.14,459.84,75.09
41,87,107,722,6,21,0,25.24,1007.98,28.13,460.47,75.09
41,88,108,722,6,21,0,25.24,1007.98,28.14,461.1,75.09
40,87,108,722,6,21,0,25.24,1007.98,28.15,461.42,75.01
41,87,108,721,6,21,0,25.24,1007.99,28.14,460.47,75.01
41,87,108,723,6,21,0,25.24,1007.99,28.15,461.1,75.01
40,87,108,722,6,21,0,25.24,1007.99,28.15,459.21,75.01
41,87,108,722,6,21,0,25.24,1007.99,28.14,461.74,75.01
41,87,108,722,6,21,0,25.24,1007.99,28.12,462.37,74.92
41,87,108,722,5,21,0,25.24,1008.0,28.12,460.47,74.84
40,87,108,722,6,21,0,25.24,1008.01,28.1,462.06,74.84
41,87,108,722,6,24,0,25.24,1008.01,28.09,462.37,74.84
40,87,108,722,6,21,0,25.25,1008.01,28.08,461.74,74.92
41,87,108,722,6,21,0,25.25,1008.0,28.07,462.37,74.92
41,87,107,722,6,21,0,25.25,1008.0,28.06,461.74,75.01
41,87,108,722,6,21,0,25.25,1007.99,28.06,465.58,75.17
41,87,108,722,6,20,0,25.25,1007.97,28.04,463.01,75.17
41,87,108,722,5,23,0,25.25,1007.97,28.04,462.37,75.17
41,87,108,722,6,20,0,25.25,1007.97,28.04,463.01,75.17
40,87,107,722,5,20,0,25.25,1007.97,28.03,461.42,75.09
41,87,108,721,5,21,0,25.25,1007.98,28.03,464.93,75.01
40,87,108,722,5,21,0,25.25,1007.99,28.03,463.65,75.01
41,87,108,722,6,21,0,25.25,1007.99,28.05,464.29,75.01
41,87,107,722,6,21,0,25.26,1007.99,28.03,463.65,75.17
41,87,108,721,6,21,0,25.26,1007.97,28.04,459.84,75.34
41,87,108,722,6,21,0,25.26,1007.95,28.02,463.33,75.51
41,87,108,722,6,21,0,25.26,1007.93,28.02,463.33,75.59
41,87,108,722,6,21,0,25.26,1007.92,28.02,460.47,75.59
41,87,108,721,5,21,0,25.26,1007.92,28.03,460.79,75.43
41,87,108,721,6,21,0,25.26,1007.94,28.03,463.65,75.26
41,87,107,722,6,21,0,25.26,1007.96,28.03,463.97,75.01
41,87,107,721,5,21,0,25.26,1007.99,28.04,459.53,74.67
41,87,107,722,5,21,0,25.26,1008.03,28.05,461.1,74.42
41,87,108,722,6,21,0,25.26,1008.06,28.04,459.21,74.26
41,86,108,722,5,21,0,25.26,1008.08,28.04,459.53,74.17
41,87,108,722,5,21,0,25.26,1008.09,28.02,461.1,74.17
41,87,107,722,6,21,0,25.26,1008.09,28.02,458.9,74.17
41,87,107,722,5,20,0,25.26,1008.09,28.02,458.9,74.34
41,87,107,722,5,20,0,25.26,1008.07,28.01,458.9,74.42
41,86,107,722,5,21,0,25.27,1008.06,28.02,460.47,74.67
41,87,108,721,5,20,0,25.27,1008.03,27.99,461.1,74.76
40,87,108,723,5,20,0,25.27,1008.02,28.01,459.53,74.92
41,87,107,722,5,20,0,25.27,1008.0,28.01,458.9,75.01
41,87,108,721,5,20,0,25.27,1007.99,28.0,457.96,75.09
41,86,107,722,5,21,0,25.27,1007.98,28.01,458.9,75.17
41,87,107,722,5,19,0,25.27,1007.97,28.01,457.34,75.17
40,87,107,722,7,21,0,25.27,1007.97,28.01,458.9,75.17
40,87,107,722,5,20,0,25.27,1007.97,28.01,458.58,75.09
41,87,108,721,5,21,0,25.27,1007.98,28.02,457.34,75.09
41,87,107,722,5,19,0,25.27,1007.98,28.01,457.02,75.01
41,87,107,722,5,20,0,25.27,1007.99,28.0,458.9,75.01
40,86,108,722,5,21,0,25.27,1007.99,28.0,457.96,75.01
41,87,108,722,5,20,0,25.27,1007.99,28.01,457.96,75.01
41,87,107,722,5,20,0,25.27,1007.99,27.99,460.47,75.01
41,87,107,721,5,19,0,25.27,1007.99,27.98,459.84,75.09
41,87,108,722,5,19,0,25.27,1007.98,27.98,457.02,75.09
41,87,108,722,5,20,0,25.28,1007.98,27.99,455.48,75.17
41,87,107,722,5,21,0,25.28,1007.97,28.0,457.02,75.17
41,87,107,722,5,21,0,25.28,1007.97,28.01,456.71,75.17
41,87,107,721,5,21,0,25.28,1007.97,28.0,457.65,75.26
