NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
47,95,125,726,4,20,0,25.21,1007.51,27.94,456.1,78.93
47,95,124,726,4,20,0,25.21,1007.52,27.98,454.86,78.93
47,94,124,727,4,20,0,25.2,1007.52,28.03,456.71,78.93
47,95,124,727,4,19,0,25.2,1007.52,28.07,452.71,78.85
47,95,124,727,4,20,0,25.2,1007.53,28.11,453.02,78.85
47,95,124,727,4,20,0,25.2,1007.53,28.15,454.24,78.77
47,94,124,728,4,20,0,25.2,1007.54,28.19,452.41,78.85
47,95,124,727,4,20,0,25.2,1007.53,28.24,453.02,78.85
47,95,124,727,4,20,0,25.2,1007.53,28.27,451.5,78.85
47,95,123,727,4,20,0,25.2,1007.53,28.3,454.86,78.85
47,95,124,727,4,20,0,25.2,1007.53,28.31,453.02,78.77
46,94,124,728,4,19,0,25.2,1007.54,28.3,453.94,78.68
47,95,123,728,4,20,0,25.2,1007.55,28.31,454.55,78.6
46,95,123,728,4,20,0,25.2,1007.56,28.3,454.55,78.6
46,95,124,727,4,23,0,25.2,1007.56,28.3,452.71,78.52
46,94,124,727,4,20,0,25.2,1007.57,28.3,450.59,78.52
46,94,123,727,4,20,0,25.2,1007.57,28.3,453.63,78.43
46,95,123,727,4,20,0,25.2,1007.58,28.29,452.71,78.43
46,94,123,727,4,20,0,25.2,1007.58,28.29,454.86,78.43
46,95,123,727,4,20,0,25.2,1007.58,28.29,452.11,78.43
46,94,123,727,4,20,0,25.21,1007.58,28.28,452.11,78.43
46,94,123,727,4,20,0,25.21,1007.58,28.28,455.48,78.43
45,95,122,727,4,20,0,25.21,1007.58,28.28,453.32,78.43
46,94,123,728,4,19,0,25.21,1007.58,28.28,453.94,78.35
46,95,123,728,4,20,0,25.21,1007.59,28.28,454.55,78.35
46,94,122,728,4,23,0,25.21,1007.59,28.29,450.59,78.35
46,94,122,728,4,20,0,25.21,1007.59,28.28,456.1,78.43
46,94,122,728,4,20,0,25.21,1007.58,28.28,451.5,78.43
46,95,122,727,4,20,0,25.21,1007.58,28.28,449.99,78.43
45,94,122,727,4,21,0,25.21,1007.58,28.27,453.94,78.43
45,94,121,728,4,20,0,25.21,1007.58,28.26,454.55,78.52
46,94,122,728,4,20,0,25.21,1007.57,28.25,451.8,78.6
45,95,122,728,4,20,0,25.21,1007.56,28.26,449.99,78.68
46,94,121,728,4,20,0,25.22,1007.55,28.26,453.63,78.68
45,94,122,728,4,20,0,25.22,1007.55,28.25,449.68,78.68
46,94,121,728,4,20,0,25.22,1007.55,28.27,451.5,78.77
45,94,122,727,4,20,0,25.22,1007.54,28.27,453.94,78.77
45,94,121,728,4,20,0,25.22,1007.54,28.26,455.17,78.85
45,94,121,727,4,18,0,25.22,1007.53,28.25,451.19,78.85
45,94,121,728,4,19,0,25.22,1007.53,28.24,454.86,78.85
44,94,121,727,4,20,0,25.22,1007.53,28.25,451.5,78.85
45,94,121,727,4,20,0,25.22,1007.53,28.24,451.8,78.93
44,94,121,728,4,20,0,25.22,1007.52,28.22,454.86,78.93
45,94,121,728,5,20,0,25.22,1007.52,28.23,453.32,78.85
45,94,120,728,4,20,0,25.23,1007.53,28.23,451.19,78.85
45,94,121,727,4,20,0,25.23,1007.53,28.23,451.8,78.77
45,94,121,728,4,19,0,25.23,1007.54,28.23,453.02,78.77
45,94,121,727,4,20,0,25.23,1007.54,28.22,452.11,78.6
45,94,121,728,5,19,0,25.23,1007.56,28.22,452.71,78.52
45,94,120,727,4,19,0,25.23,1007.57,28.21,451.8,78.43
45,94,120,728,4,20,0,25.23,1007.58,28.21,450.29,78.35
45,94,120,728,4,18,0,25.23,1007.59,28.2,449.99,78.18
45,94,120,728,4,20,0,25.23,1007.61,28.18,449.38,78.02
45,94,120,728,4,19,0,25.23,1007.63,28.19,453.02,77.85
45,94,120,727,4,20,0,25.23,1007.65,28.2,453.32,77.6
44,94,120,728,4,20,0,25.24,1007.68,28.2,453.63,77.35
44,94,120,727,4,20,0,25.24,1007.71,28.21,449.68,77.1
45,94,120,727,4,20,0,25.24,1007.74,28.22,452.41,76.93
45,94,120,727,4,23,0,25.24,1007.76,28.21,453.02,76.93
44,94,120,727,4,20,0,25.24,1007.76,28.21,451.19,77.01
45,94,120,727,4,20,0,25.24,1007.75,28.21,450.29,77.1
45,93,120,727,4,20,0,25.24,1007.74,28.23,449.08,77.26
45,94,120,728,4,20,0,25.24,1007.72,28.22,448.48,77.35
45,94,120,728,4,20,0,25.24,1007.71,28.22,451.8,77.51
44,94,120,728,4,20,0,25.24,1007.69,28.21,448.78,77.85
45,94,120,727,4,20,0,25.24,1007.65,28.21,448.18,78.18
45,94,120,728,4,19,0,25.24,1007.61,28.21,449.68,78.35
44,93,120,727,4,20,0,25.24,1007.59,28.22,449.08,78.52
44,94,120,727,4,20,0,25.25,1007.57,28.23,448.18,78.68
45,94,120,727,4,20,0,25.25,1007.55,28.23,449.08,78.85
44,94,120,728,4,20,0,25.25,1007.53,28.22,448.78,78.93
45,94,119,727,4,19,0,25.25,1007.52,28.21,448.78,78.93
44,93,119,727,4,20,0,25.25,1007.52,28.24,450.59,78.93
45,94,120,727,4,20,0,25.25,1007.52,28.22,449.38,78.93
44,93,119,728,4,20,0,25.25,1007.52,28.24,451.8,78.93
44,93,119,727,4,20,0,25.25,1007.52,28.23,452.71,79.02
45,93,119,727,5,20,0,25.25,1007.51,28.22,450.89,78.93
44,93,119,727,4,20,0,25.25,1007.52,28.21,448.18,78.93
44,94,119,727,4,20,0,25.25,1007.52,28.2,449.38,78.85
44,94,119,728,4,20,0,25.25,1007.53,28.19,451.19,78.77
44,94,119,727,4,20,0,25.26,1007.54,28.18,452.11,78.6
44,94,119,727,4,20,0,25.26,1007.56,28.18,452.41,78.52
44,94,119,727,4,20,0,25.26,1007.57,28.18,449.38,78.35
44,94,119,728,4,21,0,25.26,1007.59,28.18,448.18,78.27
44,93,119,728,4,20,0,25.26,1007.6,28.18,449.08,78.27
45,93,119,727,4,20,0,25.26,1007.6,28.18,449.99,78.1
44,94,119,727,4,20,0,25.26,1007.62,28.18,449.08,78.02
44,93,118,727,4,20,0,25.26,1007.63,28.17,449.68,78.02
45,94,119,728,5,20,0,25.26,1007.63,28.16,447.59,77.85
44,93,118,727,4,20,0,25.26,1007.65,28.16,449.38,77.85
44,93,119,728,4,20,0,25.26,1007.65,28.16,449.68,77.76
45,93,118,727,4,20,0,25.26,1007.66,28.16,452.41,77.6
45,94,119,728,4,20,0,25.26,1007.68,28.14,449.99,77.68
45,93,118,728,4,20,0,25.26,1007.67,28.15,449.08,77.76
44,93,118,727,4,20,0,25.26,1007.66,28.14,451.5,77.85
44,93,118,727,4,20,0,25.26,1007.65,28.14,447.59,77.85
44,93,118,728,4,21,0,25.26,1007.65,28.14,449.99,77.93
44,93,118,728,4,20,0,25.26,1007.64,28.14,451.5,77.93
44,93,119,727,4,20,0,25.26,1007.64,28.14,448.48,77.85
44,93,118,727,4,20,0,25.26,1007.65,28.13,451.19,77.85
44,93,118,727,4,20,0,25.26,1007.65,28.13,451.8,77.76
45,93,118,727,4,20,0,25.26,1007.66,28.14,451.8,77.76
44,94,118,727,4,20,0,25.26,1007.66,28.14,451.8,77.68
44,93,118,727,4,20,0,25.26,1007.67,28.13,451.19,77.6
44,93,118,728,4,20,0,25.27,1007.68,28.13,450.29,77.51
44,93,118,728,4,20,0,25.27,1007.69,28.12,451.19,77.51
44,93,118,727,4,20,0,25.27,1007.69,28.12,447.59,77.43
44,93,118,727,4,20,0,25.27,1007.7,28.13,448.78,77.35
44,93,118,728,4,20,0,25.27,1007.71,28.14,449.08,77.35
44,93,118,727,4,20,0,25.27,1007.71,28.16,446.99,77.43
44,93,118,727,4,20,0,25.27,1007.7,28.15,448.18,77.51
44,93,118,727,4,20,0,25.27,1007.69,28.17,449.99,77.43
44,93,118,727,4,20,0,25.27,1007.7,28.17,450.89,77.51
44,93,118,727,4,23,0,25.27,1007.69,28.16,448.78,77.51
44,93,118,727,4,20,0,25.27,1007.69,28.15,451.19,77.51
44,93,118,727,4,20,0,25.27,1007.69,28.13,449.99,77.51
44,93,118,727,4,20,0,25.27,1007.69,28.12,449.08,77.51
44,93,118,727,4,20,0,25.27,1007.69,28.12,452.71,77.51
44,93,117,727,4,20,0,25.27,1007.69,28.1,452.41,77.43
