NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
58,116,175,738,4,20,0,25.07,1007.22,28.41,432.88,81.44
59,116,174,738,4,20,0,25.08,1007.22,28.47,430.38,81.44
58,116,174,738,4,20,0,25.08,1007.22,28.53,429.83,81.53
58,116,174,738,4,20,0,25.08,1007.21,28.6,430.93,81.61
58,116,174,738,4,21,0,25.08,1007.2,28.66,433.44,81.61
58,116,174,738,4,20,0,25.08,1007.2,28.72,429.28,81.61
58,116,174,738,4,19,9,25.08,1007.2,28.76,427.37,81.69
58,116,174,739,4,20,0,25.08,1007.19,28.8,429.83,81.69
57,116,173,739,4,20,0,25.08,1007.19,28.83,428.74,81.69
57,116,173,739,4,22,0,25.08,1007.19,28.85,428.19,81.61
58,116,173,739,4,19,0,25.08,1007.2,28.88,427.1,81.61
58,116,173,739,4,20,0,25.09,1007.2,28.91,428.74,81.53
57,116,172,739,4,21,0,25.09,1007.21,28.92,430.38,81.53
57,116,172,739,4,20,0,25.09,1007.21,28.93,429.28,81.53
57,116,172,739,4,20,0,25.09,1007.21,28.92,424.4,81.53
57,115,172,739,4,20,0,25.1,1007.21,28.93,424.4,81.44
57,116,172,739,4,20,0,25.1,1007.22,28.92,425.48,81.44
57,116,171,739,3,20,0,25.1,1007.22,28.91,424.67,81.44
57,116,171,738,4,20,0,25.1,1007.22,28.91,427.64,81.53
57,116,171,739,4,20,0,25.1,1007.21,28.89,428.74,81.44
57,116,171,739,4,20,0,25.11,1007.22,28.87,429.28,81.36
57,116,171,739,4,20,0,25.11,1007.23,28.86,427.64,81.28
57,116,171,739,4,19,0,25.11,1007.24,28.86,430.38,81.28
57,116,170,739,4,21,0,25.11,1007.24,28.86,429.28,81.19
56,116,170,739,4,20,0,25.12,1007.25,28.86,424.4,81.11
56,116,170,739,4,21,1,25.12,1007.26,28.84,426.56,81.11
56,116,170,739,4,19,2,25.12,1007.26,28.83,426.83,81.02
