NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
72,140,214,746,4,21,4294967295,25.12,1007.04,28.52,404.47,83.03
71,140,213,747,4,21,4294967295,25.12,1007.03,28.57,407.42,83.03
71,140,213,745,4,21,4294967295,25.12,1007.03,28.62,404.47,83.11
71,140,213,746,4,21,4294967295,25.12,1007.02,28.67,405.45,83.2
71,140,213,746,4,21,4294967295,25.12,1007.01,28.72,407.66,83.2
71,140,212,746,4,21,4294967295,25.12,1007.01,28.76,407.17,83.11
70,140,212,746,4,21,4294967295,25.12,1007.02,28.81,407.91,83.11
71,140,212,746,4,21,4294967295,25.12,1007.02,28.84,405.2,83.11
70,139,211,746,4,21,4294967295,25.12,1007.02,28.87,407.66,83.03
70,139,211,746,4,21,4294967295,25.12,1007.03,28.86,409.15,82.95
70,140,211,746,4,21,4294967295,25.12,1007.04,28.86,408.16,82.95
70,140,210,746,3,22,4294967295,25.12,1007.04,28.87,407.91,82.86
69,139,210,746,4,21,4294967295,25.12,1007.05,28.87,405.94,82.78
70,139,210,746,4,23,4294967295,25.12,1007.06,28.87,408.65,82.7
69,139,209,747,4,21,4294967295,25.12,1007.07,28.87,408.16,82.61
69,139,209,746,4,21,4294967295,25.12,1007.08,28.88,407.91,82.53
69,139,209,746,4,23,4294967295,25.12,1007.09,28.86,407.42,82.36
69,139,209,746,3,21,4294967295,25.12,1007.11,28.88,409.15,82.2
68,139,209,746,4,21,4294967295,25.12,1007.13,28.88,409.9,82.11
68,139,208,746,4,21,4294967295,25.12,1007.14,28.89,406.43,82.03
69,139,208,746,4,21,4294967295,25.12,1007.15,28.89,409.4,82.03
68,139,207,746,4,21,4294967295,25.12,1007.15,28.9,410.9,81.94
68,139,207,746,4,21,4294967295,25.13,1007.16,28.9,408.41,81.94
68,139,207,746,4,21,4294967295,25.13,1007.16,28.9,407.91,82.03
68,139,207,745,4,19,4294967295,25.13,1007.15,28.91,410.15,82.2
68,138,207,746,4,21,4294967295,25.13,1007.13,28.91,410.15,82.2
68,138,206,746,4,21,4294967295,25.13,1007.13,28.91,406.92,82.28
68,139,206,746,4,19,4294967295,25.13,1007.12,28.9,409.9,82.28
68,138,206,746,4,21,4294967295,25.13,1007.12,28.9,407.42,82.28
68,138,206,746,4,23,4294967295,25.13,1007.12,28.91,410.65,82.2
67,138,205,746,4,21,4294967295,25.13,1007.13,28.92,410.9,82.28
