NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
180,406,468,831,8,36,4294967295,25.52,1020.84,38.06,86.11,-31.89
179,404,466,830,8,35,4294967295,25.52,1020.85,38.08,86.73,-31.8
178,403,464,831,8,36,4294967295,25.52,1020.84,38.09,87.27,-31.89
177,402,464,830,8,37,4294967295,25.52,1020.85,38.12,87.63,-31.8
177,401,462,829,8,36,4294967295,25.52,1020.84,38.13,88.09,-31.72
176,400,460,830,8,39,4294967295,25.52,1020.83,38.14,88.46,-31.72
175,399,459,829,10,36,4294967295,25.52,1020.83,38.15,89.31,-31.72
175,398,458,829,8,36,4294967295,25.52,1020.83,38.14,89.59,-31.72
174,397,456,829,8,36,4294967295,25.52,1020.83,38.16,89.98,-31.8
173,395,455,829,8,36,4294967295,25.52,1020.84,38.15,90.56,-31.72
173,394,454,828,8,36,4294967295,25.51,1020.83,38.17,90.76,-31.64
172,393,453,828,8,36,4294967295,25.51,1020.82,38.17,90.95,-31.72
172,392,452,827,8,34,4294967295,25.51,1020.83,38.19,91.45,-31.72
171,391,450,828,8,36,4294967295,25.51,1020.83,38.19,91.95,-31.72
171,390,449,827,8,35,4294967295,25.51,1020.83,38.19,92.15,-31.72
170,389,448,827,8,36,4294967295,25.51,1020.83,38.2,92.86,-31.72
170,388,447,827,8,35,4294967295,25.51,1020.83,38.18,92.76,-31.72
170,387,445,826,8,36,4294967295,25.51,1020.83,38.19,93.07,-31.72
170,386,445,826,8,36,4294967295,25.51,1020.83,38.18,93.38,-31.64
169,385,445,826,8,36,4294967295,25.51,1020.82,38.18,93.79,-31.72
169,384,444,826,8,36,4294967295,25.51,1020.83,38.16,94.32,-31.72
170,384,443,826,9,38,4294967295,25.51,1020.83,38.16,94.85,-31.8
170,382,443,826,8,36,4294967295,25.51,1020.84,38.17,94.85,-31.72
169,381,442,826,8,36,4294967295,25.51,1020.83,38.17,95.07,-31.72
170,381,442,825,8,36,4294967295,25.51,1020.83,38.17,95.28,-31.8
169,380,441,825,8,36,4294967295,25.5,1020.84,38.16,95.5,-31.8
170,379,441,825,8,36,4294967295,25.5,1020.84,38.17,95.28,-31.72
169,379,440,825,8,36,4294967295,25.5,1020.83,38.17,95.17,-31.8
169,378,440,825,8,37,4294967295,25.5,1020.84,38.17,95.28,-31.8
170,377,439,825,8,36,4294967295,25.5,1020.84,38.16,95.5,-31.72
170,377,438,825,7,36,4294967295,25.5,1020.83,38.16,93.87,-31.72
170,376,438,824,8,36,4294967295,25.5,1020.83,38.16,94.19,-31.64
171,375,438,825,8,36,4294967295,25.5,1020.82,38.14,94.4,-31.64
173,375,438,825,8,35,4294967295,25.5,1020.82,38.15,94.66,-31.64
174,375,439,824,7,39,4294967295,25.5,1020.82,38.15,94.61,-31.64
175,375,440,824,8,35,4294967295,25.5,1020.82,38.15,94.61,-31.64
176,375,440,825,8,35,4294967295,25.5,1020.82,38.15,94.98,-31.72
178,374,441,824,8,36,4294967295,25.5,1020.83,38.14,94.5,-31.64
179,375,441,825,8,35,4294967295,25.5,1020.82,38.14,94.61,-31.64
180,375,442,825,8,36,4294967295,25.5,1020.82,38.15,94.29,-31.64
181,374,443,824,7,36,4294967295,25.5,1020.82,38.15,93.77,-31.72
183,374,444,824,9,35,4294967295,25.5,1020.83,38.14,95.39,-31.64
183,373,444,825,8,36,4294967295,25.5,1020.82,38.15,94.75,-31.64
184,374,445,825,8,36,4294967295,25.5,1020.82,38.15,94.21,-31.72
185,374,446,825,9,39,4294967295,25.5,1020.83,38.15,93.58,-31.64
186,374,446,825,7,38,4294967295,25.5,1020.82,38.16,92.35,-31.64
187,373,447,824,8,36,4294967295,25.49,1020.82,38.17,91.15,-31.72
189,373,448,825,9,36,4294967295,25.49,1020.83,38.16,89.59,-31.72
191,373,449,825,8,36,4294967295,25.49,1020.83,38.18,88.65,-31.72
193,374,450,824,9,36,4294967295,25.49,1020.83,38.19,87.63,-31.72
196,374,452,826,8,35,4294967295,25.49,1020.83,38.19,87.0,-31.72
199,375,454,825,8,36,4294967295,25.49,1020.83,38.2,86.55,-31.72
200,375,457,825,8,36,4294967295,25.49,1020.83,38.18,86.28,-31.72
201,375,457,825,8,36,4294967295,25.49,1020.83,38.19,86.28,-31.72
201,376,458,826,8,36,4294967295,25.49,1020.83,38.18,86.55,-31.64
202,376,458,826,8,36,4294967295,25.49,1020.82,38.18,86.55,-31.64
204,376,459,826,8,36,4294967295,25.49,1020.82,38.19,87.18,-31.64
206,375,460,825,8,36,4294967295,25.49,1020.82,38.17,87.36,-31.64
208,376,462,826,8,36,4294967295,25.49,1020.82,38.18,87.91,-31.64
210,376,464,826,8,36,4294967295,25.49,1020.82,38.19,88.37,-31.56
212,377,465,826,8,36,4294967295,25.49,1020.81,38.18,88.65,-31.64
212,377,467,826,9,36,4294967295,25.49,1020.82,38.18,88.65,-31.64
212,376,467,826,9,36,4294967295,25.49,1020.82,38.18,88.19,-31.64
212,376,467,826,8,36,4294967295,25.49,1020.82,38.19,87.54,-31.64
212,376,466,826,8,35,4294967295,25.49,1020.82,38.19,87.18,-31.64
212,376,466,827,8,36,4294967295,25.49,1020.82,38.18,86.82,-31.64
214,376,467,826,8,36,4294967295,25.49,1020.82,38.19,86.64,-31.64
217,376,469,827,9,36,4294967295,25.49,1020.82,38.18,86.82,-31.56
219,377,471,827,8,36,4294967295,25.49,1020.81,38.2,86.64,-31.56
221,378,474,827,8,36,4294967295,25.49,1020.81,38.18,86.73,-31.64
223,378,475,827,8,36,4294967295,25.49,1020.82,38.19,86.46,-31.64
225,379,477,827,9,36,4294967295,25.49,1020.82,38.19,86.64,-31.64
226,379,479,827,8,36,4294967295,25.49,1020.82,38.2,86.55,-31.72
229,380,481,828,8,36,4294967295,25.49,1020.83,38.19,86.64,-31.72
233,381,484,828,8,36,4294967295,25.49,1020.83,38.19,86.64,-31.72
235,382,487,828,8,36,4294967295,25.49,1020.83,38.19,86.64,-31.64
239,383,490,829,9,36,4294967295,25.49,1020.82,38.19,87.0,-31.64
241,384,493,828,8,36,4294967295,25.49,1020.82,38.19,87.63,-31.64
244,385,496,829,8,36,4294967295,25.49,1020.82,38.19,88.19,-31.64
246,386,498,829,8,36,4294967295,25.49,1020.82,38.19,88.37,-31.64
248,387,500,830,8,36,4294967295,25.49,1020.82,38.18,88.56,-31.64
249,388,502,829,8,36,4294967295,25.49,1020.82,38.19,88.74,-31.64
252,389,505,830,8,36,4294967295,25.49,1020.82,38.19,89.21,-31.64
254,390,508,830,8,35,4294967295,25.49,1020.82,38.2,89.21,-31.72
258,391,510,830,8,36,4294967295,25.49,1020.83,38.18,89.59,-31.64
259,392,513,832,8,35,4294967295,25.49,1020.82,38.18,89.98,-31.64
261,393,515,832,9,36,4294967295,25.49,1020.82,38.18,89.98,-31.72
262,394,517,832,8,36,4294967295,25.49,1020.83,38.19,89.98,-31.64
262,394,517,833,8,36,4294967295,25.49,1020.82,38.18,89.88,-31.64
262,395,519,834,8,36,4294967295,25.49,1020.82,38.18,89.59,-31.64
264,395,521,833,8,36,4294967295,25.49,1020.82,38.18,89.4,-31.64
265,395,522,833,8,36,4294967295,25.49,1020.82,38.19,89.21,-31.64
266,397,524,834,10,36,4294967295,25.49,1020.82,38.18,89.31,-31.56
268,397,525,834,8,36,4294967295,25.49,1020.81,38.18,88.74,-31.56
268,398,527,835,8,36,4294967295,25.49,1020.81,38.18,88.84,-31.56
268,398,528,835,8,38,4294967295,25.49,1020.81,38.18,88.46,-31.64
267,399,527,835,8,37,4294967295,25.48,1020.82,38.17,88.46,-31.56
267,399,528,835,11,36,4294967295,25.48,1020.81,38.17,88.09,-31.64
268,399,527,835,8,36,4294967295,25.48,1020.82,38.18,87.18,-31.64
267,399,528,835,8,36,4294967295,25.49,1020.82,38.19,86.73,-31.64
268,400,529,835,8,36,4294967295,25.48,1020.82,38.18,86.28,-31.72
269,400,529,836,8,36,4294967295,25.48,1020.83,38.17,86.02,-31.64
269,400,531,835,8,36,4294967295,25.48,1020.82,38.18,85.58,-31.72
270,400,532,836,8,36,4294967295,25.48,1020.83,38.18,84.98,-31.64
271,401,533,836,6,36,4294967295,25.48,1020.82,38.19,83.96,-31.72
272,401,533,836,8,36,4294967295,25.48,1020.83,38.19,82.96,-31.72
272,401,534,837,8,36,4294967295,25.48,1020.83,38.19,82.07,-31.72
273,402,536,836,8,34,4294967295,25.48,1020.83,38.2,81.28,-31.72
273,402,536,837,8,36,4294967295,25.48,1020.83,38.19,80.58,-31.64
274,403,537,837,9,36,4294967295,25.48,1020.82,38.21,79.59,-31.64
275,403,538,837,8,36,4294967295,25.48,1020.82,38.2,78.54,-31.64
275,404,538,837,8,34,4294967295,25.48,1020.82,38.2,77.82,-31.72
276,404,540,837,8,36,4294967295,25.48,1020.83,38.21,76.96,-31.72
278,405,541,837,7,36,4294967295,25.48,1020.83,38.2,76.26,-31.72
280,406,542,837,8,41,4294967295,25.48,1020.83,38.21,75.65,-31.72
281,407,545,838,8,36,4294967295,25.48,1020.83,38.21,74.9,-31.72
283,408,547,838,8,36,4294967295,25.48,1020.83,38.19,74.11,-31.8
284,408,548,839,8,36,4294967295,25.48,1020.84,38.2,73.66,-31.8
284,410,549,839,8,36,4294967295,25.48,1020.84,38.19,73.21,-31.72
285,410,550,839,8,36,4294967295,25.48,1020.83,38.19,72.83,-31.72
286,411,551,839,10,36,4294967295,25.48,1020.83,38.18,72.83,-31.72
286,412,551,839,8,36,4294967295,25.48,1020.83,38.19,72.77,-31.72
287,412,552,839,8,36,4294967295,25.48,1020.83,38.18,73.27,-31.72
289,413,553,840,8,36,4294967295,25.48,1020.83,38.18,73.59,-31.72
290,414,555,839,8,36,4294967295,25.48,1020.83,38.17,73.92,-31.72
291,415,557,839,9,36,4294967295,25.48,1020.83,38.19,74.51,-31.64
293,416,558,841,8,36,4294967295,25.48,1020.82,38.18,75.04,-31.56
294,417,559,841,9,36,4294967295,25.48,1020.81,38.18,75.31,-31.64
294,418,561,841,8,36,4294967295,25.48,1020.82,38.16,75.31,-31.64
296,418,562,841,8,41,4294967295,25.48,1020.82,38.18,75.51,-31.64
297,419,563,841,8,34,4294967295,25.48,1020.82,38.16,75.38,-31.64
299,420,566,842,8,36,4294967295,25.48,1020.82,38.16,75.04,-31.64
301,421,568,842,8,36,4294967295,25.48,1020.82,38.17,74.37,-31.64
303,423,570,842,8,36,4294967295,25.48,1020.82,38.17,73.53,-31.64
304,424,572,843,8,36,4294967295,25.48,1020.82,38.18,72.58,-31.64
306,425,573,844,8,36,4294967295,25.48,1020.82,38.18,71.89,-31.64
306,426,575,844,7,36,4294967295,25.48,1020.82,38.19,71.22,-31.72
308,427,577,844,8,36,4294967295,25.48,1020.83,38.19,70.27,-31.72
309,428,578,844,8,36,4294967295,25.48,1020.83,38.19,69.23,-31.64
310,429,580,844,8,36,4294967295,25.48,1020.82,38.18,68.33,-31.64
311,430,580,845,8,36,4294967295,25.48,1020.82,38.19,66.97,-31.64
311,431,582,845,8,42,4294967295,25.48,1020.82,38.2,66.02,-31.56
311,432,582,845,8,36,4294967295,25.48,1020.81,38.19,65.1,-31.64
310,432,583,845,7,36,4294967295,25.48,1020.82,38.19,64.55,-31.64
310,433,582,846,8,36,4294967295,25.48,1020.82,38.19,64.21,-31.56
310,433,583,846,8,35,4294967295,25.48,1020.81,38.2,63.96,-31.64
311,434,583,845,8,36,4294967295,25.48,1020.82,38.19,64.21,-31.72
313,435,584,846,8,36,4294967295,25.48,1020.83,38.19,64.6,-31.72
314,435,585,846,8,34,4294967295,25.48,1020.83,38.19,65.05,-31.72
314,436,586,846,8,36,4294967295,25.48,1020.83,38.19,65.25,-31.72
315,437,587,846,8,36,4294967295,25.48,1020.83,38.19,65.35,-31.72
316,438,588,846,8,36,4294967295,25.48,1020.83,38.19,64.95,-31.72
317,439,589,847,8,36,4294967295,25.48,1020.83,38.19,64.5,-31.72
318,440,591,848,8,36,4294967295,25.48,1020.83,38.2,63.62,-31.64
319,440,593,847,8,36,4294967295,25.48,1020.82,38.19,62.53,-31.72
318,442,594,847,8,36,4294967295,25.48,1020.83,38.2,61.89,-31.72
316,442,593,848,8,36,4294967295,25.48,1020.83,38.19,61.26,-31.8
315,442,593,848,8,36,4294967295,25.48,1020.84,38.2,60.6,-31.8
313,442,592,848,8,36,4294967295,25.48,1020.84,38.19,59.86,-31.72
311,442,591,848,8,36,4294967295,25.49,1020.83,38.2,59.19,-31.72
310,442,590,849,8,36,4294967295,25.48,1020.83,38.19,58.86,-31.72
308,442,588,849,8,36,4294967295,25.48,1020.83,38.2,58.53,-31.72
309,442,588,849,8,37,4294967295,25.49,1020.83,38.19,57.96,-31.72
311,442,588,849,8,36,4294967295,25.49,1020.83,38.2,57.73,-31.72
313,443,590,849,9,36,4294967295,25.49,1020.83,38.19,57.73,-31.8
315,444,592,850,8,36,4294967295,25.48,1020.84,38.19,57.73,-31.72
316,445,593,850,10,36,4294967295,25.49,1020.83,38.21,57.49,-31.72
317,445,595,850,8,36,4294967295,25.49,1020.83,38.19,57.02,-31.72
318,446,596,850,8,36,4294967295,25.49,1020.83,38.19,56.67,-31.72
319,447,597,850,8,34,4294967295,25.49,1020.83,38.19,56.41,-31.72
319,448,597,850,8,34,4294967295,25.49,1020.83,38.19,56.75,-31.72
319,448,598,850,7,36,4294967295,25.49,1020.83,38.19,57.1,-31.72
318,449,598,850,8,36,4294967295,25.49,1020.83,38.18,57.14,-31.72
320,450,599,850,9,36,4294967295,25.49,1020.83,38.19,56.91,-31.72
321,450,600,851,8,36,4294967295,25.49,1020.83,38.18,56.91,-31.72
323,452,601,851,8,36,4294967295,25.49,1020.83,38.19,56.79,-31.72
324,452,604,851,8,36,4294967295,25.49,1020.83,38.2,56.87,-31.72
325,453,604,852,8,36,4294967295,25.49,1020.83,38.19,56.64,-31.72
325,453,604,852,8,36,4294967295,25.49,1020.83,38.19,56.79,-31.64
325,454,604,852,8,36,4294967295,25.49,1020.82,38.18,57.18,-31.72
325,454,605,852,8,36,4294967295,25.49,1020.83,38.18,57.61,-31.64
326,455,605,852,8,36,4294967295,25.49,1020.82,38.18,57.81,-31.72
326,456,606,852,7,36,4294967295,25.49,1020.83,38.18,58.0,-31.64
326,456,608,853,8,36,4294967295,25.49,1020.82,38.18,58.29,-31.72
327,456,608,852,8,39,4294967295,25.49,1020.83,38.19,57.96,-31.72
327,457,609,854,8,34,4294967295,25.49,1020.83,38.19,58.0,-31.72
329,458,610,854,8,36,4294967295,25.49,1020.83,38.18,57.49,-31.72
330,459,611,854,8,34,4294967295,25.49,1020.83,38.19,56.71,-31.64
331,459,613,854,7,36,4294967295,25.49,1020.82,38.19,55.59,-31.64
332,460,614,855,8,36,4294967295,25.49,1020.82,38.18,54.19,-31.64
333,461,615,855,8,36,4294967295,25.49,1020.82,38.19,53.06,-31.64
334,462,617,855,8,36,4294967295,25.49,1020.82,38.19,52.27,-31.64
335,463,618,855,8,36,4294967295,25.49,1020.82,38.2,51.5,-31.64
336,464,619,855,8,36,4294967295,25.49,1020.82,38.2,50.82,-31.64
337,465,620,856,8,36,4294967295,25.49,1020.82,38.19,50.39,-31.64
337,466,620,856,8,35,4294967295,25.49,1020.82,38.21,50.24,-31.64
336,466,620,856,7,36,4294967295,25.49,1020.82,38.21,49.62,-31.64
335,466,620,856,8,34,4294967295,25.49,1020.82,38.19,49.21,-31.64
334,466,620,856,8,36,4294967295,25.49,1020.82,38.2,49.15,-31.72
333,467,619,856,8,36,4294967295,25.49,1020.83,38.19,48.98,-31.64
335,467,619,857,8,36,4294967295,25.49,1020.82,38.18,49.15,-31.64
336,468,620,857,8,36,4294967295,25.49,1020.82,38.19,49.1,-31.64
337,469,620,857,8,41,4294967295,25.49,1020.82,38.18,49.24,-31.72
338,469,622,857,8,36,4294967295,25.49,1020.83,38.18,49.38,-31.72
340,470,622,857,7,36,4294967295,25.49,1020.83,38.19,49.5,-31.72
341,471,624,857,8,36,4294967295,25.49,1020.83,38.18,49.21,-31.64
342,473,626,858,7,36,4294967295,25.49,1020.82,38.19,48.56,-31.64
341,474,627,858,8,38,4294967295,25.49,1020.82,38.19,48.08,-31.64
341,474,628,858,8,36,4294967295,25.49,1020.82,38.19,47.43,-31.64
341,475,627,858,8,36,4294967295,25.49,1020.82,38.19,46.85,-31.64
340,475,626,858,8,36,4294967295,25.49,1020.82,38.19,46.44,-31.72
339,475,625,858,8,35,4294967295,25.49,1020.83,38.18,46.18,-31.72
339,476,625,859,8,36,4294967295,25.49,1020.83,38.2,46.03,-31.72
340,476,625,858,6,37,4294967295,25.49,1020.83,38.19,45.83,-31.72
341,476,626,858,8,36,4294967295,25.49,1020.83,38.18,45.88,-31.64
342,477,627,858,8,35,4294967295,25.49,1020.82,38.18,46.08,-31.72
341,477,627,858,8,36,4294967295,25.49,1020.83,38.19,46.23,-31.64
340,477,627,859,8,36,4294967295,25.49,1020.82,38.19,46.54,-31.72
339,478,626,858,8,37,4294967295,25.49,1020.83,38.18,47.01,-31.64
336,478,625,859,8,36,4294967295,25.49,1020.82,38.19,47.57,-31.64
336,478,624,859,7,36,4294967295,25.49,1020.82,38.19,48.14,-31.64
336,478,624,858,7,35,4294967295,25.49,1020.82,38.19,48.61,-31.64
337,478,624,859,7,35,4294967295,25.49,1020.82,38.18,49.07,-31.64
337,478,624,859,8,36,4294967295,25.49,1020.82,38.18,49.41,-31.72
337,479,625,858,8,36,4294967295,25.49,1020.83,38.18,49.73,-31.64
339,480,626,859,8,37,4294967295,25.49,1020.82,38.19,49.53,-31.64
340,480,627,859,8,35,4294967295,25.49,1020.82,38.18,49.1,-31.64
341,481,629,860,8,35,4294967295,25.49,1020.82,38.18,48.9,-31.64
341,481,630,860,7,35,4294967295,25.49,1020.82,38.18,48.36,-31.64
341,482,632,860,8,33,4294967295,25.49,1020.82,38.18,47.73,-31.56
340,481,634,861,7,35,4294967295,25.49,1020.81,38.18,47.92,-31.64
339,482,636,861,7,35,4294967295,25.49,1020.82,38.18,48.06,-31.64
340,482,639,862,7,35,4294967295,25.49,1020.82,38.18,48.5,-31.64
341,482,641,862,7,35,4294967295,25.49,1020.82,38.18,48.73,-31.64
340,483,641,863,8,33,4294967295,25.49,1020.82,38.17,48.58,-31.64
340,483,641,863,7,32,4294967295,25.49,1020.82,38.16,48.81,-31.56
340,483,641,863,7,34,4294967295,25.49,1020.81,38.16,48.98,-31.64
339,483,640,864,7,33,4294967295,25.49,1020.82,38.16,48.92,-31.64
338,483,638,864,7,34,4294967295,25.49,1020.82,38.15,48.84,-31.72
337,483,637,863,7,34,4294967295,25.49,1020.83,38.15,48.11,-31.72
