Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_almond,Test_Overall,Test_cloves,Test_cumin,Test_almond,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:4, cumin:59, almond:0 → cumin (59 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, almond:0 → cumin (63 / 63) ✅ | [almond.77e42e4a9108.csv] cloves:1, cumin:2, almond:15 → almond (15 / 18) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, almond:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:8, almond:0 → cloves (10 / 18) ✅",0.865,0.0,0.0
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.72,100.0,99.18,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:10, cumin:85, almond:1 → cumin (85 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:17, cumin:76, almond:3 → cumin (76 / 96) ✅ | [almond.77e42e4a9108.csv] cloves:1, cumin:0, almond:28 → almond (28 / 29) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:29, almond:0 → cumin (29 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:2, almond:8 → cloves (19 / 29) ✅",0.86,-0.28,0.28
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],99.72,100.0,99.18,100.0,98.85,100.0,96.43,100.0,"[cumin.real.9511a582c32f.csv] cloves:20, cumin:76, almond:0 → cumin (76 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:9, cumin:87, almond:0 → cumin (87 / 96) ✅ | [almond.77e42e4a9108.csv] cloves:5, cumin:0, almond:24 → almond (24 / 29) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:28, almond:0 → cumin (28 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:23, cumin:1, almond:5 → cloves (23 / 29) ✅",0.857,0.87,0.87
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:22, cumin:105, almond:0 → cumin (105 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:28, cumin:98, almond:1 → cumin (98 / 127) ✅ | [almond.77e42e4a9108.csv] cloves:6, cumin:0, almond:32 → almond (32 / 38) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, almond:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:31, cumin:0, almond:6 → cloves (31 / 37) ✅",0.856,0.0,0.0
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:11, cumin:52, almond:0 → cumin (52 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:5, cumin:58, almond:0 → cumin (58 / 63) ✅ | [almond.77e42e4a9108.csv] cloves:2, cumin:0, almond:16 → almond (16 / 18) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, almond:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:11, cumin:7, almond:0 → cloves (11 / 18) ✅",0.849,0.0,0.0
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],99.86,99.56,100.0,100.0,99.71,100.0,99.12,100.0,"[cumin.real.9511a582c32f.csv] cloves:75, cumin:308, almond:0 → cumin (308 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:82, cumin:301, almond:0 → cumin (301 / 383) ✅ | [almond.77e42e4a9108.csv] cloves:21, cumin:0, almond:95 → almond (95 / 116) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:114, almond:0 → cumin (114 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:87, cumin:25, almond:3 → cloves (87 / 115) ✅",0.831,0.15,0.15
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],100.0,100.0,100.0,100.0,99.71,100.0,99.12,100.0,"[cumin.real.9511a582c32f.csv] cloves:79, cumin:303, almond:1 → cumin (303 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:132, cumin:244, almond:7 → cumin (244 / 383) ✅ | [almond.77e42e4a9108.csv] cloves:17, cumin:0, almond:99 → almond (99 / 116) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:114, almond:0 → cumin (114 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:91, cumin:15, almond:9 → cloves (91 / 115) ✅",0.813,0.29,0.29
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",99.55,100.0,98.7,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:23, cumin:40, almond:0 → cumin (40 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:9, cumin:54, almond:0 → cumin (54 / 63) ✅ | [almond.77e42e4a9108.csv] cloves:5, cumin:0, almond:13 → almond (13 / 18) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, almond:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:13, cumin:0, almond:5 → cloves (13 / 18) ✅",0.787,-0.45,0.45
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",97.37,98.05,97.26,96.82,98.29,97.44,98.25,99.16,"[cumin.real.9511a582c32f.csv] cloves:162, cumin:165, almond:56 → cumin (165 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:164, cumin:219, almond:0 → cumin (219 / 383) ✅ | [almond.77e42e4a9108.csv] cloves:2, cumin:0, almond:114 → almond (114 / 116) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:115, almond:0 → cumin (115 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:94, cumin:4, almond:17 → cloves (94 / 115) ✅",0.761,-0.92,0.92
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",98.44,100.0,94.12,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:8, cumin:11, almond:0 → cumin (11 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:2, cumin:17, almond:0 → cumin (17 / 19) ✅ | [almond.77e42e4a9108.csv] cloves:2, cumin:0, almond:3 → almond (3 / 5) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:5, almond:0 → cumin (5 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:2, cumin:1, almond:2 → cloves (2 / 5) ✅",0.695,-1.56,1.56
