Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_almond,Test_Overall,Test_cloves,Test_cumin,Test_almond,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",99.01,99.13,98.95,98.95,98.57,96.58,99.12,100.0,"[cumin.real.9511a582c32f.csv] cloves:181, cumin:164, almond:38 → cloves (181 / 383) ❌ | [almond.real.49de32f710f8.csv] cloves:164, cumin:219, almond:0 → cumin (219 / 383) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:172, cumin:95, almond:116 → cloves (172 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:176, cumin:207, almond:0 → cumin (207 / 383) ✅ | [almond.77e42e4a9108.csv] cloves:5, cumin:0, almond:111 → almond (111 / 116) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:115, almond:0 → cumin (115 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:86, cumin:5, almond:24 → cloves (86 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:40, cumin:94, almond:90 → cumin (94 / 224) ❌",0.279,0.44,0.44
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",51.56,100.0,36.36,0.0,66.67,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:15, cumin:4, almond:0 → cloves (15 / 19) ❌ | [almond.real.49de32f710f8.csv] cloves:0, cumin:19, almond:0 → cumin (19 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:18, cumin:1, almond:0 → cloves (18 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, almond:0 → cumin (19 / 19) ✅ | [almond.77e42e4a9108.csv] cloves:6, cumin:0, almond:0 → cloves (6 / 6) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, almond:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:6, cumin:0, almond:0 → cloves (6 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:10, cumin:1, almond:0 → cloves (10 / 11) ✅",0.258,-15.11,15.11
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:6, cumin:57, almond:0 → cumin (57 / 63) ✅ | [almond.real.49de32f710f8.csv] cloves:49, cumin:14, almond:0 → cloves (49 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:22, cumin:41, almond:0 → cumin (41 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:4, cumin:59, almond:0 → cumin (59 / 63) ✅ | [almond.77e42e4a9108.csv] cloves:2, cumin:0, almond:16 → almond (16 / 18) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, almond:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:8, almond:0 → cloves (10 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:7, cumin:29, almond:0 → cumin (29 / 36) ❌",0.256,0.0,0.0
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:24, cumin:103, almond:0 → cumin (103 / 127) ✅ | [almond.real.49de32f710f8.csv] cloves:1, cumin:126, almond:0 → cumin (126 / 127) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:41, cumin:82, almond:4 → cumin (82 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:1, cumin:126, almond:0 → cumin (126 / 127) ✅ | [almond.77e42e4a9108.csv] cloves:2, cumin:0, almond:36 → almond (36 / 38) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, almond:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:2, almond:10 → cloves (25 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:12, cumin:62, almond:0 → cumin (62 / 74) ❌",0.244,0.0,0.0
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:22, cumin:73, almond:1 → cumin (73 / 96) ✅ | [almond.real.49de32f710f8.csv] cloves:0, cumin:96, almond:0 → cumin (96 / 96) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:40, cumin:53, almond:3 → cumin (53 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:17, cumin:79, almond:0 → cumin (79 / 96) ✅ | [almond.77e42e4a9108.csv] cloves:3, cumin:0, almond:26 → almond (26 / 29) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:29, almond:0 → cumin (29 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:23, cumin:0, almond:6 → cloves (23 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:13, cumin:43, almond:0 → cumin (43 / 56) ❌",0.244,0.0,0.0
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],99.15,100.0,97.56,100.0,98.85,96.55,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:14, cumin:81, almond:1 → cumin (81 / 96) ✅ | [almond.real.49de32f710f8.csv] cloves:1, cumin:95, almond:0 → cumin (95 / 96) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:34, cumin:59, almond:3 → cumin (59 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:1, cumin:95, almond:0 → cumin (95 / 96) ✅ | [almond.77e42e4a9108.csv] cloves:6, cumin:0, almond:23 → almond (23 / 29) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:29, almond:0 → cumin (29 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:21, cumin:1, almond:7 → cloves (21 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:10, cumin:46, almond:0 → cumin (46 / 56) ❌",0.241,0.3,0.3
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],100.0,100.0,100.0,100.0,99.71,100.0,99.12,100.0,"[cumin.real.9511a582c32f.csv] cloves:103, cumin:280, almond:0 → cumin (280 / 383) ✅ | [almond.real.49de32f710f8.csv] cloves:22, cumin:361, almond:0 → cumin (361 / 383) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:171, cumin:203, almond:9 → cumin (203 / 383) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:69, cumin:314, almond:0 → cumin (314 / 383) ✅ | [almond.77e42e4a9108.csv] cloves:25, cumin:0, almond:91 → almond (91 / 116) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:114, almond:0 → cumin (114 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:95, cumin:5, almond:15 → cloves (95 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:33, cumin:191, almond:0 → cumin (191 / 224) ❌",0.228,0.29,0.29
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:22, cumin:105, almond:0 → cumin (105 / 127) ✅ | [almond.real.49de32f710f8.csv] cloves:1, cumin:126, almond:0 → cumin (126 / 127) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:45, cumin:81, almond:1 → cumin (81 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:5, cumin:122, almond:0 → cumin (122 / 127) ✅ | [almond.77e42e4a9108.csv] cloves:9, cumin:0, almond:29 → almond (29 / 38) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, almond:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:26, cumin:1, almond:10 → cloves (26 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:11, cumin:63, almond:0 → cumin (63 / 74) ❌",0.221,0.0,0.0
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",99.55,100.0,98.7,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:23, cumin:40, almond:0 → cumin (40 / 63) ✅ | [almond.real.49de32f710f8.csv] cloves:61, cumin:2, almond:0 → cloves (61 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:30, cumin:32, almond:1 → cumin (32 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:24, cumin:39, almond:0 → cumin (39 / 63) ✅ | [almond.77e42e4a9108.csv] cloves:4, cumin:0, almond:14 → almond (14 / 18) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, almond:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:13, cumin:0, almond:5 → cloves (13 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:6, cumin:30, almond:0 → cumin (30 / 36) ❌",0.181,-0.45,0.45
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:6, cumin:57, almond:0 → cumin (57 / 63) ✅ | [almond.real.49de32f710f8.csv] cloves:0, cumin:63, almond:0 → cumin (63 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:23, cumin:40, almond:0 → cumin (40 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:10, cumin:47, almond:6 → cumin (47 / 63) ✅ | [almond.77e42e4a9108.csv] cloves:7, cumin:0, almond:11 → almond (11 / 18) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, almond:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:7, almond:1 → cloves (10 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:7, cumin:29, almond:0 → cumin (29 / 36) ❌",0.172,0.0,0.0
