NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
441,255,282,649,15.1678,11.6414,inf,28.2900,1016.5700,32.4090,124.7210,3.5671
441,255,283,649,16.4277,11.6964,inf,27.7900,1016.5900,32.3840,75.7730,3.4012
441,254,283,649,16.3974,11.7515,inf,27.5700,1016.5700,32.4240,88.6920,3.5671
441,255,283,648,16.6720,11.7654,inf,27.5200,1016.5500,32.4860,95.6050,3.7336
441,255,283,649,16.5494,12.1443,inf,27.5500,1016.5500,32.5250,102.2590,3.7336
441,255,283,649,16.5800,11.7931,inf,27.6000,1016.5300,32.5670,106.2820,3.8991
441,255,283,648,16.4277,11.6140,inf,27.6800,1016.5700,32.5850,110.4150,3.5671
441,255,284,648,15.8602,11.8626,inf,27.7500,1016.5700,32.5880,112.8710,3.5671
441,255,284,648,16.2466,11.7931,inf,27.8200,1016.5500,32.6080,114.9620,3.7336
441,256,284,648,16.4277,11.7101,inf,27.8800,1016.5700,32.6220,117.1330,3.5671
441,256,285,648,16.4277,11.7792,inf,27.9400,1016.5700,32.6190,117.6260,3.5671
441,256,285,648,16.4885,11.7377,inf,27.9900,1016.5700,32.6140,119.1320,3.5671
442,256,285,649,17.5520,11.6826,inf,28.0400,1016.5500,32.5970,119.9860,3.7336
442,256,285,649,16.3672,11.6003,inf,28.0800,1016.5500,32.5920,120.4170,3.7336
441,255,285,648,16.3672,11.6551,inf,28.1100,1016.5900,32.5720,121.0260,3.4012
440,257,286,649,16.4885,12.8746,inf,28.1400,1016.5700,32.5720,121.8180,3.5671
440,256,286,649,16.4277,11.7377,inf,28.1700,1016.5900,32.5400,121.9960,3.4012
440,257,286,649,16.0970,11.7239,inf,28.1900,1016.5900,32.5190,122.1740,3.4012
440,257,287,649,16.2466,11.7654,inf,28.2100,1016.5900,32.5070,122.5310,3.4012
440,257,286,649,16.1567,11.6003,inf,28.2300,1016.5500,32.4920,122.6210,3.7336
440,257,287,649,16.4581,11.4915,inf,28.2400,1016.5500,32.4750,123.3430,3.7336
440,257,288,649,16.5189,11.3701,inf,28.2600,1016.5700,32.4670,123.7990,3.5671
440,256,287,649,16.4277,11.6277,inf,28.2700,1016.5700,32.4520,123.8910,3.5671
440,257,287,648,16.3974,11.6277,inf,28.2800,1016.5500,32.4130,123.1620,3.7336
440,257,288,649,16.1567,11.0649,inf,28.2900,1016.5700,32.4150,123.5250,3.5671
440,257,287,649,16.3370,11.7377,inf,28.3000,1016.5500,32.3940,124.3500,3.7336
442,258,290,649,14.6935,11.3165,inf,28.3100,1016.5700,32.3780,123.7080,3.5671
442,258,290,650,15.6264,11.4644,inf,27.8100,1016.5500,32.3540,75.9100,3.7336
442,257,290,649,15.6554,11.8208,inf,27.5900,1016.5700,32.4050,89.2590,3.5671
442,259,290,650,14.5291,11.6826,inf,27.5400,1016.5500,32.4540,95.5500,3.7336
441,258,291,650,15.6846,11.6964,inf,27.5600,1016.5500,32.4980,102.5090,3.7336
443,258,290,650,16.3370,11.7654,inf,27.6200,1016.5300,32.5380,106.4170,3.8991
442,259,291,650,15.6846,11.7101,inf,27.7000,1016.5700,32.5530,109.8360,3.5671
443,258,291,650,15.4243,11.6277,inf,27.7700,1016.5700,32.5790,112.9470,3.5671
442,259,291,650,15.3670,11.6277,inf,27.8400,1016.5500,32.5930,114.9620,3.7336
443,259,291,650,14.0193,11.6551,inf,27.9000,1016.5500,32.5870,116.5620,3.7336
442,259,291,650,16.0673,11.6689,inf,27.9600,1016.5500,32.5780,118.2070,3.7336
443,259,292,649,15.3384,11.7101,inf,28.0200,1016.5700,32.5830,119.0480,3.5671
443,258,292,650,14.1520,11.5186,inf,28.0600,1016.5700,32.5710,120.4170,3.5671
443,259,292,649,15.3670,11.6826,inf,28.1000,1016.5500,32.5600,121.0260,3.7336
442,259,293,649,15.2245,11.3701,inf,28.1300,1016.5900,32.5410,121.6410,3.4012
442,259,293,649,15.3670,11.5458,inf,28.1600,1016.5700,32.5350,121.3770,3.5671
442,259,293,650,15.0831,11.6826,inf,28.1900,1016.5500,32.5190,122.4420,3.7336
442,259,293,650,15.3670,11.5730,inf,28.2100,1016.5700,32.5070,122.9810,3.5671
443,259,293,650,15.4818,11.6277,inf,28.2300,1016.5700,32.4810,123.1620,3.5671
442,259,293,649,15.4818,11.5594,inf,28.2500,1016.5900,32.4670,123.4340,3.4012
442,259,292,650,15.6264,11.6551,inf,28.2600,1016.5500,32.4510,123.1620,3.7336
