NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
214,390,412,830,10,56,4294967295,25.18,1025.77,42.9,28.96,-72.5
218,391,414,830,6,53,4294967295,25.18,1025.77,42.9,28.58,-72.58
220,392,416,831,5,55,4294967295,25.18,1025.78,42.92,28.41,-72.58
223,392,418,832,7,59,4294967295,25.18,1025.78,42.91,27.88,-72.5
227,393,420,833,9,53,4294967295,25.18,1025.77,42.93,27.44,-72.5
232,394,422,833,8,56,4294967295,25.18,1025.77,42.93,26.92,-72.5
240,395,426,835,6,56,4294967295,25.17,1025.77,42.92,26.46,-72.5
252,396,432,835,6,54,4294967295,25.17,1025.77,42.94,25.99,-72.5
268,398,440,836,9,54,4294967295,25.17,1025.77,42.94,25.28,-72.41
284,400,450,837,8,52,4294967295,25.17,1025.76,42.94,24.5,-72.41
302,403,462,839,5,44,4294967295,25.17,1025.76,42.95,23.78,-72.41
319,406,475,840,6,52,4294967295,25.17,1025.76,42.95,23.3,-72.41
336,410,489,841,8,53,4294967295,25.16,1025.76,42.95,23.04,-72.5
352,414,502,844,11,52,4294967295,25.16,1025.77,42.95,22.79,-72.5
367,420,514,846,6,55,4294967295,25.16,1025.77,42.96,22.77,-72.41
379,424,525,849,4,52,4294967295,25.16,1025.76,42.96,22.82,-72.41
389,429,534,851,8,52,4294967295,25.16,1025.76,42.95,23.12,-72.41
398,434,543,853,10,48,4294967295,25.16,1025.76,42.95,23.48,-72.41
406,439,550,855,6,56,4294967295,25.16,1025.76,42.95,23.62,-72.41
414,443,558,856,5,59,4294967295,25.16,1025.76,42.96,23.73,-72.41
422,448,565,859,7,55,4294967295,25.16,1025.76,42.96,23.74,-72.41
430,452,572,860,9,51,4294967295,25.15,1025.76,42.95,23.62,-72.41
437,457,580,862,7,56,4294967295,25.15,1025.76,42.95,23.59,-72.41
446,462,588,864,4,49,4294967295,25.15,1025.76,42.95,23.48,-72.41
452,466,595,866,6,60,4294967295,25.15,1025.76,42.95,23.4,-72.41
457,472,601,867,8,52,4294967295,25.15,1025.76,42.96,23.35,-72.41
460,476,605,868,8,57,4294967295,25.15,1025.76,42.96,23.22,-72.41
463,480,610,870,6,52,4294967295,25.15,1025.76,42.95,22.87,-72.41
466,485,614,871,6,54,4294967295,25.15,1025.76,42.97,22.24,-72.41
