NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
724,417,375,759,56.0921,9.3119,inf,28.6900,1014.8100,34.3640,71.5030,18.1819
723,418,377,759,58.1450,9.6558,inf,28.2500,1014.8100,34.4050,26.5300,18.1819
719,418,379,759,57.8610,9.7024,inf,28.0700,1014.7700,34.4620,32.2930,18.5139
715,418,381,761,58.1450,9.6325,inf,28.0200,1014.7700,34.4990,35.8260,18.5139
710,418,382,761,58.5256,9.4367,inf,28.0400,1014.7900,34.5470,38.3850,18.3481
705,417,384,763,62.1586,9.8436,inf,28.0900,1014.7700,34.5840,40.3820,18.5139
701,418,387,764,67.5127,10.2043,inf,28.1500,1014.8300,34.6130,41.7500,18.0157
696,418,389,765,66.7530,10.0949,inf,28.2100,1014.8100,34.6220,42.9920,18.1819
693,418,390,766,67.5127,10.9605,inf,28.2700,1014.8100,34.6310,43.9380,18.1819
690,418,391,767,65.6818,10.7926,inf,28.3200,1014.7900,34.6370,44.4040,18.3481
687,418,394,768,64.5220,10.1434,inf,28.3700,1014.8100,34.6370,44.5920,18.1819
684,419,396,769,64.0012,10.0105,inf,28.4100,1014.8100,34.6260,44.5450,18.1819
683,419,398,769,61.5556,9.8081,inf,28.4500,1014.7900,34.6310,43.9380,18.3481
681,420,400,770,60.0717,10.9475,inf,28.4900,1014.7700,34.6320,43.4370,18.5139
680,421,401,771,59.6816,9.9626,inf,28.5200,1014.7700,34.6130,42.8600,18.5139
679,421,404,773,61.4556,9.9865,inf,28.5400,1014.7700,34.6090,42.9920,18.5139
678,422,406,774,62.6654,10.0828,inf,28.5600,1014.7900,34.6010,43.1240,18.3481
677,422,407,774,65.2578,10.0346,inf,28.5800,1014.7900,34.5910,43.3030,18.3481
675,423,409,775,69.5033,9.8673,inf,28.6000,1014.7900,34.5720,44.2160,18.3481
675,423,412,775,66.9692,9.9267,inf,28.6200,1014.7900,34.5500,45.9110,18.3481
674,423,413,775,66.4299,9.8910,inf,28.6300,1014.8100,34.5580,46.8870,18.1819
674,424,415,776,67.9503,9.9745,inf,28.6500,1014.7900,34.5380,47.4700,18.3481
673,424,417,776,65.1522,9.7493,inf,28.6600,1014.8100,34.5100,49.1700,18.1819
673,425,419,777,65.5755,9.4710,inf,28.6700,1014.7900,34.4950,50.8720,18.3481
673,425,421,777,59.1010,9.6791,inf,28.6800,1014.8100,34.4830,52.7630,18.1819
672,427,422,778,63.4843,9.3912,inf,28.6800,1014.7900,34.4600,54.5500,18.3481
668,431,438,780,65.8947,9.5399,inf,28.6900,1014.8100,34.4510,57.1950,18.1819
667,432,438,780,71.0896,10.1434,inf,28.2600,1014.7900,34.4620,29.5810,18.3481
667,432,442,780,69.6155,9.6791,inf,28.0700,1014.7900,34.5070,38.2100,18.3481
666,433,444,780,69.5033,9.9626,inf,28.0200,1014.7900,34.5620,44.7830,18.3481
665,433,446,780,61.8564,9.3685,inf,28.0400,1014.7700,34.6040,48.5710,18.5139
665,434,450,781,67.1861,10.0346,inf,28.0900,1014.7900,34.6290,51.8490,18.3481
664,434,453,781,67.2948,9.9267,inf,28.1600,1014.8100,34.6630,54.0570,18.1819
664,434,455,783,66.0014,9.8791,inf,28.2200,1014.8100,34.6850,54.9800,18.1819
664,435,459,784,64.1050,9.2557,inf,28.2800,1014.8100,34.6830,55.3430,18.1819
664,435,463,785,69.0562,9.9506,inf,28.3400,1014.8300,34.6840,55.0890,18.0157
665,436,466,787,75.8117,10.3024,inf,28.3900,1014.8300,34.6860,54.4790,18.0157
666,436,468,790,70.1791,9.5630,inf,28.4300,1014.8100,34.6930,54.2320,18.1819
667,436,472,791,72.4763,9.1662,inf,28.4800,1014.8100,34.6710,54.3380,18.1819
669,438,475,793,70.2923,9.6674,inf,28.5100,1014.8100,34.6660,53.6760,18.1819
