NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
927,660,592,716,179.7662,25.9086,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
927,662,593,718,185.7373,26.1387,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
925,662,595,719,186.8968,26.2255,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
923,662,596,720,188.3559,25.5955,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
920,662,597,720,199.8205,26.1387,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
916,662,598,721,188.0631,26.0522,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
913,662,599,721,188.0631,26.5167,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
908,661,600,721,182.3018,27.2584,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
904,660,601,722,171.5629,25.7374,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
900,659,602,722,178.6506,25.6238,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
895,659,604,724,189.8264,26.0522,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
890,657,605,724,162.9641,23.4246,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
886,656,607,724,204.5338,25.6238,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
882,656,607,726,186.6062,24.2173,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
878,654,609,727,191.6060,24.9801,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
874,654,610,728,186.6062,25.3701,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
871,654,611,729,172.0983,24.7324,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
867,653,612,730,202.0065,25.7090,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
841,653,627,742,190.7141,26.0810,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
839,654,629,744,184.8725,25.5955,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
838,654,629,745,185.7373,26.6635,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
837,655,632,746,202.3207,26.1965,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
836,655,632,746,200.1313,25.6238,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
834,655,634,747,194.3062,26.1965,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
833,656,635,747,201.3795,28.7391,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
833,656,636,747,209.6829,26.1676,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
833,656,637,747,208.0602,26.8406,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
834,656,638,746,202.3207,25.8514,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
835,656,640,745,182.8700,25.9660,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
835,656,640,745,186.6062,27.3488,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
834,655,641,745,200.1313,26.0234,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
834,656,641,746,202.0065,27.5911,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
832,655,641,744,178.6506,24.7873,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
831,655,642,744,173.7137,24.4600,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
828,655,641,744,168.6483,24.1369,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
827,656,642,743,170.7631,24.4871,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
825,655,643,743,176.4396,24.7873,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
823,654,642,742,173.7137,25.2580,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
821,654,642,741,172.6351,25.0632,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
819,654,643,740,177.8184,26.5753,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
816,654,643,740,175.8910,24.7598,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
