NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
43,82,131,755,5,14,0,24.91,1005.06,47.38,224.03,99.6
43,82,129,755,5,15,0,24.9,1005.05,47.39,223.28,99.52
42,82,127,755,5,14,0,24.9,1005.06,47.38,224.34,99.52
42,82,125,755,5,15,0,24.9,1005.06,47.38,224.19,99.52
44,82,126,755,5,15,0,24.9,1005.06,47.37,223.58,99.52
45,83,128,756,5,15,0,24.9,1005.06,47.39,221.04,99.52
47,84,130,756,5,16,0,24.9,1005.06,47.39,218.99,99.52
48,85,132,756,5,15,0,24.9,1005.06,47.38,211.69,99.43
49,86,132,757,5,15,0,24.9,1005.07,47.39,205.89,99.52
50,87,135,757,5,15,0,24.9,1005.06,47.39,201.01,99.43
52,88,137,758,5,15,0,24.9,1005.07,47.39,196.12,99.43
53,89,139,758,5,15,0,24.91,1005.07,47.41,192.24,99.43
55,90,141,759,5,15,0,24.9,1005.07,47.39,187.87,99.43
56,92,143,759,5,15,0,24.91,1005.07,47.41,185.14,99.52
58,93,147,761,5,15,0,24.91,1005.06,47.41,182.35,99.52
60,95,151,762,5,15,0,24.91,1005.06,47.41,179.05,99.52
64,98,157,763,5,15,0,24.91,1005.06,47.41,176.05,99.6
67,101,163,765,5,18,0,24.91,1005.05,47.41,173.68,99.52
70,104,168,767,5,15,0,24.91,1005.06,47.4,172.79,99.52
74,108,175,770,5,15,0,24.91,1005.06,47.41,168.46,99.52
78,112,181,773,5,15,0,24.91,1005.06,47.41,164.5,99.52
81,116,187,775,5,15,0,24.91,1005.06,47.4,159.36,99.52
85,121,193,779,5,15,0,24.91,1005.06,47.41,154.1,99.52
88,126,200,782,5,15,0,24.91,1005.06,47.4,149.71,99.43
93,131,208,786,5,15,0,24.91,1005.07,47.41,144.31,99.43
100,136,218,790,5,15,0,24.91,1005.07,47.41,140.81,99.43
108,143,231,795,5,15,0,24.91,1005.07,47.42,137.36,99.43
119,150,248,800,5,15,0,24.91,1005.07,47.41,134.82,99.43
130,158,266,804,5,15,0,24.91,1005.07,47.41,128.05,99.43
141,167,283,809,5,15,0,24.91,1005.07,47.4,115.15,99.43
153,175,301,814,5,15,0,24.91,1005.07,47.42,100.61,99.52
165,184,322,818,5,15,0,24.91,1005.06,47.41,90.66,99.43
185,195,352,823,5,15,0,24.91,1005.07,47.43,81.36,99.43
208,208,388,828,5,16,0,24.91,1005.07,47.41,75.04,99.35
235,223,427,833,5,16,0,24.91,1005.08,47.41,70.63,99.43
259,239,463,838,5,15,0,24.91,1005.07,47.41,66.7,99.43
282,256,494,844,5,16,0,24.91,1005.07,47.41,62.49,99.43
303,274,520,850,5,15,0,24.91,1005.07,47.42,57.57,99.43
322,293,544,856,5,16,0,24.91,1005.07,47.42,54.09,99.52
342,311,566,861,5,15,0,24.91,1005.06,47.42,51.69,99.43
359,330,585,868,5,15,0,24.91,1005.07,47.42,50.33,99.43
373,349,604,876,5,15,0,24.91,1005.07,47.42,49.1,99.35
387,368,619,884,5,15,0,24.91,1005.08,47.43,47.65,99.43
400,386,631,890,5,16,1,24.91,1005.07,47.41,46.28,99.43
410,404,642,896,5,16,4294967295,24.91,1005.07,47.42,43.87,99.52
419,428,650,902,5,15,4294967295,24.91,1005.06,47.44,40.11,99.43
428,460,659,907,5,16,4294967295,24.91,1005.07,47.43,36.27,99.43
440,504,670,913,5,15,4294967295,24.91,1005.07,47.41,33.42,99.52
454,544,684,919,5,16,4294967295,24.91,1005.06,47.43,31.16,99.52
469,578,698,925,5,16,4294967295,24.91,1005.06,47.43,28.68,99.52
482,604,713,931,5,15,4294967295,24.91,1005.06,47.44,26.48,99.6
496,624,725,936,5,16,4294967295,24.91,1005.05,47.42,24.52,99.68
508,641,736,941,5,15,4294967295,24.91,1005.04,47.42,22.77,99.68
520,658,747,946,5,16,4294967295,24.91,1005.04,47.43,21.49,99.68
529,671,755,950,5,16,4294967295,24.91,1005.04,47.43,20.23,99.6
536,685,761,953,5,15,4294967295,24.91,1005.05,47.43,18.81,99.6
542,698,765,957,5,16,4294967295,24.91,1005.05,47.43,17.47,99.6
548,712,769,960,5,16,4294967295,24.91,1005.05,47.43,16.39,99.6
555,723,774,963,5,16,4294967295,24.91,1005.05,47.44,15.52,99.6
558,731,778,966,6,16,4294967295,24.91,1005.05,47.44,14.81,99.68
563,737,782,968,5,15,4294967295,24.91,1005.04,47.43,14.36,99.68
566,742,785,970,5,16,4294967295,24.91,1005.04,47.43,13.97,99.6
566,744,787,971,5,16,4294967295,24.91,1005.05,47.44,13.69,99.6
566,745,787,973,5,16,4294967295,24.91,1005.05,47.43,13.45,99.6
568,745,788,974,5,16,4294967295,24.91,1005.05,47.42,13.28,99.68
574,745,791,974,5,16,4294967295,24.91,1005.04,47.44,13.09,99.6
580,745,795,975,5,16,4294967295,24.91,1005.05,47.43,12.67,99.68
589,746,802,976,5,16,4294967295,24.91,1005.04,47.44,12.16,99.68
597,748,808,977,5,16,4294967295,24.91,1005.04,47.43,11.79,99.68
605,749,813,977,5,16,4294967295,24.91,1005.04,47.43,11.52,99.6
611,751,818,978,5,16,4294967295,24.91,1005.05,47.44,11.31,99.68
614,751,821,977,5,16,4294967295,24.91,1005.04,47.43,11.11,99.52
615,752,822,979,5,17,4294967295,24.91,1005.06,47.43,10.92,99.52
615,752,823,979,5,16,4294967295,24.91,1005.06,47.43,10.65,99.43
616,753,822,979,5,16,4294967295,24.91,1005.07,47.44,10.42,99.52
617,753,823,979,5,16,4294967295,24.91,1005.06,47.45,10.3,99.35
619,754,824,980,5,16,4294967295,24.91,1005.08,47.43,10.19,99.35
621,756,825,980,5,17,4294967295,24.91,1005.08,47.43,10.17,99.43
623,757,827,981,5,16,4294967295,24.91,1005.07,47.44,10.06,99.43
625,759,828,981,5,17,4294967295,24.92,1005.07,47.43,9.97,99.43
629,761,830,982,5,17,4294967295,24.92,1005.07,47.42,9.78,99.35
632,763,833,981,5,19,4294967295,24.92,1005.08,47.44,9.5,99.35
634,764,835,982,5,17,4294967295,24.92,1005.08,47.43,9.15,99.26
