NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
133,186,444,771,4,24,4294967295,25.16,1006.93,28.73,319.23,83.78
131,186,443,771,4,24,4294967295,25.16,1006.94,28.79,318.61,83.7
131,186,441,771,4,24,4294967295,25.16,1006.95,28.84,320.46,83.7
130,186,439,770,4,24,4294967295,25.16,1006.95,28.89,320.77,83.7
129,186,438,770,4,24,4294967295,25.16,1006.95,28.92,319.53,83.53
129,186,436,770,4,24,4294967295,25.16,1006.97,28.95,322.02,83.53
128,185,434,769,4,24,4294967295,25.16,1006.97,28.96,321.71,83.45
128,185,433,770,4,23,4294967295,25.16,1006.98,28.98,323.92,83.45
126,184,431,769,4,24,4294967295,25.16,1006.98,28.98,325.19,83.37
126,184,430,769,4,23,4294967295,25.16,1006.99,28.99,326.48,83.45
125,184,428,769,4,24,4294967295,25.16,1006.98,28.99,328.42,83.37
125,184,427,769,4,24,4294967295,25.16,1006.99,28.99,328.75,83.37
124,184,425,769,4,23,4294967295,25.16,1006.99,29.0,327.45,83.37
123,183,424,769,4,24,4294967295,25.16,1006.99,29.01,327.77,83.37
123,183,423,769,4,24,4294967295,25.16,1006.99,29.01,330.06,83.37
122,183,422,768,4,24,4294967295,25.16,1006.99,29.03,329.73,83.28
122,183,420,768,4,25,4294967295,25.16,1007.0,29.04,330.06,83.28
121,183,419,768,4,23,4294967295,25.16,1007.0,29.04,330.39,83.2
121,182,418,768,4,25,4294967295,25.16,1007.01,29.05,334.06,83.2
120,182,416,768,4,23,4294967295,25.16,1007.01,29.04,334.74,83.28
120,182,416,769,3,23,4294967295,25.16,1007.0,29.05,334.74,83.37
120,182,414,768,4,23,4294967295,25.16,1006.99,29.04,334.4,83.37
120,182,413,768,4,23,4294967295,25.17,1006.99,29.03,336.44,83.45
119,181,412,768,3,23,4294967295,25.17,1006.98,29.03,336.79,83.45
119,181,411,769,4,23,4294967295,25.17,1006.98,29.04,336.1,83.45
119,181,409,769,4,23,4294967295,25.17,1006.98,29.04,337.47,83.45
118,182,408,768,4,23,4294967295,25.17,1006.98,29.03,337.82,83.53
118,181,408,769,4,22,4294967295,25.17,1006.97,29.04,336.1,83.53
118,181,406,769,4,23,4294967295,25.17,1006.97,29.03,337.82,83.62
117,182,406,769,4,23,4294967295,25.17,1006.96,29.03,341.66,83.7
117,181,403,769,4,26,4294967295,25.17,1006.95,29.04,340.25,83.78
117,181,403,769,4,23,4294967295,25.17,1006.94,29.04,341.66,83.87
116,181,402,769,4,24,4294967295,25.17,1006.93,29.06,338.86,83.87
116,181,401,769,4,23,4294967295,25.17,1006.93,29.06,340.95,83.87
116,181,400,769,4,22,4294967295,25.17,1006.93,29.06,340.95,83.87
116,181,399,769,4,24,4294967295,25.17,1006.93,29.08,342.37,83.87
115,181,399,768,4,23,4294967295,25.18,1006.93,29.08,340.6,83.7
115,181,398,769,4,23,4294967295,25.18,1006.95,29.09,342.37,83.7
115,180,397,768,4,23,4294967295,25.18,1006.95,29.09,341.66,83.62
114,180,396,768,4,24,4294967295,25.18,1006.96,29.08,339.9,83.53
115,180,394,769,4,23,4294967295,25.18,1006.97,29.09,342.01,83.53
114,180,393,768,4,23,4294967295,25.18,1006.97,29.09,342.01,83.45
114,180,393,768,3,23,4294967295,25.18,1006.98,29.08,344.51,83.45
113,180,392,768,4,23,4294967295,25.18,1006.98,29.07,345.23,83.45
113,180,391,768,4,23,4294967295,25.18,1006.98,29.06,344.51,83.45
113,179,390,768,4,23,4294967295,25.18,1006.98,29.08,344.51,83.45
113,179,389,768,4,23,4294967295,25.18,1006.98,29.09,345.23,83.45
113,179,388,768,4,24,4294967295,25.18,1006.98,29.08,347.77,83.45
113,179,388,767,4,24,4294967295,25.18,1006.98,29.08,344.87,83.45
113,179,387,767,4,24,4294967295,25.18,1006.98,29.08,347.77,83.45
112,179,386,767,5,23,4294967295,25.18,1006.98,29.09,344.87,83.45
112,179,385,767,4,23,4294967295,25.18,1006.98,29.09,346.31,83.45
112,178,384,768,4,23,4294967295,25.18,1006.98,29.08,345.95,83.37
111,178,384,768,4,24,4294967295,25.18,1006.99,29.07,348.87,83.37
112,178,382,767,4,23,4294967295,25.18,1006.99,29.07,347.77,83.37
111,177,382,767,4,23,4294967295,25.18,1006.99,29.06,349.24,83.37
111,178,381,768,4,26,4294967295,25.19,1006.99,29.04,348.14,83.28
111,178,380,767,4,23,4294967295,25.19,1007.0,29.03,349.61,83.37
111,178,379,768,4,25,4294967295,25.19,1006.99,29.02,349.24,83.37
110,177,379,767,4,23,4294967295,25.19,1006.99,29.01,350.72,83.37
110,177,378,767,4,23,4294967295,25.19,1006.99,29.01,349.61,83.37
111,177,377,767,4,23,4294967295,25.19,1006.99,28.98,350.35,83.45
