NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
171,208,488,777,3,24,4294967295,25.0,1006.99,29.3,300.64,83.37
170,207,486,778,4,24,4294967295,25.0,1006.99,29.36,299.28,83.45
169,207,484,777,3,24,4294967295,25.0,1006.98,29.4,303.4,83.37
167,206,482,777,4,24,4294967295,25.0,1006.99,29.44,303.4,83.37
167,205,480,777,3,24,4294967295,25.0,1006.99,29.48,305.37,83.2
165,206,479,776,4,24,4294967295,25.0,1007.01,29.53,303.4,83.11
164,204,477,777,4,24,4294967295,25.0,1007.02,29.62,306.5,83.11
162,205,475,776,3,24,4294967295,25.0,1007.02,29.68,305.37,83.11
161,205,473,776,3,24,4294967295,25.0,1007.02,29.73,305.37,83.03
161,204,471,776,3,24,4294967295,25.0,1007.03,29.77,307.64,83.03
159,203,469,775,3,24,4294967295,25.0,1007.03,29.83,309.95,83.03
158,203,468,775,3,24,4294967295,25.0,1007.03,29.9,309.66,83.03
157,203,466,775,3,24,4294967295,25.0,1007.03,29.95,308.5,83.11
156,202,465,774,4,23,4294967295,25.0,1007.02,29.98,312.88,83.03
155,202,462,774,3,24,4294967295,25.01,1007.03,30.0,309.66,82.95
154,201,461,774,4,24,4294967295,25.01,1007.04,30.01,312.58,82.95
153,201,459,773,3,24,4294967295,25.01,1007.04,30.01,310.82,82.95
153,201,457,773,3,24,4294967295,25.01,1007.04,30.0,314.37,83.03
152,201,456,773,4,24,4294967295,25.01,1007.03,30.01,313.77,83.03
151,200,455,773,3,22,4294967295,25.01,1007.03,29.99,316.78,83.11
150,200,453,773,3,24,4294967295,25.01,1007.02,29.97,314.37,83.2
149,199,451,773,3,24,4294967295,25.02,1007.01,29.96,316.78,83.2
149,199,450,773,3,22,4294967295,25.02,1007.01,29.96,317.69,83.28
147,199,448,773,3,24,4294967295,25.02,1007.0,29.96,315.57,83.2
147,198,447,772,3,24,4294967295,25.02,1007.01,29.96,319.23,83.11
146,198,445,772,3,24,4294967295,25.02,1007.02,29.97,316.78,83.11
146,198,444,772,4,24,4294967295,25.02,1007.02,29.98,321.08,83.11
145,197,443,772,3,23,4294967295,25.03,1007.02,29.98,321.08,83.11
144,197,442,771,3,27,4294967295,25.03,1007.02,29.96,319.84,83.11
144,197,440,772,4,24,4294967295,25.03,1007.02,29.98,323.28,83.03
143,196,439,772,3,23,4294967295,25.03,1007.03,29.97,321.71,83.03
142,196,437,772,3,24,4294967295,25.03,1007.03,29.96,322.97,83.03
142,196,436,772,4,24,4294967295,25.04,1007.03,29.98,324.55,83.03
141,195,435,773,3,27,4294967295,25.04,1007.03,29.96,322.97,83.03
141,195,434,772,3,24,4294967295,25.04,1007.03,29.97,324.55,82.95
140,195,433,772,4,24,4294967295,25.04,1007.04,29.96,324.55,83.03
