NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
24,51,41,705,4,16,0,24.35,1007.09,30.03,498.39,82.45
24,51,41,706,4,16,0,24.35,1007.1,30.03,500.62,82.45
24,51,41,707,3,16,0,24.35,1007.1,30.04,498.76,82.53
24,51,42,707,3,16,0,24.35,1007.09,30.04,501.74,82.7
24,51,42,708,4,16,0,24.35,1007.07,30.05,497.65,82.86
24,51,42,708,4,16,0,24.35,1007.05,30.06,498.02,83.03
24,51,42,708,4,15,0,24.36,1007.03,30.07,498.02,83.2
24,51,43,708,4,16,0,24.36,1007.01,30.07,497.65,83.37
24,51,43,709,4,16,0,24.36,1006.99,30.07,497.65,83.37
24,51,43,709,4,16,0,24.36,1006.99,30.07,498.39,83.53
24,52,43,708,4,16,0,24.36,1006.97,30.07,498.02,83.53
25,51,42,709,4,16,0,24.36,1006.97,30.06,498.02,83.53
24,52,43,709,4,15,0,24.37,1006.97,30.06,497.28,83.62
24,52,43,709,4,16,0,24.37,1006.96,30.06,494.72,83.53
24,52,43,708,5,16,0,24.37,1006.97,30.07,494.35,83.62
25,51,43,709,4,16,0,24.37,1006.96,30.07,496.18,83.45
25,52,43,710,4,16,0,24.37,1006.98,30.06,497.28,83.53
25,52,43,709,4,16,0,24.37,1006.97,30.06,494.72,83.53
24,52,43,709,4,16,0,24.38,1006.97,30.06,498.76,83.62
25,52,43,710,4,16,0,24.38,1006.96,30.06,496.18,83.62
25,52,43,711,4,16,0,24.38,1006.96,30.06,493.26,83.62
25,52,43,711,4,16,0,24.38,1006.96,30.05,493.26,83.62
25,52,43,712,4,16,0,24.38,1006.96,30.05,494.35,83.53
24,52,43,713,5,16,0,24.38,1006.97,30.06,493.63,83.53
25,53,44,713,4,16,0,24.38,1006.97,30.05,491.1,83.53
25,52,43,714,4,16,0,24.39,1006.97,30.04,493.99,83.45
25,53,44,715,4,16,0,24.39,1006.98,30.04,493.26,83.37
25,53,44,715,4,16,0,24.39,1006.99,30.04,491.82,83.28
25,53,44,717,4,16,0,24.39,1007.0,30.04,491.46,83.2
26,53,44,718,4,16,0,24.39,1007.01,30.05,489.31,83.11
26,54,44,719,4,17,0,24.4,1007.02,30.06,487.54,83.2
26,54,45,720,4,16,0,24.4,1007.01,30.07,486.48,83.11
27,55,46,722,4,16,0,24.4,1007.02,30.07,484.37,83.11
27,55,47,724,4,18,0,24.4,1007.02,30.07,479.19,83.2
28,55,48,725,4,17,0,24.4,1007.01,30.08,477.83,83.28
28,56,50,727,4,16,0,24.4,1007.0,30.09,474.12,83.37
28,56,51,728,4,16,0,24.4,1006.99,30.09,465.9,83.53
29,56,53,730,4,16,0,24.41,1006.97,30.1,461.1,83.62
30,56,55,731,3,17,0,24.41,1006.96,30.11,457.96,83.62
30,57,58,732,4,19,0,24.41,1006.96,30.11,452.71,83.7
31,57,60,734,4,16,0,24.41,1006.95,30.12,446.99,83.7
31,58,62,735,4,15,0,24.41,1006.95,30.13,444.62,83.7
32,58,65,737,4,16,0,24.41,1006.95,30.13,438.82,83.62
32,58,67,738,4,17,0,24.41,1006.96,30.13,433.72,83.62
33,59,72,740,3,17,0,24.41,1006.96,30.14,430.66,83.53
34,60,76,742,4,17,0,24.41,1006.97,30.14,429.56,83.53
35,60,83,743,4,18,0,24.42,1006.97,30.13,424.94,83.53
37,60,91,746,4,17,0,24.42,1006.97,30.15,422.0,83.62
38,61,98,747,4,16,0,24.42,1006.96,30.14,422.0,83.62
39,62,104,748,4,16,0,24.42,1006.96,30.14,419.37,83.7
41,62,110,749,4,18,0,24.42,1006.95,30.13,420.15,83.7
41,63,114,750,4,16,0,24.42,1006.95,30.13,417.8,83.62
43,64,119,752,4,17,0,24.42,1006.96,30.14,417.54,83.62
44,65,124,752,4,16,0,24.43,1006.96,30.13,416.25,83.7
46,65,128,754,4,16,0,24.43,1006.95,30.11,415.99,83.62
47,66,133,755,4,19,0,24.43,1006.96,30.11,417.8,83.62
49,67,137,756,5,16,0,24.43,1006.96,30.11,416.51,83.53
