NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
152,374,434,820,6,27,4294967295,25.59,1020.85,37.86,90.17,-31.8
152,373,434,820,6,27,4294967295,25.59,1020.84,37.89,90.76,-31.8
152,372,432,820,6,28,4294967295,25.59,1020.84,37.92,90.76,-31.8
151,371,432,820,6,27,4294967295,25.59,1020.84,37.92,91.35,-31.8
151,370,430,819,6,27,4294967295,25.59,1020.84,37.93,91.55,-31.8
150,369,430,819,6,27,4294967295,25.59,1020.84,37.94,91.35,-31.8
150,368,429,819,5,28,4294967295,25.6,1020.84,37.94,91.55,-31.89
149,368,428,818,5,28,4294967295,25.6,1020.85,37.94,91.25,-31.89
150,367,427,819,5,28,4294967295,25.6,1020.85,37.94,91.75,-31.89
150,366,426,819,5,28,4294967295,25.6,1020.85,37.96,91.75,-31.89
149,365,425,818,5,28,4294967295,25.6,1020.85,37.93,92.56,-31.89
149,364,424,819,5,28,4294967295,25.6,1020.85,37.92,92.05,-31.89
148,363,423,818,4,28,4294967295,25.6,1020.85,37.93,92.66,-31.89
148,363,423,819,4,27,4294967295,25.6,1020.85,37.93,92.66,-31.97
148,362,422,818,5,27,4294967295,25.6,1020.86,37.93,92.66,-31.97
148,361,421,818,4,28,4294967295,25.6,1020.86,37.92,92.96,-31.97
148,360,420,817,5,28,4294967295,25.6,1020.86,37.89,93.07,-31.97
148,360,419,817,4,28,4294967295,25.61,1020.86,37.92,93.17,-31.89
147,359,419,817,5,29,4294967295,25.61,1020.85,37.9,93.17,-31.8
147,358,417,817,4,28,4294967295,25.61,1020.84,37.89,93.17,-31.8
147,358,417,817,5,28,4294967295,25.61,1020.84,37.9,93.69,-31.89
147,357,416,817,5,28,4294967295,25.61,1020.85,37.89,93.58,-31.97
146,356,415,817,5,28,4294967295,25.61,1020.86,37.89,92.96,-31.89
146,355,415,816,5,28,4294967295,25.61,1020.85,37.9,93.17,-31.97
146,354,414,817,5,28,4294967295,25.61,1020.86,37.89,92.86,-31.97
147,354,413,816,4,29,4294967295,25.61,1020.86,37.89,92.35,-31.97
146,353,413,816,4,29,4294967295,25.61,1020.86,37.89,92.76,-31.97
146,352,412,816,5,29,4294967295,25.61,1020.86,37.87,92.15,-31.97
146,352,411,817,5,29,4294967295,25.61,1020.86,37.89,91.65,-31.97
146,351,411,816,4,29,4294967295,25.61,1020.86,37.88,91.15,-31.97
146,350,410,816,5,29,4294967295,25.61,1020.86,37.89,90.07,-31.97
147,350,409,816,5,30,4294967295,25.61,1020.86,37.89,89.31,-31.97
146,349,409,816,5,29,4294967295,25.61,1020.86,37.87,88.56,-31.97
146,349,409,816,4,29,4294967295,25.61,1020.86,37.88,88.28,-31.89
145,348,408,816,4,30,4294967295,25.61,1020.85,37.87,88.0,-31.89
146,348,408,816,5,30,4294967295,25.61,1020.85,37.86,88.0,-31.89
146,347,407,815,5,32,4294967295,25.61,1020.85,37.87,87.63,-32.05
147,347,407,816,5,29,4294967295,25.61,1020.87,37.86,87.54,-31.97
147,346,407,815,5,29,4294967295,25.61,1020.86,37.86,87.18,-32.05
148,345,406,816,5,30,4294967295,25.61,1020.87,37.85,86.64,-32.05
148,345,406,815,5,29,4294967295,25.61,1020.87,37.85,86.64,-31.97
149,345,406,816,4,30,4294967295,25.61,1020.86,37.85,86.46,-31.97
149,345,406,815,5,30,4294967295,25.61,1020.86,37.85,86.46,-31.97
150,344,406,815,5,30,4294967295,25.61,1020.86,37.84,85.76,-31.97
151,344,406,815,5,29,4294967295,25.61,1020.86,37.85,84.63,-31.97
152,344,407,815,5,31,4294967295,25.61,1020.86,37.85,84.46,-31.97
153,344,407,815,4,30,4294967295,25.61,1020.86,37.83,84.13,-31.97
153,343,407,816,5,30,4294967295,25.61,1020.86,37.83,83.87,-32.05
154,343,408,815,5,30,4294967295,25.61,1020.87,37.84,83.21,-31.97
155,342,408,815,5,30,4294967295,25.61,1020.86,37.83,83.37,-31.89
156,342,408,814,5,33,4294967295,25.61,1020.85,37.83,82.88,-31.89
157,342,408,816,5,30,4294967295,25.61,1020.85,37.84,83.46,-31.89
158,341,408,815,5,30,4294967295,25.61,1020.85,37.84,83.21,-31.89
158,341,409,815,5,31,4294967295,25.61,1020.85,37.85,83.37,-31.89
159,341,409,815,5,30,4294967295,25.61,1020.85,37.83,83.54,-31.97
160,341,408,815,5,31,4294967295,25.61,1020.86,37.83,83.71,-31.97
159,340,409,815,5,30,4294967295,25.61,1020.86,37.83,83.96,-31.97
160,340,409,814,5,31,4294967295,25.61,1020.86,37.83,84.72,-31.97
160,339,409,815,5,31,4294967295,25.61,1020.86,37.83,84.55,-31.97
161,339,409,814,5,31,4294967295,25.61,1020.86,37.83,85.23,-31.97
162,339,409,814,4,31,4294967295,25.61,1020.86,37.84,84.81,-31.97
164,338,409,815,5,31,4294967295,25.61,1020.86,37.83,84.89,-31.97
165,338,411,815,5,30,4294967295,25.61,1020.86,37.83,85.15,-32.05
167,339,412,814,5,34,4294967295,25.61,1020.87,37.84,85.67,-32.14
170,339,414,815,5,30,4294967295,25.61,1020.88,37.84,85.67,-32.14
173,339,416,815,5,31,4294967295,25.61,1020.88,37.83,85.76,-32.14
177,339,418,815,5,31,4294967295,25.61,1020.88,37.83,86.02,-32.22
180,340,421,816,5,31,4294967295,25.61,1020.89,37.83,86.02,-32.22
183,340,423,815,5,31,4294967295,25.61,1020.89,37.83,86.28,-32.14
185,340,426,815,5,31,4294967295,25.61,1020.88,37.84,86.37,-32.05
187,341,428,815,4,33,4294967295,25.61,1020.87,37.85,86.46,-32.05
188,341,429,815,5,31,4294967295,25.61,1020.87,37.85,86.37,-32.05
190,341,431,816,5,31,4294967295,25.61,1020.87,37.84,86.64,-31.97
192,342,431,816,5,31,4294967295,25.61,1020.86,37.85,86.55,-32.05
194,341,434,815,5,31,4294967295,25.6,1020.87,37.85,86.91,-32.05
196,342,435,815,5,32,4294967295,25.6,1020.87,37.85,86.91,-32.05
198,343,436,816,6,31,4294967295,25.6,1020.87,37.86,86.82,-32.05
201,343,438,816,5,31,4294967295,25.6,1020.87,37.85,86.64,-32.05
203,344,440,816,5,31,4294967295,25.6,1020.87,37.85,86.91,-31.97
206,344,442,816,5,31,4294967295,25.6,1020.86,37.85,87.45,-31.97
207,344,443,816,5,29,4294967295,25.6,1020.86,37.85,87.72,-31.97
209,344,445,817,5,31,4294967295,25.6,1020.86,37.84,88.0,-32.05
210,345,446,816,6,31,4294967295,25.6,1020.87,37.87,88.37,-32.05
210,345,446,816,5,34,4294967295,25.6,1020.87,37.85,88.46,-32.05
210,346,447,817,5,31,4294967295,25.6,1020.87,37.86,88.0,-31.97
213,345,447,817,5,35,4294967295,25.6,1020.86,37.86,88.0,-32.05
215,346,449,817,5,31,4294967295,25.6,1020.87,37.84,87.63,-31.97
217,347,451,817,5,31,4294967295,25.6,1020.86,37.86,87.45,-31.97
219,347,453,817,5,31,4294967295,25.6,1020.86,37.86,87.18,-31.97
221,347,454,817,5,30,4294967295,25.6,1020.86,37.86,87.27,-31.89
222,347,455,817,5,30,4294967295,25.6,1020.85,37.86,87.72,-31.89
223,347,457,817,5,31,4294967295,25.6,1020.85,37.86,87.63,-31.89
225,348,458,817,5,31,4294967295,25.6,1020.85,37.86,87.72,-31.89
226,348,460,817,5,31,4294967295,25.6,1020.85,37.86,87.54,-31.89
227,349,461,818,5,30,4294967295,25.6,1020.85,37.86,88.28,-31.89
229,349,463,817,6,31,4294967295,25.6,1020.85,37.86,87.82,-31.89
231,350,464,818,5,31,4294967295,25.6,1020.85,37.86,87.72,-31.89
232,350,466,818,5,31,4294967295,25.6,1020.85,37.87,87.72,-31.89
234,350,468,818,5,30,4294967295,25.6,1020.85,37.86,88.09,-31.89
237,351,470,818,4,31,4294967295,25.6,1020.85,37.87,87.82,-31.97
238,352,472,818,5,30,4294967295,25.6,1020.86,37.86,87.36,-31.97
241,353,474,819,7,30,4294967295,25.6,1020.86,37.86,87.18,-32.05
243,353,476,819,5,30,4294967295,25.6,1020.87,37.88,87.36,-32.05
244,355,478,818,5,31,4294967295,25.6,1020.87,37.86,87.18,-32.05
246,355,480,819,5,30,4294967295,25.6,1020.87,37.85,87.0,-32.05
249,355,482,820,5,30,4294967295,25.6,1020.87,37.85,87.0,-32.05
252,358,485,820,5,30,4294967295,25.6,1020.87,37.86,86.64,-32.05
254,359,488,820,5,31,4294967295,25.6,1020.87,37.84,86.82,-31.97
257,359,491,820,5,31,4294967295,25.6,1020.86,37.85,86.73,-31.97
261,361,494,820,5,31,4294967295,25.6,1020.86,37.86,86.55,-31.97
263,362,497,820,5,35,4294967295,25.6,1020.86,37.86,86.02,-31.97
265,364,500,820,5,29,4294967295,25.6,1020.86,37.86,86.02,-31.97
268,365,502,821,5,30,4294967295,25.6,1020.86,37.86,85.23,-31.97
269,366,504,821,5,30,4294967295,25.6,1020.86,37.86,85.15,-31.89
271,367,507,822,5,30,4294967295,25.6,1020.85,37.85,84.72,-31.97
273,368,509,822,5,30,4294967295,25.6,1020.86,37.85,84.46,-31.89
274,369,511,822,5,33,4294967295,25.6,1020.85,37.85,83.62,-31.97
275,370,512,824,5,31,4294967295,25.6,1020.86,37.85,82.72,-31.97
276,371,514,824,5,31,4294967295,25.6,1020.86,37.85,82.23,-31.97
276,372,516,823,5,31,4294967295,25.6,1020.86,37.86,81.99,-32.05
277,373,517,824,5,31,4294967295,25.6,1020.87,37.85,81.99,-32.05
277,374,517,824,5,31,4294967295,25.6,1020.87,37.85,81.51,-32.14
278,374,518,825,5,31,4294967295,25.6,1020.88,37.85,81.59,-32.14
280,375,519,825,5,30,4294967295,25.6,1020.88,37.85,81.51,-32.05
281,376,522,825,5,30,4294967295,25.6,1020.87,37.85,81.99,-32.14
283,376,523,825,5,31,4294967295,25.6,1020.88,37.85,81.83,-32.14
284,378,525,825,5,31,4294967295,25.6,1020.88,37.85,81.83,-32.05
284,379,526,825,5,34,4294967295,25.6,1020.87,37.85,81.44,-32.14
284,380,527,825,5,31,4294967295,25.6,1020.88,37.85,80.89,-32.05
284,380,527,826,5,31,4294967295,25.6,1020.87,37.85,80.12,-32.14
285,381,528,826,5,30,4294967295,25.6,1020.88,37.85,79.29,-32.05
285,381,529,827,4,31,4294967295,25.6,1020.87,37.85,78.99,-32.14
284,381,528,826,5,32,4294967295,25.6,1020.88,37.84,78.4,-32.05
283,382,529,826,4,31,4294967295,25.6,1020.87,37.85,78.11,-32.05
283,382,529,827,4,31,4294967295,25.6,1020.87,37.86,77.39,-32.05
283,382,530,827,4,31,4294967295,25.6,1020.87,37.84,76.68,-31.97
283,383,529,827,5,29,4294967295,25.6,1020.86,37.85,76.4,-32.05
284,383,530,827,4,31,4294967295,25.6,1020.87,37.85,76.13,-31.97
285,383,531,828,4,31,4294967295,25.6,1020.86,37.84,75.78,-31.97
286,384,532,828,4,31,4294967295,25.6,1020.86,37.84,75.85,-31.97
286,385,533,828,4,30,4294967295,25.6,1020.86,37.84,75.65,-31.97
287,385,535,828,5,31,4294967295,25.6,1020.86,37.83,75.04,-31.97
287,385,536,828,5,31,4294967295,25.6,1020.86,37.83,74.44,-31.97
289,386,537,828,5,31,4294967295,25.6,1020.86,37.83,74.24,-31.97
290,387,538,828,4,30,4294967295,25.6,1020.86,37.84,73.72,-31.89
291,388,539,828,4,31,4294967295,25.6,1020.85,37.83,73.59,-31.97
290,389,540,829,4,31,4294967295,25.6,1020.86,37.83,73.66,-31.89
290,389,540,828,5,32,4294967295,25.6,1020.85,37.84,72.83,-31.89
289,389,540,829,4,29,4294967295,25.6,1020.85,37.83,72.64,-31.97
291,389,540,828,4,31,4294967295,25.6,1020.86,37.83,72.33,-31.97
291,390,541,829,4,31,4294967295,25.6,1020.86,37.83,71.77,-31.89
291,391,542,829,4,31,4294967295,25.6,1020.85,37.84,71.59,-31.97
293,391,542,830,4,31,4294967295,25.6,1020.86,37.83,71.83,-31.89
293,392,544,830,5,31,4294967295,25.6,1020.85,37.83,71.71,-31.97
295,392,544,829,4,31,4294967295,25.6,1020.86,37.83,71.77,-31.97
295,392,546,829,4,30,4294967295,25.6,1020.86,37.83,72.26,-31.97
295,393,545,829,4,31,4294967295,25.6,1020.86,37.83,72.64,-31.97
295,393,546,829,4,31,4294967295,25.6,1020.86,37.82,72.45,-31.97
295,394,546,830,4,31,4294967295,25.6,1020.86,37.83,72.45,-32.05
