food_name,C,Ca,H,K,Mg,N,Na,O,P,Se
apple_juice,136503.756,0.0,362821.152,272.7,0.0,990.0,0.0,176140.238,0.0,0.0
basil,176521.063,1070.75,252350.926,1989.775,0.0,4339.0,0.0,27615.401,0.0,0.0
black_pepper,179292.25,0.0,252701.524,1120.25,0.0,8950.0,0.0,39790.837,0.0,0.0
chicken_stock,179.052,1.0,302.493,47.0,2.2,1.045,7.5,10.338,19.0,7.1
chili_powder,819352.348,0.0,1421857.047,0.0,0.0,39268.011,0.0,249729.133,0.0,0.0
cloves,954211.925,0.0,1383421.55,1190.5,0.0,0.0,0.0,78692.335,0.0,0.0
coffee_beans,86282.186,0.0,256582.928,0.0,0.0,2833.334,0.0,73854.214,0.0,0.0
cumin,110876.5,1086.025,146336.56,1863.9,0.0,0.0,0.0,13870.53,0.0,0.0
garlic_powder,32700.586,0.0,95007.818,377.594,0.0,8367.674,0.0,29620.269,0.0,0.0
mint_leaves,196299.26,931.5,318013.716,1414.5,661.0,0.0,0.0,128033.554,0.0,0.0
nutmeg,387736.0,0.0,690919.1159999999,0.0,0.0,1800.0,0.0,50497.058000000005,0.0,0.0
onion_powder,250554.128,0.0,538219.282,0.0,0.0,3495.5,0.0,264124.991,0.0,0.0
oregano,88943.894,844.1,154015.508,902.825,0.0,0.0,0.0,17496.804,0.0,0.0
paprika,118022.143,0.0,346538.53500000003,386.947,0.0,1221.571,0.0,113969.184,0.0,0.0
peanut_butter,1412116.1339999998,0.0,2624434.482,0.0,0.0,21693.044,0.0,209087.386,0.0,0.0
