timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State19920
20916,58,104,101,929,0,71,4294967295,24.55,1013.54,14.80,537.89,28.74,1
21912,58,105,104,931,0,70,4294967295,24.56,1013.54,14.79,528.17,28.74,1
22908,60,108,107,933,0,64,4294967295,24.56,1013.54,14.79,516.39,28.66,1
23904,60,110,110,938,0,67,4294967295,24.56,1013.55,14.78,506.66,28.66,1
24900,62,115,115,948,0,75,4294967295,24.56,1013.55,14.79,500.62,28.66,1
25896,64,118,119,951,0,76,4294967295,24.56,1013.55,14.78,490.74,28.66,1
26892,65,121,123,955,0,84,4294967295,24.56,1013.55,14.78,483.68,28.66,1
27888,66,125,124,956,0,91,4294967295,24.56,1013.55,14.78,482.29,28.66,1
28884,67,127,126,957,0,102,4294967295,24.56,1013.55,14.78,480.56,28.66,1
29880,68,129,127,956,0,112,4294967295,24.57,1013.55,14.77,473.45,28.57,1
30876,68,130,129,955,0,113,4294967295,24.57,1013.56,14.77,470.14,28.66,1
31872,69,133,132,955,0,134,4294967295,24.57,1013.55,14.77,463.65,28.66,1
32868,70,135,134,955,0,108,4294967295,24.57,1013.55,14.77,460.47,28.74,1
33864,71,138,137,957,0,139,4294967295,24.57,1013.54,14.77,457.02,28.74,1
34860,71,138,136,956,0,148,4294967295,24.57,1013.54,14.76,457.02,28.74,1
35856,70,139,137,954,0,154,4294967295,24.57,1013.54,14.76,452.41,28.74,1
36852,71,139,137,949,0,161,4294967295,24.58,1013.54,14.76,447.59,28.74,1
37848,70,141,135,946,0,173,4294967295,24.58,1013.54,14.76,442.28,28.82,1
38844,70,141,135,945,0,145,4294967295,24.58,1013.53,14.76,440.54,28.74,1
39840,71,140,135,939,0,181,4294967295,24.58,1013.54,14.74,437.67,28.74,1
40836,69,139,133,934,0,190,4294967295,24.58,1013.54,14.75,433.44,28.74,1
41832,69,137,131,926,0,197,4294967295,24.58,1013.54,14.75,432.04,28.74,1
42828,68,136,129,922,0,185,4294967295,24.58,1013.54,14.75,429.28,28.74,1
43824,69,137,131,921,0,185,4294967295,24.58,1013.54,14.74,430.11,28.74,1
44820,70,140,135,930,0,213,4294967295,24.58,1013.54,14.74,424.13,28.74,1
45816,70,140,136,932,0,211,4294967295,24.59,1013.54,14.73,422.53,28.74,1
46812,70,143,139,935,0,215,4294967295,24.59,1013.54,14.74,419.63,28.74,1
47808,72,147,144,939,0,222,4294967295,24.59,1013.54,14.74,419.11,28.82,1
48804,73,152,147,946,0,225,4294967295,24.59,1013.53,14.74,417.80,28.82,1
49800,75,155,153,953,0,270,4294967295,24.59,1013.53,14.74,418.85,28.82,1
50796,77,156,153,953,0,219,4294967295,24.59,1013.53,14.74,418.06,28.74,1
51792,77,156,154,947,0,205,4294967295,24.59,1013.54,14.73,416.77,28.82,1
52788,75,154,153,942,0,197,4294967295,24.59,1013.53,14.72,417.28,28.74,1
53784,75,153,151,936,0,184,4294967295,24.59,1013.54,14.73,419.63,28.74,1
54780,75,152,152,930,0,182,4294967295,24.59,1013.54,14.74,422.00,28.74,1
55776,76,153,157,929,0,184,4294967295,24.59,1013.54,14.75,429.83,28.74,1
56772,78,158,162,938,0,186,4294967295,24.59,1013.54,14.76,426.56,28.74,1
57768,78,162,164,946,0,195,4294967295,24.59,1013.54,14.74,429.83,28.74,1
58764,79,164,165,949,0,207,4294967295,24.60,1013.54,14.74,429.01,28.66,1
59760,80,165,168,951,0,222,4294967295,24.60,1013.55,14.74,432.60,28.74,1
60756,81,167,171,949,0,240,4294967295,24.60,1013.54,14.73,432.88,28.74,1
61752,82,169,175,948,0,245,4294967295,24.60,1013.54,14.73,435.97,28.66,1
62748,83,170,178,946,0,267,4294967295,24.60,1013.55,14.74,436.82,28.66,1
63744,83,170,178,943,0,281,4294967295,24.60,1013.55,14.73,439.39,28.74,1
64740,83,169,177,938,0,293,4294967295,24.60,1013.54,14.73,439.97,28.74,1
65736,82,168,176,933,0,305,4294967295,24.60,1013.54,14.74,444.04,28.74,1
66732,82,168,175,929,0,289,4294967295,24.60,1013.54,14.73,444.33,28.74,1
67728,82,168,176,925,0,315,4294967295,24.60,1013.54,14.73,445.21,28.82,1
68724,82,168,177,923,0,316,4294967295,24.60,1013.53,14.73,448.18,28.82,1
69720,82,169,178,922,0,309,4294967295,24.60,1013.53,14.73,451.50,28.91,1
70716,82,169,182,923,0,320,4294967295,24.60,1013.52,14.74,453.02,28.82,1
71712,83,172,186,929,0,316,4294967295,24.60,1013.53,14.74,450.59,28.74,1
72708,85,178,192,940,0,303,4294967295,24.60,1013.54,14.72,454.86,28.74,1
73704,87,184,197,952,0,312,4294967295,24.61,1013.54,14.73,456.40,28.74,1
74700,88,191,203,963,0,290,4294967295,24.61,1013.54,14.72,456.40,28.82,1
75696,91,196,207,969,0,281,4294967295,24.61,1013.53,14.72,456.40,28.82,1
76692,92,200,211,972,0,267,4294967295,24.61,1013.53,14.73,457.02,28.82,1
77688,93,203,213,974,0,260,4294967295,24.61,1013.53,14.72,461.74,28.82,1
78684,93,206,214,974,0,253,4294967295,24.61,1013.53,14.72,459.84,28.82,1
79680,94,206,213,973,0,244,4294967295,24.61,1013.53,14.72,462.06,28.74,1
80676,93,206,214,970,0,245,4294967295,24.61,1013.54,14.73,464.61,28.74,1
81672,94,208,216,967,0,232,4294967295,24.61,1013.54,14.72,463.33,28.74,1
82668,95,210,219,967,0,237,4294967295,24.61,1013.54,14.72,468.17,28.74,1
83664,95,213,222,968,0,241,4294967295,24.61,1013.54,14.72,463.65,28.74,1
84660,96,216,223,970,0,241,4294967295,24.61,1013.54,14.72,469.15,28.74,1
85656,97,220,226,972,0,246,4294967295,24.61,1013.54,14.72,466.22,28.74,1
86652,98,223,228,974,0,252,4294967295,24.61,1013.54,14.72,468.50,28.74,1
87648,99,224,229,974,0,249,4294967295,24.61,1013.54,14.71,468.83,28.82,1
88644,99,227,233,975,0,234,4294967295,24.61,1013.53,14.71,468.83,28.91,1
89640,101,231,236,977,0,257,4294967295,24.61,1013.52,14.72,471.13,28.91,1
90636,102,236,237,979,0,253,4294967295,24.61,1013.52,14.73,469.48,28.82,1
91632,101,237,237,979,0,257,4294967295,24.61,1013.53,14.72,470.47,28.82,1
92628,102,238,238,977,0,312,4294967295,24.62,1013.53,14.72,471.46,28.82,1
93624,102,242,240,979,0,265,4294967295,24.62,1013.53,14.73,470.14,28.74,1
94620,103,245,240,979,0,265,4294967295,24.62,1013.54,14.73,471.13,28.74,1
95616,102,245,238,977,0,270,4294967295,24.62,1013.54,14.73,473.45,28.66,1
96612,101,245,237,975,0,280,4294967295,24.62,1013.55,14.73,478.17,28.74,1
97608,101,243,238,973,0,279,4294967295,24.62,1013.54,14.73,473.79,28.82,1
98604,100,241,236,968,0,285,4294967295,24.62,1013.53,14.72,476.47,28.91,1
99600,99,237,233,963,0,285,4294967295,24.62,1013.52,14.73,471.46,28.99,1
100596,99,236,235,958,0,290,4294967295,24.62,1013.51,14.72,478.17,29.07,1
101592,99,236,237,957,0,286,4294967295,24.62,1013.50,14.72,477.83,29.16,1
102588,98,236,237,955,0,325,4294967295,24.62,1013.49,14.72,474.45,29.16,1
103584,99,237,238,954,0,390,4294967295,24.62,1013.49,14.72,473.45,29.16,1
104580,99,236,240,953,0,313,4294967295,24.62,1013.49,14.70,470.14,29.24,1
105576,98,236,241,952,0,306,4294967295,24.62,1013.48,14.69,468.83,29.24,1
106572,97,235,241,951,0,292,4294967295,24.62,1013.48,14.70,469.81,29.16,0
107568,97,232,236,947,0,282,4294967295,24.63,1013.49,14.68,467.85,29.16,0
108564,95,229,233,941,0,278,4294967295,24.63,1013.49,14.66,469.81,29.07,0
109560,95,227,230,936,0,286,4294967295,24.62,1013.50,14.67,467.52,29.07,0
110556,93,224,228,933,0,266,4294967295,24.62,1013.50,14.67,465.90,28.99,0
111552,92,222,226,928,0,260,4294967295,24.62,1013.51,14.67,466.22,28.99,0
112548,91,219,224,924,0,255,4294967295,24.62,1013.51,14.66,463.65,28.91,0
113544,91,217,221,920,0,247,4294967295,24.62,1013.52,14.66,460.79,28.99,0
114540,90,215,220,916,0,244,4294967295,24.62,1013.51,14.65,457.96,28.99,0
115536,89,213,218,912,0,240,4294967295,24.62,1013.51,14.66,458.27,28.91,0
116532,89,211,217,910,0,254,4294967295,24.62,1013.52,14.65,452.71,28.99,0
117528,88,210,215,906,0,237,4294967295,24.62,1013.51,14.66,454.86,28.99,0
118524,87,208,214,904,0,233,4294967295,24.62,1013.51,14.66,451.80,29.07,0
119520,86,206,212,901,0,231,4294967295,24.62,1013.50,14.66,448.18,29.07,0
120516,86,205,211,897,0,227,4294967295,24.62,1013.50,14.67,447.88,28.99,0
121512,85,203,209,895,0,229,4294967295,24.62,1013.51,14.67,440.54,28.99,0
122508,84,202,207,892,0,210,4294967295,24.62,1013.51,14.66,435.12,28.91,0
123504,84,200,206,889,0,220,4294967295,24.62,1013.52,14.67,431.49,28.91,0
124500,83,198,204,887,0,221,4294967295,24.62,1013.52,14.68,426.29,28.91,0
125496,83,197,203,885,0,221,4294967295,24.62,1013.52,14.69,423.33,28.99,0
126492,83,196,203,882,0,216,4294967295,24.62,1013.51,14.69,420.68,28.99,0
127488,82,195,202,881,0,211,4294967295,24.62,1013.51,14.69,421.74,28.99,0
128484,81,194,200,879,0,193,4294967295,24.62,1013.51,14.69,416.51,28.99,0
129480,81,193,199,876,0,193,4294967295,24.62,1013.51,14.68,416.25,28.99,0
130476,80,192,198,875,0,205,4294967295,24.62,1013.51,14.68,418.58,28.99,0
131472,80,190,197,874,0,205,4294967295,24.62,1013.51,14.69,413.43,29.07,0
132468,79,189,196,872,0,185,4294967295,24.62,1013.50,14.68,412.92,28.99,0
133464,79,188,195,870,0,198,4294967295,24.62,1013.51,14.68,411.91,29.07,0
134460,79,187,194,868,0,200,4294967295,24.62,1013.50,14.68,409.40,29.07,0
135456,78,186,193,866,0,190,4294967295,24.62,1013.50,14.68,409.65,29.07,0
136452,78,185,192,864,0,195,4294967295,24.62,1013.50,14.68,405.94,28.99,0
137448,77,184,191,863,0,176,4294967295,24.62,1013.51,14.69,405.45,28.91,0
138444,77,183,190,861,0,190,4294967295,24.62,1013.52,14.69,405.45,28.91,0
139440,76,182,189,860,0,175,4294967295,24.62,1013.52,14.69,400.61,28.99,0
140436,77,181,189,858,0,183,4294967295,24.62,1013.51,14.70,399.18,28.91,0
141432,76,180,188,857,0,178,4294967295,24.62,1013.52,14.70,399.90,28.99,0
142428,75,179,187,856,0,176,4294967295,24.62,1013.51,14.70,396.59,28.99,0
143424,75,178,186,854,0,176,4294967295,24.62,1013.51,14.70,397.30,28.99,0
144420,74,177,185,852,0,173,4294967295,24.62,1013.51,14.70,398.71,29.07,0
145416,75,177,185,851,0,172,4294967295,24.62,1013.50,14.70,399.66,29.07,0
146412,74,176,184,850,0,168,4294967295,24.62,1013.50,14.71,395.89,29.16,0
147408,74,174,184,848,0,174,4294967295,24.62,1013.49,14.72,396.83,29.16,0
148404,74,175,183,849,0,161,4294967295,24.62,1013.49,14.71,396.36,29.16,0
149400,74,174,182,848,0,158,4294967295,24.62,1013.49,14.71,393.11,29.16,0
150396,73,174,182,847,0,157,4294967295,24.62,1013.49,14.71,393.11,29.07,0
151392,72,172,181,846,0,155,4294967295,24.62,1013.50,14.72,394.03,29.16,1
152388,73,172,181,848,0,184,4294967295,24.62,1013.49,14.73,392.65,29.16,1
153384,73,174,183,862,0,165,4294967295,24.62,1013.49,14.73,391.74,29.16,1
154380,73,177,186,871,0,165,4294967295,24.62,1013.49,14.72,391.28,29.16,1
