timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State19.51
174400,64,222,242,952,3,1883,4294967295,24.42,1014.65,14.14,614.66,19.43,1
175396,66,225,246,949,3,1987,4294967295,24.42,1014.66,14.15,614.66,19.43,1
176392,66,226,247,947,3,2040,4294967295,24.42,1014.66,14.15,612.42,19.43,1
177388,67,229,250,945,3,1962,4294967295,24.42,1014.66,14.15,612.42,19.43,1
178384,68,232,254,947,3,1945,4294967295,24.41,1014.66,14.15,616.36,19.43,1
179380,69,235,257,947,3,1992,4294967295,24.41,1014.66,14.14,619.20,19.43,1
180376,70,240,261,950,3,1903,4294967295,24.41,1014.66,14.15,612.42,19.35,1
181372,72,247,267,961,3,2022,4294967295,24.41,1014.67,14.14,612.98,19.35,1
182368,74,250,271,962,2,1887,4294967295,24.41,1014.67,14.16,613.54,19.35,1
183364,75,253,273,963,3,1839,4294967295,24.41,1014.67,14.15,616.36,19.35,1
184360,75,260,278,965,3,1847,4294967295,24.41,1014.67,14.14,618.06,19.43,1
185356,78,266,281,969,2,1883,4294967295,24.41,1014.66,14.15,609.09,19.35,1
186352,78,270,283,971,2,1936,4294967295,24.41,1014.67,14.16,611.31,19.35,1
187348,80,275,286,973,3,2013,4294967295,24.41,1014.67,14.15,614.66,19.26,1
188344,82,282,292,976,3,2063,4294967295,24.41,1014.68,14.15,612.42,19.35,1
189340,84,288,298,981,3,2049,4294967295,24.40,1014.67,14.16,614.66,19.26,1
190336,85,294,304,984,3,2013,4294967295,24.40,1014.68,14.15,612.42,19.26,1
191332,87,299,310,986,3,2151,4294967295,24.40,1014.68,14.15,619.77,19.26,1
192328,88,303,314,987,2,2371,4294967295,24.40,1014.68,14.16,614.66,19.26,1
193324,90,306,316,985,2,2519,4294967295,24.40,1014.68,14.16,615.79,19.18,1
194320,91,310,319,985,2,2597,4294967295,24.40,1014.69,14.17,612.98,19.18,1
195316,92,310,319,981,2,2245,4294967295,24.40,1014.69,14.16,614.66,19.18,1
196312,94,315,324,980,2,2276,4294967295,24.40,1014.69,14.16,616.92,19.26,1
197308,96,322,330,984,3,2109,4294967295,24.40,1014.68,14.16,615.79,19.26,1
198304,98,326,335,987,2,2220,4294967295,24.40,1014.68,14.16,611.31,19.26,1
199300,98,326,335,985,2,2072,4294967295,24.40,1014.68,14.16,612.42,19.26,1
200296,99,326,335,982,2,2067,4294967295,24.40,1014.68,14.17,616.36,19.26,1
201292,99,327,332,979,2,2095,4294967295,24.40,1014.68,14.17,615.79,19.35,1
202288,99,325,334,975,2,2085,4294967295,24.40,1014.67,14.17,612.42,19.26,1
203284,100,323,334,971,3,2220,4294967295,24.40,1014.68,14.17,607.99,19.35,1
204280,100,322,334,967,2,2654,4294967295,24.40,1014.67,14.18,608.54,19.35,1
205276,100,321,335,963,2,2072,4294967295,24.40,1014.67,14.18,611.87,19.35,1
206272,101,324,337,962,2,2185,4294967295,24.40,1014.67,14.19,614.10,19.43,1
207268,102,333,346,970,3,1812,4294967295,24.40,1014.66,14.19,611.31,19.43,1
208264,103,335,347,973,2,2072,4294967295,24.40,1014.66,14.19,607.44,19.35,1
209260,103,332,345,968,2,2113,4294967295,24.40,1014.67,14.18,611.87,19.35,1
210256,104,332,347,965,2,2195,4294967295,24.39,1014.67,14.18,615.79,19.35,1
211252,105,333,348,962,2,2909,4294967295,24.39,1014.67,14.17,618.06,19.26,1
212248,105,335,351,964,3,3073,4294967295,24.39,1014.68,14.17,614.66,19.26,1
213244,106,334,353,964,3,2860,4294967295,24.39,1014.68,14.17,610.20,19.26,1
214240,105,336,352,965,2,2990,4294967295,24.39,1014.68,14.16,614.66,19.26,1
215236,105,337,352,965,3,3035,4294967295,24.39,1014.68,14.17,615.79,19.35,1
216232,105,337,353,963,2,3057,4294967295,24.39,1014.67,14.16,607.99,19.26,1
217228,105,336,354,959,2,2839,4294967295,24.39,1014.68,14.17,590.88,19.18,1
218224,106,335,354,956,2,2388,4294967295,24.39,1014.69,14.17,574.70,19.18,1
219220,106,337,357,955,2,2705,4294967295,24.39,1014.69,14.18,570.80,19.18,1
220216,106,336,357,954,2,2478,4294967295,24.39,1014.69,14.17,562.67,19.10,1
221212,107,337,358,951,2,2444,4294967295,24.39,1014.70,14.18,558.00,19.01,1
222208,107,337,358,949,2,2444,4294967295,24.39,1014.71,14.17,552.49,19.01,1
223204,107,337,360,948,3,2307,4294967295,24.39,1014.71,14.19,556.15,19.01,1
224200,108,339,362,947,2,1940,4294967295,24.39,1014.71,14.19,553.86,19.01,1
225196,108,341,364,947,2,661,4294967295,24.39,1014.71,14.19,549.78,19.01,1
226192,109,341,364,947,2,1745,4294967295,24.39,1014.71,14.20,542.23,19.10,1
227188,110,342,364,945,2,1122,4294967295,24.39,1014.70,14.21,537.03,18.93,1
228184,110,346,367,948,2,420,4294967295,24.39,1014.72,14.21,530.25,18.93,1
229180,111,349,369,953,2,594,4294967295,24.39,1014.72,14.21,528.17,18.85,1
230176,112,348,369,952,2,362,4294967295,24.39,1014.73,14.21,522.42,18.85,1
231172,113,353,374,954,2,520,4294967295,24.39,1014.73,14.21,522.42,18.85,1
232168,113,357,376,961,2,582,4294967295,24.39,1014.73,14.21,524.46,18.93,1
233164,114,357,377,961,2,314,4294967295,24.39,1014.72,14.21,522.42,18.93,1
234160,114,357,376,960,3,1096,4294967295,24.39,1014.72,14.21,525.69,18.93,1
235156,115,360,377,960,2,821,4294967295,24.39,1014.72,14.21,521.20,18.93,1
236152,115,360,379,961,2,749,4294967295,24.39,1014.72,14.22,522.42,18.93,1
237148,115,359,377,958,2,777,4294967295,24.39,1014.72,14.20,526.10,18.93,1
238144,116,359,378,955,2,836,4294967295,24.39,1014.72,14.20,528.17,18.93,1
239140,115,360,379,956,2,845,4294967295,24.39,1014.72,14.20,530.67,18.93,1
240136,116,363,382,957,2,853,4294967295,24.39,1014.72,14.20,530.67,19.01,1
241132,118,367,386,960,2,888,4294967295,24.39,1014.71,14.19,533.62,19.01,1
242128,119,369,389,964,2,897,4294967295,24.39,1014.71,14.19,532.77,19.01,1
243124,119,368,389,962,3,925,4294967295,24.39,1014.71,14.19,538.75,19.01,1
244120,120,368,390,959,2,883,4294967295,24.39,1014.71,14.18,540.05,18.93,1
245116,120,370,391,958,2,912,4294967295,24.39,1014.72,14.19,544.87,18.93,1
246112,121,368,392,956,2,935,4294967295,24.39,1014.72,14.18,543.99,19.01,1
247108,120,367,391,952,2,1102,4294967295,24.39,1014.71,14.17,544.87,19.01,1
248104,121,367,392,951,2,1098,4294967295,24.39,1014.71,14.18,546.65,19.01,1
249100,121,364,390,948,3,1190,4294967295,24.39,1014.71,14.18,545.32,19.01,1
250096,121,364,388,944,2,1313,4294967295,24.39,1014.71,14.17,546.65,19.01,1
251092,120,368,392,945,2,1453,4294967295,24.39,1014.71,14.17,547.09,19.01,1
252088,121,371,395,949,2,1650,4294967295,24.39,1014.71,14.17,550.68,18.93,1
253084,122,374,398,953,2,1425,4294967295,24.39,1014.72,14.17,554.31,18.93,1
254080,123,377,399,958,2,1789,4294967295,24.39,1014.72,14.17,551.58,19.01,1
255076,123,380,401,960,2,1957,4294967295,24.39,1014.71,14.17,556.15,19.10,1
256072,124,381,403,962,2,2215,4294967295,24.39,1014.70,14.17,556.15,19.10,1
257068,125,385,404,965,2,2166,4294967295,24.39,1014.70,14.17,555.23,19.01,1
258064,125,388,406,969,2,2022,4294967295,24.39,1014.71,14.16,557.07,19.01,1
259060,126,390,407,970,2,2416,4294967295,24.39,1014.71,14.18,556.61,19.01,1
260056,127,391,409,970,3,2265,4294967295,24.39,1014.71,14.18,559.39,19.01,1
261052,128,394,408,971,2,2525,4294967295,24.39,1014.71,14.17,558.46,19.01,1
262048,127,398,411,973,2,2585,4294967295,24.39,1014.71,14.17,558.92,18.93,1
263044,128,399,412,975,2,2215,4294967295,24.38,1014.72,14.17,558.92,18.93,1
264040,129,399,413,973,2,2771,4294967295,24.38,1014.72,14.18,558.46,18.85,1
