timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
98604,34,66,70,786,0,6,0,24.59,1020.54,14.73,653.53,-29.41,0
99600,34,66,70,784,0,6,0,24.59,1020.55,14.73,658.01,-29.41,0
100596,34,66,70,783,0,6,0,24.59,1020.55,14.72,653.53,-29.32,0
101592,34,66,70,782,0,6,0,24.59,1020.54,14.72,656.08,-29.32,0
102588,34,67,70,782,0,6,0,24.59,1020.54,14.73,654.16,-29.41,0
103584,35,66,69,782,0,6,0,24.59,1020.55,14.71,652.89,-29.41,0
104580,34,66,70,781,0,6,0,24.59,1020.55,14.73,654.16,-29.41,0
105576,34,66,70,781,0,6,0,24.59,1020.55,14.73,652.89,-29.49,0
106572,34,66,69,781,0,7,0,24.59,1020.56,14.73,659.95,-29.49,0
107568,34,66,69,780,0,6,0,24.59,1020.56,14.73,656.72,-29.49,0
108564,34,66,70,780,0,6,0,24.59,1020.56,14.73,659.95,-29.49,0
109560,34,66,70,780,0,6,0,24.59,1020.56,14.73,652.26,-29.41,0
110556,34,66,70,779,0,6,0,24.59,1020.55,14.73,656.08,-29.41,0
111552,35,66,69,779,0,6,0,24.59,1020.55,14.74,654.16,-29.41,0
112548,34,66,69,779,0,6,0,24.58,1020.55,14.74,659.3,-29.41,0
113544,34,66,70,779,0,6,0,24.58,1020.55,14.73,656.72,-29.49,0
114540,34,66,69,780,0,6,0,24.58,1020.56,14.75,654.16,-29.41,0
115536,34,66,70,780,0,6,0,24.58,1020.55,14.74,654.16,-29.32,0
116532,34,66,69,779,0,6,0,24.58,1020.54,14.75,655.44,-29.41,0
117528,34,66,70,780,0,6,0,24.58,1020.55,14.76,659.3,-29.24,0
118524,34,66,69,779,0,6,0,24.58,1020.53,14.76,655.44,-29.32,0
119520,34,66,69,779,0,6,0,24.58,1020.54,14.75,660.6,-29.24,0
120516,34,66,69,778,0,6,0,24.58,1020.53,14.76,659.3,-29.32,0
121512,35,66,70,779,0,6,0,24.58,1020.54,14.76,657.37,-29.32,0
122508,34,66,69,779,0,6,0,24.58,1020.54,14.76,652.89,-29.32,0
123504,35,66,69,779,0,7,0,24.58,1020.54,14.75,652.89,-29.32,0
124500,34,66,70,778,0,6,0,24.58,1020.54,14.74,659.95,-29.32,0
125496,34,66,70,778,0,6,0,24.58,1020.54,14.77,653.53,-29.32,0
126492,34,66,69,778,0,6,0,24.58,1020.54,14.77,654.16,-29.32,0
127488,34,66,70,778,0,6,0,24.58,1020.54,14.76,656.72,-29.32,0
128484,34,65,70,779,0,6,0,24.58,1020.54,14.75,654.16,-29.16,0
129480,34,66,69,778,0,6,0,24.58,1020.52,14.75,656.72,-29.24,0
130476,35,66,69,779,0,6,0,24.58,1020.53,14.75,656.72,-29.16,0
131472,34,66,70,778,0,6,0,24.58,1020.52,14.75,658.65,-29.24,0
132468,35,66,69,778,0,6,0,24.58,1020.53,14.75,654.16,-29.16,0
133464,34,66,69,778,0,6,0,24.57,1020.52,14.75,654.16,-29.16,0
134460,34,66,69,777,0,6,0,24.57,1020.52,14.74,654.16,-29.16,0
135456,34,66,69,778,0,6,0,24.57,1020.52,14.75,659.95,-29.07,0
136452,34,66,69,778,0,6,0,24.57,1020.51,14.74,658.65,-29.16,0
137448,35,66,69,778,0,6,0,24.57,1020.52,14.76,652.89,-29.16,0
138444,34,66,69,777,0,6,0,24.57,1020.52,14.75,656.72,-29.07,0
139440,34,66,69,777,0,6,0,24.57,1020.51,14.75,656.72,-29.07,0
140436,34,66,69,777,0,7,0,24.57,1020.51,14.74,654.8,-29.07,0
141432,34,66,69,778,0,5,0,24.57,1020.51,14.74,650.37,-29.07,0
142428,34,66,69,778,0,6,0,24.57,1020.51,14.74,655.44,-29.16,0
143424,34,66,70,778,0,6,0,24.57,1020.52,14.75,653.53,-29.16,0
144420,34,66,69,778,0,6,0,24.57,1020.52,14.76,652.26,-29.16,0
145416,34,66,69,778,0,6,0,24.57,1020.52,14.75,649.11,-29.24,0
146412,34,66,69,779,0,6,0,24.57,1020.53,14.76,645.99,-29.16,0
147408,34,66,69,779,0,6,0,24.57,1020.52,14.76,645.37,-29.16,0
148404,34,66,69,779,0,6,0,24.57,1020.52,14.76,642.28,-29.24,0
149400,34,66,70,780,0,6,0,24.57,1020.53,14.76,641.67,-29.16,0
150396,34,66,69,780,0,6,0,24.57,1020.52,14.77,636.8,-29.16,0
151392,34,66,70,780,0,6,0,24.57,1020.52,14.76,636.8,-29.16,0
152388,34,66,70,780,0,6,0,24.57,1020.52,14.78,632.01,-29.16,0
153384,34,66,69,780,0,6,0,24.57,1020.52,14.78,635.0,-29.24,0
154380,34,66,69,781,0,6,0,24.57,1020.53,14.78,627.29,-29.24,0
155376,34,66,69,782,0,6,0,24.57,1020.53,14.79,630.23,-29.24,0
156372,35,67,70,785,0,6,0,24.57,1020.53,14.78,629.05,-29.24,0
157368,34,66,70,788,0,6,0,24.57,1020.53,14.79,620.91,-29.24,0
158364,34,67,70,789,0,6,0,24.57,1020.53,14.8,621.49,-29.24,0
159360,35,66,70,794,0,6,0,24.57,1020.53,14.79,619.2,-29.24,0
160356,35,66,70,797,0,6,0,24.57,1020.53,14.8,618.63,-29.24,0
161352,35,66,70,798,0,6,0,24.57,1020.53,14.8,617.49,-29.24,1
162348,35,67,71,798,0,6,0,24.57,1020.53,14.8,614.1,-29.24,1
163344,35,67,71,797,0,6,0,24.57,1020.53,14.8,609.09,-29.16,1
164340,34,67,71,797,0,6,0,24.57,1020.52,14.81,611.87,-29.16,1
165336,35,67,71,798,0,6,0,24.58,1020.52,14.81,611.31,-29.16,1
166332,36,67,72,799,0,6,4294967295,24.58,1020.52,14.81,607.44,-29.16,1
167328,36,68,73,803,0,6,4294967295,24.58,1020.52,14.81,606.89,-29.24,1
168324,36,67,74,804,0,7,4294967295,24.58,1020.53,14.8,606.34,-29.24,1
169320,36,67,74,804,0,10,4294967295,24.58,1020.53,14.8,609.09,-29.24,1
170316,36,68,74,807,0,14,4294967295,24.58,1020.53,14.8,604.16,-29.16,1
171312,36,68,74,806,0,19,4294967295,24.58,1020.52,14.81,602.0,-29.24,1
172308,36,68,73,806,0,25,4294967295,24.58,1020.53,14.81,606.34,-29.24,1
173304,36,67,74,806,0,27,4294967295,24.58,1020.53,14.8,598.78,-29.24,1
174300,37,68,76,808,0,32,4294967295,24.58,1020.53,14.8,601.46,-29.24,1
175296,37,68,76,808,0,38,4294967295,24.58,1020.53,14.81,601.46,-29.24,1
176292,37,68,76,811,0,44,4294967295,24.58,1020.53,14.81,596.65,-29.24,1
177288,38,69,81,844,0,48,4294967295,24.59,1020.53,14.8,601.46,-29.32,1
178284,39,72,86,884,0,56,4294967295,24.59,1020.54,14.81,593.49,-29.32,1
179280,41,76,88,907,0,63,4294967295,24.58,1020.54,14.81,588.81,-29.32,1
180276,43,78,90,915,0,71,4294967295,24.58,1020.54,14.8,597.18,-29.41,1
181272,43,82,93,925,0,79,4294967295,24.59,1020.55,14.8,591.92,-29.32,1
182268,44,85,97,934,0,92,4294967295,24.59,1020.54,14.79,590.88,-29.32,1
183264,46,87,100,940,0,111,4294967295,24.59,1020.54,14.81,591.92,-29.41,1
184260,47,90,104,943,0,122,4294967295,24.59,1020.55,14.8,591.4,-29.41,1
185256,48,93,108,946,0,139,4294967295,24.59,1020.55,14.8,594.01,-29.32,1
186252,50,97,112,949,0,151,4294967295,24.59,1020.54,14.8,590.88,-29.32,1
187248,52,100,117,955,0,160,4294967295,24.59,1020.54,14.79,589.84,-29.32,1
188244,53,105,122,961,0,166,4294967295,24.59,1020.54,14.79,593.49,-29.32,1
189240,54,109,123,963,0,164,4294967295,24.59,1020.54,14.79,592.96,-29.32,1
190236,56,113,127,966,0,169,4294967295,24.59,1020.54,14.79,587.26,-29.32,1
191232,57,118,130,968,0,172,4294967295,24.59,1020.54,14.78,594.01,-29.32,1
192228,59,122,136,970,0,180,4294967295,24.59,1020.54,14.79,591.92,-29.32,1
193224,60,126,142,973,0,192,4294967295,24.59,1020.54,14.78,588.29,-29.32,1
194220,62,131,147,975,0,186,4294967295,24.59,1020.54,14.79,587.26,-29.24,1
195216,63,136,153,977,0,195,4294967295,24.59,1020.53,14.78,588.81,-29.32,1
196212,65,139,157,976,0,197,4294967295,24.59,1020.54,14.77,592.44,-29.24,1
197208,65,140,158,974,0,201,4294967295,24.59,1020.53,14.78,586.75,-29.24,1
198204,66,140,158,972,0,202,4294967295,24.59,1020.53,14.77,589.84,-29.16,1
199200,66,140,159,968,0,195,4294967295,24.59,1020.52,14.78,589.84,-29.07,1
200196,66,140,158,966,0,185,4294967295,24.59,1020.51,14.77,584.71,-29.07,1
201192,66,140,158,963,0,183,4294967295,24.59,1020.51,14.78,583.69,-28.99,1
202188,66,140,158,959,0,199,4294967295,24.59,1020.5,14.78,587.26,-28.99,1
203184,66,138,157,955,0,216,4294967295,24.59,1020.5,14.78,585.73,-28.99,1
204180,66,138,157,952,0,192,4294967295,24.59,1020.5,14.79,590.88,-28.99,1
205176,66,136,156,947,0,192,4294967295,24.59,1020.5,14.78,584.71,-28.91,1
206172,65,135,155,943,0,190,4294967295,24.59,1020.49,14.78,586.24,-28.99,1
207168,65,134,153,939,0,186,4294967295,24.58,1020.5,14.79,589.32,-28.99,1
208164,65,132,153,936,0,182,4294967295,24.58,1020.5,14.79,587.78,-28.99,1
209160,63,132,152,933,0,180,4294967295,24.58,1020.5,14.79,582.17,-28.99,1
210156,63,131,151,928,0,159,4294967295,24.58,1020.5,14.79,583.18,-28.99,1
211152,63,130,151,924,0,168,4294967295,24.58,1020.5,14.81,579.16,-28.99,1
212148,63,130,150,921,0,190,4294967295,24.58,1020.5,14.81,579.16,-28.99,1
213144,62,128,150,918,0,168,4294967295,24.58,1020.5,14.81,578.66,-28.91,1
214140,62,128,150,917,0,159,4294967295,24.58,1020.49,14.81,579.16,-28.99,1
215136,63,127,150,913,0,160,4294967295,24.58,1020.5,14.81,578.16,-28.91,1
216132,63,127,150,911,0,155,4294967295,24.58,1020.49,14.82,581.17,-28.91,1
217128,62,126,150,909,0,156,4294967295,24.58,1020.49,14.82,582.17,-28.91,1
218124,62,126,150,908,0,155,4294967295,24.58,1020.49,14.82,571.77,-28.91,1
219120,62,125,151,906,0,148,4294967295,24.58,1020.49,14.82,580.16,-28.91,1
220116,61,125,151,904,0,148,4294967295,24.58,1020.49,14.83,575.69,-28.91,1
221112,61,124,151,904,0,144,4294967295,24.58,1020.49,14.82,574.7,-28.99,0
222108,62,124,152,902,0,143,4294967295,24.58,1020.5,14.82,576.18,-28.91,0
223104,61,126,154,902,0,144,4294967295,24.58,1020.49,14.82,574.7,-28.91,0
224100,63,127,157,906,0,143,4294967295,24.58,1020.49,14.82,580.66,-28.99,0
225096,62,128,158,906,0,136,4294967295,24.58,1020.5,14.81,579.16,-28.91,0
226092,63,127,156,903,0,135,4294967295,24.58,1020.49,14.81,578.16,-28.91,0
227088,62,126,156,901,0,121,4294967295,24.58,1020.49,14.81,576.18,-28.91,0
228084,62,125,155,897,0,116,4294967295,24.58,1020.49,14.8,576.18,-28.83,0
229080,61,125,154,894,0,134,4294967295,24.58,1020.48,14.8,577.67,-28.91,0
230076,60,124,151,890,0,118,4294967295,24.57,1020.49,14.79,581.67,-28.99,0
231072,60,123,151,889,0,122,4294967295,24.57,1020.5,14.79,579.16,-28.99,0
232068,60,123,150,885,0,122,4294967295,24.57,1020.5,14.78,578.16,-28.99,0
233064,59,122,149,883,0,133,4294967295,24.57,1020.5,14.79,581.67,-29.07,0
234060,59,121,149,880,0,127,4294967295,24.57,1020.51,14.78,581.67,-29.07,0
235056,59,121,148,878,0,120,4294967295,24.57,1020.51,14.77,575.69,-29.16,0
236052,58,120,147,876,0,118,4294967295,24.57,1020.52,14.77,578.66,-29.16,0
237048,58,120,146,874,0,113,4294967295,24.57,1020.52,14.77,573.72,-29.16,0
238044,57,119,146,872,0,113,4294967295,24.57,1020.52,14.78,576.68,-29.24,0
239040,58,119,145,871,0,120,4294967295,24.57,1020.53,14.77,577.67,-29.24,0
240036,57,118,144,869,0,113,4294967295,24.57,1020.53,14.77,576.68,-29.32,0
241032,57,118,144,867,0,113,4294967295,24.57,1020.54,14.77,577.17,-29.32,0
242028,56,118,142,866,0,118,4294967295,24.57,1020.54,14.77,577.67,-29.32,0
243024,56,117,143,864,0,116,4294967295,24.57,1020.54,14.76,577.67,-29.32,0
244020,56,116,142,863,0,106,4294967295,24.57,1020.54,14.76,580.66,-29.32,0
245016,56,116,142,861,0,111,4294967295,24.57,1020.54,14.76,583.69,-29.32,0
246012,55,116,141,860,0,116,4294967295,24.57,1020.54,14.76,579.66,-29.41,0
247008,56,116,141,860,0,113,4294967295,24.57,1020.55,14.75,579.66,-29.49,0
248004,55,116,140,858,0,109,4294967295,24.57,1020.56,14.75,580.16,-29.49,0
249000,55,115,140,856,0,101,4294967295,24.57,1020.56,14.76,574.7,-29.41,0
249996,55,114,139,855,0,111,4294967295,24.57,1020.55,14.74,581.17,-29.49,0
250992,55,114,138,854,0,107,4294967295,24.57,1020.56,14.76,576.18,-29.49,0
251988,54,114,139,853,0,105,4294967295,24.57,1020.56,14.74,578.16,-29.49,0
252984,55,113,138,852,0,111,4294967295,24.57,1020.56,14.75,576.68,-29.41,0
253980,54,113,138,851,0,105,4294967295,24.57,1020.55,14.74,576.68,-29.41,0
254976,53,113,137,849,0,101,4294967295,24.57,1020.55,14.75,578.66,-29.41,0
255972,53,112,137,848,0,116,4294967295,24.57,1020.55,14.77,574.7,-29.41,0
256968,54,113,136,848,0,99,4294967295,24.57,1020.55,14.78,579.66,-29.32,0
257964,54,111,136,847,0,101,4294967295,24.57,1020.54,14.79,572.74,-29.32,0
258960,53,112,135,846,0,94,4294967295,24.57,1020.54,14.79,575.2,-29.32,0
259956,52,111,135,844,0,95,4294967295,24.57,1020.54,14.8,573.23,-29.24,0
260952,53,111,135,844,0,95,4294967295,24.57,1020.53,14.8,574.21,-29.24,0
261948,53,111,135,844,0,92,4294967295,24.57,1020.53,14.8,568.38,-29.24,0
262944,52,111,135,844,0,94,4294967295,24.57,1020.53,14.81,563.61,-29.16,0
263940,52,111,134,843,0,91,4294967295,24.57,1020.52,14.82,558.0,-29.24,0
264936,52,110,134,842,0,91,4294967295,24.57,1020.53,14.83,556.61,-29.32,0
265932,52,110,133,841,0,83,4294967295,24.57,1020.54,14.84,556.15,-29.24,0
266928,52,109,133,840,0,93,4294967295,24.57,1020.53,14.85,551.13,-29.32,0
267924,52,110,133,839,0,92,4294967295,24.57,1020.54,14.88,547.54,-29.32,0
268920,52,109,133,839,0,92,4294967295,24.57,1020.54,14.88,546.65,-29.32,0
269916,51,108,132,838,0,99,4294967295,24.57,1020.54,14.88,541.36,-29.41,0
270912,51,109,132,837,0,88,4294967295,24.57,1020.55,14.89,537.46,-29.32,0
271908,51,108,132,838,0,85,4294967295,24.57,1020.54,14.91,531.93,-29.41,0
272904,51,108,132,838,0,92,4294967295,24.57,1020.55,14.91,536.6,-29.41,0
273900,51,108,132,837,0,89,4294967295,24.57,1020.55,14.91,530.25,-29.41,0
274896,51,108,131,837,0,91,4294967295,24.57,1020.55,14.91,531.93,-29.49,0
275892,51,108,131,836,0,80,4294967295,24.57,1020.56,14.9,527.34,-29.57,0
276888,51,107,131,835,0,89,4294967295,24.57,1020.57,14.91,526.1,-29.57,0
277884,50,107,131,834,0,87,4294967295,24.57,1020.57,14.9,528.58,-29.57,0
278880,51,107,130,835,0,85,4294967295,24.57,1020.57,14.91,529.41,-29.49,0
279876,50,107,131,834,0,85,4294967295,24.57,1020.56,14.9,525.69,-29.49,0
280872,50,106,130,832,0,86,4294967295,24.57,1020.56,14.9,528.58,-29.49,0
281868,49,106,130,832,0,84,4294967295,24.57,1020.56,14.9,524.87,-29.57,0
282864,50,106,129,832,0,81,4294967295,24.57,1020.57,14.89,525.28,-29.57,0
283860,50,106,130,831,0,79,4294967295,24.57,1020.57,14.89,522.82,-29.57,1
284856,50,107,132,845,0,79,4294967295,24.57,1020.57,14.89,529.41,-29.65,1
285852,50,109,133,853,0,79,4294967295,24.57,1020.58,14.88,524.87,-29.65,1
286848,51,111,135,866,0,79,4294967295,24.57,1020.58,14.88,522.82,-29.65,1
287844,53,116,140,884,0,78,4294967295,24.57,1020.58,14.87,520.39,-29.65,1
288840,55,118,144,898,0,82,4294967295,24.57,1020.58,14.87,521.2,-29.65,1
289836,56,120,148,906,0,83,4294967295,24.57,1020.58,14.87,520.39,-29.65,1
290832,57,121,150,908,0,89,4294967295,24.57,1020.58,14.86,518.38,-29.65,1
291828,58,121,151,904,0,101,4294967295,24.57,1020.58,14.86,519.59,-29.65,1
292824,57,121,151,901,0,115,4294967295,24.56,1020.58,14.84,521.61,-29.65,1
293820,57,121,151,897,0,122,4294967295,24.56,1020.58,14.83,525.69,-29.65,1
294816,57,120,150,892,0,136,4294967295,24.57,1020.58,14.84,521.61,-29.57,1
295812,57,120,150,889,0,132,4294967295,24.57,1020.57,14.84,519.59,-29.57,1
296808,57,120,151,888,0,142,4294967295,24.57,1020.57,14.84,522.01,-29.65,1
297804,59,122,154,888,0,147,4294967295,24.57,1020.58,14.84,524.46,-29.65,1
298800,59,122,156,890,0,151,4294967295,24.57,1020.58,14.83,524.46,-29.65,1
299796,61,124,163,892,0,160,4294967295,24.57,1020.58,14.81,529.41,-29.65,1
300792,63,129,168,912,0,169,4294967295,24.57,1020.58,14.82,530.25,-29.57,1
301788,64,133,173,923,0,187,4294967295,24.57,1020.57,14.81,528.58,-29.57,1
302784,65,136,177,936,0,193,4294967295,24.57,1020.57,14.8,530.25,-29.57,1
303780,66,140,177,943,0,188,4294967295,24.57,1020.57,14.8,531.09,-29.57,1
304776,67,141,179,943,0,214,4294967295,24.57,1020.57,14.79,533.62,-29.57,1
305772,67,142,180,939,0,215,4294967295,24.57,1020.57,14.79,535.75,-29.57,1
306768,68,141,181,934,0,223,4294967295,24.57,1020.57,14.78,532.77,-29.57,1
307764,69,141,183,929,0,232,4294967295,24.57,1020.57,14.78,536.17,-29.57,1
308760,70,142,185,926,0,227,4294967295,24.57,1020.57,14.77,534.47,-29.65,1
309756,70,143,188,925,0,216,4294967295,24.57,1020.58,14.77,539.62,-29.65,1
310752,71,144,189,926,0,233,4294967295,24.57,1020.58,14.78,537.46,-29.65,1
311748,71,147,192,930,0,301,4294967295,24.57,1020.58,14.77,537.46,-29.65,1
312744,73,149,197,936,0,266,4294967295,24.57,1020.58,14.76,538.75,-29.74,1
313740,73,152,200,941,0,275,4294967295,24.58,1020.59,14.76,543.55,-29.82,1
314736,74,155,202,945,0,283,4294967295,24.58,1020.6,14.76,537.89,-29.82,1
315732,76,157,203,947,0,334,4294967295,24.57,1020.6,14.76,541.36,-29.82,1
316728,76,158,204,948,0,288,4294967295,24.57,1020.6,14.75,541.36,-29.82,1
317724,76,159,205,947,0,283,4294967295,24.58,1020.6,14.76,537.03,-29.9,1
318720,77,159,206,944,0,277,4294967295,24.58,1020.61,14.77,539.62,-29.9,1
319716,76,159,207,942,0,313,4294967295,24.58,1020.61,14.77,542.67,-29.9,1
320712,77,159,204,939,0,265,4294967295,24.58,1020.61,14.78,537.03,-29.9,1
321708,76,159,204,937,0,277,4294967295,24.58,1020.61,14.79,540.49,-29.82,1
322704,76,160,205,935,0,293,4294967295,24.58,1020.6,14.78,535.32,-29.9,1
323700,77,160,206,932,0,313,4294967295,24.58,1020.61,14.78,537.89,-29.82,1
324696,77,160,207,930,0,329,4294967295,24.58,1020.6,14.79,539.62,-29.82,1
325692,77,159,206,927,0,346,4294967295,24.58,1020.6,14.79,537.03,-29.82,1
326688,77,159,206,924,0,370,4294967295,24.58,1020.6,14.79,537.89,-29.82,1
327684,77,160,209,922,0,373,4294967295,24.58,1020.6,14.79,534.04,-29.82,1
328680,78,160,211,922,0,364,4294967295,24.58,1020.6,14.8,536.6,-29.9,1
329676,78,160,210,918,0,370,4294967295,24.58,1020.61,14.8,533.62,-29.82,1
330672,78,158,210,914,0,359,4294967295,24.58,1020.6,14.8,533.2,-29.9,1
331668,77,157,210,911,0,354,4294967295,24.58,1020.61,14.81,534.47,-29.9,1
332664,77,156,209,907,0,366,4294967295,24.58,1020.61,14.81,529.0,-29.98,1
333660,78,155,209,905,0,351,4294967295,24.58,1020.62,14.81,527.75,-29.98,1
334656,77,154,208,902,0,365,4294967295,24.58,1020.62,14.82,528.58,-29.98,1
335652,77,153,206,899,0,365,4294967295,24.58,1020.62,14.82,524.46,-29.9,1
336648,77,152,207,896,0,358,4294967295,24.58,1020.61,14.82,524.05,-29.9,1
337644,75,151,206,892,0,381,4294967295,24.58,1020.61,14.82,523.23,-29.98,1
338640,76,152,207,892,0,357,4294967295,24.58,1020.62,14.82,524.05,-29.98,1
339636,78,152,213,891,0,353,4294967295,24.58,1020.62,14.83,517.59,-30.07,1
340632,79,154,217,894,0,365,4294967295,24.58,1020.63,14.84,520.39,-29.98,1
341628,79,159,220,914,0,348,4294967295,24.58,1020.62,14.83,516.79,-30.07,0
342624,79,158,218,915,0,358,4294967295,24.58,1020.63,14.84,514.02,-30.07,0
343620,79,157,216,914,0,345,4294967295,24.58,1020.63,14.85,516.0,-30.07,0
344616,76,156,212,910,0,354,4294967295,24.58,1020.63,14.84,514.81,-30.07,0
