timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
160356,32,71,62,767,0,12,0,24.74,1017.84,15.59,602.00,-7.05,0
161352,33,70,62,766,0,12,0,24.74,1017.85,15.60,598.78,-7.05,0
162348,32,70,61,766,0,12,0,24.73,1017.85,15.61,603.62,-7.05,0
163344,32,71,61,765,0,12,0,24.73,1017.85,15.61,602.54,-7.13,0
164340,32,70,61,766,0,12,0,24.73,1017.86,15.60,605.25,-7.21,0
165336,32,71,61,765,0,13,0,24.73,1017.87,15.59,607.44,-7.21,0
166332,32,70,61,765,0,12,0,24.73,1017.87,15.58,601.46,-7.21,0
167328,32,70,61,765,0,12,0,24.73,1017.87,15.56,602.54,-7.21,0
168324,32,70,61,764,0,13,0,24.73,1017.87,15.54,609.64,-7.21,0
169320,32,70,61,765,0,13,0,24.73,1017.87,15.53,606.89,-7.13,0
170316,32,70,61,765,0,13,0,24.73,1017.86,15.50,606.89,-7.05,0
171312,32,71,61,764,0,12,0,24.73,1017.85,15.50,611.31,-7.13,0
172308,33,70,61,764,0,13,0,24.73,1017.86,15.46,609.09,-7.13,0
173304,32,70,61,764,0,12,0,24.73,1017.86,15.44,610.75,-7.13,0
174300,33,71,62,765,0,13,0,24.73,1017.86,15.42,618.06,-7.21,0
175296,33,70,61,765,0,12,0,24.73,1017.87,15.40,613.54,-7.21,0
176292,33,70,60,765,0,12,0,24.73,1017.87,15.39,615.23,-7.21,0
177288,32,70,61,765,0,11,0,24.73,1017.87,15.37,615.23,-7.21,0
178284,32,70,60,765,0,12,0,24.73,1017.87,15.35,618.06,-7.21,0
179280,32,70,61,765,0,13,0,24.73,1017.87,15.34,614.10,-7.13,0
180276,33,70,60,766,0,12,0,24.73,1017.86,15.32,620.34,-7.21,0
181272,33,70,62,765,0,12,0,24.73,1017.87,15.32,624.96,-7.21,0
182268,33,71,62,765,0,12,0,24.73,1017.87,15.31,618.06,-7.21,0
183264,32,71,61,765,0,13,0,24.73,1017.87,15.30,618.63,-7.13,0
184260,32,70,60,765,0,12,0,24.73,1017.86,15.29,620.34,-7.21,0
185256,33,70,61,765,0,12,0,24.73,1017.87,15.29,622.64,-7.21,0
186252,33,70,61,765,0,12,0,24.73,1017.87,15.27,622.06,-7.21,0
187248,33,71,61,765,0,12,0,24.73,1017.87,15.27,624.96,-7.21,0
188244,32,70,61,764,0,12,0,24.73,1017.87,15.27,622.06,-7.21,0
189240,32,70,61,765,0,12,0,24.73,1017.87,15.28,623.79,-7.21,0
190236,33,70,61,764,0,12,0,24.73,1017.87,15.27,626.12,-7.30,0
191232,33,70,61,765,0,12,0,24.73,1017.88,15.27,626.12,-7.30,0
192228,33,70,61,765,0,13,0,24.73,1017.88,15.28,628.46,-7.30,0
193224,32,70,61,764,0,13,0,24.73,1017.88,15.28,621.49,-7.21,0
194220,32,70,61,764,0,12,0,24.73,1017.87,15.30,627.29,-7.21,0
195216,32,71,61,764,0,12,0,24.73,1017.87,15.30,621.49,-7.21,0
196212,33,70,61,763,0,12,0,24.73,1017.87,15.31,623.22,-7.13,0
197208,32,70,61,763,0,12,0,24.73,1017.86,15.32,622.64,-7.21,0
198204,33,70,61,764,0,12,0,24.73,1017.87,15.32,625.54,-7.21,0
199200,32,70,61,763,0,12,0,24.72,1017.87,15.32,623.22,-7.13,0
200196,33,70,61,763,0,12,0,24.72,1017.86,15.33,623.22,-7.13,0
201192,33,70,61,763,0,12,0,24.72,1017.86,15.32,624.37,-7.13,0
202188,32,70,60,763,0,12,0,24.72,1017.86,15.34,622.64,-7.13,0
203184,32,70,61,762,0,11,0,24.72,1017.86,15.33,629.64,-7.13,0
204180,33,70,60,763,0,12,0,24.72,1017.86,15.33,624.37,-7.13,0
205176,31,70,61,762,0,12,0,24.72,1017.86,15.32,626.71,-7.13,0
206172,31,70,61,763,0,12,0,24.72,1017.86,15.31,631.42,-7.21,0
207168,32,70,61,762,0,12,0,24.72,1017.87,15.30,626.71,-7.13,0
208164,32,70,61,762,0,12,0,24.72,1017.86,15.29,627.29,-7.21,0
