timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
484056,32,70,60,761,0,11,0,24.69,1018.26,14.94,680.68,-10.45,1
485052,32,70,60,761,0,11,0,24.69,1018.26,14.93,683.45,-10.45,1
486048,31,70,60,761,0,11,0,24.69,1018.26,14.93,682.06,-10.36,1
487044,33,70,60,761,0,11,0,24.69,1018.25,14.92,680.68,-10.45,1
488040,32,70,60,761,0,11,0,24.69,1018.26,14.92,680.68,-10.45,1
489036,32,70,59,761,0,11,0,24.69,1018.26,14.91,682.06,-10.45,1
490032,32,70,60,761,0,11,0,24.69,1018.26,14.90,683.45,-10.45,1
491028,32,70,59,761,0,10,0,24.69,1018.26,14.90,682.06,-10.45,1
492024,32,70,60,761,0,11,0,24.69,1018.26,14.90,687.64,-10.45,1
493020,33,70,59,761,0,11,0,24.69,1018.26,14.87,687.64,-10.45,1
494016,32,70,59,761,0,10,0,24.69,1018.26,14.89,682.06,-10.36,1
495012,32,70,60,761,0,11,0,24.69,1018.25,14.88,681.37,-10.36,1
496008,32,70,60,761,0,11,0,24.69,1018.25,14.88,679.99,-10.28,1
497004,31,70,60,762,0,10,0,24.69,1018.24,14.86,682.75,-10.28,1
498000,33,70,60,762,0,11,0,24.69,1018.24,14.86,685.54,-10.28,1
498996,32,70,59,761,0,11,0,24.69,1018.24,14.85,682.06,-10.28,1
499992,32,70,60,761,0,10,0,24.69,1018.24,14.86,680.68,-10.36,1
500988,32,70,59,761,0,11,0,24.69,1018.25,14.86,679.30,-10.36,1
501984,32,70,59,762,0,11,0,24.69,1018.25,14.86,688.35,-10.28,1
502980,33,70,60,762,0,11,0,24.69,1018.24,14.86,685.54,-10.36,1
503976,32,70,60,762,0,11,0,24.69,1018.25,14.85,677.93,-10.36,1
504972,32,70,60,762,0,11,0,24.69,1018.25,14.85,682.06,-10.36,1
505968,32,70,60,762,0,11,0,24.69,1018.25,14.85,679.30,-10.28,1
506964,32,70,60,762,0,11,0,24.69,1018.24,14.84,679.99,-10.28,1
507960,31,70,59,762,0,10,0,24.69,1018.24,14.84,680.68,-10.28,1
508956,32,70,60,761,0,11,0,24.69,1018.24,14.84,678.61,-10.28,1
509952,32,70,60,762,0,11,0,24.69,1018.24,14.85,682.75,-10.28,1
510948,32,70,59,762,0,11,0,24.69,1018.24,14.86,686.24,-10.28,1
511944,32,70,59,762,0,11,0,24.69,1018.24,14.85,683.45,-10.28,1
512940,32,70,59,762,0,11,0,24.69,1018.24,14.86,679.30,-10.28,1
513936,32,70,59,762,0,11,0,24.69,1018.24,14.84,677.25,-10.28,1
514932,32,70,59,761,0,12,0,24.69,1018.24,14.84,680.68,-10.28,1
515928,32,70,60,762,0,12,0,24.69,1018.24,14.85,673.85,-10.36,1
516924,32,70,59,762,0,11,0,24.69,1018.25,14.85,673.17,-10.28,1
517920,32,70,59,761,0,11,0,24.69,1018.24,14.85,672.50,-10.36,1
518916,32,70,59,762,0,11,0,24.69,1018.25,14.85,672.50,-10.36,1
519912,32,70,60,761,0,11,0,24.69,1018.25,14.85,677.25,-10.45,1
520908,32,70,59,762,0,11,0,24.69,1018.26,14.85,671.16,-10.45,1
521904,32,70,60,762,0,11,0,24.69,1018.26,14.85,673.85,-10.36,1
522900,32,70,60,761,0,11,0,24.69,1018.25,14.85,674.53,-10.36,1
523896,33,69,59,761,0,11,0,24.69,1018.25,14.86,670.49,-10.28,1
524892,32,70,59,761,0,10,0,24.69,1018.24,14.85,671.83,-10.28,1
525888,32,70,60,761,0,11,0,24.69,1018.24,14.84,667.82,-10.36,1
526884,32,70,59,761,0,11,0,24.69,1018.25,14.86,669.82,-10.28,1
527880,32,70,60,761,0,11,0,24.69,1018.24,14.86,669.82,-10.28,1
528876,32,70,60,762,0,11,0,24.69,1018.24,14.85,674.53,-10.20,1
529872,32,70,59,762,0,10,0,24.69,1018.23,14.85,670.49,-10.28,1
530868,31,70,60,762,0,11,0,24.69,1018.24,14.85,675.20,-10.28,1
531864,32,70,60,761,0,11,0,24.69,1018.24,14.85,673.85,-10.36,1
532860,32,70,60,761,0,11,0,24.69,1018.25,14.84,670.49,-10.36,1
533856,32,70,59,761,0,11,0,24.69,1018.25,14.86,673.85,-10.36,1
534852,32,69,60,761,0,11,0,24.69,1018.25,14.85,673.17,-10.28,1
535848,31,70,59,761,0,11,0,24.69,1018.24,14.85,673.85,-10.28,1
536844,32,70,59,762,0,11,0,24.69,1018.24,14.85,679.30,-10.28,1
537840,31,70,59,761,0,11,0,24.69,1018.24,14.84,671.16,-10.28,1
538836,31,70,59,761,0,10,0,24.69,1018.24,14.84,673.85,-10.28,1
539832,32,70,59,761,0,10,0,24.69,1018.24,14.85,676.56,-10.36,1
540828,31,70,59,761,0,11,0,24.69,1018.25,14.84,678.61,-10.36,1
541824,31,70,60,762,0,11,0,24.70,1018.25,14.84,673.85,-10.36,1
