timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
309756,42,103,134,846,0,118,4294967295,24.88,1012.82,19.84,222.68,34.73,1
310752,43,102,134,847,0,120,4294967295,24.88,1012.82,19.85,222.23,34.65,1
311748,42,102,134,846,0,113,4294967295,24.88,1012.83,19.85,221.93,34.65,1
312744,43,102,134,844,0,122,4294967295,24.88,1012.83,19.84,220.3,34.65,1
313740,42,102,134,843,0,122,4294967295,24.88,1012.83,19.84,219.86,34.56,1
314736,42,103,133,840,0,121,4294967295,24.88,1012.84,19.85,217.26,34.48,1
315732,42,102,134,838,0,122,4294967295,24.88,1012.85,19.84,215.7,34.4,1
316728,42,102,133,836,0,122,4294967295,24.88,1012.86,19.86,215.56,34.4,1
317724,42,102,133,833,0,126,4294967295,24.88,1012.86,19.85,215.7,34.4,1
318720,42,102,133,831,0,119,4294967295,24.88,1012.86,19.86,213.06,34.31,1
319716,42,102,134,830,0,133,4294967295,24.88,1012.87,19.86,213.47,34.4,1
320712,42,102,134,830,0,122,4294967295,24.88,1012.86,19.87,214.03,34.4,1
321708,42,101,133,828,0,134,4294967295,24.88,1012.86,19.86,214.44,34.4,1
322704,42,102,133,826,0,127,4294967295,24.88,1012.86,19.86,216.55,34.4,1
323700,42,102,133,825,0,122,4294967295,24.88,1012.86,19.85,216.41,34.4,1
324696,42,102,133,823,0,122,4294967295,24.88,1012.86,19.87,217.83,34.48,1
325692,42,102,132,823,0,130,4294967295,24.88,1012.85,19.86,218.84,34.48,1
326688,42,101,133,821,0,132,4294967295,24.88,1012.85,19.87,218.99,34.48,1
327684,42,102,133,821,0,122,4294967295,24.88,1012.85,19.86,219.28,34.4,1
328680,42,101,132,821,0,122,4294967295,24.88,1012.86,19.86,216.69,34.4,1
329676,42,102,133,823,0,122,4294967295,24.88,1012.86,19.87,215.98,34.4,1
330672,42,101,133,825,0,122,4294967295,24.88,1012.86,19.87,216.97,34.4,1
331668,42,101,133,825,0,120,4294967295,24.88,1012.86,19.88,217.83,34.23,1
332664,42,101,132,824,0,122,4294967295,24.88,1012.88,19.87,219.42,34.31,1
333660,42,101,133,822,0,122,4294967295,24.88,1012.87,19.87,218.99,34.31,1
334656,43,101,133,823,0,122,4294967295,24.88,1012.87,19.87,219.28,34.31,1
335652,42,102,133,823,0,122,4294967295,24.88,1012.87,19.87,219.28,34.31,1
336648,42,102,133,823,0,122,4294967295,24.88,1012.87,19.87,219.71,34.31,1
337644,42,102,133,822,0,122,4294967295,24.88,1012.87,19.86,220.01,34.31,1
338640,42,101,133,823,0,122,4294967295,24.88,1012.87,19.87,221.78,34.23,1
339636,42,102,134,826,0,122,4294967295,24.88,1012.88,19.87,221.33,34.23,1
340632,42,102,134,829,0,122,4294967295,24.88,1012.88,19.85,221.93,34.15,1
341628,42,102,134,830,0,122,4294967295,24.88,1012.89,19.86,218.84,34.15,1
342624,42,102,134,832,0,126,4294967295,24.88,1012.89,19.86,214.86,34.15,1
343620,42,102,134,832,0,138,4294967295,24.88,1012.89,19.88,210.88,34.15,1
344616,43,102,134,831,0,131,4294967295,24.88,1012.89,19.87,208.89,34.15,1
345612,43,102,134,830,0,128,4294967295,24.88,1012.89,19.88,204.49,34.15,1
346608,42,102,134,829,0,135,4294967295,24.88,1012.89,19.88,202.24,34.23,1
347604,42,102,134,829,0,134,4294967295,24.88,1012.88,19.88,201.87,34.23,1
348600,43,102,133,827,0,133,4294967295,24.88,1012.88,19.89,201.62,34.15,1
349596,42,102,134,827,0,138,4294967295,24.88,1012.89,19.88,202.37,34.23,1
350592,42,102,134,826,0,133,4294967295,24.88,1012.88,19.86,203.61,34.15,1
351588,42,102,133,824,0,135,4294967295,24.88,1012.89,19.88,204.87,34.06,1
352584,43,101,134,822,0,136,4294967295,24.88,1012.9,19.86,205.89,34.06,1
353580,42,101,133,821,0,123,4294967295,24.88,1012.9,19.87,206.41,34.06,1
354576,42,101,134,820,0,133,4294967295,24.88,1012.9,19.86,207.84,34.06,1
355572,42,102,133,818,0,135,4294967295,24.88,1012.9,19.85,208.75,34.06,1
356568,42,102,133,818,0,132,4294967295,24.88,1012.9,19.86,209.81,34.06,1
357564,42,102,133,818,0,131,4294967295,24.88,1012.9,19.84,211.15,34.06,1
358560,42,101,133,819,0,127,4294967295,24.88,1012.9,19.84,211.29,34.06,1
359556,42,101,133,819,0,127,4294967295,24.88,1012.9,19.84,214.44,34.06,1
360552,42,102,134,819,0,131,4294967295,24.88,1012.9,19.84,214.72,34.06,1
361548,42,101,133,819,0,126,4294967295,24.88,1012.9,19.83,217.4,34.15,1
362544,42,102,133,818,0,122,4294967295,24.88,1012.89,19.84,217.69,34.06,1
363540,42,101,133,818,0,116,4294967295,24.88,1012.9,19.85,219.71,34.06,1
364536,42,101,133,818,0,127,4294967295,24.88,1012.9,19.85,219.86,34.06,1
365532,42,102,133,817,0,116,4294967295,24.88,1012.9,19.85,220.89,34.06,1
366528,42,101,133,817,0,122,4294967295,24.88,1012.9,19.85,220.15,34.06,1
367524,42,102,134,817,0,134,4294967295,24.88,1012.9,19.86,219.42,34.06,1
368520,42,101,133,816,0,122,4294967295,24.89,1012.9,19.86,218.99,34.15,1
369516,42,101,133,817,0,136,4294967295,24.89,1012.89,19.87,217.69,34.06,1
370512,42,102,133,817,0,122,4294967295,24.88,1012.9,19.87,218.41,34.06,1
371508,43,102,133,817,0,122,4294967295,24.89,1012.9,19.86,215.28,33.98,0
372504,42,101,133,816,0,122,4294967295,24.89,1012.91,19.85,214.86,33.98,0
373500,42,102,133,815,0,122,4294967295,24.89,1012.91,19.86,214.16,33.98,0
374496,42,101,132,815,0,122,4294967295,24.88,1012.91,19.86,214.72,33.98,0
375492,42,102,133,815,0,122,4294967295,24.89,1012.91,19.87,212.78,33.98,0
376488,42,101,133,814,0,122,4294967295,24.89,1012.91,19.86,213.61,33.98,0
377484,42,101,133,814,0,122,4294967295,24.89,1012.91,19.86,213.61,33.98,0
378480,42,101,133,815,0,122,4294967295,24.89,1012.91,19.88,214.3,33.9,0
379476,42,101,133,815,0,122,4294967295,24.89,1012.92,19.87,212.78,33.82,0
380472,42,102,133,818,0,122,4294967295,24.89,1012.93,19.86,212.92,33.82,0
381468,42,101,133,821,0,122,4294967295,24.89,1012.93,19.87,211.97,33.9,0
382464,43,102,134,826,0,122,4294967295,24.89,1012.92,19.89,210.88,33.9,0
383460,42,102,134,830,0,122,4294967295,24.89,1012.92,19.88,210.35,33.9,0
384456,43,102,134,828,0,121,4294967295,24.89,1012.92,19.87,209.68,33.9,0
385452,43,102,134,828,0,122,4294967295,24.89,1012.92,19.89,208.1,33.9,0
386448,43,102,134,827,0,122,4294967295,24.89,1012.92,19.9,206.67,33.73,0
387444,42,102,134,826,0,126,4294967295,24.89,1012.94,19.9,207.71,33.82,0
388440,43,101,133,825,0,127,4294967295,24.89,1012.93,19.91,206.02,33.82,0
389436,43,102,133,825,0,132,4294967295,24.89,1012.93,19.91,205.64,33.82,0
390432,43,102,133,824,0,135,4294967295,24.89,1012.93,19.91,206.67,33.82,0
391428,43,102,134,823,0,129,4294967295,24.89,1012.93,19.9,206.15,33.9,0
392424,42,102,134,822,0,138,4294967295,24.89,1012.92,19.93,205.13,33.82,0
393420,43,102,134,821,0,125,4294967295,24.89,1012.93,19.93,205.13,33.9,0
394416,43,102,134,821,0,137,4294967295,24.89,1012.92,19.92,206.41,33.9,0
395412,43,102,133,822,0,149,4294967295,24.89,1012.92,19.93,207.57,33.82,0
396408,43,102,134,822,0,138,4294967295,24.89,1012.93,19.92,206.41,33.9,0
397404,43,102,134,823,0,131,4294967295,24.89,1012.92,19.93,207.71,33.82,0
398400,43,102,133,824,0,137,4294967295,24.89,1012.93,19.93,206.15,33.82,0
399396,43,103,134,826,0,134,4294967295,24.89,1012.93,19.94,204.62,33.73,0
400392,43,102,134,827,0,138,4294967295,24.89,1012.94,19.94,204.87,33.82,0
401388,43,102,133,827,0,144,4294967295,24.89,1012.93,19.94,203.61,33.82,0
402384,43,102,133,826,0,141,4294967295,24.89,1012.93,19.95,204.11,33.82,0
403380,42,102,134,825,0,142,4294967295,24.89,1012.93,19.95,203.24,33.82,0
404376,43,102,134,824,0,142,4294967295,24.89,1012.93,19.94,204.11,33.73,0
405372,43,102,134,822,0,132,4294967295,24.89,1012.94,19.94,205.13,33.82,0
406368,42,102,133,821,0,144,4294967295,24.89,1012.93,19.94,205.64,33.82,0
407364,43,102,133,819,0,144,4294967295,24.89,1012.93,19.93,206.02,33.82,0
408360,42,102,133,819,0,137,4294967295,24.89,1012.93,19.93,205.13,33.73,0
409356,43,102,133,819,0,142,4294967295,24.89,1012.94,19.93,204.11,33.73,0
410352,42,102,134,821,0,141,4294967295,24.89,1012.94,19.93,202.37,33.73,0
411348,43,102,134,820,0,142,4294967295,24.89,1012.94,19.93,200.04,33.73,0
412344,43,102,134,819,0,143,4294967295,24.89,1012.94,19.93,198.48,33.82,0
413340,42,102,134,818,0,142,4294967295,24.89,1012.93,19.94,194.05,33.82,0
414336,43,101,133,818,0,143,4294967295,24.89,1012.93,19.95,191.91,33.73,0
415332,43,102,133,817,0,142,4294967295,24.89,1012.94,19.94,190.47,33.65,0
416328,42,102,134,817,0,143,4294967295,24.89,1012.95,19.94,190.91,33.73,0
417324,42,102,133,816,0,144,4294967295,24.89,1012.94,19.95,190.91,33.82,0
418320,42,101,133,815,0,142,4294967295,24.88,1012.93,19.94,193.03,33.82,0
419316,42,102,134,816,0,143,4294967295,24.88,1012.93,19.95,193.93,33.82,0
420312,42,101,133,816,0,130,4294967295,24.88,1012.93,19.93,193.37,33.82,0
421308,43,101,133,816,0,142,4294967295,24.88,1012.93,19.94,194.51,33.73,0
422304,43,101,133,816,0,143,4294967295,24.89,1012.94,19.93,193.59,33.73,0
423300,43,101,134,816,0,142,4294967295,24.88,1012.94,19.93,195.19,33.82,0
424296,43,102,133,816,0,161,4294967295,24.88,1012.93,19.94,196.59,33.82,0
425292,43,102,134,816,0,140,4294967295,24.88,1012.93,19.93,198.84,33.82,0
426288,42,102,134,815,0,138,4294967295,24.88,1012.93,19.93,199.68,33.82,0
427284,42,101,133,815,0,137,4294967295,24.88,1012.93,19.93,201.99,33.9,0
428280,43,102,133,814,0,137,4294967295,24.88,1012.92,19.94,204.49,33.9,0
429276,43,102,133,815,0,139,4294967295,24.88,1012.92,19.93,204.62,33.82,0
430272,42,101,134,814,0,136,4294967295,24.88,1012.93,19.93,206.54,33.82,0
431268,43,101,133,814,0,137,4294967295,24.88,1012.93,19.93,207.31,33.82,0
432264,43,101,133,814,0,135,4294967295,24.88,1012.93,19.94,210.35,33.73,0
433260,43,101,133,813,0,135,4294967295,24.88,1012.94,19.92,211.02,33.73,0
434256,43,102,133,811,0,136,4294967295,24.88,1012.94,19.93,211.97,33.82,0
435252,43,101,133,810,0,136,4294967295,24.88,1012.93,19.93,214.86,33.82,0
436248,43,102,133,810,0,129,4294967295,24.88,1012.93,19.92,216.27,33.9,0
437244,43,101,133,811,0,133,4294967295,24.88,1012.92,19.93,216.12,33.9,0
438240,43,101,133,811,0,135,4294967295,24.88,1012.92,19.92,218.41,33.9,0
439236,43,101,133,810,0,133,4294967295,24.88,1012.92,19.91,219.13,33.9,0
440232,42,102,133,811,0,131,4294967295,24.89,1012.92,19.92,217.98,33.9,0
441228,42,101,133,812,0,131,4294967295,24.89,1012.92,19.92,217.98,33.9,0
442224,42,101,133,814,0,132,4294967295,24.89,1012.92,19.92,217.4,33.9,0
443220,42,102,133,815,0,117,4294967295,24.89,1012.92,19.92,217.69,33.9,0
444216,43,102,133,816,0,122,4294967295,24.89,1012.92,19.93,216.69,33.9,0
445212,43,101,133,816,0,122,4294967295,24.89,1012.92,19.92,217.55,33.9,0
446208,43,101,134,816,0,126,4294967295,24.89,1012.92,19.92,216.97,33.98,0
447204,42,101,134,814,0,118,4294967295,24.89,1012.91,19.93,216.97,33.98,0
448200,43,101,134,813,0,122,4294967295,24.89,1012.91,19.91,217.83,33.98,0
449196,43,102,133,812,0,120,4294967295,24.89,1012.91,19.92,217.83,33.98,0
450192,42,101,133,812,0,122,4294967295,24.89,1012.91,19.92,216.55,33.9,0
451188,43,101,134,812,0,122,4294967295,24.89,1012.92,19.91,215.14,33.98,0
452184,43,101,133,813,0,122,4294967295,24.89,1012.91,19.91,213.06,33.98,0
453180,43,101,132,813,0,122,4294967295,24.89,1012.91,19.9,213.47,33.9,0
454176,43,102,132,813,0,122,4294967295,24.89,1012.92,19.9,211.97,33.98,0
455172,43,101,133,813,0,122,4294967295,24.89,1012.91,19.9,213.34,33.98,0
456168,42,102,133,813,0,122,4294967295,24.9,1012.91,19.9,211.97,34.06,0
457164,43,101,133,813,0,122,4294967295,24.89,1012.9,19.9,212.24,33.98,0
458160,43,101,133,813,0,122,4294967295,24.89,1012.91,19.9,211.83,33.98,0
459156,43,101,134,813,0,122,4294967295,24.89,1012.91,19.91,211.83,34.06,0
460152,43,101,133,814,0,122,4294967295,24.89,1012.9,19.9,213.34,34.15,0
461148,42,102,133,814,0,122,4294967295,24.89,1012.89,19.91,212.24,34.15,0
462144,43,101,133,814,0,122,4294967295,24.89,1012.89,19.9,214.16,34.06,0
463140,43,101,133,814,0,122,4294967295,24.89,1012.9,19.91,213.2,34.06,0
464136,43,101,133,813,0,127,4294967295,24.89,1012.9,19.9,212.78,34.15,0
465132,43,101,133,815,0,126,4294967295,24.89,1012.89,19.9,214.03,34.15,0
466128,42,101,134,815,0,122,4294967295,24.89,1012.89,19.9,214.72,34.15,0
467124,43,102,133,815,0,130,4294967295,24.89,1012.89,19.9,215.0,34.06,0
468120,43,101,133,815,0,122,4294967295,24.89,1012.9,19.91,215.0,34.06,0
469116,42,101,134,814,0,118,4294967295,24.89,1012.9,19.92,215.98,34.06,0
470112,43,101,133,813,0,127,4294967295,24.89,1012.9,19.93,216.97,34.15,0
471108,43,101,132,813,0,126,4294967295,24.89,1012.89,19.92,217.55,34.15,0
472104,43,101,133,814,0,122,4294967295,24.89,1012.89,19.92,218.99,34.15,0
473100,43,101,134,813,0,122,4294967295,24.89,1012.89,19.92,219.86,34.15,0
474096,42,101,133,813,0,122,4294967295,24.89,1012.89,19.92,220.3,34.15,0
475092,43,101,132,814,0,122,4294967295,24.89,1012.89,19.92,222.38,34.15,0
476088,42,101,133,812,0,127,4294967295,24.89,1012.89,19.92,222.08,34.23,0
477084,42,101,133,811,0,122,4294967295,24.89,1012.88,19.93,222.68,34.15,0
478080,42,101,133,811,0,122,4294967295,24.89,1012.89,19.92,224.03,34.23,0
479076,42,101,133,811,0,122,4294967295,24.89,1012.88,19.93,223.73,34.23,0
480072,43,101,133,811,0,122,4294967295,24.89,1012.88,19.92,223.73,34.23,0
481068,42,101,132,811,0,122,4294967295,24.89,1012.88,19.93,223.13,34.23,0
482064,42,101,133,811,0,126,4294967295,24.89,1012.88,19.93,223.28,34.23,0
483060,42,100,133,812,0,122,4294967295,24.89,1012.88,19.93,221.63,34.31,0
484056,42,101,133,812,0,114,4294967295,24.89,1012.87,19.93,221.93,34.23,0
485052,43,101,133,810,0,122,4294967295,24.89,1012.88,19.92,222.83,34.31,0
486048,43,101,133,811,0,122,4294967295,24.89,1012.87,19.93,221.78,34.31,0
487044,43,101,132,810,0,119,4294967295,24.89,1012.87,19.94,222.38,34.31,0
488040,43,101,132,809,0,122,4294967295,24.89,1012.87,19.92,221.48,34.31,0
489036,42,101,133,812,0,122,4294967295,24.89,1012.87,19.93,222.83,34.31,0
490032,43,101,133,815,0,122,4294967295,24.89,1012.87,19.92,224.03,34.31,0
491028,43,101,133,818,0,119,4294967295,24.89,1012.87,19.93,226.49,34.31,1
492024,43,101,133,820,0,122,4294967295,24.89,1012.87,19.92,226.18,34.31,1
493020,42,102,134,822,0,122,4294967295,24.89,1012.87,19.92,225.56,34.23,1
494016,43,102,134,822,0,122,4294967295,24.89,1012.88,19.93,227.42,34.15,1
495012,43,101,133,821,0,122,4294967295,24.89,1012.89,19.93,225.25,34.15,1
496008,43,101,133,822,0,122,4294967295,24.89,1012.89,19.94,224.79,34.06,1
497004,43,101,133,822,0,122,4294967295,24.89,1012.9,19.93,223.73,34.06,1
498000,42,101,133,821,0,122,4294967295,24.89,1012.9,19.92,224.79,34.06,1
498996,42,101,133,819,0,122,4294967295,24.89,1012.9,19.92,223.73,33.98,1
499992,42,101,132,817,0,122,4294967295,24.89,1012.91,19.93,224.95,33.98,1
500988,43,101,133,816,0,122,4294967295,24.89,1012.91,19.93,225.87,34.06,1
501984,43,101,133,813,0,122,4294967295,24.89,1012.9,19.94,226.49,34.06,1
502980,42,101,133,813,0,122,4294967295,24.89,1012.9,19.93,227.27,34.06,1
503976,43,101,133,812,0,129,4294967295,24.89,1012.9,19.93,229.32,33.98,1
504972,42,101,132,812,0,122,4294967295,24.89,1012.91,19.93,228.84,33.98,1
