timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
557760,155,307,421,851,1,10,0,24.58,1019.47,26.75,309.95,-20.47,1
558756,154,307,419,850,1,10,0,24.58,1019.47,26.78,310.82,-20.47,1
559752,153,306,419,848,2,12,0,24.58,1019.47,26.79,311.41,-20.55,1
560748,153,305,417,846,2,12,0,24.58,1019.48,26.78,309.08,-20.55,1
561744,152,304,416,845,2,11,0,24.58,1019.48,26.78,312.29,-20.47,1
562740,151,303,415,845,2,12,0,24.58,1019.47,26.73,311.11,-20.55,1
563736,151,302,415,848,1,9,0,24.59,1019.48,26.71,313.77,-20.47,1
564732,151,302,415,849,1,11,0,24.59,1019.47,26.66,313.18,-20.55,1
565728,151,301,414,850,1,10,0,24.59,1019.48,26.62,312.88,-20.55,1
566724,151,301,413,849,1,10,0,24.59,1019.48,26.58,316.78,-20.55,1
567720,151,301,412,847,2,11,0,24.59,1019.48,26.52,317.08,-20.55,1
568716,150,300,412,847,1,11,0,24.59,1019.48,26.47,315.57,-20.63,1
569712,151,300,412,855,1,11,0,24.59,1019.49,26.44,316.78,-20.63,1
570708,152,299,412,863,1,11,0,24.59,1019.49,26.41,317.39,-20.63,1
571704,152,300,414,870,1,11,0,24.6,1019.49,26.38,316.78,-20.63,1
572700,153,300,414,875,1,11,6,24.6,1019.49,26.32,317.69,-20.63,1
573696,154,299,413,874,2,12,4294967295,24.6,1019.49,26.31,315.57,-20.63,1
574692,153,298,413,872,1,11,2,24.6,1019.49,26.3,316.47,-20.55,1
575688,153,298,411,871,1,11,1,24.6,1019.48,26.29,314.97,-20.55,1
576684,153,298,411,868,1,11,1,24.6,1019.48,26.28,314.97,-20.63,1
577680,152,297,410,865,2,13,55735,24.6,1019.49,26.25,316.17,-20.55,1
578676,151,297,410,863,2,12,4294967295,24.6,1019.48,26.22,316.78,-20.55,1
579672,151,296,409,862,2,12,4294967295,24.6,1019.48,26.23,314.37,-20.63,1
580668,151,295,408,860,1,12,1,24.6,1019.49,26.21,315.57,-20.63,1
581664,151,295,406,859,1,11,5,24.61,1019.49,26.19,315.27,-20.63,1
582660,150,295,407,858,1,11,744,24.61,1019.49,26.17,314.97,-20.63,1
583656,150,294,406,856,1,11,0,24.61,1019.49,26.16,314.67,-20.55,1
584652,150,294,405,855,1,13,5,24.61,1019.48,26.13,316.78,-20.55,1
585648,150,293,405,855,1,11,0,24.61,1019.48,26.13,317.39,-20.55,1
586644,149,292,404,855,1,11,1,24.61,1019.48,26.12,318.0,-20.55,1
587640,149,293,404,855,1,11,4,24.62,1019.48,26.1,318.61,-20.55,1
588636,148,293,404,862,1,11,0,24.62,1019.48,26.09,319.84,-20.55,1
589632,149,292,404,868,1,11,0,24.62,1019.48,26.08,320.46,-20.55,1
590628,150,292,403,868,1,11,0,24.62,1019.48,26.07,320.77,-20.55,1
591624,150,291,402,867,1,11,0,24.62,1019.48,26.07,321.08,-20.47,1
