timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
298800,140,246,322,847,7,21,4294967295,25.03,1014.03,15.0,173.15,24.75,1
299796,139,245,322,846,6,21,4294967295,25.03,1014.02,14.98,172.43,24.75,1
300792,139,244,320,843,7,21,4294967295,25.03,1014.02,14.98,172.61,24.83,1
301788,139,244,320,841,6,21,4294967295,25.03,1014.01,14.98,172.79,24.75,1
302784,139,244,320,843,7,21,4294967295,25.03,1014.02,14.99,172.61,24.75,1
303780,138,243,319,841,7,24,4294967295,25.03,1014.02,14.99,173.5,24.75,1
304776,137,243,319,839,7,21,4294967295,25.03,1014.02,14.98,172.79,24.75,1
305772,137,243,319,838,7,21,4294967295,25.03,1014.02,15.0,172.79,24.75,1
306768,137,242,317,835,7,21,4294967295,25.03,1014.02,15.02,172.79,24.75,1
307764,136,241,316,834,8,21,4294967295,25.03,1014.02,15.05,172.08,24.75,1
308760,135,241,316,832,7,21,4294967295,25.03,1014.02,15.07,172.97,24.83,1
309756,135,241,316,834,7,21,4294967295,25.03,1014.01,15.09,172.26,24.75,1
310752,135,240,317,833,7,22,4294967295,25.03,1014.02,15.1,172.61,24.75,1
311748,135,241,316,832,7,22,4294967295,25.03,1014.02,15.12,172.43,24.83,1
312744,135,242,317,835,7,22,4294967295,25.03,1014.01,15.14,172.79,24.83,1
313740,135,242,316,836,7,21,4294967295,25.03,1014.01,15.14,173.15,24.83,1
314736,135,241,316,833,7,22,4294967295,25.03,1014.01,15.16,173.5,24.83,1
315732,135,241,315,832,7,22,4294967295,25.03,1014.01,15.16,173.5,24.83,1
316728,135,241,314,833,7,22,4294967295,25.03,1014.01,15.15,174.58,24.83,1
317724,135,241,314,832,7,22,4294967295,25.03,1014.01,15.15,174.04,24.83,1
318720,135,240,315,830,7,22,4294967295,25.02,1014.01,15.14,174.22,24.83,1
319716,135,242,317,838,7,22,4294967295,25.02,1014.01,15.12,174.04,25.0,1
320712,135,243,318,844,7,21,4294967295,25.02,1013.99,15.12,174.58,25.0,1
321708,135,243,317,847,7,22,4294967295,25.02,1013.99,15.12,174.22,24.91,1
322704,135,243,317,849,7,22,4294967295,25.03,1014.0,15.11,174.95,25.0,1
323700,135,243,317,849,7,21,4294967295,25.03,1013.99,15.08,174.95,25.0,1
324696,135,243,318,852,7,22,4294967295,25.03,1013.99,15.08,174.22,25.08,1
325692,135,243,316,851,7,21,4294967295,25.03,1013.98,15.08,174.4,25.08,1
326688,135,242,314,849,7,22,4294967295,25.03,1013.98,15.08,175.68,25.08,1
327684,135,241,314,846,7,21,4294967295,25.02,1013.98,15.06,174.95,25.0,1
328680,134,241,315,847,7,23,4294967295,25.02,1013.99,15.07,174.58,25.0,1
329676,134,241,316,848,7,23,4294967295,25.02,1013.99,15.1,174.22,25.0,1
330672,134,241,315,848,7,23,4294967295,25.02,1013.99,15.13,174.22,25.0,1
331668,134,241,314,848,7,23,4294967295,25.02,1013.99,15.15,174.04,25.0,1
332664,134,239,313,844,7,23,4294967295,25.02,1013.99,15.16,174.04,24.91,1
333660,132,239,312,842,7,23,4294967295,25.02,1014.0,15.17,174.04,25.0,1
334656,132,239,312,839,7,23,4294967295,25.02,1013.99,15.17,174.77,24.91,1
335652,132,238,311,837,7,23,4294967295,25.02,1014.0,15.18,174.58,24.83,1
336648,131,237,310,835,7,23,4294967295,25.02,1014.01,15.18,175.31,24.83,1
337644,130,237,310,834,7,23,4294967295,25.02,1014.01,15.16,174.95,24.83,1
338640,130,237,309,832,7,23,4294967295,25.02,1014.01,15.16,175.13,24.83,1
339636,130,236,309,830,7,23,4294967295,25.02,1014.01,15.15,175.31,24.91,1
340632,129,236,308,830,7,23,4294967295,25.02,1014.0,15.14,176.05,24.91,1
341628,129,236,307,828,7,27,4294967295,25.02,1014.0,15.13,176.42,25.0,1
342624,129,235,308,827,7,24,4294967295,25.02,1013.99,15.12,176.97,24.91,1
343620,128,235,308,826,7,23,4294967295,25.02,1014.0,15.11,176.79,25.0,1
344616,129,235,309,826,7,26,4294967295,25.02,1013.99,15.1,176.79,24.91,1
345612,129,234,308,825,7,25,4294967295,25.02,1014.0,15.09,177.16,24.91,1
346608,128,234,307,824,7,24,4294967295,25.02,1014.0,15.08,177.53,24.91,1
347604,128,234,306,824,6,24,4294967295,25.02,1014.0,15.08,177.53,24.91,1
348600,127,233,305,822,7,24,4294967295,25.02,1014.0,15.06,177.91,25.0,1
349596,127,233,305,822,9,22,4294967295,25.02,1013.99,15.05,177.91,25.0,1
350592,126,233,305,821,7,24,4294967295,25.02,1013.99,15.05,178.1,25.0,1
351588,126,233,304,820,7,25,4294967295,25.02,1013.99,15.05,178.1,25.0,1
352584,125,232,304,820,7,24,4294967295,25.02,1013.99,15.04,178.29,25.0,1
353580,126,233,303,819,7,24,4294967295,25.01,1013.99,15.03,179.05,25.0,1
354576,125,232,303,818,7,24,4294967295,25.01,1013.99,15.03,178.67,24.91,1
355572,125,232,302,818,6,24,4294967295,25.02,1014.0,15.03,179.05,24.91,1
356568,124,232,302,817,7,24,4294967295,25.01,1014.0,15.03,179.05,24.91,1
357564,124,231,302,817,7,24,4294967295,25.02,1014.0,15.03,179.05,24.83,1
358560,124,231,302,815,7,24,4294967295,25.01,1014.01,15.02,179.43,24.91,1
359556,123,231,302,815,7,24,4294967295,25.01,1014.0,15.01,179.62,24.83,1
360552,124,231,301,815,7,24,4294967295,25.02,1014.01,15.02,180.0,24.83,0
