timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
155376,55,63,113,782,0,3,0,25.17,1022.49,23.69,715.47,-45.36,1
156372,57,64,120,783,0,3,0,25.17,1022.48,23.69,713.19,-45.36,1
157368,59,65,128,784,0,3,0,25.17,1022.48,23.69,712.44,-45.44,1
158364,61,65,134,783,0,3,0,25.17,1022.49,23.68,709.43,-45.44,1
159360,62,66,138,784,0,3,0,25.17,1022.49,23.68,713.19,-45.52,1
160356,64,66,144,785,0,3,0,25.17,1022.5,23.69,710.93,-45.52,1
161352,65,67,148,785,0,3,0,25.17,1022.5,23.68,709.43,-45.36,1
162348,67,67,154,784,0,3,0,25.17,1022.48,23.69,710.93,-45.36,1
163344,69,68,159,782,0,3,0,25.17,1022.48,23.68,705.7,-45.36,1
164340,70,68,163,783,0,3,0,25.17,1022.48,23.67,706.44,-45.36,1
165336,71,68,167,781,0,3,0,25.18,1022.48,23.68,710.18,-45.52,1
166332,72,69,170,781,0,3,0,25.18,1022.5,23.67,707.19,-45.52,1
167328,73,69,173,781,0,3,0,25.18,1022.5,23.68,706.44,-45.44,1
168324,74,70,174,780,0,3,0,25.18,1022.49,23.67,708.68,-45.52,1
169320,75,70,177,780,0,3,0,25.18,1022.5,23.66,712.44,-45.44,1
170316,76,70,178,778,0,3,0,25.18,1022.49,23.66,709.43,-45.36,1
171312,76,71,180,778,0,3,0,25.18,1022.48,23.66,704.96,-45.36,1
172308,77,71,182,778,0,3,0,25.18,1022.48,23.66,709.43,-45.36,1
173304,78,72,183,778,0,3,0,25.18,1022.48,23.65,709.43,-45.36,1
174300,78,72,184,777,0,3,0,25.18,1022.48,23.65,710.18,-45.44,1
175296,78,72,185,777,0,3,0,25.18,1022.49,23.65,707.93,-45.44,1
176292,78,72,186,776,0,3,0,25.18,1022.49,23.65,708.68,-45.44,1
177288,79,73,187,776,0,3,0,25.18,1022.49,23.65,709.43,-45.36,1
178284,80,73,188,776,0,3,0,25.18,1022.48,23.65,707.93,-45.36,1
179280,80,72,188,775,0,3,0,25.18,1022.48,23.66,708.68,-45.44,1
180276,80,73,189,775,0,3,0,25.18,1022.49,23.64,707.93,-45.36,1
181272,81,73,190,775,0,3,0,25.18,1022.48,23.65,707.93,-45.36,1
182268,81,73,190,775,0,3,0,25.18,1022.48,23.65,716.23,-45.36,1
183264,82,74,190,775,0,3,0,25.18,1022.48,23.65,704.96,-45.36,1
184260,82,74,191,774,0,3,0,25.18,1022.48,23.63,707.19,-45.27,1
185256,82,74,191,774,0,3,0,25.18,1022.47,23.64,708.68,-45.27,1
186252,83,74,192,774,0,3,0,25.18,1022.47,23.64,707.93,-45.36,1
187248,83,74,192,774,0,3,0,25.18,1022.48,23.64,707.19,-45.36,1
188244,84,74,192,773,0,3,0,25.18,1022.48,23.64,707.93,-45.44,1
189240,84,74,193,774,0,3,0,25.18,1022.49,23.64,704.22,-45.36,1
190236,84,74,195,774,0,3,0,25.18,1022.48,23.64,703.48,-45.27,1
191232,85,75,196,774,0,3,0,25.18,1022.47,23.63,703.48,-45.27,1
192228,85,75,197,774,0,3,0,25.18,1022.47,23.64,704.96,-45.36,1
193224,86,75,198,774,0,3,0,25.18,1022.48,23.64,702.01,-45.27,1
194220,86,75,199,774,0,3,0,25.18,1022.47,23.63,703.48,-45.36,1
195216,86,75,199,774,0,3,0,25.18,1022.48,23.63,703.48,-45.36,1
196212,87,75,199,774,0,3,0,25.18,1022.48,23.63,699.82,-45.36,1
197208,87,75,199,774,0,3,0,25.18,1022.48,23.62,704.22,-45.44,1
198204,87,75,199,774,0,3,0,25.18,1022.49,23.62,702.01,-45.36,1
199200,87,75,199,775,0,3,0,25.18,1022.48,23.62,704.96,-45.36,1
200196,87,75,200,775,0,3,0,25.18,1022.48,23.62,706.44,-45.36,1
201192,88,76,202,775,0,3,0,25.18,1022.48,23.61,702.01,-45.27,1
202188,88,76,202,776,0,3,0,25.18,1022.47,23.62,702.75,-45.19,1
203184,89,75,204,776,0,3,0,25.18,1022.46,23.63,698.37,-45.19,1
204180,89,76,205,776,0,3,0,25.18,1022.46,23.62,703.48,-45.27,1
205176,90,76,206,774,0,3,0,25.18,1022.47,23.62,703.48,-45.36,1
206172,91,76,207,775,0,3,0,25.18,1022.48,23.62,701.28,-45.36,1
207168,91,76,207,774,0,3,0,25.18,1022.48,23.61,703.48,-45.36,1
208164,91,76,209,774,0,3,0,25.18,1022.48,23.62,698.37,-45.27,1
209160,92,76,209,774,0,4,0,25.18,1022.47,23.62,702.01,-45.27,1
210156,92,77,209,775,0,3,0,25.18,1022.47,23.61,704.22,-45.27,1
211152,93,77,211,773,0,3,0,25.18,1022.47,23.62,706.44,-45.36,1
212148,93,77,212,774,0,3,0,25.19,1022.48,23.61,701.28,-45.27,1
