timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State3984
4980,107,102,186,766,2,9,0,24.78,1016.79,15.44,623.79,1.66,0
5976,107,101,186,765,2,9,0,24.79,1016.80,15.45,625.54,1.66,0
6972,107,102,186,765,2,8,0,24.79,1016.80,15.46,624.37,1.66,0
7968,107,102,186,766,2,9,0,24.80,1016.80,15.46,623.22,1.66,0
8964,106,101,186,766,2,8,0,24.81,1016.80,15.45,623.22,1.66,0
9960,107,101,185,766,2,8,0,24.81,1016.80,15.48,623.79,1.66,0
10956,106,101,186,766,2,8,0,24.81,1016.80,15.48,622.64,1.66,0
11952,107,102,185,766,2,9,0,24.82,1016.80,15.48,623.79,1.66,0
12948,106,101,185,766,2,9,0,24.82,1016.80,15.49,620.91,1.58,0
13944,106,101,185,766,2,9,0,24.82,1016.81,15.50,622.64,1.66,0
14940,106,101,184,766,2,8,0,24.82,1016.80,15.51,616.92,1.74,0
15936,106,102,184,766,2,9,0,24.83,1016.79,15.52,626.71,1.74,0
16932,106,101,185,766,2,8,0,24.83,1016.79,15.52,624.37,1.74,0
17928,106,101,184,766,2,9,0,24.83,1016.79,15.53,618.06,1.66,0
18924,106,101,184,766,2,9,0,24.83,1016.80,15.54,617.49,1.58,0
19920,106,101,184,766,2,9,0,24.83,1016.81,15.54,619.77,1.49,0
20916,105,101,184,767,2,9,0,24.83,1016.82,15.55,620.34,1.49,0
21912,105,101,183,766,2,9,0,24.83,1016.82,15.54,619.20,1.49,0
22908,106,101,183,766,2,9,0,24.83,1016.82,15.55,621.49,1.49,0
23904,105,101,184,767,2,8,0,24.83,1016.82,15.56,619.77,1.49,0
24900,106,101,183,767,1,7,0,24.83,1016.82,15.53,619.77,1.49,0
25896,106,101,182,767,1,7,0,24.83,1016.82,15.54,618.63,1.49,0
26892,106,100,183,767,1,7,0,24.84,1016.82,15.55,617.49,1.49,0
27888,106,101,183,766,1,8,0,24.84,1016.82,15.54,619.20,1.58,0
28884,106,101,182,766,1,7,0,24.84,1016.81,15.55,618.63,1.58,0
29880,105,101,183,767,1,7,0,24.84,1016.81,15.55,618.06,1.58,0
30876,106,101,183,767,1,7,0,24.85,1016.81,15.57,616.92,1.58,0
31872,105,101,182,767,1,7,0,24.85,1016.81,15.57,618.63,1.58,0
32868,106,100,182,766,1,7,0,24.85,1016.81,15.58,619.20,1.58,0
33864,106,101,182,766,1,7,0,24.85,1016.81,15.58,619.77,1.58,0
34860,105,101,182,766,1,7,0,24.85,1016.81,15.60,620.34,1.58,0
35856,106,101,182,766,1,7,0,24.85,1016.81,15.60,619.77,1.49,0
36852,105,101,182,767,1,7,0,24.85,1016.82,15.61,621.49,1.58,0
37848,105,101,182,766,1,7,0,24.85,1016.81,15.62,625.54,1.58,0
38844,106,101,182,767,1,7,0,24.86,1016.81,15.63,620.34,1.49,0
39840,105,100,181,765,1,7,0,24.86,1016.82,15.64,616.36,1.58,0
40836,106,101,181,765,1,7,0,24.86,1016.81,15.64,618.63,1.58,0
41832,105,100,181,766,1,7,0,24.86,1016.81,15.65,619.20,1.58,0
42828,105,101,181,765,1,7,0,24.86,1016.81,15.66,622.06,1.58,0
43824,106,100,181,766,1,6,0,24.86,1016.81,15.66,619.20,1.58,0
44820,106,101,181,766,1,6,0,24.86,1016.81,15.67,623.22,1.49,0
45816,106,100,180,766,1,6,0,24.86,1016.82,15.68,618.63,1.49,0
46812,106,100,181,766,1,6,0,24.86,1016.82,15.67,627.29,1.58,0
47808,106,100,180,766,1,6,0,24.87,1016.81,15.67,618.63,1.58,0
48804,105,100,180,766,1,6,0,24.87,1016.81,15.65,624.96,1.66,0
49800,106,100,180,766,1,6,0,24.87,1016.80,15.65,620.91,1.66,0
50796,105,100,180,765,1,6,0,24.87,1016.80,15.63,619.20,1.58,0
51792,105,101,180,767,1,6,0,24.87,1016.81,15.63,618.06,1.58,0
52788,105,100,180,766,1,6,0,24.88,1016.81,15.61,617.49,1.58,0
53784,106,100,180,765,1,6,0,24.88,1016.81,15.61,621.49,1.66,0
54780,105,100,180,766,1,6,0,24.88,1016.80,15.59,622.06,1.58,0
55776,105,101,179,766,1,6,0,24.88,1016.81,15.59,618.63,1.49,0
56772,106,100,179,766,1,6,0,24.88,1016.82,15.56,618.63,1.49,0
57768,105,101,180,765,1,6,0,24.88,1016.82,15.54,620.91,1.58,0
58764,105,100,180,765,1,6,0,24.88,1016.81,15.54,621.49,1.58,0
59760,105,100,179,766,1,6,0,24.88,1016.81,15.52,617.49,1.58,0
60756,106,100,179,765,1,6,0,24.89,1016.81,15.51,623.22,1.49,0
61752,106,100,179,765,1,6,0,24.89,1016.82,15.51,623.22,1.49,0
62748,105,100,179,765,1,6,0,24.89,1016.82,15.50,622.64,1.49,0
63744,105,100,179,765,1,6,0,24.89,1016.82,15.48,620.91,1.49,0
64740,105,100,178,765,1,6,0,24.89,1016.82,15.48,617.49,1.49,0
65736,105,100,179,764,1,6,0,24.89,1016.82,15.46,616.92,1.49,0
66732,105,100,178,765,1,6,0,24.89,1016.82,15.46,616.92,1.49,0
67728,105,100,179,764,1,6,0,24.89,1016.82,15.46,618.06,1.41,0
68724,105,100,178,765,1,6,0,24.89,1016.83,15.45,614.66,1.41,0
69720,105,99,178,765,1,5,0,24.89,1016.83,15.45,610.75,1.49,0
70716,105,99,178,765,1,6,0,24.89,1016.82,15.44,607.99,1.49,0
71712,105,100,178,765,1,6,0,24.89,1016.82,15.45,607.99,1.41,0
72708,105,100,178,765,1,6,0,24.89,1016.83,15.44,606.89,1.41,0
73704,105,100,179,766,1,6,0,24.89,1016.83,15.44,599.85,1.41,0
74700,105,100,178,765,1,5,0,24.89,1016.83,15.45,600.38,1.41,0
75696,105,100,177,766,1,6,0,24.89,1016.83,15.44,604.16,1.33,0
76692,105,99,177,764,1,6,0,24.89,1016.84,15.45,600.92,1.33,0
77688,105,99,178,765,1,6,0,24.89,1016.84,15.46,596.12,1.33,0
78684,105,99,177,765,1,5,0,24.89,1016.84,15.45,600.92,1.33,0
79680,104,99,177,765,1,6,0,24.89,1016.84,15.45,600.38,1.41,0
80676,104,100,177,765,1,6,0,24.89,1016.83,15.47,599.85,1.33,0
81672,104,100,177,765,1,6,0,24.89,1016.84,15.48,598.24,1.41,0
82668,105,99,177,766,1,6,0,24.89,1016.83,15.47,603.08,1.41,0
83664,104,100,176,765,1,6,0,24.90,1016.83,15.48,597.18,1.33,0
84660,104,99,177,766,1,6,0,24.90,1016.84,15.47,602.00,1.33,0
85656,104,99,176,765,1,6,0,24.90,1016.84,15.47,601.46,1.41,0
86652,104,99,177,765,1,6,0,24.90,1016.83,15.46,604.16,1.41,0
87648,104,99,176,765,1,6,0,24.90,1016.83,15.46,605.80,1.33,0
88644,104,99,176,765,1,6,0,24.90,1016.84,15.44,606.89,1.33,0
89640,104,99,177,766,1,7,0,24.90,1016.84,15.45,609.64,1.33,0
90636,104,99,176,765,1,6,0,24.90,1016.84,15.45,606.34,1.33,0
91632,104,99,176,764,1,6,0,24.90,1016.84,15.43,607.99,1.33,0
92628,104,99,176,765,1,6,0,24.90,1016.84,15.42,610.20,1.33,0
93624,104,99,175,764,1,6,0,24.90,1016.84,15.41,614.10,1.33,0
94620,104,99,176,764,1,6,0,24.90,1016.84,15.42,611.31,1.24,0
95616,105,99,176,766,1,7,0,24.90,1016.85,15.41,618.06,1.24,0
96612,107,99,178,769,1,6,0,24.91,1016.85,15.40,618.06,1.16,0
97608,109,100,179,768,1,5,0,24.91,1016.86,15.38,619.77,1.24,0
98604,112,100,181,768,1,6,0,24.91,1016.85,15.37,616.92,1.24,0
99600,114,100,183,767,1,6,0,24.91,1016.85,15.37,623.22,1.16,0
100596,116,100,185,769,1,6,0,24.91,1016.86,15.40,617.49,1.24,0
101592,118,100,187,770,1,6,0,24.91,1016.85,15.44,619.20,1.24,0
102588,119,101,189,769,1,7,0,24.91,1016.85,15.51,618.06,1.24,0
103584,119,100,190,768,1,6,0,24.92,1016.85,15.57,617.49,1.24,0
104580,120,100,191,769,1,6,0,24.92,1016.85,15.64,612.98,1.24,0
105576,122,100,193,768,1,6,0,24.92,1016.85,15.74,613.54,1.24,0
106572,123,101,194,768,1,6,0,24.92,1016.85,15.83,617.49,1.16,0
107568,125,100,196,768,1,6,0,24.92,1016.86,15.91,615.79,1.24,0
108564,126,100,197,768,1,6,0,24.92,1016.85,15.96,615.79,1.24,0
109560,126,101,197,768,1,6,0,24.92,1016.85,16.00,616.92,1.24,0
110556,126,101,197,767,1,6,0,24.92,1016.85,15.99,623.79,1.24,0
111552,126,101,197,767,1,6,0,24.92,1016.85,15.99,621.49,1.33,0
112548,125,101,198,767,1,5,0,24.92,1016.84,15.96,621.49,1.24,0
113544,125,101,198,767,1,6,0,24.92,1016.85,15.94,620.91,1.24,0
114540,124,101,197,767,1,6,0,24.93,1016.85,15.92,625.54,1.24,0
115536,125,101,197,767,1,6,0,24.93,1016.85,15.88,624.96,1.24,0
116532,124,101,197,766,1,6,0,24.93,1016.85,15.85,627.29,1.24,0
117528,123,101,196,766,1,6,0,24.93,1016.85,15.82,627.88,1.24,0
118524,124,101,197,766,1,6,0,24.93,1016.85,15.79,626.71,1.24,0
119520,123,102,197,766,1,6,0,24.93,1016.85,15.76,627.29,1.24,0
120516,124,101,197,766,1,7,0,24.93,1016.85,15.74,626.12,1.24,0
121512,125,101,197,768,1,6,0,24.93,1016.85,15.74,630.23,1.33,0
122508,128,102,200,767,1,6,0,24.93,1016.84,15.72,627.29,1.24,0
123504,131,102,204,768,1,6,0,24.93,1016.85,15.73,632.61,1.24,0
124500,135,102,208,769,1,6,0,24.93,1016.85,15.71,634.40,1.24,0
125496,137,102,211,768,1,6,0,24.93,1016.85,15.69,635.00,1.33,0
126492,139,102,214,768,1,6,0,24.93,1016.84,15.67,632.61,1.24,0
127488,140,103,217,767,1,6,0,24.93,1016.85,15.64,635.00,1.24,0
128484,140,103,217,768,1,6,0,24.93,1016.85,15.62,635.00,1.24,0
129480,141,103,218,767,1,6,0,24.93,1016.85,15.60,638.01,1.24,0
