timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
244020,289,257,525,809,3,15,0,24.38,1012.76,16.36,314.67,35.31,1
245016,289,256,524,809,4,15,0,24.38,1012.75,16.35,315.27,35.23,1
246012,288,256,524,808,4,15,0,24.38,1012.76,16.35,314.97,35.23,1
247008,287,256,522,808,4,15,0,24.38,1012.76,16.35,314.37,35.23,1
248004,286,256,522,808,4,14,0,24.38,1012.76,16.34,318.0,35.23,1
249000,286,256,520,808,4,14,0,24.37,1012.76,16.34,314.97,35.23,1
249996,285,255,520,808,4,15,0,24.37,1012.76,16.34,317.69,35.15,1
250992,285,255,519,808,4,15,0,24.37,1012.77,16.33,316.47,35.15,1
251988,284,256,519,808,4,15,0,24.37,1012.77,16.33,316.78,35.23,1
252984,284,255,518,808,3,14,0,24.37,1012.76,16.34,316.17,35.23,1
253980,283,255,518,807,3,14,0,24.37,1012.76,16.33,314.67,35.23,1
254976,283,255,517,808,3,15,0,24.37,1012.76,16.32,318.0,35.15,1
255972,283,255,516,808,4,15,0,24.37,1012.77,16.32,316.47,35.15,1
256968,283,256,516,808,4,15,0,24.37,1012.77,16.32,319.23,35.15,1
257964,283,255,516,808,3,15,0,24.37,1012.77,16.32,318.92,35.15,1
258960,282,255,515,808,3,17,0,24.37,1012.77,16.31,317.39,35.15,1
259956,282,255,515,808,3,15,0,24.37,1012.77,16.32,318.92,35.15,1
260952,282,255,514,808,3,15,0,24.37,1012.77,16.31,317.39,35.15,1
261948,282,255,514,808,3,15,0,24.36,1012.77,16.3,318.61,35.15,1
262944,282,255,514,808,3,15,0,24.36,1012.77,16.31,318.61,35.06,1
263940,282,255,514,808,3,15,0,24.36,1012.78,16.3,318.92,34.98,1
264936,282,255,514,808,3,15,0,24.36,1012.79,16.31,319.84,34.9,1
265932,282,255,514,808,4,15,0,24.36,1012.8,16.31,319.84,34.98,1
266928,281,255,513,808,3,15,0,24.36,1012.79,16.3,318.92,34.98,1
267924,281,255,512,808,3,15,0,24.36,1012.79,16.29,319.53,34.98,1
268920,281,254,512,808,3,15,0,24.36,1012.79,16.29,320.77,34.98,1
269916,280,254,511,807,4,15,0,24.36,1012.79,16.29,319.84,34.98,1
270912,281,254,512,808,4,15,0,24.36,1012.79,16.29,320.46,34.98,1
271908,280,255,512,808,3,15,0,24.36,1012.79,16.28,320.15,34.98,1
272904,280,255,511,807,3,15,0,24.36,1012.79,16.28,319.84,34.98,1
273900,281,254,512,809,4,14,0,24.36,1012.79,16.28,322.34,34.9,1
274896,280,255,512,809,3,15,0,24.36,1012.8,16.27,320.77,34.9,1
