timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
532860,96,88,163,766,0,1,0,24.76,1017.87,15.12,585.73,-7.30,0
533856,96,88,163,766,0,1,0,24.76,1017.88,15.11,581.17,-7.30,0
534852,96,88,164,765,0,1,0,24.76,1017.88,15.09,581.17,-7.30,0
535848,96,88,163,766,0,1,0,24.76,1017.88,15.07,582.17,-7.30,0
536844,96,88,163,765,0,1,0,24.76,1017.88,15.08,581.17,-7.30,0
537840,95,88,163,766,0,1,0,24.76,1017.88,15.07,579.66,-7.30,0
538836,96,88,164,765,0,1,0,24.76,1017.88,15.06,582.68,-7.30,0
539832,96,89,163,766,0,1,0,24.76,1017.88,15.04,586.75,-7.30,0
540828,96,89,162,766,0,1,0,24.76,1017.88,15.04,582.68,-7.30,0
541824,95,88,163,766,0,1,0,24.76,1017.88,15.02,586.75,-7.21,0
542820,95,88,163,766,0,1,0,24.76,1017.87,15.04,586.75,-7.21,0
543816,96,88,163,765,0,1,0,24.75,1017.87,15.03,582.68,-7.21,0
544812,95,88,163,766,0,1,0,24.75,1017.87,15.02,583.18,-7.21,0
545808,95,88,163,766,0,1,0,24.75,1017.87,15.03,582.68,-7.30,0
546804,95,88,163,766,0,1,0,24.76,1017.88,15.02,588.81,-7.30,0
547800,95,88,162,765,0,1,0,24.76,1017.88,15.03,586.75,-7.30,0
548796,94,88,162,766,0,1,0,24.76,1017.88,15.01,582.68,-7.30,0
549792,94,88,162,765,0,1,0,24.76,1017.88,15.02,587.78,-7.30,0
550788,95,88,162,766,0,1,0,24.76,1017.88,15.01,589.84,-7.38,0
551784,95,88,162,766,0,1,0,24.76,1017.89,15.02,586.75,-7.30,0
552780,94,88,162,765,0,1,0,24.76,1017.88,15.01,584.71,-7.30,0
553776,95,88,162,766,0,1,0,24.76,1017.88,15.01,589.32,-7.30,0
554772,94,88,162,766,0,1,0,24.76,1017.88,15.00,587.26,-7.30,0
555768,94,88,161,766,0,1,0,24.75,1017.88,15.00,590.88,-7.30,0
556764,94,88,162,766,0,1,0,24.75,1017.88,15.01,585.73,-7.30,0
557760,94,88,161,765,0,1,0,24.75,1017.88,15.01,588.29,-7.21,0
558756,94,88,161,766,0,1,0,24.75,1017.87,15.00,584.71,-7.21,0
559752,94,88,161,766,0,1,0,24.76,1017.87,15.00,585.73,-7.21,0
560748,94,88,161,765,0,1,0,24.76,1017.87,15.01,585.73,-7.21,0
561744,93,88,161,765,0,1,0,24.76,1017.87,15.01,585.73,-7.21,0
562740,94,88,160,765,0,1,0,24.76,1017.87,15.01,585.73,-7.21,0
563736,93,88,161,765,0,1,0,24.76,1017.87,15.01,589.32,-7.21,0
564732,94,88,160,765,0,1,0,24.76,1017.87,15.01,587.26,-7.30,0
565728,93,88,160,765,0,1,0,24.76,1017.88,15.02,586.75,-7.30,0
566724,94,88,160,765,0,1,0,24.76,1017.88,15.02,589.84,-7.21,0
567720,94,88,160,765,0,1,0,24.76,1017.87,15.02,585.73,-7.21,0
568716,93,88,159,766,0,1,0,24.76,1017.87,15.02,591.92,-7.30,0
569712,94,87,159,765,0,1,0,24.76,1017.88,15.02,591.92,-7.21,0
570708,93,88,159,765,0,1,0,24.76,1017.87,15.02,586.24,-7.21,0
571704,93,88,160,765,0,1,0,24.77,1017.87,15.02,591.40,-7.30,0
572700,94,88,160,766,0,2,0,24.77,1017.88,15.03,591.92,-7.21,0
573696,95,88,160,766,0,1,0,24.77,1017.87,15.07,586.75,-7.21,0
574692,95,88,160,766,0,1,0,24.77,1017.87,15.08,579.66,-7.30,0
575688,95,89,161,766,0,1,0,24.77,1017.88,15.11,576.68,-7.21,0
576684,95,88,160,765,0,1,0,24.78,1017.87,15.13,575.69,-7.21,0
577680,95,88,161,766,0,1,0,24.78,1017.87,15.15,569.35,-7.21,0
578676,95,89,160,765,0,1,0,24.78,1017.87,15.15,567.42,-7.21,0
579672,95,88,160,767,0,1,0,24.78,1017.87,15.16,572.25,-7.21,0
580668,95,88,162,770,0,1,0,24.78,1017.87,15.15,574.21,-7.30,0
581664,95,89,161,771,0,1,0,24.78,1017.88,15.15,567.42,-7.21,0
582660,95,89,162,771,0,1,0,24.79,1017.87,15.14,569.83,-7.21,0
583656,94,89,160,770,0,1,0,24.79,1017.87,15.15,568.86,-7.30,0
584652,94,89,160,769,0,1,0,24.79,1017.88,15.13,570.31,-7.30,0
585648,94,89,160,769,0,1,0,24.79,1017.88,15.15,568.38,-7.21,0
586644,94,89,160,769,0,1,0,24.79,1017.87,15.15,567.42,-7.21,0
587640,94,89,160,768,0,1,0,24.79,1017.87,15.17,569.83,-7.30,0
588636,94,89,159,768,0,1,0,24.79,1017.88,15.22,566.47,-7.30,0
589632,93,89,159,767,0,1,0,24.79,1017.88,15.26,573.72,-7.38,0
590628,94,89,159,766,0,1,0,24.79,1017.89,15.27,567.90,-7.38,0
591624,93,88,158,766,0,1,0,24.79,1017.89,15.27,569.83,-7.38,0
592620,93,88,158,766,0,1,0,24.79,1017.89,15.27,572.25,-7.38,0
593616,93,89,158,766,0,1,0,24.79,1017.89,15.27,569.35,-7.38,0
594612,93,89,159,768,0,1,0,24.79,1017.89,15.25,573.23,-7.38,0
595608,93,89,159,768,0,1,0,24.79,1017.89,15.24,570.31,-7.38,0
596604,93,89,159,768,0,1,0,24.79,1017.89,15.24,567.90,-7.38,0
597600,94,89,159,769,0,1,0,24.79,1017.89,15.22,575.20,-7.38,0
598596,94,89,159,768,0,1,0,24.79,1017.89,15.21,575.69,-7.30,1
599592,94,89,159,768,0,1,0,24.79,1017.88,15.19,570.80,-7.30,1
0,101,91,167,769,0,2,0,24.79,1017.88,15.19,569.83,-7.30,1
996,105,91,168,769,0,1,0,24.71,1017.88,15.27,547.98,-7.21,1
1992,129,92,168,768,0,1,0,24.70,1017.87,15.34,547.09,-7.13,1
2988,236,103,170,768,0,1,0,24.71,1017.86,15.40,540.05,-7.13,1
3984,288,124,170,769,0,1,0,24.72,1017.86,15.43,543.11,-7.13,1
4980,309,140,171,769,0,1,0,24.73,1017.86,15.44,544.87,-7.13,1
5976,322,150,170,769,0,1,0,24.74,1017.86,15.45,538.32,-7.13,1
6972,351,163,179,770,0,1,0,24.75,1017.86,15.43,539.62,-7.05,1
7968,404,176,226,771,0,1,0,24.76,1017.85,15.42,536.17,-7.05,1
8964,427,185,240,772,0,1,0,24.77,1017.85,15.41,538.32,-7.05,1
9960,438,193,242,772,0,1,0,24.77,1017.85,15.40,537.89,-7.13,1
10956,450,199,240,773,0,1,0,24.78,1017.86,15.38,540.49,-7.21,1
11952,449,204,247,773,0,1,0,24.78,1017.87,15.36,539.62,-7.13,1
12948,464,208,265,775,0,1,0,24.78,1017.86,15.35,531.51,-7.05,1
13944,521,218,290,776,0,1,0,24.79,1017.85,15.34,530.25,-7.13,1
14940,554,225,362,778,0,2,0,24.79,1017.86,15.33,531.93,-7.05,1
15936,606,249,427,784,0,1,0,24.79,1017.85,15.31,524.46,-7.05,1
16932,654,303,471,799,0,1,0,24.79,1017.85,15.29,519.19,-7.13,1
17928,688,347,563,817,0,1,0,24.80,1017.86,15.28,517.99,-7.05,1
18924,692,365,638,830,0,1,0,24.80,1017.85,15.27,511.67,-7.05,1
19920,677,374,645,835,0,1,0,24.80,1017.85,15.25,504.75,-6.97,1
20916,648,377,637,839,0,1,0,24.80,1017.84,15.24,501.74,-6.97,1
21912,617,379,627,842,0,1,0,24.80,1017.84,15.21,497.65,-7.05,1
22908,588,378,618,844,0,1,0,24.80,1017.85,15.20,484.72,-7.05,1
23904,561,376,608,845,0,1,18,24.80,1017.85,15.19,473.79,-7.05,1
24900,537,374,600,845,0,1,0,24.80,1017.85,15.16,469.81,-7.05,1
25896,516,373,593,845,0,1,71,24.81,1017.85,15.16,465.58,-7.13,1
26892,495,370,585,846,0,1,71,24.81,1017.86,15.15,461.10,-7.13,1
27888,476,367,577,846,0,1,211,24.81,1017.86,15.13,463.33,-7.13,1
28884,460,364,571,845,0,1,4294967295,24.81,1017.86,15.12,465.58,-7.21,1
29880,449,363,564,845,0,1,71,24.81,1017.87,15.11,465.58,-7.13,1
30876,440,360,561,844,0,1,5,24.81,1017.86,15.09,465.58,-7.13,1
31872,427,358,556,844,0,1,0,24.81,1017.86,15.09,466.87,-7.05,1
32868,413,356,552,843,0,1,5,24.81,1017.85,15.07,467.85,-7.05,1
33864,402,353,547,843,0,1,0,24.81,1017.85,15.06,470.47,-7.13,1
34860,391,350,542,842,0,1,4294967295,24.81,1017.86,15.05,473.45,-7.05,1
35856,382,348,537,841,0,1,0,24.81,1017.85,15.03,477.83,-7.05,1
36852,372,346,532,841,0,1,0,24.81,1017.85,15.02,476.81,-7.05,1
37848,363,343,527,840,0,1,0,24.81,1017.85,15.02,479.53,-7.05,1
38844,353,340,521,839,0,1,0,24.81,1017.85,14.99,480.22,-7.05,1
39840,344,338,516,838,0,1,0,24.81,1017.85,14.98,485.07,-7.05,1
40836,337,336,511,836,0,1,1,24.81,1017.85,14.98,484.03,-7.13,1
41832,342,333,508,835,0,1,0,24.81,1017.86,14.97,488.60,-7.13,1
42828,385,331,509,835,0,1,0,24.81,1017.86,14.96,487.89,-7.13,1
43824,395,330,515,835,0,1,0,24.81,1017.86,14.95,486.13,-7.21,1
44820,390,327,512,834,0,1,0,24.81,1017.87,14.95,495.08,-7.13,1
45816,380,325,507,832,0,1,0,24.81,1017.86,14.96,492.54,-7.21,1
46812,377,323,502,831,0,1,0,24.81,1017.87,14.94,491.10,-7.13,1
47808,383,321,503,831,0,1,0,24.81,1017.86,14.94,491.46,-7.21,1
48804,483,325,564,833,0,1,0,24.81,1017.87,14.94,497.28,-7.13,1
49800,603,355,667,842,0,1,4294967295,24.81,1017.86,14.94,493.99,-7.21,0
50796,664,388,707,854,0,1,4294967295,24.81,1017.87,14.93,500.24,-7.13,0
51792,675,406,703,859,0,1,4294967295,24.81,1017.86,14.92,502.49,-7.13,0
52788,674,418,690,862,0,1,4294967295,24.81,1017.86,14.94,498.76,-7.21,0
53784,660,423,679,865,0,1,4294967295,24.81,1017.87,14.93,498.76,-7.13,0
54780,633,424,673,866,0,1,4294967295,24.81,1017.86,14.93,506.27,-7.13,0
55776,610,424,668,866,0,1,4294967295,24.81,1017.86,14.93,504.00,-7.05,0
56772,594,425,663,867,0,1,4294967295,24.81,1017.85,14.93,506.27,-7.05,0
57768,584,427,659,868,0,1,4294967295,24.81,1017.85,14.94,503.62,-7.05,0
58764,571,428,657,868,0,1,4294967295,24.81,1017.85,14.94,504.00,-7.05,0
59760,555,429,652,868,0,1,4294967295,24.81,1017.85,14.94,506.27,-6.97,0
60756,540,429,645,869,0,1,4294967295,24.81,1017.84,14.95,501.74,-7.05,0
61752,518,428,636,867,0,1,47,24.81,1017.85,14.95,501.36,-7.05,0
62748,498,424,628,866,0,1,4294967295,24.81,1017.85,14.96,500.62,-7.05,0
