timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
372504,319,241,642,872,5,16,0,24.05,1019.52,25.95,665.18,-20.88,1
373500,311,240,636,872,4,16,0,24.05,1019.52,25.96,663.21,-20.88,1
374496,305,239,629,871,5,15,0,24.05,1019.52,25.97,664.52,-20.88,1
375492,298,238,624,870,4,16,0,24.05,1019.52,25.97,667.16,-20.88,1
376488,293,236,619,870,4,15,0,24.05,1019.52,25.95,667.82,-20.88,1
377484,286,235,614,869,4,16,0,24.05,1019.52,25.96,661.25,-20.97,1
378480,280,234,609,868,5,15,0,24.05,1019.53,25.96,665.84,-20.88,1
379476,274,233,603,867,5,14,0,24.05,1019.52,25.97,668.49,-20.8,1
380472,269,231,598,866,4,16,0,24.05,1019.51,25.98,667.82,-20.8,1
381468,265,230,595,866,4,15,0,24.05,1019.51,25.98,661.9,-20.8,1
382464,320,244,639,868,4,16,0,24.05,1019.51,25.99,664.52,-20.8,1
383460,391,281,685,874,4,15,0,24.05,1019.51,26.0,665.84,-20.8,1
384456,438,321,707,879,4,16,0,24.06,1019.51,26.01,662.55,-20.8,1
385452,463,349,714,883,4,16,0,24.06,1019.51,26.02,667.16,-20.8,1
386448,472,366,715,885,4,16,0,24.06,1019.51,26.02,665.84,-20.8,1
387444,475,378,710,885,4,16,0,24.06,1019.51,26.03,664.52,-20.72,1
388440,475,385,705,887,4,16,0,24.06,1019.5,26.03,665.84,-20.8,1
389436,475,392,702,887,4,18,0,24.06,1019.51,26.02,666.5,-20.8,1
390432,475,400,702,887,2,11,0,24.06,1019.51,26.02,656.72,-20.72,1
391428,474,406,702,888,2,12,0,24.06,1019.5,26.02,665.18,-20.72,1
392424,490,424,718,893,2,13,0,24.06,1019.5,26.01,656.72,-20.72,1
393420,566,487,781,907,2,14,0,24.06,1019.5,26.03,660.6,-20.72,1
394416,613,521,807,915,2,12,0,24.06,1019.5,26.02,660.6,-20.72,1
395412,627,544,809,921,2,13,0,24.06,1019.5,26.02,658.01,-20.72,1
396408,624,559,802,925,2,13,0,24.06,1019.5,26.0,659.95,-20.63,1
397404,627,571,805,927,2,13,0,24.07,1019.49,26.02,657.37,-20.72,1
398400,633,583,809,931,2,13,0,24.07,1019.5,26.01,657.37,-20.72,1
399396,632,594,807,932,2,12,0,24.07,1019.5,26.03,658.01,-20.72,1
400392,639,601,813,934,2,13,0,24.07,1019.5,26.04,658.01,-20.72,1
401388,647,612,813,936,2,12,0,24.07,1019.5,26.03,657.37,-20.72,1
402384,659,621,817,938,2,13,0,24.07,1019.5,26.04,653.53,-20.72,1
403380,663,626,821,938,3,13,0,24.07,1019.5,26.04,656.72,-20.72,1
404376,655,628,820,939,2,13,0,24.08,1019.5,26.06,652.26,-20.72,1
405372,640,627,816,940,2,14,0,24.08,1019.5,26.08,654.16,-20.72,1
406368,627,627,810,940,2,12,0,24.08,1019.5,26.1,645.37,-20.63,1
407364,616,631,803,940,1,11,0,24.08,1019.49,26.11,644.13,-20.63,1
408360,610,636,801,941,2,12,0,24.08,1019.49,26.13,647.23,-20.72,1
409356,618,640,808,942,1,12,0,24.08,1019.5,26.15,645.37,-20.72,1
410352,613,639,804,942,1,11,0,24.09,1019.5,26.18,641.67,-20.72,1
411348,601,637,798,941,1,11,0,24.09,1019.5,26.18,641.06,-20.72,1
412344,586,634,789,941,1,11,0,24.09,1019.5,26.19,637.41,-20.63,1
413340,572,629,779,939,1,12,0,24.09,1019.49,26.21,630.82,-20.72,1
414336,557,625,771,938,2,11,0,24.09,1019.5,26.21,636.2,-20.72,1
415332,543,621,763,936,2,12,0,24.09,1019.5,26.22,633.2,-20.72,1
416328,531,617,756,935,1,12,0,24.09,1019.5,26.24,629.64,-20.63,1
417324,521,613,749,934,1,12,0,24.1,1019.49,26.24,629.64,-20.63,1
418320,513,609,743,932,1,11,0,24.1,1019.49,26.24,624.96,-20.63,1
419316,504,605,738,930,1,11,0,24.1,1019.49,26.24,620.34,-20.63,1
420312,498,601,734,929,1,11,0,24.1,1019.49,26.24,622.64,-20.63,1
421308,497,598,730,928,1,11,0,24.1,1019.49,26.24,616.36,-20.63,1
422304,496,595,726,927,1,11,0,24.11,1019.49,26.26,622.64,-20.72,1
423300,490,592,723,926,1,11,0,24.11,1019.5,26.26,616.36,-20.8,1
424296,483,589,719,924,1,11,0,24.11,1019.51,26.27,615.79,-20.8,1
425292,482,586,720,924,1,12,0,24.11,1019.51,26.26,615.79,-20.72,1
426288,496,585,734,923,1,11,0,24.11,1019.5,26.27,612.42,-20.72,1
427284,528,585,763,923,1,11,0,24.11,1019.5,26.27,614.66,-20.8,1
428280,569,584,792,922,1,11,0,24.12,1019.51,26.27,609.09,-20.8,1
429276,616,590,816,923,1,13,0,24.12,1019.51,26.26,614.66,-20.72,1
430272,649,612,827,927,1,11,0,24.12,1019.5,26.26,612.42,-20.8,1
431268,659,634,828,931,1,11,0,24.12,1019.51,26.26,606.89,-20.8,1
432264,653,645,821,933,1,11,0,24.12,1019.51,26.24,613.54,-20.97,1
433260,642,648,813,933,1,11,0,24.12,1019.53,26.23,610.2,-20.97,1
434256,634,653,808,935,1,11,0,24.11,1019.53,26.24,612.42,-20.97,1
435252,644,659,816,936,1,11,0,24.11,1019.53,26.22,609.09,-20.88,1
436248,653,663,823,937,1,11,0,24.11,1019.52,26.21,610.2,-20.97,1
437244,648,665,819,937,1,11,0,24.11,1019.53,26.21,609.09,-20.88,1
438240,644,667,815,937,1,13,0,24.11,1019.52,26.21,609.09,-20.88,1
439236,636,667,809,936,1,11,0,24.11,1019.52,26.19,611.87,-20.8,1
440232,622,664,801,935,1,11,0,24.11,1019.51,26.19,607.99,-20.72,1
441228,608,660,793,934,1,11,0,24.11,1019.5,26.19,611.87,-20.72,1
442224,592,656,785,933,1,10,0,24.11,1019.5,26.19,610.2,-20.8,1
443220,577,652,776,932,1,11,0,24.11,1019.51,26.18,606.89,-20.8,1
444216,562,648,768,931,1,11,0,24.11,1019.51,26.17,607.99,-20.8,1
445212,547,643,760,930,1,11,0,24.1,1019.51,26.15,610.2,-20.8,1
446208,535,638,753,928,1,11,0,24.1,1019.51,26.16,605.8,-20.72,1
447204,531,636,750,927,1,11,0,24.1,1019.5,26.15,604.71,-20.72,1
448200,536,635,749,926,1,11,0,24.1,1019.5,26.14,608.54,-20.8,1
449196,548,636,752,926,1,11,0,24.1,1019.51,26.14,606.34,-20.88,1
450192,550,638,750,925,1,11,0,24.1,1019.52,26.14,604.16,-20.72,1
451188,551,638,749,925,1,11,0,24.1,1019.5,26.14,602.54,-20.72,1
452184,552,638,747,925,1,11,0,24.1,1019.5,26.14,607.44,-20.72,1
453180,553,638,747,924,1,11,0,24.1,1019.5,26.14,601.46,-20.63,1
