timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State-94.30
563736,34,71,59,790,1,8,0,24.64,1028.42,12.28,693.32,-94.30,1
564732,34,71,58,791,1,8,0,24.64,1028.42,12.26,697.64,-94.30,1
565728,35,71,59,792,1,8,0,24.64,1028.42,12.26,693.32,-94.22,1
566724,34,71,59,790,1,8,0,24.64,1028.41,12.25,694.04,-94.22,1
567720,35,71,59,790,1,8,0,24.64,1028.41,12.24,696.92,-94.22,1
568716,35,71,59,789,1,8,0,24.64,1028.41,12.22,697.64,-94.22,1
569712,35,71,59,789,1,9,0,24.64,1028.41,12.23,694.04,-94.30,1
570708,35,71,59,790,1,8,0,24.64,1028.42,12.21,697.64,-94.30,1
571704,36,71,58,790,1,8,0,24.64,1028.42,12.21,694.75,-94.30,1
572700,36,71,59,794,1,8,0,24.64,1028.42,12.23,689.05,-94.38,1
573696,37,72,59,799,1,8,0,24.64,1028.43,12.22,690.47,-94.38,1
574692,36,72,60,801,1,8,0,24.64,1028.43,12.21,696.92,-94.30,1
575688,37,72,60,803,1,9,0,24.63,1028.42,12.22,696.92,-94.30,1
576684,37,72,60,805,1,8,0,24.63,1028.42,12.22,691.18,-94.30,1
577680,38,73,61,804,1,8,0,24.63,1028.42,12.21,688.35,-94.22,1
578676,38,72,61,806,1,8,0,24.63,1028.41,12.20,690.47,-94.14,1
579672,38,73,61,807,1,8,0,24.63,1028.40,12.21,689.76,-94.22,1
580668,39,73,61,810,1,8,0,24.63,1028.41,12.21,699.09,-94.22,1
581664,39,73,60,810,1,8,0,24.63,1028.41,12.22,695.47,-94.22,1
582660,40,74,61,813,1,8,0,24.63,1028.41,12.21,691.18,-94.22,1
583656,40,75,62,815,1,8,0,24.63,1028.41,12.22,691.89,-94.30,1
584652,40,74,62,814,1,8,0,24.63,1028.42,12.21,692.61,-94.22,1
585648,40,75,62,813,1,8,0,24.63,1028.41,12.22,696.20,-94.22,1
586644,40,74,62,811,1,8,0,24.63,1028.41,12.21,690.47,-94.22,1
587640,40,74,62,809,1,8,0,24.63,1028.41,12.21,694.75,-94.14,1
588636,40,74,62,807,1,8,0,24.63,1028.40,12.22,691.18,-94.14,1
589632,40,74,62,805,1,8,0,24.63,1028.40,12.21,686.94,-94.14,1
590628,40,74,62,804,1,8,0,24.63,1028.40,12.22,699.09,-94.14,1
591624,39,74,62,802,1,8,0,24.63,1028.40,12.21,699.09,-94.22,1
592620,39,74,62,801,1,8,0,24.63,1028.41,12.22,696.20,-94.14,1
593616,39,74,62,800,1,8,0,24.63,1028.40,12.22,696.20,-94.22,1
594612,39,73,61,799,1,8,0,24.63,1028.41,12.22,696.92,-94.22,1
595608,39,73,62,798,1,8,0,24.63,1028.41,12.22,693.32,-94.14,1
596604,39,73,62,797,1,8,0,24.63,1028.40,12.22,691.89,-94.14,1
597600,39,74,61,796,1,8,0,24.63,1028.40,12.21,689.05,-94.14,1
598596,39,73,61,795,1,8,0,24.63,1028.40,12.22,697.64,-94.14,1
599592,38,73,61,794,1,8,0,24.63,1028.40,12.21,694.04,-94.14,1
0,38,73,62,793,1,9,0,24.63,1028.40,12.21,695.47,-94.14,1
996,39,73,62,796,1,8,0,24.55,1028.40,12.20,689.76,-94.14,1
1992,40,73,62,797,1,8,0,24.54,1028.40,12.22,693.32,-94.14,1
2988,40,73,63,798,1,8,0,24.54,1028.40,12.23,696.20,-94.14,1
3984,41,74,63,802,1,8,0,24.55,1028.40,12.23,693.32,-94.14,1
4980,41,74,64,804,1,8,0,24.56,1028.40,12.22,696.20,-94.05,1
5976,42,74,64,807,1,8,0,24.57,1028.39,12.22,690.47,-94.05,1
6972,42,74,64,808,1,8,0,24.58,1028.39,12.23,697.64,-93.97,1
7968,43,75,64,809,1,10,0,24.59,1028.38,12.22,694.75,-94.05,1
8964,42,75,63,807,1,8,0,24.59,1028.39,12.21,698.37,-94.05,1
9960,42,75,64,805,1,8,0,24.60,1028.39,12.20,696.92,-93.97,1
10956,41,75,64,804,1,8,0,24.60,1028.38,12.20,699.09,-93.97,1
11952,41,75,63,803,1,8,0,24.60,1028.38,12.20,697.64,-93.89,1
12948,42,75,64,801,1,9,0,24.61,1028.37,12.19,694.04,-93.89,1
13944,42,75,63,801,1,8,0,24.61,1028.37,12.19,697.64,-93.89,1
14940,42,74,64,801,1,8,0,24.61,1028.37,12.18,691.89,-93.97,1
15936,41,75,64,801,1,8,0,24.61,1028.38,12.18,691.89,-93.97,1
16932,41,74,63,800,1,9,0,24.61,1028.38,12.17,696.20,-93.97,1
17928,41,75,63,799,1,8,0,24.61,1028.38,12.18,697.64,-93.89,1
18924,41,75,64,799,1,8,0,24.62,1028.37,12.17,694.75,-93.97,1
19920,41,75,63,797,1,8,0,24.62,1028.38,12.18,696.92,-93.97,1
20916,41,74,63,797,1,9,0,24.62,1028.38,12.17,694.75,-93.97,1
21912,41,74,64,796,1,8,0,24.62,1028.38,12.18,696.20,-94.05,1
22908,41,74,63,796,1,9,0,24.63,1028.39,12.17,693.32,-93.97,0
23904,41,74,63,795,1,8,0,24.63,1028.38,12.19,694.04,-93.97,0
24900,41,75,62,794,1,9,0,24.63,1028.38,12.19,694.75,-93.97,0
25896,40,74,63,793,1,8,0,24.63,1028.38,12.20,698.37,-93.97,0
26892,41,74,63,793,1,8,0,24.63,1028.38,12.19,698.37,-93.97,0
27888,40,74,63,792,1,8,0,24.63,1028.38,12.20,699.82,-93.97,0
28884,40,74,63,792,1,8,0,24.63,1028.38,12.20,698.37,-93.97,0
29880,40,74,62,791,1,8,0,24.63,1028.38,12.21,696.20,-93.97,0
30876,40,74,63,789,0,8,0,24.63,1028.38,12.21,693.32,-93.89,0
31872,40,74,63,789,1,8,0,24.63,1028.37,12.20,695.47,-93.97,0
32868,40,74,62,789,1,8,0,24.63,1028.38,12.21,696.92,-93.89,0
33864,40,74,63,788,1,9,0,24.63,1028.37,12.21,701.28,-93.81,0
34860,39,73,62,788,1,9,0,24.63,1028.36,12.21,703.48,-93.81,0
35856,39,73,63,788,1,8,0,24.63,1028.36,12.21,695.47,-93.81,0
36852,39,73,62,787,1,9,0,24.63,1028.36,12.22,703.48,-93.81,0
37848,39,73,62,787,1,9,0,24.63,1028.36,12.22,701.28,-93.81,0
