timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
434256,97,105,170,774,0,4,0,25.4,1021.4,23.68,613.54,-36.35,1
435252,96,106,170,774,0,3,0,25.4,1021.39,23.67,616.36,-36.27,1
436248,97,106,170,775,0,4,0,25.4,1021.38,23.67,614.66,-36.27,1
437244,96,106,171,776,0,4,0,25.4,1021.38,23.67,612.42,-36.35,1
438240,97,106,171,776,0,3,0,25.4,1021.39,23.69,612.42,-36.27,1
439236,97,106,171,776,0,3,0,25.4,1021.38,23.69,616.36,-36.27,1
440232,96,105,170,776,0,3,0,25.4,1021.38,23.7,616.92,-36.19,1
441228,97,106,171,776,0,3,0,25.4,1021.37,23.71,611.31,-36.19,1
442224,96,106,171,776,0,3,0,25.4,1021.37,23.73,616.36,-36.19,1
443220,97,105,171,776,0,3,0,25.4,1021.37,23.74,615.23,-36.27,1
444216,97,106,171,776,0,3,0,25.4,1021.38,23.73,614.1,-36.27,1
445212,96,106,170,777,0,4,0,25.4,1021.38,23.73,612.42,-36.19,1
446208,97,106,170,776,0,3,0,25.4,1021.37,23.74,616.92,-36.19,1
447204,96,105,170,776,0,4,0,25.4,1021.37,23.73,612.98,-36.19,1
448200,97,105,171,777,0,4,0,25.39,1021.37,23.73,610.75,-36.19,1
449196,97,105,170,777,0,3,0,25.39,1021.37,23.73,611.31,-36.19,1
450192,97,105,171,776,0,3,0,25.39,1021.37,23.73,616.92,-36.19,1
451188,97,106,170,777,0,3,0,25.39,1021.37,23.71,613.54,-36.1,1
452184,96,106,170,777,0,3,0,25.39,1021.36,23.71,611.31,-36.02,1
453180,97,105,171,777,0,3,0,25.39,1021.35,23.71,609.64,-36.02,1
454176,97,105,171,778,0,3,0,25.39,1021.35,23.71,612.98,-36.02,1
455172,97,105,171,777,0,3,0,25.39,1021.35,23.7,618.06,-36.02,1
456168,97,105,171,776,0,4,0,25.39,1021.35,23.7,614.1,-36.1,1
457164,97,106,170,777,0,3,0,25.39,1021.36,23.7,614.66,-36.1,1
458160,97,105,170,776,0,3,0,25.39,1021.36,23.69,613.54,-36.02,1
459156,96,105,171,777,0,3,0,25.39,1021.35,23.7,614.66,-36.1,1
460152,97,106,170,777,0,3,0,25.39,1021.36,23.7,618.06,-36.02,1
461148,96,106,170,776,0,3,0,25.39,1021.35,23.69,616.92,-36.02,1
462144,97,105,170,776,0,4,0,25.39,1021.35,23.7,617.49,-35.94,1
463140,97,105,170,775,0,3,0,25.39,1021.34,23.69,612.98,-36.02,1
464136,97,105,169,774,0,3,0,25.39,1021.35,23.7,614.66,-36.02,1
465132,97,105,170,774,0,3,0,25.39,1021.35,23.69,617.49,-36.02,1
466128,96,105,169,774,0,4,0,25.39,1021.35,23.68,619.77,-36.1,1
467124,97,105,169,775,0,4,0,25.39,1021.36,23.68,612.98,-36.1,1
468120,97,105,169,774,0,3,0,25.39,1021.36,23.69,613.54,-36.1,1
469116,97,104,169,774,0,3,0,25.39,1021.36,23.69,613.54,-36.1,1
470112,96,105,169,774,0,3,0,25.39,1021.36,23.69,613.54,-36.1,1
471108,96,105,169,774,0,4,0,25.39,1021.36,23.69,619.77,-36.1,1
472104,96,105,168,774,0,3,0,25.39,1021.36,23.67,614.1,-36.1,1
473100,96,104,169,774,0,3,0,25.39,1021.36,23.68,616.92,-36.1,1
474096,96,105,168,773,0,3,0,25.39,1021.36,23.68,618.06,-36.1,1
475092,95,105,169,774,0,4,0,25.39,1021.36,23.68,617.49,-36.1,1
476088,96,105,168,774,0,3,0,25.39,1021.36,23.69,617.49,-36.1,1
477084,96,105,169,774,0,4,0,25.39,1021.36,23.68,617.49,-36.1,1
478080,96,104,168,774,0,3,0,25.39,1021.36,23.7,620.91,-36.02,1
479076,95,105,169,774,0,3,0,25.39,1021.35,23.69,612.42,-36.02,1
480072,96,104,169,774,0,3,0,25.39,1021.35,23.69,620.34,-36.02,1
481068,96,105,169,774,0,3,0,25.39,1021.35,23.69,614.66,-35.94,1
482064,96,105,168,774,0,4,0,25.39,1021.34,23.68,612.42,-35.94,1
483060,96,104,169,774,0,3,0,25.39,1021.34,23.67,619.2,-36.02,1
484056,96,104,168,774,0,3,0,25.39,1021.35,23.69,614.66,-36.02,1
485052,96,105,168,774,0,3,0,25.39,1021.35,23.68,612.98,-35.94,1
486048,95,105,169,773,0,3,0,25.39,1021.34,23.69,617.49,-35.94,1
487044,96,104,168,773,0,4,0,25.39,1021.34,23.67,613.54,-35.94,1
488040,95,104,168,774,0,3,0,25.4,1021.34,23.69,610.2,-35.86,1
489036,96,105,168,774,0,4,0,25.4,1021.33,23.68,614.1,-35.86,1
490032,95,104,168,773,0,3,0,25.4,1021.33,23.68,613.54,-35.86,1
491028,96,104,168,773,0,3,0,25.4,1021.33,23.69,610.2,-35.86,1
492024,96,105,168,774,0,3,0,25.4,1021.33,23.69,616.92,-35.94,1
493020,95,104,168,775,0,3,0,25.4,1021.34,23.68,612.42,-35.94,1
494016,96,104,168,775,0,3,0,25.4,1021.34,23.69,616.36,-35.94,1
495012,96,104,169,774,0,3,0,25.4,1021.34,23.68,616.36,-35.94,1
496008,96,104,168,774,0,3,0,25.4,1021.34,23.68,614.1,-35.94,1
497004,96,104,169,775,0,3,0,25.4,1021.34,23.68,612.98,-35.94,1
498000,96,104,169,774,0,3,0,25.4,1021.34,23.68,611.87,-35.94,1
498996,95,105,169,775,0,4,0,25.4,1021.34,23.69,616.92,-36.02,0
499992,95,104,169,775,0,3,0,25.4,1021.35,23.68,615.79,-36.02,0
500988,96,104,168,775,0,3,0,25.39,1021.35,23.68,616.36,-35.94,0
501984,96,104,169,775,0,3,0,25.39,1021.34,23.69,610.75,-35.94,0
502980,96,104,168,775,0,4,0,25.39,1021.34,23.69,616.92,-35.94,0
503976,96,105,168,775,0,3,0,25.39,1021.34,23.69,612.98,-35.94,0
504972,95,104,169,775,0,3,0,25.39,1021.34,23.69,616.92,-35.94,0
505968,95,104,168,774,0,3,0,25.39,1021.34,23.69,616.92,-36.02,0
506964,96,104,168,774,0,3,0,25.4,1021.35,23.7,614.66,-36.1,0
507960,96,104,169,775,0,3,0,25.4,1021.36,23.69,619.2,-36.02,0
508956,95,104,168,775,0,3,0,25.39,1021.35,23.7,614.1,-36.02,0
509952,96,104,168,774,0,3,0,25.39,1021.35,23.69,616.92,-35.94,0
510948,96,104,168,775,0,4,0,25.39,1021.34,23.69,611.31,-35.94,0
511944,96,104,168,774,0,3,0,25.39,1021.34,23.69,611.31,-35.94,0
512940,95,104,168,775,0,4,0,25.39,1021.34,23.68,616.36,-35.94,0
513936,95,104,168,775,0,3,0,25.39,1021.34,23.68,617.49,-36.1,0
514932,95,105,168,775,0,3,0,25.39,1021.36,23.69,616.36,-36.1,0
515928,96,105,168,775,0,3,0,25.39,1021.36,23.68,615.79,-36.1,0
516924,95,104,168,774,0,3,0,25.4,1021.36,23.68,615.79,-36.19,0
517920,96,104,168,774,0,3,0,25.4,1021.37,23.67,611.87,-36.1,0
518916,95,104,167,775,0,3,0,25.4,1021.36,23.68,612.98,-36.02,0
519912,95,104,167,773,0,4,0,25.39,1021.35,23.67,615.23,-36.1,0
520908,95,104,167,774,0,3,0,25.39,1021.36,23.67,615.23,-36.02,0
521904,95,104,167,774,0,4,0,25.39,1021.35,23.67,612.42,-36.02,0
522900,95,104,167,774,0,3,0,25.39,1021.35,23.66,614.1,-36.02,0
523896,95,104,167,774,0,3,0,25.39,1021.35,23.66,612.98,-35.94,0
524892,95,104,167,774,0,4,0,25.39,1021.34,23.65,613.54,-35.94,0
525888,95,104,167,774,0,3,0,25.39,1021.34,23.64,610.75,-36.02,0
526884,95,104,167,774,0,4,0,25.39,1021.35,23.62,616.36,-36.1,0
527880,95,104,167,774,0,3,0,25.39,1021.36,23.61,609.09,-36.1,0
528876,95,104,167,774,0,3,0,25.39,1021.36,23.61,609.64,-36.1,0
529872,94,104,166,774,0,3,0,25.39,1021.36,23.61,609.09,-36.02,0
530868,94,104,167,774,0,3,0,25.39,1021.35,23.6,609.64,-36.02,0
531864,94,104,167,774,0,4,0,25.39,1021.35,23.61,609.09,-35.94,0
532860,95,104,166,774,0,3,0,25.39,1021.34,23.6,609.09,-36.02,0
533856,95,104,167,774,0,3,0,25.39,1021.35,23.61,610.75,-36.1,0
534852,95,104,166,773,0,3,0,25.39,1021.36,23.61,614.66,-36.1,0
535848,94,104,166,773,0,3,0,25.39,1021.36,23.6,614.1,-36.19,0
536844,95,104,166,773,0,3,0,25.39,1021.37,23.6,610.2,-36.1,0
537840,95,103,166,774,0,3,0,25.39,1021.36,23.61,614.66,-36.1,0
538836,94,104,166,773,0,3,0,25.39,1021.36,23.61,615.79,-36.02,0
539832,94,104,166,774,0,4,0,25.39,1021.35,23.6,614.1,-36.1,0
540828,94,104,165,774,0,3,0,25.39,1021.36,23.61,615.23,-36.02,0
541824,94,103,166,773,0,3,0,25.39,1021.35,23.61,610.2,-36.1,0
542820,95,104,166,773,0,4,0,25.39,1021.36,23.61,614.66,-36.02,0
543816,94,103,166,773,0,3,0,25.38,1021.35,23.61,612.98,-36.02,0
544812,94,103,166,773,0,3,0,25.38,1021.35,23.62,612.98,-36.02,0
545808,94,104,166,773,0,3,0,25.38,1021.35,23.61,611.31,-36.1,0
546804,94,104,165,773,0,3,0,25.38,1021.36,23.61,611.31,-36.02,0
547800,94,103,166,773,0,3,0,25.38,1021.35,23.62,616.36,-36.1,0
548796,94,104,165,774,0,3,0,25.38,1021.36,23.62,617.49,-36.02,0
549792,94,103,165,773,0,3,0,25.37,1021.35,23.62,612.42,-36.02,0
550788,94,103,165,774,0,3,0,25.37,1021.35,23.63,608.54,-36.02,0
551784,94,103,165,774,0,3,0,25.37,1021.35,23.63,612.42,-36.02,0
552780,94,103,165,773,0,3,0,25.37,1021.35,23.62,614.1,-36.1,0
553776,94,104,165,773,0,4,0,25.37,1021.36,23.64,612.98,-36.1,0
554772,94,103,165,773,0,3,0,25.37,1021.36,23.66,610.75,-36.02,0
555768,94,104,165,774,0,3,0,25.37,1021.35,23.65,615.79,-36.02,0
556764,94,103,165,773,0,3,0,25.37,1021.35,23.66,612.42,-36.02,0
557760,94,103,164,773,0,3,0,25.37,1021.35,23.65,615.23,-36.02,0
558756,94,103,165,773,0,3,0,25.37,1021.35,23.67,612.42,-35.94,0
559752,93,103,165,773,0,3,0,25.37,1021.34,23.65,612.42,-36.02,0
560748,94,103,165,773,0,3,0,25.37,1021.35,23.67,616.92,-36.02,0
561744,94,104,165,773,0,4,0,25.37,1021.35,23.66,612.98,-36.02,0
562740,93,103,165,773,0,3,0,25.37,1021.35,23.67,616.92,-36.1,0
563736,93,103,164,774,0,3,0,25.37,1021.36,23.67,616.92,-36.1,0
564732,93,103,165,773,0,3,0,25.38,1021.36,23.66,611.31,-36.1,0
565728,94,103,165,774,0,3,0,25.38,1021.36,23.67,612.98,-36.1,0
566724,93,103,165,774,0,3,0,25.38,1021.36,23.68,615.23,-36.02,0
567720,94,104,165,775,0,3,0,25.38,1021.35,23.68,615.23,-36.1,0
568716,93,103,164,777,0,3,0,25.38,1021.36,23.72,614.66,-36.02,1
569712,93,104,165,778,0,3,0,25.39,1021.35,23.73,615.23,-36.02,1
570708,93,104,165,778,0,3,0,25.39,1021.35,23.76,612.42,-35.94,1
571704,94,104,165,778,0,3,0,25.39,1021.34,23.8,609.09,-35.94,1
572700,94,103,166,779,0,3,0,25.39,1021.34,23.83,614.66,-35.86,1
573696,94,103,165,778,0,4,0,25.39,1021.33,23.84,612.42,-35.94,1
574692,94,104,166,779,0,3,0,25.39,1021.34,23.86,607.99,-35.94,1
575688,93,104,165,779,0,3,0,25.39,1021.34,23.86,609.09,-35.94,1
576684,94,104,165,778,0,4,0,25.4,1021.34,23.89,609.64,-35.94,1
577680,94,104,165,779,0,3,0,25.4,1021.34,23.9,607.99,-36.02,1
578676,94,103,164,779,0,4,0,25.4,1021.35,23.9,607.99,-36.02,1
579672,94,104,165,778,0,4,0,25.4,1021.35,23.93,607.44,-36.02,1
580668,94,103,164,778,0,3,0,25.4,1021.35,23.92,612.42,-36.02,1
581664,94,103,164,777,0,3,0,25.4,1021.35,23.92,610.2,-36.02,1
582660,93,104,164,777,0,3,0,25.4,1021.35,23.91,611.87,-36.1,1
583656,94,103,165,776,0,4,0,25.4,1021.36,23.89,612.42,-36.1,1
584652,94,103,164,776,0,3,0,25.41,1021.36,23.88,611.87,-36.1,1
585648,93,103,164,776,0,3,0,25.41,1021.36,23.86,611.31,-36.02,1
586644,93,103,164,776,0,4,0,25.4,1021.35,23.84,605.8,-36.02,1
587640,94,103,164,776,0,4,0,25.4,1021.35,23.83,610.75,-36.02,1
588636,93,103,164,776,0,3,0,25.4,1021.35,23.82,607.44,-36.02,1
589632,93,103,164,775,0,3,0,25.4,1021.35,23.79,608.54,-36.02,1
590628,94,103,163,776,0,4,0,25.4,1021.35,23.78,607.99,-36.02,1
591624,93,103,163,775,0,3,0,25.4,1021.35,23.77,606.89,-36.1,1
592620,93,103,163,775,0,3,0,25.4,1021.36,23.75,607.44,-36.02,1
593616,93,103,163,775,0,3,0,25.4,1021.35,23.74,607.99,-36.02,1
594612,94,103,163,775,0,3,0,25.4,1021.35,23.75,612.42,-36.02,1
595608,93,102,163,775,0,3,0,25.4,1021.35,23.72,608.54,-36.02,1
596604,93,103,164,775,0,3,0,25.4,1021.35,23.72,609.09,-36.1,1
597600,92,103,163,774,0,3,0,25.4,1021.36,23.71,610.2,-36.1,1
598596,93,103,163,774,0,3,0,25.4,1021.36,23.7,607.44,-36.02,1
599592,93,103,163,774,0,3,0,25.4,1021.35,23.7,612.42,-36.1,1
0,92,103,163,774,0,3,0,25.4,1021.36,23.69,615.79,-35.94,1
996,92,103,163,774,0,3,0,25.32,1021.34,23.73,609.09,-35.94,1
1992,93,103,163,774,0,3,0,25.31,1021.34,23.77,606.89,-36.02,1
2988,93,102,163,774,0,4,0,25.31,1021.35,23.78,606.89,-35.94,1
3984,92,103,163,774,0,3,0,25.32,1021.34,23.78,604.71,-35.94,1
4980,92,103,163,775,0,3,0,25.33,1021.34,23.78,610.2,-35.94,1
5976,93,103,163,775,0,3,0,25.34,1021.34,23.77,606.89,-35.94,1
6972,93,103,162,775,0,4,0,25.35,1021.34,23.77,606.89,-35.94,1
7968,93,103,163,774,0,3,0,25.35,1021.34,23.76,606.34,-36.02,1
8964,92,102,162,774,0,4,0,25.36,1021.35,23.74,610.2,-36.1,1
9960,93,103,162,774,0,3,0,25.37,1021.36,23.74,607.44,-36.02,1
10956,93,102,162,774,0,3,0,25.37,1021.35,23.74,607.99,-36.02,1
11952,92,103,162,774,0,3,0,25.37,1021.35,23.73,612.98,-36.02,1
12948,92,102,162,774,0,3,0,25.38,1021.35,23.73,608.54,-36.02,1
13944,93,102,162,774,0,3,0,25.38,1021.35,23.72,614.66,-36.02,1
14940,93,102,162,774,0,3,0,25.38,1021.35,23.72,608.54,-35.94,1
15936,93,102,162,773,0,3,0,25.38,1021.34,23.71,606.89,-35.86,1
16932,93,103,162,774,0,3,0,25.39,1021.33,23.7,608.54,-35.86,1
17928,92,102,162,773,0,3,0,25.39,1021.33,23.7,613.54,-35.86,1
18924,92,102,162,774,0,3,0,25.39,1021.33,23.69,607.99,-35.77,1
19920,93,102,162,774,0,3,0,25.39,1021.32,23.69,612.42,-35.86,1
20916,93,102,162,775,0,3,0,25.39,1021.33,23.68,614.66,-35.86,1
21912,92,102,163,776,0,3,0,25.39,1021.33,23.68,612.42,-35.86,0
22908,93,103,162,776,0,3,0,25.39,1021.33,23.68,610.2,-35.86,0
23904,93,102,162,776,0,3,0,25.39,1021.33,23.67,615.79,-35.94,0
24900,92,102,162,776,0,4,0,25.39,1021.34,23.67,609.64,-35.86,0
25896,93,102,162,774,0,3,0,25.39,1021.33,23.67,609.64,-35.86,0
26892,93,103,161,774,0,3,0,25.39,1021.33,23.67,609.64,-35.86,0
27888,92,103,162,775,0,3,0,25.4,1021.33,23.67,615.79,-35.77,0
28884,92,102,161,775,0,3,0,25.39,1021.32,23.67,610.75,-35.77,0
29880,93,102,161,774,0,3,0,25.39,1021.32,23.67,610.75,-35.77,0
30876,92,102,161,775,0,3,0,25.39,1021.32,23.67,611.31,-35.77,0
31872,93,102,161,774,0,3,0,25.4,1021.32,23.66,614.66,-35.86,0
32868,92,102,161,775,0,3,0,25.4,1021.33,23.67,615.23,-35.86,0
33864,92,102,160,775,0,3,0,25.4,1021.33,23.66,612.98,-35.86,0
34860,92,102,161,774,0,4,0,25.4,1021.33,23.67,610.2,-35.86,0
35856,92,101,161,774,0,3,0,25.4,1021.33,23.67,615.79,-35.86,0
36852,92,102,161,774,0,3,0,25.4,1021.33,23.67,610.75,-35.86,0
37848,92,102,161,774,0,3,0,25.4,1021.33,23.66,610.2,-35.86,0
38844,92,102,160,774,0,3,0,25.4,1021.33,23.66,616.92,-35.77,0
39840,91,102,160,774,0,3,0,25.4,1021.32,23.66,616.92,-35.69,0
40836,92,101,160,774,0,4,0,25.4,1021.31,23.65,609.64,-35.69,0
41832,92,102,160,774,0,4,0,25.4,1021.31,23.66,615.79,-35.69,0
42828,92,101,161,774,0,3,0,25.4,1021.31,23.66,610.75,-35.77,0
43824,91,102,160,774,0,3,0,25.4,1021.32,23.65,612.42,-35.69,0
