timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
253980,95,362,437,806,0,33,4294967295,25.09,1016.43,16.46,376.7,4.73,1
254976,96,362,437,807,0,33,4294967295,25.09,1016.43,16.47,374.14,4.73,1
255972,96,361,436,808,0,33,4294967295,25.09,1016.43,16.47,375.84,4.81,1
256968,95,361,436,809,0,32,4294967295,25.09,1016.42,16.46,374.14,4.81,1
257964,96,361,436,810,0,33,4294967295,25.09,1016.42,16.47,378.07,4.9,1
258960,95,360,436,811,0,36,4294967295,25.09,1016.41,16.48,374.57,4.9,1
259956,96,360,436,811,0,33,4294967295,25.09,1016.41,16.48,378.49,4.81,1
260952,96,359,436,811,0,33,4294967295,25.09,1016.42,16.48,375.42,4.81,1
261948,96,359,435,813,0,33,4294967295,25.09,1016.42,16.48,374.57,4.81,1
262944,97,359,436,814,0,33,4294967295,25.09,1016.42,16.48,377.22,4.81,1
263940,96,359,437,815,0,33,4294967295,25.09,1016.42,16.47,378.71,4.9,1
264936,96,358,437,815,0,33,4294967295,25.1,1016.41,16.48,375.42,4.9,1
265932,97,358,437,815,0,33,4294967295,25.1,1016.41,16.49,378.49,4.9,1
266928,96,358,438,816,0,33,4294967295,25.1,1016.41,16.48,375.42,4.98,1
267924,98,357,439,817,0,33,4294967295,25.1,1016.4,16.48,379.78,5.06,1
268920,99,357,440,818,0,32,4294967295,25.1,1016.39,16.48,374.14,5.06,1
269916,98,357,440,819,0,33,4294967295,25.1,1016.39,16.48,374.14,5.14,1
270912,99,357,441,820,0,33,4294967295,25.1,1016.38,16.49,378.92,5.14,1
271908,99,356,441,821,0,33,4294967295,25.1,1016.38,16.48,379.35,5.06,1
272904,99,356,442,823,0,33,4294967295,25.1,1016.39,16.49,376.7,5.14,1
273900,99,356,442,824,0,34,4294967295,25.1,1016.38,16.5,374.99,5.23,1
274896,100,356,442,825,0,32,4294967295,25.1,1016.37,16.5,378.28,5.23,1
275892,100,355,442,825,0,34,4294967295,25.1,1016.37,16.52,378.71,5.23,1
276888,100,355,442,825,0,33,4294967295,25.1,1016.37,16.5,378.49,5.23,1
277884,99,355,441,824,0,33,4294967295,25.1,1016.37,16.51,379.13,5.23,1
278880,99,354,441,824,0,33,4294967295,25.1,1016.37,16.52,376.7,5.23,1
279876,99,353,440,822,0,35,4294967295,25.1,1016.37,16.52,376.7,5.23,1
280872,99,352,439,821,0,34,4294967295,25.1,1016.37,16.52,378.92,5.14,1
281868,98,352,439,821,0,33,4294967295,25.11,1016.38,16.52,376.7,5.23,1
282864,98,352,438,820,0,33,4294967295,25.11,1016.37,16.51,379.13,5.23,1
283860,98,351,438,818,0,33,4294967295,25.11,1016.37,16.5,376.7,5.23,1
284856,97,351,438,818,0,34,4294967295,25.11,1016.37,16.51,374.99,5.14,1
285852,97,350,437,816,0,34,4294967295,25.11,1016.38,16.5,378.07,5.14,1
286848,97,350,436,816,0,33,4294967295,25.11,1016.38,16.5,378.92,5.14,1
287844,97,348,436,816,0,34,4294967295,25.12,1016.38,16.49,374.57,5.23,1
288840,97,349,436,815,0,34,4294967295,25.12,1016.37,16.48,378.28,5.31,1
289836,97,348,436,814,0,37,4294967295,25.12,1016.36,16.49,379.35,5.23,1
290832,97,347,435,813,0,34,4294967295,25.12,1016.37,16.48,374.99,5.23,1
291828,97,347,435,813,0,34,4294967295,25.12,1016.37,16.47,379.35,5.23,1
292824,97,346,436,813,0,34,4294967295,25.12,1016.37,16.46,376.7,5.31,1
293820,98,346,436,812,0,34,4294967295,25.12,1016.36,16.46,379.35,5.23,1
294816,97,346,435,813,0,33,4294967295,25.12,1016.37,16.46,380.21,5.23,1
295812,98,345,436,814,0,34,4294967295,25.12,1016.37,16.45,381.07,5.23,1
296808,98,346,435,814,0,33,4294967295,25.12,1016.37,16.47,378.49,5.14,1
297804,98,344,435,814,0,33,4294967295,25.12,1016.38,16.45,383.03,5.06,1
298800,98,345,437,814,0,33,4294967295,25.12,1016.39,16.44,380.85,5.06,1
299796,98,344,437,813,0,33,4294967295,25.12,1016.39,16.44,381.29,5.06,1
300792,98,344,437,814,0,33,4294967295,25.12,1016.39,16.45,381.07,4.98,1
301788,98,343,438,814,0,33,4294967295,25.12,1016.4,16.43,381.94,4.98,1
302784,98,343,437,814,0,34,4294967295,25.12,1016.4,16.43,382.37,4.98,1
303780,98,343,438,814,0,33,4294967295,25.12,1016.4,16.44,383.9,4.98,1
304776,99,342,438,814,0,33,4294967295,25.12,1016.4,16.44,381.29,4.9,1
305772,99,342,438,814,0,35,4294967295,25.12,1016.41,16.44,378.92,4.9,1
306768,99,342,438,814,0,33,4294967295,25.12,1016.41,16.43,384.12,4.9,1
307764,99,341,437,814,0,33,4294967295,25.12,1016.41,16.43,382.81,4.9,1
308760,99,340,437,814,0,34,4294967295,25.12,1016.41,16.43,383.24,4.98,1
309756,99,341,437,813,0,33,4294967295,25.12,1016.4,16.43,384.12,4.9,1
310752,99,340,438,813,0,33,4294967295,25.12,1016.41,16.43,383.24,4.9,1
311748,99,340,438,813,0,37,4294967295,25.12,1016.41,16.43,383.03,4.9,1
312744,99,340,439,814,0,33,4294967295,25.12,1016.41,16.43,383.68,4.81,1
313740,100,339,440,815,0,33,4294967295,25.12,1016.42,16.43,384.12,4.9,1
314736,99,340,440,814,0,33,4294967295,25.12,1016.41,16.43,383.9,4.81,1
315732,100,339,441,816,0,34,4294967295,25.12,1016.42,16.44,384.12,4.9,1
316728,101,339,442,818,0,33,4294967295,25.12,1016.41,16.43,384.34,4.9,0
317724,101,340,443,819,0,33,4294967295,25.12,1016.41,16.44,385.0,4.81,0
318720,101,339,443,819,0,33,4294967295,25.12,1016.42,16.45,383.24,4.9,0
319716,101,339,443,819,0,34,4294967295,25.13,1016.41,16.46,383.68,4.9,0
320712,101,338,443,819,0,35,4294967295,25.13,1016.41,16.48,382.81,4.9,0
321708,101,338,442,819,0,34,4294967295,25.13,1016.41,16.5,383.03,4.9,0
322704,100,338,441,817,0,33,4294967295,25.13,1016.41,16.53,381.5,4.81,0
323700,99,337,440,816,0,34,4294967295,25.13,1016.42,16.55,380.21,4.81,0
324696,99,337,440,815,0,33,4294967295,25.13,1016.42,16.56,382.37,4.9,0
325692,98,336,439,813,0,34,4294967295,25.13,1016.41,16.57,384.12,4.98,0
326688,99,335,439,811,0,34,4294967295,25.13,1016.4,16.58,383.24,4.81,0
327684,98,334,438,811,0,34,4294967295,25.13,1016.42,16.58,382.59,4.81,0
328680,98,334,436,810,0,35,4294967295,25.13,1016.42,16.57,381.07,4.9,0
329676,98,333,437,810,0,31,4294967295,25.13,1016.41,16.57,382.37,4.81,0
330672,98,333,436,809,0,32,4294967295,25.13,1016.42,16.57,381.72,4.9,0
331668,98,332,435,807,0,32,4294967295,25.13,1016.41,16.58,381.5,4.81,0
332664,98,331,435,807,0,32,4294967295,25.14,1016.42,16.57,380.64,4.81,0
333660,98,330,435,806,0,33,4294967295,25.14,1016.42,16.57,382.15,4.9,0
334656,97,331,434,806,0,33,4294967295,25.14,1016.41,16.57,380.85,4.98,0
335652,97,330,433,805,0,35,4294967295,25.14,1016.4,16.56,379.13,5.06,0
336648,97,329,433,805,0,33,4294967295,25.14,1016.39,16.55,374.14,5.06,0
337644,97,329,432,804,0,33,4294967295,25.14,1016.39,16.56,379.35,5.14,0
338640,97,328,432,804,0,32,4294967295,25.15,1016.38,16.55,375.84,5.14,0
339636,97,328,432,803,0,33,4294967295,25.15,1016.38,16.54,378.92,5.14,0
340632,96,328,431,803,0,33,4294967295,25.15,1016.38,16.53,378.49,5.23,0
341628,97,327,431,802,0,33,4294967295,25.15,1016.37,16.54,376.7,5.14,0
342624,96,327,431,802,0,33,4294967295,25.15,1016.38,16.54,378.28,5.14,0
343620,97,326,430,801,0,33,4294967295,25.16,1016.38,16.52,374.99,5.06,0
344616,97,326,430,801,0,33,4294967295,25.16,1016.39,16.52,376.7,5.06,0
345612,97,326,429,801,0,32,4294967295,25.16,1016.39,16.52,377.64,5.06,0
346608,96,325,429,801,0,33,4294967295,25.16,1016.39,16.51,376.7,5.06,0
347604,96,324,428,800,0,34,4294967295,25.16,1016.39,16.5,374.99,5.14,0
348600,96,325,428,799,0,32,4294967295,25.16,1016.38,16.51,378.49,5.14,0
349596,95,324,427,799,0,33,4294967295,25.16,1016.38,16.49,378.49,5.23,0
350592,95,323,427,799,0,33,4294967295,25.16,1016.37,16.49,379.13,5.23,0
351588,95,323,427,798,0,33,4294967295,25.16,1016.37,16.5,376.7,5.23,0
352584,95,323,426,797,0,33,4294967295,25.16,1016.37,16.49,376.7,5.31,0
353580,95,322,425,797,0,33,4294967295,25.16,1016.36,16.49,378.49,5.31,0
354576,95,321,425,797,0,32,4294967295,25.17,1016.36,16.48,378.28,5.31,0
355572,95,321,425,796,0,33,4294967295,25.17,1016.36,16.47,376.27,5.14,0
356568,95,320,424,796,0,34,4294967295,25.17,1016.38,16.47,376.7,5.14,0
357564,95,320,424,796,0,33,4294967295,25.17,1016.38,16.47,379.35,5.14,0
358560,95,320,423,796,0,34,4294967295,25.17,1016.38,16.46,375.84,5.23,0
359556,96,319,423,796,0,33,4294967295,25.17,1016.37,16.45,376.7,5.14,0
360552,95,319,423,796,0,33,4294967295,25.17,1016.38,16.45,378.92,5.14,0
361548,95,319,422,795,0,33,4294967295,25.17,1016.38,16.45,378.92,5.06,0
362544,95,318,422,795,0,32,4294967295,25.17,1016.39,16.45,375.84,5.06,0
363540,95,318,422,795,0,34,4294967295,25.17,1016.39,16.46,378.28,5.06,0
364536,95,318,421,794,0,34,4294967295,25.17,1016.39,16.44,379.13,5.06,0
365532,96,317,421,794,0,34,4294967295,25.17,1016.39,16.44,379.13,4.98,0
366528,95,317,421,794,0,34,4294967295,25.17,1016.4,16.43,378.92,4.98,0
367524,95,317,421,793,0,34,4294967295,25.17,1016.4,16.43,375.84,4.98,0
368520,95,316,421,793,0,34,4294967295,25.18,1016.4,16.43,378.92,4.9,0
369516,96,316,421,793,0,34,4294967295,25.18,1016.41,16.43,378.92,4.9,0
370512,96,316,420,793,0,34,4294967295,25.18,1016.41,16.43,378.28,4.9,0
371508,96,315,420,793,0,33,4294967295,25.18,1016.41,16.42,378.49,4.81,0
372504,96,315,420,792,0,34,4294967295,25.18,1016.42,16.42,379.13,4.9,0
373500,96,315,420,793,0,34,4294967295,25.17,1016.41,16.41,380.21,4.81,0
374496,96,314,419,792,0,33,4294967295,25.17,1016.42,16.42,380.64,4.9,0
375492,95,314,418,792,0,35,4294967295,25.17,1016.41,16.41,380.42,4.98,0
376488,95,314,417,792,0,34,4294967295,25.17,1016.4,16.42,382.37,4.9,0
377484,95,313,417,792,0,33,4294967295,25.17,1016.41,16.41,381.94,4.98,0
378480,95,313,417,792,0,34,4294967295,25.17,1016.4,16.41,382.81,4.98,0
379476,94,313,417,791,0,33,4294967295,25.17,1016.4,16.41,382.37,4.98,0
380472,94,313,416,792,0,34,4294967295,25.17,1016.4,16.4,382.37,5.06,1
381468,94,312,416,791,0,34,4294967295,25.17,1016.39,16.41,384.56,5.06,1
382464,94,312,415,791,0,34,4294967295,25.17,1016.39,16.4,383.68,5.14,1
383460,94,311,414,791,0,34,4294967295,25.17,1016.38,16.4,381.5,5.14,1
384456,94,310,414,791,0,34,4294967295,25.17,1016.38,16.41,383.24,5.14,1
385452,94,311,415,791,0,35,4294967295,25.17,1016.38,16.42,384.12,5.06,1
386448,95,311,415,791,0,34,4294967295,25.17,1016.39,16.45,383.03,5.06,1
387444,94,310,414,791,0,34,4294967295,25.17,1016.39,16.47,381.5,5.06,1
388440,95,310,415,790,0,34,4294967295,25.17,1016.39,16.49,384.56,4.98,1
389436,96,310,416,791,0,34,4294967295,25.17,1016.4,16.5,384.12,4.98,1
390432,96,310,416,792,0,32,4294967295,25.17,1016.4,16.51,381.72,4.9,1
391428,96,310,416,792,0,34,4294967295,25.17,1016.41,16.51,383.03,4.9,1
392424,96,309,416,792,0,35,4294967295,25.17,1016.41,16.5,385.44,4.81,1
393420,96,310,417,794,0,35,4294967295,25.17,1016.42,16.5,384.78,4.81,1
394416,96,309,416,794,0,34,4294967295,25.17,1016.42,16.5,386.55,4.73,1
395412,96,309,417,795,0,35,4294967295,25.17,1016.43,16.49,385.44,4.73,1
396408,96,309,418,796,0,35,4294967295,25.17,1016.43,16.5,384.78,4.65,1
397404,96,308,418,797,0,34,4294967295,25.17,1016.44,16.5,385.0,4.65,1
398400,97,309,418,797,0,34,4294967295,25.17,1016.44,16.49,384.78,4.65,1
399396,97,308,418,799,0,34,4294967295,25.17,1016.44,16.5,386.11,4.65,1
400392,97,308,419,799,0,35,4294967295,25.17,1016.44,16.49,385.89,4.56,1
401388,97,308,419,800,0,35,4294967295,25.17,1016.45,16.49,384.12,4.56,1
402384,98,308,420,801,0,34,4294967295,25.18,1016.45,16.49,386.33,4.48,1
