timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
0,41,72,78,771,0,1,0,24.71,1018.38,15.11,566.94,-11.36,0
996,42,72,78,770,0,1,0,24.63,1018.37,15.10,558.92,-11.44,0
1992,42,72,77,770,0,1,0,24.62,1018.38,15.13,559.86,-11.52,0
2988,43,71,77,769,0,1,0,24.62,1018.39,15.11,563.14,-11.52,0
3984,42,72,77,767,0,1,0,24.63,1018.39,15.13,564.09,-11.52,0
4980,42,72,76,768,0,1,0,24.64,1018.39,15.12,563.61,-11.61,0
5976,43,71,77,768,0,1,0,24.65,1018.40,15.12,561.26,-11.61,0
6972,42,71,77,769,0,1,0,24.66,1018.40,15.11,562.20,-11.69,0
7968,42,71,77,769,0,1,0,24.66,1018.41,15.11,562.67,-11.69,0
8964,42,72,77,769,0,1,0,24.67,1018.41,15.10,564.09,-11.69,0
9960,42,71,76,768,0,1,0,24.67,1018.41,15.09,566.47,-11.69,0
10956,43,71,77,767,0,1,0,24.68,1018.41,15.10,561.26,-11.77,0
11952,42,71,77,768,0,1,0,24.68,1018.42,15.13,560.79,-11.77,0
12948,42,71,76,767,0,1,0,24.69,1018.42,15.16,563.14,-11.77,0
13944,42,71,76,768,0,1,0,24.69,1018.42,15.22,559.39,-11.77,0
14940,42,71,77,767,0,1,0,24.69,1018.42,15.27,565.99,-11.69,0
15936,42,71,76,768,0,1,0,24.69,1018.41,15.31,559.86,-11.69,0
16932,42,71,76,767,0,1,0,24.69,1018.41,15.33,559.39,-11.69,0
17928,42,71,76,767,0,1,0,24.69,1018.41,15.36,556.61,-11.69,0
18924,42,71,77,766,0,1,0,24.69,1018.41,15.39,557.53,-11.77,0
19920,42,71,76,766,0,1,0,24.69,1018.42,15.42,560.32,-11.77,0
20916,42,70,77,767,0,1,0,24.69,1018.42,15.45,555.69,-11.85,0
21912,42,71,76,766,0,1,0,24.69,1018.43,15.48,559.86,-11.85,0
22908,42,70,76,766,0,1,0,24.69,1018.43,15.51,558.00,-11.77,0
23904,42,70,76,766,0,1,0,24.69,1018.42,15.53,559.86,-11.77,0
24900,42,70,76,765,0,1,0,24.69,1018.42,15.53,554.77,-11.77,0
25896,41,71,76,766,0,1,0,24.69,1018.42,15.53,556.61,-11.69,0
26892,42,71,77,765,0,1,0,24.69,1018.41,15.52,558.00,-11.61,0
27888,42,71,76,765,0,1,0,24.69,1018.40,15.51,556.61,-11.69,0
28884,42,71,76,766,0,1,0,24.69,1018.41,15.49,558.92,-11.61,0
29880,41,71,76,765,0,1,0,24.69,1018.40,15.46,563.14,-11.52,0
30876,41,71,76,769,0,1,0,24.69,1018.39,15.44,557.53,-11.52,0
31872,42,71,77,770,0,1,0,24.69,1018.39,15.42,558.00,-11.52,0
32868,42,72,77,769,0,1,0,24.69,1018.39,15.40,557.53,-11.61,0
33864,41,71,77,769,0,1,0,24.69,1018.40,15.38,557.07,-11.61,0
34860,41,71,76,767,0,1,0,24.69,1018.40,15.35,557.53,-11.61,0
35856,41,71,76,766,0,2,0,24.70,1018.40,15.34,563.61,-11.61,0
36852,40,70,76,767,0,1,0,24.70,1018.40,15.31,562.67,-11.52,0
37848,41,71,76,766,0,1,0,24.70,1018.39,15.29,562.67,-11.52,0
38844,41,71,76,766,0,1,0,24.70,1018.39,15.29,562.20,-11.61,0
39840,41,71,76,765,0,1,0,24.70,1018.40,15.26,566.94,-11.61,0
40836,41,71,76,766,0,1,0,24.70,1018.40,15.26,564.09,-11.61,0
41832,41,71,76,766,0,1,0,24.70,1018.40,15.23,560.32,-11.61,0
42828,40,70,76,765,0,1,0,24.70,1018.40,15.22,565.99,-11.52,0
43824,41,70,76,766,0,1,0,24.70,1018.39,15.22,562.67,-11.52,0
44820,40,71,76,765,0,1,0,24.70,1018.39,15.21,563.14,-11.52,0
45816,41,71,76,765,0,1,0,24.70,1018.39,15.20,559.39,-11.69,0
46812,41,70,76,765,0,1,0,24.70,1018.41,15.19,560.32,-11.61,0
47808,41,71,76,765,0,1,0,24.70,1018.40,15.18,564.09,-11.61,0
48804,41,70,76,765,0,1,0,24.70,1018.40,15.18,562.20,-11.52,0
49800,40,70,76,764,0,1,0,24.70,1018.39,15.17,561.26,-11.52,0
50796,41,71,76,765,0,1,0,24.70,1018.39,15.16,560.32,-11.52,0
51792,40,71,76,765,0,1,0,24.70,1018.39,15.15,560.79,-11.52,0
52788,40,71,76,765,0,1,0,24.70,1018.39,15.13,565.04,-11.52,0
53784,41,70,76,765,0,1,0,24.70,1018.39,15.14,563.14,-11.52,0
54780,41,70,75,766,0,1,0,24.70,1018.39,15.14,561.73,-11.44,0
55776,41,71,76,765,0,1,0,24.70,1018.38,15.13,561.26,-11.36,0
56772,40,70,76,765,0,1,0,24.70,1018.37,15.14,566.94,-11.44,0
57768,41,71,75,765,0,1,0,24.70,1018.38,15.13,564.09,-11.36,0
58764,41,71,76,765,0,1,0,24.70,1018.37,15.12,563.61,-11.36,0
59760,41,70,76,766,0,1,0,24.70,1018.37,15.12,566.47,-11.36,0
60756,41,70,76,765,0,1,0,24.70,1018.37,15.11,562.20,-11.44,0
61752,41,70,76,765,0,1,0,24.70,1018.38,15.12,566.94,-11.44,0
62748,41,71,75,765,0,1,0,24.70,1018.38,15.13,566.94,-11.36,0
63744,41,71,76,765,0,1,0,24.70,1018.37,15.12,564.56,-11.36,1
64740,41,70,75,765,0,1,0,24.70,1018.37,15.14,563.14,-11.52,1
65736,41,71,76,766,0,1,0,24.70,1018.39,15.12,566.47,-11.52,1
66732,41,71,76,769,0,1,0,24.70,1018.39,15.13,562.67,-11.44,1
67728,41,71,77,769,0,1,0,24.70,1018.38,15.13,563.14,-11.44,1
68724,42,71,77,769,0,1,0,24.70,1018.38,15.13,564.56,-11.44,1
69720,42,70,77,769,0,1,0,24.70,1018.38,15.14,563.61,-11.44,1
70716,42,71,78,767,0,1,0,24.70,1018.38,15.13,570.80,-11.44,1
71712,43,71,78,767,0,1,0,24.70,1018.38,15.14,568.38,-11.44,1
72708,43,70,79,768,0,1,0,24.70,1018.38,15.14,568.86,-11.44,1
73704,43,71,79,768,0,1,0,24.70,1018.38,15.15,565.04,-11.44,1
74700,43,71,79,770,0,1,0,24.70,1018.38,15.15,564.09,-11.52,1
75696,44,71,80,772,0,1,0,24.70,1018.39,15.16,572.25,-11.44,1
76692,44,71,81,775,0,1,0,24.70,1018.38,15.17,564.56,-11.52,1
77688,44,71,80,782,0,1,0,24.69,1018.39,15.18,563.61,-11.52,1
78684,45,71,81,785,0,1,0,24.69,1018.39,15.19,561.73,-11.61,1
79680,46,71,82,787,0,1,0,24.70,1018.40,15.21,565.99,-11.69,1
80676,46,71,82,787,0,1,0,24.70,1018.41,15.25,562.20,-11.61,1
81672,46,72,84,788,0,1,0,24.70,1018.40,15.32,562.20,-11.52,1
82668,48,71,84,786,0,1,0,24.70,1018.39,15.43,560.32,-11.52,1
83664,48,71,84,785,0,1,0,24.70,1018.39,15.49,558.46,-11.44,1
84660,49,72,85,783,0,1,0,24.70,1018.38,15.56,555.69,-11.52,1
85656,50,72,85,784,0,1,0,24.70,1018.39,15.60,558.46,-11.52,1
86652,50,72,87,785,0,1,0,24.70,1018.39,15.63,561.73,-11.44,1
87648,50,72,87,787,0,1,0,24.70,1018.38,15.66,559.39,-11.36,1
88644,52,72,87,788,0,1,0,24.70,1018.37,15.66,559.86,-11.44,1
89640,53,72,88,788,0,1,0,24.70,1018.38,15.66,562.67,-11.44,1
90636,52,72,88,786,0,1,0,24.70,1018.38,15.65,561.26,-11.44,1
91632,54,72,88,785,0,2,0,24.70,1018.38,15.63,564.09,-11.36,1
92628,54,72,88,783,0,1,0,24.70,1018.37,15.62,560.32,-11.44,1
93624,54,72,89,783,0,1,0,24.70,1018.38,15.61,563.14,-11.44,1
94620,55,72,90,782,0,1,0,24.70,1018.38,15.59,565.04,-11.44,1
95616,56,72,90,780,0,1,0,24.70,1018.38,15.58,561.26,-11.44,1
96612,56,72,90,780,0,1,0,24.70,1018.38,15.57,564.09,-11.44,1
97608,56,72,91,779,0,1,0,24.70,1018.38,15.56,563.14,-11.44,1
98604,56,72,91,778,0,1,0,24.70,1018.38,15.55,564.09,-11.52,1
99600,58,72,91,778,0,1,0,24.70,1018.39,15.55,565.04,-11.44,1
100596,58,72,92,777,0,1,0,24.70,1018.38,15.54,559.39,-11.36,1
101592,59,72,92,778,0,2,0,24.70,1018.37,15.53,559.39,-11.44,1
102588,58,73,93,777,0,1,0,24.70,1018.38,15.53,559.86,-11.52,1
103584,59,72,93,777,0,1,0,24.70,1018.39,15.53,557.07,-11.52,1
104580,60,72,93,776,0,1,0,24.70,1018.39,15.53,559.39,-11.44,1
105576,60,72,93,776,0,1,0,24.69,1018.38,15.52,560.32,-11.44,1
106572,60,72,94,775,0,1,0,24.70,1018.38,15.51,556.61,-11.44,1
107568,60,72,94,774,0,1,0,24.70,1018.38,15.51,558.46,-11.44,1
108564,61,73,94,775,0,1,0,24.70,1018.38,15.50,557.53,-11.44,1
109560,60,73,95,774,0,1,0,24.70,1018.38,15.48,561.73,-11.44,1
110556,61,72,95,774,0,1,0,24.70,1018.38,15.47,560.32,-11.44,1
111552,61,73,95,774,0,1,0,24.70,1018.38,15.45,554.31,-11.44,1
112548,62,73,95,773,0,1,0,24.70,1018.38,15.46,559.39,-11.44,1
113544,61,73,95,773,0,1,0,24.69,1018.38,15.46,558.92,-11.44,1
114540,63,73,96,773,0,1,0,24.69,1018.38,15.46,554.31,-11.36,1
115536,62,73,96,772,0,1,0,24.69,1018.37,15.44,553.40,-11.36,1
116532,62,73,96,772,0,1,0,24.69,1018.37,15.44,557.07,-11.36,1
117528,63,73,96,772,0,1,0,24.70,1018.37,15.43,555.23,-11.44,1
118524,62,73,96,772,0,1,0,24.69,1018.38,15.43,552.04,-11.36,1
