timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
426288,86,155,268,814,0,147,4294967295,24.77,1020.88,14.75,387.0,-32.05,0
427284,85,155,267,813,0,141,4294967295,24.76,1020.87,14.76,388.56,-32.14,0
428280,84,155,266,812,0,148,4294967295,24.76,1020.88,14.75,386.33,-32.14,0
429276,84,154,265,812,0,146,4294967295,24.76,1020.88,14.74,388.12,-32.05,0
430272,83,155,264,812,0,145,4294967295,24.76,1020.87,14.75,388.56,-32.14,0
431268,83,154,263,811,0,146,4294967295,24.76,1020.88,14.74,386.77,-32.22,0
432264,83,154,263,812,0,152,4294967295,24.76,1020.89,14.74,388.34,-32.22,0
433260,82,154,262,812,0,148,4294967295,24.76,1020.89,14.74,384.56,-32.3,0
434256,82,154,262,813,0,145,4294967295,24.76,1020.9,14.74,388.12,-32.3,0
435252,82,154,261,814,0,145,4294967295,24.76,1020.9,14.74,388.56,-32.3,0
436248,81,153,260,813,0,146,4294967295,24.76,1020.9,14.76,386.55,-32.3,0
437244,80,153,259,813,0,145,4294967295,24.76,1020.9,14.79,387.44,-32.38,0
438240,80,153,258,812,0,147,4294967295,24.76,1020.91,14.82,383.24,-32.38,0
439236,80,153,258,812,0,148,4294967295,24.76,1020.91,14.85,386.55,-32.47,0
440232,78,152,258,812,0,147,4294967295,24.76,1020.92,14.88,385.0,-32.38,0
441228,79,152,255,811,0,148,4294967295,24.76,1020.91,14.89,384.78,-32.38,0
442224,78,151,254,809,0,147,4294967295,24.76,1020.91,14.9,384.78,-32.38,0
443220,77,150,254,809,0,146,4294967295,24.76,1020.91,14.9,387.0,-32.38,0
444216,77,150,253,807,0,144,4294967295,24.76,1020.91,14.9,384.34,-32.38,0
445212,76,150,252,807,0,147,4294967295,24.76,1020.91,14.89,385.22,-32.3,0
446208,76,150,251,807,0,148,4294967295,24.76,1020.9,14.88,387.0,-32.3,0
447204,75,149,251,806,0,141,4294967295,24.76,1020.9,14.88,386.11,-32.3,0
448200,75,149,250,805,0,145,4294967295,24.76,1020.9,14.85,390.14,-32.22,0
449196,74,148,249,805,0,143,4294967295,24.76,1020.89,14.84,389.92,-32.22,0
450192,74,148,249,804,0,143,4294967295,24.76,1020.89,14.84,389.01,-32.14,0
451188,74,148,248,805,0,144,4294967295,24.76,1020.88,14.81,389.69,-32.05,0
452184,74,147,246,803,0,144,4294967295,24.76,1020.87,14.8,389.69,-32.05,0
453180,73,146,246,803,0,142,4294967295,24.76,1020.87,14.79,388.79,-31.97,0
454176,73,147,246,803,0,144,4294967295,24.76,1020.86,14.79,389.69,-31.97,0
455172,73,146,244,803,0,132,4294967295,24.76,1020.86,14.76,390.14,-31.97,0
456168,72,146,244,802,0,143,4294967295,24.76,1020.86,14.76,391.05,-31.97,0
457164,72,146,243,802,0,144,4294967295,24.75,1020.86,14.75,388.34,-31.89,0
458160,72,146,243,801,0,144,4294967295,24.75,1020.85,14.74,391.28,-31.97,0
459156,71,145,242,801,0,142,4294967295,24.75,1020.86,14.73,388.79,-31.97,0
460152,70,145,241,801,0,145,4294967295,24.75,1020.86,14.73,392.88,-31.97,0
461148,71,145,241,801,0,141,4294967295,24.75,1020.86,14.73,391.51,-31.97,0
462144,70,144,240,801,0,142,4294967295,24.75,1020.86,14.73,391.74,-31.97,0
463140,69,144,240,800,0,142,4294967295,24.75,1020.86,14.72,392.42,-32.05,0
464136,70,143,239,800,0,144,4294967295,24.75,1020.87,14.72,391.28,-32.05,0
465132,69,144,238,799,0,143,4294967295,24.75,1020.87,14.72,392.65,-32.14,0
466128,68,143,237,799,0,141,4294967295,24.75,1020.88,14.72,391.28,-32.22,0
467124,68,143,237,799,0,142,4294967295,24.74,1020.89,14.72,393.8,-32.38,0
468120,68,143,237,799,0,142,4294967295,24.74,1020.91,14.72,392.42,-32.38,0
469116,67,142,235,799,0,155,4294967295,24.74,1020.91,14.71,395.66,-32.47,0
470112,68,142,234,798,0,140,4294967295,24.74,1020.92,14.71,396.36,-32.38,0
471108,68,142,234,798,0,140,4294967295,24.74,1020.91,14.71,394.03,-32.3,0
472104,67,141,234,798,0,141,4294967295,24.74,1020.9,14.71,393.57,-32.22,0
473100,67,142,233,798,0,137,4294967295,24.74,1020.89,14.71,394.5,-32.22,0
474096,67,140,233,797,0,130,4294967295,24.74,1020.89,14.71,397.06,-32.22,0
475092,67,140,232,796,0,140,4294967295,24.74,1020.89,14.7,395.19,-32.22,0
476088,66,141,232,797,0,137,4294967295,24.74,1020.89,14.7,394.03,-32.22,0
477084,66,140,232,797,0,139,4294967295,24.74,1020.89,14.7,395.89,-32.22,0
478080,65,140,230,797,0,140,4294967295,24.74,1020.89,14.7,395.19,-32.22,0
479076,65,140,230,796,0,138,4294967295,24.74,1020.89,14.7,396.59,-32.38,0
480072,65,139,230,796,0,129,4294967295,24.74,1020.91,14.69,393.57,-32.47,0
481068,65,140,229,797,0,139,4294967295,24.74,1020.92,14.7,394.96,-32.63,0
482064,64,139,229,796,0,138,4294967295,24.74,1020.94,14.69,397.77,-32.55,0
483060,65,138,228,795,0,139,4294967295,24.74,1020.93,14.68,394.73,-32.47,0
484056,64,139,227,796,0,138,4294967295,24.74,1020.92,14.68,398.47,-32.38,0
485052,64,139,227,794,0,139,4294967295,24.74,1020.91,14.69,397.3,-32.22,0
486048,64,138,227,795,0,145,4294967295,24.74,1020.89,14.68,397.77,-32.22,0
487044,64,138,226,796,0,138,4294967295,24.74,1020.89,14.68,396.83,-32.05,0
488040,63,138,225,794,0,137,4294967295,24.74,1020.87,14.68,397.3,-32.05,0
489036,63,138,225,794,0,137,4294967295,24.73,1020.87,14.67,395.19,-31.97,0
