timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
33864,183,397,696,847,0,35,4294967295,24.38,1016.1,17.15,306.21,7.39,1
34860,192,414,717,853,0,34,4294967295,24.38,1016.11,17.14,306.21,7.47,1
35856,202,431,734,858,0,35,4294967295,24.38,1016.1,17.14,307.64,7.47,1
36852,210,449,745,865,0,34,4294967295,24.38,1016.1,17.15,304.8,7.39,1
37848,215,467,754,872,0,34,4294967295,24.39,1016.11,17.15,304.52,7.3,1
38844,222,484,764,878,0,34,4294967295,24.39,1016.12,17.14,302.29,7.3,1
39840,228,500,773,883,0,34,4294967295,24.39,1016.12,17.14,300.64,7.3,1
40836,235,515,783,889,0,34,4294967295,24.39,1016.12,17.13,296.33,7.22,1
41832,242,529,791,894,0,34,4294967295,24.39,1016.13,17.14,294.22,7.22,1
42828,249,542,799,899,0,34,4294967295,24.39,1016.13,17.14,293.7,7.22,1
43824,255,554,804,903,0,34,4294967295,24.39,1016.13,17.13,293.7,7.22,1
44820,260,565,807,907,0,34,4294967295,24.39,1016.13,17.11,293.44,7.14,1
45816,263,574,807,910,0,34,4294967295,24.39,1016.14,17.1,294.75,7.14,1
46812,265,582,808,913,0,34,4294967295,24.39,1016.14,17.09,295.54,7.22,1
47808,268,587,811,915,0,34,4294967295,24.39,1016.13,17.08,296.33,7.14,1
48804,270,592,813,917,0,34,4294967295,24.39,1016.14,17.07,295.8,7.14,1
49800,272,597,816,918,0,36,4294967295,24.39,1016.14,17.06,297.93,7.14,1
50796,274,601,817,920,0,34,4294967295,24.39,1016.14,17.04,299.01,7.22,1
51792,274,604,816,921,0,33,4294967295,24.39,1016.13,17.04,299.28,7.22,1
52788,273,607,814,923,0,34,4294967295,24.39,1016.13,17.04,301.19,7.3,1
53784,271,610,812,924,0,34,4294967295,24.39,1016.12,17.02,301.19,7.3,1
54780,268,610,811,924,0,34,4294967295,24.39,1016.12,17.03,302.29,7.39,1
55776,266,612,808,925,0,34,4294967295,24.39,1016.11,17.02,303.96,7.39,1
56772,263,613,806,925,0,33,4294967295,24.39,1016.11,17.03,302.29,7.39,1
57768,261,614,806,926,0,34,4294967295,24.39,1016.11,17.02,303.68,7.47,1
58764,260,614,804,926,0,34,4294967295,24.39,1016.1,17.03,304.24,7.47,1
59760,258,613,803,926,0,34,4294967295,24.39,1016.1,17.02,305.65,7.55,1
60756,256,613,802,926,0,35,4294967295,24.39,1016.09,17.02,306.78,7.55,1
61752,255,614,801,926,0,34,4294967295,24.39,1016.09,17.02,307.35,7.55,1
62748,254,615,799,926,0,34,4294967295,24.39,1016.09,17.02,303.96,7.63,1
63744,251,615,797,926,0,34,4294967295,24.39,1016.08,17.01,307.93,7.72,1
64740,250,616,795,926,0,35,4294967295,24.39,1016.07,17.02,307.64,7.63,1
65736,250,617,794,926,0,34,4294967295,24.4,1016.08,17.02,307.93,7.63,1
66732,250,616,793,926,0,32,4294967295,24.4,1016.08,17.03,307.93,7.72,1
67728,252,617,796,927,0,34,4294967295,24.4,1016.07,17.02,307.64,7.63,1
68724,255,618,799,927,0,34,4294967295,24.4,1016.08,17.03,309.66,7.55,1
69720,257,619,799,927,0,35,4294967295,24.4,1016.09,17.02,309.08,7.55,1
70716,256,622,796,927,0,35,4294967295,24.4,1016.09,17.03,310.24,7.47,1
71712,254,623,795,927,0,35,4294967295,24.4,1016.1,17.03,309.08,7.3,1
72708,254,625,797,927,0,35,4294967295,24.4,1016.12,17.03,309.66,7.3,1
73704,259,625,800,927,0,35,4294967295,24.4,1016.12,17.04,311.11,7.22,1
74700,261,627,804,928,0,34,4294967295,24.41,1016.13,17.04,309.66,7.14,1
75696,264,630,806,928,0,35,4294967295,24.41,1016.14,17.04,311.99,7.05,1
76692,264,633,805,929,0,34,4294967295,24.41,1016.15,17.05,311.7,6.89,1
77688,263,635,803,929,0,34,4294967295,24.41,1016.17,17.04,311.41,6.89,1
78684,260,637,801,930,0,34,4294967295,24.41,1016.17,17.05,311.41,6.89,1
79680,258,638,797,930,0,34,4294967295,24.42,1016.17,17.04,309.95,6.72,1
80676,255,639,793,930,0,35,4294967295,24.42,1016.19,17.04,307.35,6.64,1
81672,249,638,787,930,0,32,4294967295,24.42,1016.2,17.04,308.21,6.64,1
82668,244,638,781,929,0,35,4294967295,24.42,1016.2,17.04,305.08,6.64,1
83664,238,636,775,928,0,34,4294967295,24.42,1016.2,17.05,307.64,6.55,1
84660,234,636,770,928,0,33,4294967295,24.42,1016.21,17.04,306.21,6.55,1
85656,233,634,768,926,0,35,4294967295,24.43,1016.21,17.04,305.08,6.64,1
86652,231,633,765,925,0,35,4294967295,24.43,1016.2,17.05,305.93,6.72,1
87648,228,631,762,925,0,35,4294967295,24.43,1016.19,17.05,306.78,6.8,1
88644,226,630,760,924,0,36,4294967295,24.43,1016.18,17.06,305.65,6.89,1
89640,227,629,760,924,0,35,4294967295,24.43,1016.17,17.06,304.8,6.89,1
90636,228,629,761,924,0,35,4294967295,24.43,1016.17,17.05,302.29,6.89,1
91632,228,627,760,924,0,35,4294967295,24.44,1016.17,17.06,303.96,6.97,1
92628,225,627,757,923,0,34,4294967295,24.44,1016.16,17.07,304.24,6.97,1
93624,221,626,752,922,0,35,4294967295,24.44,1016.16,17.07,302.29,6.89,1
94620,217,625,748,922,0,33,4294967295,24.44,1016.17,17.08,303.12,6.8,1
95616,212,624,743,921,0,35,4294967295,24.44,1016.18,17.06,302.85,6.8,1
96612,206,622,737,921,0,32,4294967295,24.45,1016.18,17.07,304.24,6.8,1
97608,202,620,733,919,0,33,4294967295,24.45,1016.18,17.09,305.08,6.8,1
98604,201,619,732,918,0,31,4294967295,24.45,1016.18,17.07,306.78,6.8,1
99600,200,617,730,918,0,33,4294967295,24.45,1016.18,17.08,305.08,6.8,1
100596,198,616,728,917,0,33,4294967295,24.45,1016.18,17.07,307.35,6.89,0
101592,196,615,725,917,0,32,4294967295,24.45,1016.17,17.07,305.65,6.89,0
102588,194,613,721,918,0,33,4294967295,24.46,1016.17,17.07,306.5,6.8,0
103584,196,611,720,915,0,35,4294967295,24.46,1016.18,17.08,308.79,6.89,0
104580,192,610,715,915,0,33,4294967295,24.46,1016.17,17.07,307.93,6.89,0
105576,188,608,711,914,0,33,4294967295,24.46,1016.17,17.07,308.79,6.89,0
106572,185,606,706,913,0,33,4294967295,24.46,1016.17,17.08,308.79,6.89,0
107568,181,603,700,912,0,33,4294967295,24.46,1016.17,17.08,310.24,6.89,0
108564,177,602,696,911,0,34,4294967295,24.46,1016.17,17.07,310.82,6.97,0
109560,174,599,691,910,0,34,4294967295,24.46,1016.16,17.08,309.66,6.89,0
110556,171,597,687,908,0,37,4294967295,24.47,1016.17,17.07,312.29,6.89,0
111552,168,595,683,907,0,34,4294967295,24.47,1016.17,17.08,307.35,6.8,0
112548,167,593,680,906,0,33,4294967295,24.47,1016.18,17.06,307.07,6.8,0
113544,164,591,677,906,0,33,4294967295,24.47,1016.18,17.07,303.12,6.8,0
114540,162,587,674,904,0,33,4294967295,24.47,1016.18,17.07,304.8,6.8,0
115536,160,585,669,903,0,32,4294967295,24.47,1016.18,17.07,305.08,6.8,0
116532,157,583,665,902,0,33,4294967295,24.47,1016.18,17.07,303.12,6.8,0
117528,155,581,661,901,0,33,4294967295,24.47,1016.18,17.07,302.02,6.8,0
118524,152,579,657,900,0,33,4294967295,24.47,1016.18,17.06,302.57,6.89,0
119520,150,576,653,900,0,32,4294967295,24.48,1016.17,17.06,301.47,6.89,0
120516,148,573,649,899,0,33,4294967295,24.48,1016.17,17.06,304.8,6.97,0
121512,146,572,647,898,0,33,4294967295,24.48,1016.16,17.05,302.85,6.97,0
122508,145,568,643,896,0,33,4294967295,24.48,1016.16,17.06,303.4,6.97,0
123504,143,567,639,895,0,32,4294967295,24.48,1016.16,17.06,303.96,6.97,0
124500,141,564,636,894,0,33,4294967295,24.48,1016.16,17.05,306.21,6.89,0
125496,139,562,633,893,0,33,4294967295,24.49,1016.17,17.05,305.65,6.89,0
126492,138,559,630,892,0,33,4294967295,24.49,1016.17,17.05,304.52,6.97,0
127488,137,557,626,891,0,33,4294967295,24.49,1016.16,17.04,305.65,6.97,0
128484,135,555,623,890,0,33,4294967295,24.49,1016.16,17.03,306.78,6.97,0
129480,134,553,620,889,0,33,4294967295,24.49,1016.16,17.03,303.96,6.97,0
130476,133,549,618,888,0,33,4294967295,24.5,1016.16,17.02,303.12,6.89,0
131472,131,549,615,887,0,33,4294967295,24.5,1016.17,17.02,301.47,6.89,0
132468,130,546,612,886,0,32,4294967295,24.5,1016.17,17.02,301.19,6.89,0
133464,130,544,609,885,0,33,4294967295,24.5,1016.17,17.02,301.19,6.89,0
134460,128,542,606,886,0,33,4294967295,24.5,1016.17,17.01,306.21,6.89,0
135456,127,539,603,883,0,33,4294967295,24.5,1016.17,17.01,304.8,6.89,0
136452,126,536,602,883,0,32,4294967295,24.5,1016.17,17.02,304.52,6.8,0
137448,125,535,598,882,0,33,4294967295,24.51,1016.18,17.0,305.37,6.89,0
138444,124,533,596,882,0,32,4294967295,24.51,1016.17,17.01,305.37,6.89,0
139440,124,531,594,880,0,33,4294967295,24.51,1016.17,16.99,307.35,6.89,0
140436,124,529,593,879,0,32,4294967295,24.51,1016.17,16.99,307.35,6.97,0
141432,123,527,590,879,0,33,4294967295,24.51,1016.16,16.99,308.21,7.05,0
142428,122,525,587,878,0,33,4294967295,24.51,1016.15,16.98,309.66,7.05,0
143424,122,524,586,878,0,32,4294967295,24.51,1016.15,16.97,309.66,7.05,0
144420,121,522,584,877,0,32,4294967295,24.51,1016.15,16.98,310.82,7.05,0
145416,121,519,581,876,0,32,4294967295,24.51,1016.15,16.98,311.11,7.14,0
146412,121,518,579,874,0,32,4294967295,24.51,1016.14,16.98,314.07,7.14,0
147408,120,516,579,875,0,32,4294967295,24.51,1016.14,16.98,312.88,7.14,0
148404,120,515,577,874,0,32,4294967295,24.52,1016.14,16.98,313.18,7.05,0
149400,120,512,575,873,0,32,4294967295,24.52,1016.15,16.97,312.88,7.14,0
150396,120,512,574,872,0,32,4294967295,24.52,1016.14,16.97,313.77,7.14,0
151392,119,510,571,871,0,32,4294967295,24.52,1016.14,16.97,315.27,7.14,0
152388,119,509,569,871,0,32,4294967295,24.52,1016.14,16.97,315.57,7.3,0
153384,118,506,567,870,0,32,4294967295,24.52,1016.12,16.97,316.17,7.3,0
154380,118,505,565,869,0,32,4294967295,24.52,1016.12,16.96,317.69,7.3,0
155376,117,503,563,869,0,31,4294967295,24.52,1016.12,16.97,317.39,7.22,0
156372,116,501,561,869,0,33,4294967295,24.52,1016.13,16.96,318.0,7.14,1
157368,116,500,560,867,0,33,4294967295,24.52,1016.14,16.97,318.61,7.14,1
