timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State0
996,141,153,280,775,0,2,0,25.06,1015.76,16.59,101.10,10.12,1
1992,139,152,277,776,0,2,0,24.85,1015.78,16.59,103.02,10.12,1
2988,139,152,277,775,0,2,0,24.71,1015.78,16.56,105.14,10.04,1
3984,139,152,276,775,0,2,0,24.61,1015.79,16.53,108.26,10.04,1
4980,140,151,276,775,0,2,0,24.55,1015.79,16.50,110.68,9.96,1
5976,140,151,275,774,0,2,0,24.50,1015.80,16.47,113.21,9.96,1
6972,141,150,274,775,0,2,0,24.47,1015.80,16.45,116.03,9.96,1
7968,141,150,274,775,0,2,0,24.45,1015.80,16.41,119.41,9.96,1
8964,141,150,273,774,0,2,0,24.44,1015.80,16.39,121.39,9.96,1
9960,140,149,272,774,0,2,0,24.43,1015.80,16.36,124.81,10.04,1
10956,139,149,270,773,0,2,0,24.43,1015.79,16.33,127.85,9.96,1
11952,140,149,270,774,0,2,0,24.43,1015.80,16.30,130.63,10.04,1
12948,140,149,270,774,0,2,0,24.43,1015.79,16.29,132.69,10.04,1
13944,139,148,269,774,0,2,0,24.43,1015.79,16.26,135.04,10.12,1
14940,138,148,267,773,0,2,0,24.43,1015.78,16.24,137.13,10.12,1
15936,139,147,267,773,0,2,0,24.43,1015.78,16.24,140.57,10.12,1
16932,138,147,267,773,0,2,0,24.43,1015.78,16.22,140.81,10.12,1
17928,138,147,266,773,0,2,0,24.44,1015.78,16.20,143.70,10.04,1
18924,138,147,266,773,0,2,0,24.44,1015.79,16.20,145.94,9.96,1
19920,138,147,266,773,0,2,0,24.44,1015.80,16.18,148.00,9.96,1
20916,136,146,266,773,0,2,0,24.45,1015.80,16.19,150.51,9.96,1
21912,135,146,265,773,0,2,0,24.45,1015.80,16.17,152.01,9.96,1
22908,134,145,264,773,0,2,0,24.45,1015.80,16.16,155.24,9.96,1
23904,133,145,263,773,0,2,0,24.45,1015.80,16.15,157.13,9.96,1
24900,132,145,262,773,0,2,0,24.45,1015.80,16.14,158.61,10.04,1
25896,130,144,261,773,0,2,0,24.46,1015.79,16.13,161.19,10.04,1
26892,129,145,261,773,0,2,0,24.46,1015.79,16.12,163.86,10.04,1
27888,128,144,260,772,0,2,0,24.46,1015.79,16.11,165.15,10.04,1
28884,128,143,258,773,0,2,0,24.46,1015.79,16.11,167.62,10.04,1
29880,127,143,259,772,0,2,0,24.46,1015.79,16.11,169.65,9.96,1
30876,129,143,259,772,0,2,0,24.46,1015.80,16.10,170.86,9.96,1
31872,132,143,261,772,0,2,0,24.47,1015.80,16.09,173.32,9.96,1
32868,133,143,264,773,0,2,0,24.47,1015.80,16.08,174.95,9.96,1
33864,132,142,264,772,0,2,0,24.47,1015.80,16.08,178.67,9.88,1
34860,130,142,263,772,0,2,0,24.47,1015.81,16.08,180.59,9.96,1
35856,131,142,264,772,0,2,0,24.47,1015.80,16.08,182.15,9.88,1
36852,145,142,271,772,0,2,0,24.47,1015.81,16.06,183.34,9.96,1
37848,201,144,314,773,0,2,0,24.47,1015.80,16.07,184.96,9.96,1
38844,261,146,368,774,0,2,0,24.48,1015.80,16.06,186.60,9.88,1
39840,359,148,484,774,0,2,0,24.48,1015.81,16.06,186.81,9.88,1
40836,438,151,589,778,0,2,0,24.48,1015.81,16.06,188.30,9.96,1
41832,465,155,635,782,0,2,0,24.48,1015.80,16.04,190.25,9.96,1
42828,471,158,650,783,0,2,0,24.48,1015.80,16.05,191.69,9.88,1
43824,473,162,654,785,0,2,0,24.48,1015.81,16.03,194.05,9.88,1
44820,475,165,653,787,0,2,0,24.48,1015.81,16.04,195.43,9.88,1
45816,474,167,654,788,0,2,0,24.49,1015.81,16.04,197.41,9.96,1
46812,460,169,651,789,0,2,0,24.49,1015.80,16.03,198.95,9.88,1
47808,451,169,645,790,0,2,0,24.49,1015.81,16.03,200.52,9.88,1
48804,480,172,654,791,0,2,0,24.49,1015.81,16.03,201.99,9.88,1
49800,502,187,664,794,0,2,0,24.49,1015.81,16.03,204.11,9.79,1
50796,508,201,667,798,0,2,0,24.49,1015.82,16.02,205.38,9.88,1
51792,511,212,667,800,0,2,0,24.49,1015.81,16.02,207.05,9.88,1
52788,509,220,663,803,0,2,0,24.49,1015.81,16.02,208.62,9.79,1
53784,520,228,660,804,0,2,0,24.49,1015.82,16.03,209.28,9.79,1
54780,546,236,673,806,0,2,0,24.49,1015.82,16.01,210.88,9.79,1
55776,583,246,703,808,0,2,0,24.50,1015.82,16.00,212.92,9.79,1
56772,613,263,729,813,0,2,0,24.50,1015.82,16.00,213.75,9.71,1
57768,623,280,738,818,0,2,0,24.50,1015.83,15.99,214.72,9.79,1
58764,634,302,744,824,0,2,0,24.50,1015.82,16.02,215.84,9.79,1
59760,626,319,740,828,0,2,0,24.50,1015.82,16.01,217.40,9.88,1
60756,609,329,731,832,0,2,0,24.50,1015.81,16.02,216.97,9.96,1
61752,599,339,723,835,0,2,0,24.50,1015.80,16.02,219.42,9.88,1
62748,610,353,723,838,0,2,0,24.50,1015.81,16.02,220.15,9.88,1
63744,616,364,722,840,0,2,0,24.50,1015.81,16.03,221.48,9.88,1
64740,606,369,718,841,0,2,0,24.50,1015.81,16.02,222.23,9.88,1
65736,586,370,713,843,0,2,0,24.51,1015.81,16.04,223.43,9.79,0
66732,569,373,707,844,0,2,0,24.51,1015.82,16.04,225.87,9.79,0
67728,550,374,700,845,0,2,0,24.51,1015.82,16.03,225.56,9.79,0
68724,531,374,692,844,0,2,0,24.51,1015.82,16.03,226.33,9.79,0
