timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
501984,41,68,74,799,0,1,0,24.53,1030.70,11.27,558.46,-112.94,0
502980,41,68,74,799,0,1,0,24.53,1030.69,11.26,560.79,-112.94,0
503976,41,68,74,799,0,1,0,24.53,1030.69,11.26,558.00,-112.94,0
504972,41,67,74,798,0,1,0,24.53,1030.69,11.27,562.67,-113.03,0
505968,41,68,74,798,0,1,0,24.53,1030.70,11.26,558.46,-113.03,0
506964,41,68,74,798,0,1,0,24.53,1030.70,11.26,561.26,-112.94,0
507960,41,68,74,798,0,1,0,24.53,1030.69,11.26,562.20,-113.03,0
508956,41,68,73,799,0,1,0,24.53,1030.70,11.26,561.73,-112.94,0
509952,40,67,74,798,0,1,0,24.53,1030.69,11.26,561.73,-112.94,0
510948,41,68,74,798,0,1,0,24.53,1030.69,11.25,564.56,-112.94,0
511944,40,67,74,799,0,1,0,24.53,1030.69,11.26,563.14,-112.94,0
512940,41,67,74,798,0,1,0,24.53,1030.69,11.25,559.86,-112.94,0
513936,41,68,74,798,0,1,0,24.53,1030.69,11.24,560.32,-112.94,0
514932,41,68,73,798,0,1,0,24.53,1030.69,11.24,561.73,-112.94,0
515928,41,67,74,796,0,1,0,24.53,1030.69,11.25,561.73,-112.94,0
516924,41,68,74,796,0,1,0,24.53,1030.69,11.25,563.14,-112.94,0
517920,41,68,74,796,0,1,0,24.53,1030.69,11.24,558.92,-112.94,0
518916,41,67,73,794,0,1,0,24.53,1030.69,11.25,562.67,-112.94,0
519912,40,67,73,793,0,1,0,24.53,1030.69,11.24,555.23,-112.94,0
520908,40,68,73,793,0,1,0,24.53,1030.69,11.25,560.32,-112.94,0
521904,41,68,73,793,0,1,0,24.53,1030.69,11.25,557.53,-112.94,0
522900,40,68,73,792,0,1,0,24.53,1030.69,11.24,557.07,-113.03,0
523896,41,68,73,792,0,1,0,24.53,1030.70,11.25,554.31,-112.94,0
524892,40,68,73,792,0,1,0,24.53,1030.69,11.25,548.43,-112.94,0
525888,40,68,74,791,0,1,0,24.53,1030.69,11.25,552.94,-112.94,0
526884,40,68,74,792,0,1,0,24.54,1030.69,11.26,550.68,-112.94,0
527880,41,68,73,792,0,1,0,24.54,1030.69,11.25,548.88,-112.86,0
528876,41,68,73,791,0,1,0,24.54,1030.68,11.24,552.94,-112.86,0
529872,41,67,73,791,0,1,0,24.54,1030.68,11.26,548.43,-112.86,0
530868,40,67,73,791,0,1,0,24.54,1030.68,11.27,552.49,-112.86,0
531864,40,68,73,790,0,1,0,24.54,1030.68,11.28,550.68,-112.86,0
532860,40,68,73,793,0,1,0,24.54,1030.68,11.28,553.40,-112.86,0
533856,41,69,74,807,0,1,0,24.55,1030.68,11.28,550.68,-112.86,0
534852,41,68,74,814,0,1,0,24.55,1030.68,11.29,548.43,-112.86,0
535848,40,68,75,817,0,1,0,24.55,1030.68,11.31,544.87,-112.86,0
536844,40,69,75,819,0,1,0,24.55,1030.68,11.33,550.23,-112.78,0
537840,41,69,74,827,0,1,0,24.55,1030.67,11.35,551.58,-112.70,0
538836,40,69,75,828,0,1,0,24.55,1030.66,11.36,552.94,-112.70,0
539832,40,69,75,826,0,1,0,24.55,1030.66,11.37,550.68,-112.70,0
540828,40,68,74,822,0,1,0,24.55,1030.66,11.37,550.68,-112.70,0
541824,41,69,74,819,0,1,0,24.55,1030.66,11.37,548.43,-112.70,0
542820,41,68,74,816,0,1,0,24.55,1030.66,11.36,553.40,-112.70,0
543816,40,68,74,813,0,1,0,24.55,1030.66,11.37,553.86,-112.70,0
544812,40,68,74,810,0,1,0,24.55,1030.66,11.35,558.46,-112.70,0
545808,40,68,74,810,0,1,0,24.56,1030.66,11.35,552.94,-112.78,0
546804,40,69,74,808,0,1,0,24.56,1030.67,11.34,555.69,-112.78,0
547800,40,68,74,806,0,1,0,24.56,1030.67,11.34,557.07,-112.78,0
548796,40,67,73,806,0,1,0,24.56,1030.67,11.33,557.07,-112.78,0
549792,40,68,73,804,0,1,0,24.56,1030.67,11.32,554.31,-112.70,0
550788,40,68,73,802,0,1,0,24.56,1030.66,11.31,558.46,-112.70,0
551784,40,68,74,802,0,1,0,24.56,1030.66,11.31,561.73,-112.70,0
552780,40,68,73,801,0,1,0,24.56,1030.66,11.31,562.67,-112.70,0
553776,40,67,73,800,0,1,0,24.56,1030.66,11.31,562.20,-112.62,0
554772,40,68,73,800,0,1,0,24.56,1030.65,11.30,560.32,-112.62,0
555768,40,67,73,800,0,1,0,24.56,1030.65,11.31,564.09,-112.62,0
