timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
286848,218,440,495,850,7,19,4294967295,24.95,1013.78,15.5,304.24,26.74,1
287844,215,435,490,846,7,19,4294967295,24.95,1013.78,15.51,304.52,26.66,1
288840,215,438,493,849,7,19,4294967295,24.95,1013.79,15.51,304.8,26.74,1
289836,214,437,491,848,7,19,4294967295,24.95,1013.78,15.52,302.85,26.74,1
290832,212,435,491,847,7,20,4294967295,24.95,1013.78,15.52,304.24,26.74,1
291828,211,435,489,847,7,19,4294967295,24.95,1013.78,15.52,303.4,26.83,1
292824,210,435,488,847,7,19,4294967295,24.95,1013.77,15.52,304.24,26.74,1
293820,210,433,487,846,7,20,4294967295,24.95,1013.78,15.52,302.85,26.74,1
294816,211,432,487,846,7,20,4294967295,24.95,1013.78,15.53,303.4,26.74,1
295812,212,432,486,846,7,20,4294967295,24.95,1013.78,15.52,304.24,26.74,1
296808,212,432,485,846,7,20,4294967295,24.95,1013.78,15.54,302.02,26.74,1
297804,210,432,483,845,7,20,4294967295,24.95,1013.78,15.53,302.57,26.74,1
298800,208,430,482,844,7,20,4294967295,24.95,1013.78,15.53,302.85,26.74,1
299796,206,429,480,843,7,21,4294967295,24.95,1013.78,15.54,303.12,26.66,1
300792,204,428,478,843,7,20,4294967295,24.95,1013.79,15.52,303.4,26.58,1
301788,202,427,477,843,7,21,4294967295,24.95,1013.8,15.53,302.85,26.66,1
302784,201,427,475,842,8,21,4294967295,24.95,1013.79,15.53,303.4,26.66,1
303780,199,425,474,842,7,21,4294967295,24.95,1013.79,15.53,302.57,26.58,1
304776,197,425,473,842,7,20,4294967295,24.95,1013.8,15.53,302.57,26.49,1
305772,197,424,472,843,6,21,4294967295,24.95,1013.81,15.52,303.12,26.58,1
306768,197,424,471,843,7,21,4294967295,24.95,1013.8,15.52,303.12,26.49,1
307764,197,424,470,843,7,21,4294967295,24.95,1013.81,15.52,302.85,26.49,1
308760,197,423,468,842,7,21,4294967295,24.95,1013.81,15.51,302.85,26.41,1
309756,198,422,468,841,7,21,4294967295,24.95,1013.82,15.52,303.68,26.41,1
310752,198,422,467,841,9,21,4294967295,24.95,1013.82,15.52,303.12,26.41,1
