timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State0
996,48,77,72,773,0,3,0,25.16,1016.31,17.20,544.43,5.73,1
1992,48,78,71,772,0,3,0,24.95,1016.31,17.20,548.43,5.73,1
2988,48,77,72,772,0,3,0,24.82,1016.31,17.19,547.98,5.73,1
3984,47,77,72,774,0,3,0,24.72,1016.31,17.16,550.23,5.73,1
4980,48,77,72,773,0,3,0,24.66,1016.31,17.12,548.88,5.64,1
5976,48,77,72,773,0,3,0,24.62,1016.32,17.10,550.23,5.64,1
6972,48,77,72,773,0,3,0,24.59,1016.32,17.05,550.23,5.48,1
7968,48,77,72,773,0,2,0,24.57,1016.34,17.01,551.58,5.48,1
8964,48,77,72,772,0,2,0,24.56,1016.34,16.98,552.04,5.48,1
9960,48,77,72,773,0,3,0,24.55,1016.34,16.93,552.94,5.39,1
10956,48,77,72,772,0,3,0,24.55,1016.35,16.89,553.86,5.39,1
11952,48,77,72,773,0,3,0,24.55,1016.35,16.85,557.53,5.39,1
12948,48,78,72,772,0,3,0,24.55,1016.35,16.82,555.69,5.39,1
13944,48,78,72,772,0,3,0,24.55,1016.35,16.77,554.77,5.39,1
14940,48,78,72,772,0,3,0,24.55,1016.35,16.74,551.13,5.39,1
15936,48,77,72,772,0,3,0,24.56,1016.35,16.71,558.46,5.39,1
16932,48,78,72,772,0,3,0,24.56,1016.35,16.67,558.00,5.31,1
17928,48,77,71,771,0,3,0,24.56,1016.36,16.65,558.00,5.31,1
18924,48,77,72,772,0,3,0,24.56,1016.36,16.60,563.14,5.31,1
19920,48,77,72,772,0,3,0,24.57,1016.36,16.58,558.00,5.23,1
20916,48,77,72,772,0,3,0,24.57,1016.37,16.56,562.20,5.31,1
21912,48,78,72,772,0,2,0,24.57,1016.36,16.54,566.94,5.31,1
22908,48,77,72,772,0,3,0,24.57,1016.36,16.51,559.39,5.23,1
23904,48,77,71,772,0,3,0,24.58,1016.37,16.50,557.53,5.23,1
24900,48,78,71,772,0,2,0,24.58,1016.37,16.49,563.61,5.23,1
25896,47,77,71,772,0,3,0,24.58,1016.37,16.46,561.73,5.23,1
26892,48,77,71,772,0,3,0,24.58,1016.37,16.47,564.56,5.14,1
27888,48,78,72,772,0,3,0,24.58,1016.38,16.44,565.99,5.14,1
28884,48,77,72,773,0,3,0,24.58,1016.38,16.43,562.67,5.14,1
29880,48,77,72,772,0,3,0,24.59,1016.38,16.42,558.46,5.14,1
30876,48,78,71,772,0,3,0,24.59,1016.38,16.40,563.61,5.14,1
31872,48,77,71,772,0,3,0,24.59,1016.38,16.40,565.04,5.14,1
32868,48,77,72,772,0,3,0,24.59,1016.38,16.39,564.09,5.14,1
33864,48,77,72,773,0,3,0,24.59,1016.38,16.39,564.09,5.14,1
34860,48,78,72,772,0,3,0,24.59,1016.38,16.38,568.86,5.14,1
35856,48,77,71,773,0,3,0,24.60,1016.38,16.37,564.09,5.14,1
36852,48,78,71,772,0,3,0,24.60,1016.38,16.38,570.80,5.23,1
37848,48,77,72,772,0,3,0,24.60,1016.37,16.38,566.47,5.31,1
38844,48,77,72,773,0,3,0,24.60,1016.36,16.36,565.99,5.39,1
39840,47,77,72,773,0,3,0,24.60,1016.35,16.36,566.47,5.39,1
40836,47,77,72,773,0,3,0,24.60,1016.35,16.36,566.94,5.48,1
41832,48,77,72,773,0,3,0,24.60,1016.34,16.37,567.90,5.48,1
42828,47,78,72,773,0,3,0,24.60,1016.34,16.36,569.35,5.39,1
43824,48,78,72,772,0,3,0,24.60,1016.35,16.36,573.23,5.39,1
44820,48,78,72,773,0,3,0,24.61,1016.35,16.36,570.80,5.39,1
45816,48,77,72,773,0,3,0,24.61,1016.35,16.36,569.83,5.39,1
46812,48,78,72,773,0,3,0,24.61,1016.35,16.37,567.90,5.39,1
47808,48,77,72,773,0,3,0,24.61,1016.35,16.37,574.21,5.39,1
48804,48,78,72,773,0,3,0,24.61,1016.35,16.36,567.90,5.31,1
49800,48,77,72,773,0,3,0,24.61,1016.36,16.36,571.77,5.31,1
50796,47,77,72,773,0,3,0,24.61,1016.36,16.37,568.86,5.31,1
51792,48,78,72,773,0,3,0,24.61,1016.36,16.37,567.90,5.31,1
52788,47,78,72,773,0,3,0,24.61,1016.36,16.36,568.86,5.23,1
53784,47,77,72,773,0,3,0,24.61,1016.37,16.37,566.94,5.14,1
54780,47,77,72,774,0,3,0,24.61,1016.38,16.37,565.51,5.23,1
55776,48,77,71,773,0,3,0,24.61,1016.37,16.38,562.20,5.23,1
56772,48,77,72,774,0,3,0,24.61,1016.37,16.38,561.73,5.23,1
57768,48,77,72,774,0,3,0,24.62,1016.37,16.38,560.32,5.23,1
58764,48,78,72,774,0,3,0,24.62,1016.37,16.37,558.92,5.31,1
59760,48,77,72,775,0,3,0,24.62,1016.36,16.37,557.53,5.39,1
60756,48,78,72,774,0,3,0,24.62,1016.35,16.38,556.15,5.39,1
61752,47,77,71,775,0,3,0,24.62,1016.35,16.38,554.77,5.39,1
62748,48,77,72,775,0,3,0,24.62,1016.35,16.39,555.69,5.39,1
63744,48,77,72,775,0,3,0,24.62,1016.35,16.38,553.40,5.39,1
64740,48,78,72,774,0,2,0,24.62,1016.35,16.38,554.77,5.31,1
65736,48,78,72,775,0,3,0,24.62,1016.36,16.37,551.13,5.31,1
66732,48,77,71,774,0,3,0,24.62,1016.36,16.39,545.76,5.23,1
67728,48,77,72,775,0,3,0,24.62,1016.37,16.38,545.32,5.31,1
68724,48,77,72,775,0,3,0,24.62,1016.36,16.39,546.20,5.31,1
69720,48,78,72,778,0,3,0,24.62,1016.36,16.37,546.65,5.39,0
70716,48,78,73,778,0,3,0,24.62,1016.35,16.38,549.33,5.31,0
