timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
105576,611,533,779,902,7,20,4294967295,24.88,1013.36,15.83,234.19,30.24,1
106572,659,655,802,946,7,20,4294967295,24.88,1013.36,15.82,236.88,30.15,1
107568,689,708,829,974,7,20,4294967295,24.88,1013.37,15.81,239.1,30.15,1
108564,680,724,829,981,7,20,4294967295,24.88,1013.37,15.82,242.08,30.07,1
109560,673,734,825,984,7,20,4294967295,24.88,1013.38,15.81,243.51,30.07,1
110556,654,738,815,985,7,19,4294967295,24.88,1013.38,15.82,244.77,30.07,1
111552,631,739,807,985,7,20,4294967295,24.88,1013.38,15.83,245.68,30.07,1
112548,610,737,797,985,7,20,4294967295,24.88,1013.38,15.84,246.78,30.07,1
113544,611,737,793,984,7,23,4294967295,24.88,1013.38,15.84,248.82,30.15,1
114540,603,735,793,983,7,20,4294967295,24.88,1013.37,15.85,250.52,30.15,1
115536,592,733,787,982,7,20,4294967295,24.88,1013.37,15.84,252.43,30.15,1
116532,584,730,785,980,7,21,4294967295,24.88,1013.37,15.84,254.18,30.07,1
117528,597,728,799,979,7,20,4294967295,24.88,1013.38,15.84,255.75,30.24,1
118524,637,732,822,980,7,20,4294967295,24.88,1013.36,15.86,255.95,30.15,1
119520,692,740,852,982,7,20,4294967295,24.88,1013.37,15.85,256.94,30.07,1
120516,715,750,866,984,7,20,4294967295,24.88,1013.38,15.84,257.95,30.15,1
121512,723,756,869,986,7,20,4294967295,24.88,1013.37,15.86,257.55,30.15,1
122508,739,758,868,985,7,21,4294967295,24.88,1013.37,15.85,258.35,30.15,1
123504,734,756,869,984,7,20,4294967295,24.88,1013.37,15.85,259.98,30.15,1
124500,714,753,860,983,7,20,4294967295,24.88,1013.37,15.85,261.62,30.15,1
125496,686,750,851,981,7,21,4294967295,24.88,1013.37,15.84,263.92,30.15,1
126492,657,746,842,980,7,20,4294967295,24.88,1013.37,15.84,265.4,30.24,1
127488,632,743,831,978,7,22,4294967295,24.88,1013.36,15.83,268.42,30.24,1
128484,612,740,823,978,7,20,4294967295,24.88,1013.36,15.82,271.28,30.15,1
129480,595,736,817,977,7,20,4294967295,24.88,1013.37,15.82,271.95,30.24,1
130476,575,733,811,974,8,20,4294967295,24.88,1013.36,15.82,273.75,30.15,1
131472,556,729,805,973,7,20,4294967295,24.88,1013.37,15.81,276.04,30.15,1
132468,546,726,799,971,7,20,4294967295,24.88,1013.37,15.82,277.2,30.07,1
133464,535,721,794,970,7,20,4294967295,24.88,1013.38,15.81,279.07,30.07,1
134460,519,717,791,969,7,20,4294967295,24.88,1013.38,15.83,280.49,29.99,1
135456,507,713,792,967,7,19,4294967295,24.88,1013.39,15.81,282.17,29.82,1
136452,494,709,787,966,7,20,4294967295,24.88,1013.41,15.81,283.62,29.74,1
137448,480,707,782,964,7,20,4294967295,24.88,1013.42,15.81,286.57,29.66,1
138444,508,719,788,964,7,23,4294967295,24.88,1013.43,15.81,288.07,29.66,1
139440,611,737,796,964,7,20,4294967295,24.88,1013.43,15.81,290.35,29.66,1
140436,691,754,838,970,7,20,4294967295,24.88,1013.43,15.8,292.14,29.57,1
141432,712,762,859,975,7,20,4294967295,24.88,1013.44,15.81,293.96,29.57,1
142428,725,767,872,978,7,20,4294967295,24.88,1013.44,15.8,295.27,29.49,1
143424,732,772,876,981,8,20,4294967295,24.88,1013.45,15.8,297.13,29.49,1
144420,726,776,873,985,7,20,4294967295,24.88,1013.45,15.81,299.01,29.41,1
145416,714,780,866,986,7,20,4294967295,24.88,1013.46,15.81,300.37,29.41,1
146412,728,786,863,988,7,23,4294967295,24.88,1013.46,15.81,302.85,29.41,1
147408,741,791,867,990,7,20,4294967295,24.88,1013.46,15.8,302.29,29.41,1
148404,743,794,876,993,7,20,4294967295,24.88,1013.46,15.81,303.68,29.41,1
149400,744,797,885,994,7,20,4294967295,24.88,1013.46,15.81,307.35,29.49,1
150396,742,798,890,995,7,22,4294967295,24.88,1013.45,15.8,307.07,29.57,1
151392,742,797,893,995,7,21,4294967295,24.88,1013.44,15.81,308.21,29.57,1
152388,746,796,894,995,8,20,4294967295,24.88,1013.44,15.81,309.37,29.66,1
153384,744,798,890,995,7,20,4294967295,24.88,1013.43,15.8,311.11,29.66,1
154380,755,807,890,997,7,21,4294967295,24.88,1013.43,15.8,312.88,29.66,1
155376,769,817,896,999,7,20,4294967295,24.88,1013.43,15.8,313.77,29.74,1
156372,762,822,901,1000,7,20,4294967295,24.88,1013.42,15.8,316.78,29.74,1
157368,737,821,896,1000,7,20,4294967295,24.88,1013.42,15.8,316.17,29.74,1
158364,728,819,890,1000,7,20,4294967295,24.88,1013.42,15.8,317.39,29.82,1
159360,730,818,886,999,7,20,4294967295,24.88,1013.41,15.8,320.46,29.82,1
160356,726,815,883,998,7,20,4294967295,24.88,1013.41,15.8,320.46,29.9,1
161352,701,813,878,997,7,20,4294967295,24.88,1013.4,15.79,320.46,29.82,1
162348,685,809,871,996,7,20,4294967295,24.88,1013.41,15.8,322.02,29.82,1
163344,679,806,870,996,7,20,4294967295,24.88,1013.41,15.79,323.28,29.82,1
164340,665,803,868,995,7,20,4294967295,24.88,1013.41,15.78,326.48,29.74,1
165336,654,801,864,994,7,20,4294967295,24.88,1013.42,15.8,326.15,29.66,1
166332,672,799,869,993,6,19,4294967295,24.88,1013.43,15.79,326.48,29.66,0
167328,666,796,866,993,7,19,4294967295,24.88,1013.43,15.79,327.45,29.66,0
168324,652,793,860,993,7,19,4294967295,24.88,1013.43,15.78,331.05,29.66,0
169320,630,789,851,991,7,19,4294967295,24.88,1013.43,15.78,331.05,29.74,0
170316,610,786,843,990,7,20,4294967295,24.88,1013.42,15.78,330.06,29.74,0
171312,598,782,836,988,6,19,4294967295,24.88,1013.42,15.79,331.05,29.66,0
172308,583,779,830,988,7,19,4294967295,24.88,1013.43,15.78,333.39,29.66,0
173304,570,775,824,986,7,19,4294967295,24.88,1013.43,15.79,334.06,29.66,0
174300,558,772,818,985,7,20,4294967295,24.88,1013.43,15.78,335.76,29.66,0
175296,554,768,813,983,6,21,4294967295,24.88,1013.43,15.77,336.1,29.66,0
176292,551,765,809,982,6,20,4294967295,24.88,1013.43,15.77,335.76,29.57,0
177288,559,761,811,981,6,20,4294967295,24.88,1013.44,15.77,334.4,29.57,0
178284,557,758,808,980,6,20,4294967295,24.89,1013.44,15.76,334.06,29.57,0
179280,544,755,803,978,6,20,4294967295,24.89,1013.44,15.75,336.1,29.57,0
180276,533,752,799,976,6,19,4294967295,24.89,1013.44,15.76,337.82,29.66,0
181272,532,749,795,976,6,19,55735,24.89,1013.43,15.76,337.82,29.57,0
182268,543,747,793,974,6,19,4294967295,24.89,1013.44,15.75,338.86,29.57,0
183264,549,744,791,973,6,19,4294967295,24.89,1013.44,15.76,339.55,29.57,0
184260,544,742,787,972,6,19,4294967295,24.89,1013.44,15.76,342.01,29.49,0
185256,540,739,785,971,6,19,4294967295,24.89,1013.45,15.76,340.6,29.49,0
186252,539,737,781,970,6,19,4294967295,24.89,1013.45,15.75,340.25,29.57,0
187248,535,734,777,968,6,18,4294967295,24.89,1013.44,15.75,340.25,29.74,0
188244,524,731,772,967,6,18,4294967295,24.89,1013.42,15.76,340.25,29.82,0
189240,512,728,768,966,6,19,4294967295,24.89,1013.41,15.75,342.01,29.9,0
