timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
447204,44,77,96,782,0,1,0,24.29,1030.95,11.09,565.99,-115.08,0
448200,44,77,96,781,0,1,0,24.29,1030.95,11.10,565.99,-115.08,0
449196,44,76,94,782,0,1,0,24.29,1030.95,11.10,561.73,-115.08,0
450192,43,76,95,782,0,2,0,24.29,1030.95,11.11,566.47,-115.08,0
451188,44,76,94,782,0,1,0,24.29,1030.95,11.10,562.20,-115.08,0
452184,43,76,95,782,0,1,0,24.29,1030.95,11.11,565.99,-115.08,0
453180,44,76,95,781,0,1,0,24.29,1030.95,11.11,562.20,-115.08,0
454176,44,76,95,782,0,1,0,24.29,1030.95,11.11,568.38,-115.00,0
455172,43,76,94,782,0,1,0,24.29,1030.94,11.12,562.20,-115.08,0
456168,43,76,95,782,0,1,0,24.29,1030.95,11.12,562.67,-115.08,0
457164,43,76,94,781,0,2,0,24.29,1030.95,11.12,565.04,-115.00,0
458160,43,76,94,782,0,1,0,24.29,1030.94,11.12,562.67,-115.08,0
459156,43,76,95,782,0,1,0,24.29,1030.95,11.12,566.94,-115.08,0
460152,43,76,94,783,0,1,0,24.29,1030.95,11.12,561.73,-115.08,0
461148,43,75,95,782,0,1,0,24.29,1030.95,11.10,567.42,-115.08,0
462144,43,76,95,782,0,1,0,24.29,1030.95,11.11,564.56,-115.08,0
463140,43,76,94,782,0,1,0,24.29,1030.95,11.11,565.04,-115.08,0
464136,43,76,94,783,0,2,0,24.29,1030.95,11.11,562.20,-115.16,0
465132,43,76,95,784,0,2,0,24.29,1030.96,11.11,565.51,-115.16,0
466128,44,76,94,783,0,1,0,24.29,1030.96,11.10,558.92,-115.16,0
467124,43,75,94,784,0,1,0,24.29,1030.96,11.08,565.04,-115.16,0
468120,44,76,94,783,0,1,0,24.29,1030.96,11.09,562.67,-115.16,0
469116,44,75,94,784,0,2,0,24.29,1030.96,11.09,560.32,-115.16,0
470112,43,76,94,784,0,1,0,24.29,1030.96,11.09,564.09,-115.16,0
471108,43,76,94,783,0,1,0,24.29,1030.96,11.10,559.86,-115.16,0
472104,44,76,94,784,0,1,0,24.29,1030.96,11.09,560.32,-115.16,0
473100,44,76,94,784,0,2,0,24.29,1030.96,11.09,559.39,-115.16,0
474096,43,75,94,784,0,1,0,24.29,1030.96,11.08,560.32,-115.16,0
475092,44,76,94,784,0,2,0,24.29,1030.96,11.09,556.15,-115.16,0
476088,44,75,93,783,0,2,0,24.29,1030.96,11.10,554.31,-115.16,0
477084,43,75,93,782,0,1,0,24.29,1030.96,11.10,550.68,-115.24,0
478080,44,75,94,783,0,1,0,24.29,1030.97,11.11,545.76,-115.24,0
479076,44,75,94,782,0,1,0,24.29,1030.97,11.10,551.13,-115.24,0
480072,43,75,94,782,0,1,0,24.29,1030.97,11.10,551.13,-115.24,0
481068,43,76,93,782,0,1,0,24.29,1030.97,11.10,543.99,-115.32,0
482064,43,75,93,782,0,1,0,24.29,1030.98,11.10,546.20,-115.32,0
483060,43,75,93,782,0,1,0,24.29,1030.98,11.10,541.36,-115.24,0
484056,42,75,93,781,0,1,0,24.29,1030.97,11.12,543.11,-115.24,0
485052,43,75,93,782,0,1,0,24.29,1030.97,11.11,544.87,-115.24,0
486048,43,75,92,782,0,1,0,24.29,1030.97,11.10,538.75,-115.24,0
487044,43,75,93,782,0,1,0,24.29,1030.97,11.11,540.49,-115.24,0
488040,43,75,93,781,0,1,0,24.29,1030.97,11.10,537.46,-115.24,0
489036,43,75,92,781,0,1,0,24.29,1030.97,11.11,540.05,-115.24,0
490032,43,75,92,781,0,2,0,24.28,1030.97,11.11,539.62,-115.24,0
491028,43,74,92,781,0,1,0,24.29,1030.97,11.09,533.62,-115.24,0
492024,42,75,92,782,0,2,0,24.29,1030.97,11.09,535.75,-115.24,0
493020,43,75,92,781,0,2,0,24.29,1030.97,11.10,535.32,-115.24,0
494016,43,75,93,782,0,2,0,24.29,1030.97,11.10,534.47,-115.24,0
495012,43,75,92,782,0,1,0,24.29,1030.97,11.10,534.04,-115.32,0
496008,43,75,92,782,0,1,0,24.29,1030.98,11.10,536.17,-115.24,0
497004,43,75,92,783,0,1,0,24.29,1030.97,11.10,531.09,-115.24,0
498000,43,75,92,783,0,2,0,24.29,1030.97,11.10,531.51,-115.41,0
498996,43,75,92,784,0,1,0,24.29,1030.99,11.10,531.93,-115.41,0
499992,42,75,92,786,0,1,0,24.29,1030.99,11.11,526.10,-115.32,0
500988,43,75,92,787,0,1,0,24.29,1030.98,11.11,525.69,-115.41,0
501984,43,74,93,788,0,1,0,24.29,1030.99,11.10,529.41,-115.32,0
502980,43,75,92,788,0,1,0,24.29,1030.98,11.11,526.10,-115.41,0
503976,43,75,92,789,0,2,0,24.29,1030.99,11.09,526.92,-115.32,0
504972,43,75,92,788,0,2,0,24.29,1030.98,11.10,524.87,-115.41,0
505968,44,75,92,790,0,1,0,24.29,1030.99,11.11,526.10,-115.32,0
