timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State
31872,41,109,115,828,6,191,4294967295,24.93,1007.88,19.04,331.72,75.84,0
32868,41,109,115,828,6,223,4294967295,24.93,1007.89,19.03,328.75,75.84,0
33864,41,109,115,828,6,194,4294967295,24.93,1007.89,19.04,328.75,75.93,0
34860,41,109,115,827,6,191,4294967295,24.93,1007.88,19.04,326.15,75.93,0
35856,41,109,115,827,7,182,4294967295,24.93,1007.88,19.05,325.19,75.93,0
36852,41,109,115,827,6,192,4294967295,24.93,1007.88,19.05,325.19,76.01,0
37848,41,109,114,826,6,193,4294967295,24.93,1007.87,19.04,324.23,76.01,0
38844,42,109,114,826,5,186,4294967295,24.93,1007.87,19.05,325.51,76.01,0
39840,42,109,114,826,6,197,4294967295,24.93,1007.87,19.03,326.15,76.18,0
40836,41,109,115,826,7,225,4294967295,24.92,1007.85,19.01,329.08,76.18,0
41832,42,108,114,825,6,195,4294967295,24.92,1007.85,18.99,331.72,76.18,0
42828,42,109,114,826,6,191,4294967295,24.92,1007.85,18.98,332.05,76.18,0
43824,41,108,114,825,6,193,4294967295,24.92,1007.85,18.95,331.72,76.18,0
44820,41,108,114,824,5,192,4294967295,24.92,1007.85,18.95,335.08,76.18,0
45816,41,108,115,825,6,184,4294967295,24.92,1007.85,18.93,336.79,76.18,0
46812,41,108,115,825,5,189,4294967295,24.92,1007.85,18.91,339.55,76.26,0
47808,41,108,114,825,6,190,4294967295,24.92,1007.84,18.9,339.55,76.18,0
48804,41,108,114,825,5,179,4294967295,24.92,1007.85,18.9,342.01,76.18,0
49800,41,108,114,825,5,190,4294967295,24.93,1007.85,18.89,341.66,76.26,0
50796,42,108,114,826,5,174,4294967295,24.93,1007.84,18.87,342.37,76.26,0
51792,41,108,114,825,5,188,4294967295,24.93,1007.84,18.87,343.08,76.26,0
52788,41,108,114,825,5,189,4294967295,24.93,1007.84,18.87,341.31,76.18,0
53784,42,108,114,826,6,189,4294967295,24.93,1007.85,18.87,342.72,76.18,0
54780,41,108,114,825,5,191,4294967295,24.93,1007.85,18.86,342.01,76.26,0
55776,41,108,114,825,5,192,4294967295,24.93,1007.84,18.87,342.01,76.18,0
56772,41,108,114,826,6,197,4294967295,24.93,1007.85,18.86,340.95,76.18,0
57768,40,108,113,826,8,214,4294967295,24.93,1007.85,18.87,343.08,76.09,0
58764,41,108,114,825,7,216,4294967295,24.93,1007.86,18.87,342.37,76.09,0
59760,41,108,113,825,8,219,4294967295,24.93,1007.86,18.87,341.66,76.09,0
60756,41,108,113,825,7,201,4294967295,24.93,1007.86,18.88,340.25,76.18,0
61752,41,108,113,825,7,197,4294967295,24.93,1007.85,18.89,339.55,76.18,0
62748,42,108,114,824,0,118,39,24.93,1007.85,18.9,341.31,76.18,0
63744,42,107,114,824,1,122,4294967295,24.94,1007.85,18.9,343.08,76.26,0
64740,42,108,114,824,1,127,4294967295,24.95,1007.84,18.9,340.25,76.18,0
65736,43,107,114,824,1,139,4294967295,24.95,1007.85,18.91,338.51,76.18,0
66732,43,107,114,824,1,143,4294967295,24.96,1007.85,18.9,340.25,76.18,0
67728,43,108,114,824,1,139,4294967295,24.96,1007.85,18.9,340.25,76.18,0
68724,43,107,114,824,1,144,4294967295,24.97,1007.85,18.91,342.72,76.26,0
69720,43,107,114,825,1,145,4294967295,24.97,1007.84,18.9,339.21,76.26,0
70716,43,107,114,825,1,146,4294967295,24.98,1007.84,18.9,340.95,76.26,0
71712,43,107,114,825,1,149,4294967295,24.98,1007.84,18.92,339.55,76.26,0
72708,43,107,114,825,1,143,4294967295,24.98,1007.84,18.93,339.55,76.26,0
73704,43,107,114,826,1,174,4294967295,24.99,1007.84,18.93,338.51,76.18,0
74700,43,107,114,827,1,156,4294967295,24.99,1007.85,18.93,334.4,76.09,0
75696,43,107,114,830,1,163,4294967295,24.99,1007.86,18.94,330.72,76.18,0
76692,43,107,115,831,1,160,4294967295,24.99,1007.85,18.94,326.15,76.09,0
77688,43,107,114,831,1,164,4294967295,24.99,1007.86,18.96,322.97,76.09,0
78684,43,107,115,833,1,160,4294967295,25.0,1007.86,18.96,311.41,76.09,0
79680,44,107,115,834,1,203,4294967295,25.0,1007.86,18.96,304.52,76.18,0
80676,44,107,115,833,1,178,4294967295,25.0,1007.85,18.96,298.74,76.09,0
81672,43,107,115,833,1,185,4294967295,25.0,1007.86,18.97,294.22,76.09,0
82668,43,107,115,834,1,187,4294967295,25.01,1007.86,18.97,289.84,76.18,0
83664,44,107,115,835,1,191,4294967295,25.01,1007.85,18.97,285.83,76.18,0
84660,43,107,115,835,1,195,4294967295,25.01,1007.85,18.97,283.62,76.18,0
85656,44,107,115,836,1,187,4294967295,25.01,1007.85,18.96,283.13,76.18,0
86652,44,107,115,835,1,189,4294967295,25.01,1007.85,18.96,283.13,76.18,0
87648,44,107,115,835,1,196,4294967295,25.02,1007.85,18.95,280.49,76.18,0
88644,43,106,115,835,1,199,4294967295,25.02,1007.85,18.95,279.31,76.18,0
89640,44,107,115,835,1,197,4294967295,25.02,1007.85,18.96,280.73,76.09,0
90636,44,107,115,835,1,197,4294967295,25.02,1007.86,18.94,278.37,76.18,0
91632,44,107,115,835,0,195,4294967295,25.02,1007.85,18.94,279.78,76.18,0
92628,44,106,116,835,1,210,4294967295,25.02,1007.85,18.93,277.66,76.26,0
93624,43,107,115,834,1,208,4294967295,25.03,1007.84,18.94,276.73,76.18,0
94620,44,107,115,833,1,207,4294967295,25.03,1007.85,18.95,277.9,76.18,0
95616,44,106,114,833,1,215,4294967295,25.03,1007.85,18.94,277.66,76.09,0
96612,44,107,114,833,1,198,4294967295,25.04,1007.86,18.94,276.97,76.09,0
97608,44,106,115,831,1,208,4294967295,25.04,1007.86,18.93,277.9,76.18,0
98604,44,107,115,831,1,210,4294967295,25.04,1007.85,18.94,277.66,76.26,0
99600,44,107,115,831,1,208,4294967295,25.04,1007.84,18.94,277.9,76.34,0
100596,44,106,115,831,1,213,4294967295,25.05,1007.83,18.92,279.07,76.34,0
101592,44,106,115,831,1,219,4294967295,25.05,1007.83,18.92,281.93,76.34,0
102588,44,106,115,830,1,198,4294967295,25.05,1007.83,18.92,283.38,76.43,0
103584,44,106,115,830,1,199,4294967295,25.05,1007.82,18.91,285.33,76.34,0
104580,44,106,115,829,1,202,4294967295,25.05,1007.83,18.9,287.82,76.34,0
105576,43,106,115,829,1,199,4294967295,25.06,1007.83,18.91,288.07,76.34,0
106572,43,106,114,829,1,199,4294967295,25.06,1007.83,18.9,292.14,76.26,0
107568,44,105,115,830,1,205,4294967295,25.06,1007.84,18.88,292.66,76.26,0
108564,44,106,114,828,1,206,4294967295,25.06,1007.84,18.88,295.01,76.26,0
109560,43,106,115,828,1,221,4294967295,25.06,1007.84,18.86,298.2,76.26,0
110556,43,106,114,829,1,203,4294967295,25.06,1007.84,18.85,297.4,76.09,0
111552,44,106,114,829,1,196,4294967295,25.06,1007.86,18.84,300.64,76.09,0
112548,43,106,115,830,1,200,4294967295,25.06,1007.86,18.83,300.1,76.09,0
113544,44,105,115,830,1,201,4294967295,25.06,1007.86,18.82,303.68,76.01,0
114540,43,106,114,830,1,206,4294967295,25.06,1007.87,18.82,302.85,76.09,0
115536,43,105,114,830,1,205,4294967295,25.06,1007.86,18.81,305.08,76.01,0
116532,44,105,114,829,1,200,4294967295,25.06,1007.87,18.81,304.8,76.18,0
117528,44,106,114,829,1,192,4294967295,25.07,1007.85,18.8,308.21,76.26,0
118524,44,105,115,829,1,202,4294967295,25.07,1007.84,18.8,306.21,76.34,0
119520,44,105,114,829,1,200,4294967295,25.07,1007.83,18.79,306.78,76.26,0
120516,44,106,115,828,1,196,4294967295,25.07,1007.84,18.79,306.78,76.26,0
121512,43,105,114,828,1,194,4294967295,25.07,1007.84,18.79,308.5,76.26,0
122508,44,105,114,828,1,194,4294967295,25.08,1007.84,18.8,307.07,76.34,0
123504,44,105,114,828,1,199,4294967295,25.08,1007.83,18.79,310.24,76.34,0
124500,43,105,114,828,1,194,4294967295,25.08,1007.83,18.8,311.11,76.43,0
125496,44,105,114,827,1,190,4294967295,25.08,1007.82,18.8,311.99,76.51,0
126492,44,105,114,827,1,190,4294967295,25.08,1007.81,18.79,311.11,76.43,0
127488,44,105,114,827,1,193,4294967295,25.08,1007.82,18.8,310.82,76.43,0
128484,44,105,114,828,1,192,4294967295,25.08,1007.82,18.81,310.82,76.34,0
129480,43,105,114,829,1,199,4294967295,25.08,1007.83,18.79,309.37,76.34,0
130476,44,104,114,830,1,193,4294967295,25.08,1007.83,18.8,308.5,76.43,0
131472,44,105,114,830,1,193,4294967295,25.08,1007.82,18.8,307.93,76.51,0
132468,44,105,114,831,1,189,4294967295,25.09,1007.81,18.8,306.78,76.43,0
133464,44,105,114,831,1,189,4294967295,25.09,1007.82,18.81,301.74,76.43,0
134460,44,105,115,831,1,201,4294967295,25.09,1007.82,18.81,301.19,76.43,0
135456,44,105,114,831,1,191,4294967295,25.09,1007.82,18.81,301.47,76.43,0
136452,44,105,114,831,1,192,4294967295,25.09,1007.82,18.81,297.13,76.51,0
137448,44,104,114,831,1,193,4294967295,25.09,1007.81,18.82,292.92,76.43,0
138444,44,104,114,831,0,196,4294967295,25.09,1007.82,18.82,290.35,76.51,0
139440,44,104,114,831,1,199,4294967295,25.09,1007.81,18.82,287.57,76.51,0
140436,44,105,114,830,1,194,4294967295,25.09,1007.81,18.82,285.33,76.51,0
141432,44,104,114,830,1,197,4294967295,25.1,1007.81,18.82,282.65,76.43,0
142428,44,105,114,830,1,203,4294967295,25.09,1007.82,18.81,281.69,76.43,0
143424,44,104,114,830,0,183,4294967295,25.1,1007.82,18.81,279.31,76.43,0
144420,43,104,114,829,1,191,4294967295,25.1,1007.82,18.83,278.6,76.26,0
145416,43,105,114,829,0,204,4294967295,25.1,1007.84,18.81,275.58,76.26,0
146412,44,104,115,829,1,202,4294967295,25.1,1007.84,18.82,271.95,76.26,0
147408,44,104,114,828,1,198,4294967295,25.1,1007.84,18.82,267.99,76.26,0
148404,44,104,114,829,1,196,4294967295,25.1,1007.84,18.82,262.45,76.34,0
149400,44,104,113,829,0,199,4294967295,25.1,1007.83,18.81,258.75,76.34,0
150396,44,104,114,828,0,196,4294967295,25.1,1007.83,18.82,256.55,76.34,0
151392,44,104,114,828,1,195,4294967295,25.1,1007.83,18.81,256.55,76.43,0
152388,44,104,113,827,1,190,4294967295,25.1,1007.82,18.83,256.35,76.43,0
153384,44,103,113,828,1,193,4294967295,25.1,1007.82,18.81,254.77,76.43,0
154380,44,103,113,827,1,190,4294967295,25.1,1007.82,18.81,253.79,76.43,0
155376,44,104,114,827,1,196,4294967295,25.1,1007.82,18.81,254.37,76.43,0
156372,43,104,114,827,0,189,4294967295,25.1,1007.82,18.81,256.35,76.51,0
157368,43,104,114,827,1,243,4294967295,25.11,1007.81,18.8,257.95,76.59,0
158364,43,104,114,828,1,212,4294967295,25.11,1007.8,18.81,253.59,76.51,0
159360,44,104,114,829,0,212,4294967295,25.11,1007.81,18.8,254.77,76.51,0
160356,44,104,114,831,1,207,4294967295,25.11,1007.81,18.81,250.52,76.51,0
161352,43,104,114,833,0,209,4294967295,25.11,1007.81,18.8,247.7,76.51,0
162348,43,104,114,833,1,208,4294967295,25.11,1007.81,18.81,247.52,76.59,0
163344,44,104,114,834,1,213,4294967295,25.11,1007.8,18.82,242.79,76.51,0
164340,44,104,114,834,1,211,4294967295,25.11,1007.81,18.82,241.02,76.59,0
