NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
79,321,125,95,197.6578,18.5445,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
79,321,125,96,182.8700,18.7123,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
80,320,124,95,200.1313,18.7544,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
81,321,125,96,200.4426,18.1106,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
81,321,125,96,199.2001,18.7544,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
81,321,125,95,200.7544,18.8815,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
82,321,125,97,205.1705,19.1165,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
83,321,125,97,205.4896,18.9240,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
84,321,126,96,200.7544,18.5863,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
84,322,124,97,194.9115,18.4195,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
86,322,125,97,217.9875,19.0093,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
86,321,125,97,204.8520,18.9453,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
87,322,125,97,207.4147,18.6492,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
89,322,125,98,203.5824,18.8815,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
89,322,125,98,205.1705,18.2130,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
90,322,125,98,206.1293,19.2674,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
91,322,125,98,205.4896,19.0307,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
91,323,125,98,207.7371,19.1380,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
93,323,125,98,207.4147,18.9666,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
100,324,126,100,208.7078,19.3977,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
