NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
427,261,294,671,30.3167,22.7070,inf,26.5700,1016.6000,34.3310,108.6250,3.3187
430,262,294,672,30.3690,22.3810,inf,26.6400,1016.6000,34.3740,113.9460,3.3187
433,260,294,672,29.6955,22.3312,inf,26.7100,1016.6000,34.3940,115.6770,3.3187
437,262,294,672,30.2645,22.5309,inf,26.7800,1016.6200,34.3810,118.9630,3.1527
442,262,294,671,29.9013,22.3561,inf,26.8500,1016.6000,34.3990,121.0260,3.3187
450,262,295,672,27.6583,22.6314,inf,26.9000,1016.6000,34.4020,122.8910,3.3187
460,263,296,672,29.9529,22.2320,inf,26.9600,1016.6200,34.4050,123.9820,3.1527
475,262,296,672,29.7982,22.2568,inf,27.0000,1016.6400,34.3930,124.9070,2.9867
490,263,298,672,29.5931,22.5059,inf,27.0400,1016.6400,34.3740,125.0000,2.9867
508,264,299,674,29.7982,22.4559,inf,27.0800,1016.6400,34.3660,126.3200,2.9867
524,266,301,674,30.4214,22.1086,inf,27.1100,1016.6200,34.3480,126.7980,3.1527
539,265,302,675,29.4400,22.2568,inf,27.1300,1016.6400,34.3270,127.1830,2.9867
552,266,304,675,29.2877,22.4059,inf,27.1600,1016.6200,34.3220,128.2540,3.1527
562,267,305,676,29.5420,22.2568,inf,27.1700,1016.6200,34.3060,128.7470,3.1527
570,267,307,677,27.0863,22.3064,inf,27.1900,1016.6200,34.2910,128.1560,3.1527
575,268,310,678,29.7468,22.1579,inf,27.2100,1016.6000,34.2650,129.4440,3.3187
578,269,311,678,29.4400,22.3312,inf,27.2200,1016.6400,34.2370,129.2440,2.9867
578,269,312,679,29.3892,22.2073,inf,27.2300,1016.6400,34.2270,128.9450,2.9867
577,269,314,679,29.3892,22.2816,inf,27.2400,1016.6200,34.1940,128.7470,3.1527
574,270,315,679,29.2877,22.2568,inf,27.2500,1016.6400,34.1860,128.8460,2.9867
570,269,316,678,28.9350,22.2073,inf,27.2600,1016.6200,34.1580,128.8460,3.1527
521,269,316,672,27.6583,21.7907,inf,27.2700,1016.6400,34.1430,128.8460,2.9867
516,268,316,671,29.3892,21.7422,inf,26.7700,1016.6400,34.1210,68.4080,2.9867
512,269,316,671,29.5420,22.7070,inf,26.5600,1016.6200,34.1940,83.7270,3.1527
508,268,316,670,28.9852,22.3561,inf,26.5100,1016.6000,34.2420,93.6510,3.3187
503,268,316,670,29.3384,22.2073,inf,26.5400,1016.6000,34.2810,98.8780,3.3187
500,268,315,670,29.2877,22.7576,inf,26.5900,1016.6200,34.3210,104.8840,3.1527
496,268,315,670,29.4400,24.0301,inf,26.6700,1016.6000,34.3630,108.6250,3.3187
492,267,315,670,33.4880,22.3561,inf,26.7400,1016.6000,34.3590,111.6670,3.3187
491,268,315,670,29.3892,22.7829,inf,26.8100,1016.6400,34.3740,114.4130,2.9867
489,268,315,670,29.1866,22.2568,inf,26.8800,1016.6200,34.3750,115.8370,3.1527
487,268,315,671,28.8350,22.1333,inf,26.9300,1016.6200,34.3700,117.1330,3.1527
486,268,314,671,29.1866,22.6818,inf,26.9800,1016.6000,34.3780,118.4580,3.3187
484,268,314,672,29.1866,22.3312,inf,27.0300,1016.6200,34.3740,119.3870,3.1527
483,268,315,672,29.4910,22.2073,inf,27.0700,1016.6400,34.3720,120.5900,2.9867
481,267,314,672,29.1866,22.2073,inf,27.1000,1016.6200,34.3480,121.5530,3.1527
479,268,314,673,29.0857,22.3810,inf,27.1300,1016.6200,34.3390,122.4420,3.1527
478,268,314,673,29.1361,22.2320,inf,27.1600,1016.6200,34.3340,122.8010,3.1527
476,268,314,673,28.6358,22.4559,inf,27.1800,1016.6200,34.3130,123.3430,3.1527
476,267,314,674,29.0857,22.3561,inf,27.2000,1016.6200,34.2880,122.7110,3.1527
474,269,314,675,29.3892,22.3312,inf,27.2200,1016.6400,34.2700,123.8910,2.9867
473,269,315,673,29.4910,22.4309,inf,27.2300,1016.6600,34.2440,123.6160,2.8207
472,269,315,675,28.4872,22.3064,inf,27.2500,1016.6200,34.2320,123.2520,3.1527
472,270,314,675,29.1361,22.6063,inf,27.2600,1016.6400,34.2210,124.4430,2.9867
472,269,314,675,29.0354,22.2568,inf,27.2700,1016.6400,34.2060,124.5350,2.9867
470,270,314,677,28.8350,23.0632,inf,27.2800,1016.6400,34.1760,125.0930,2.9867
470,270,314,677,28.8850,22.3561,inf,27.2900,1016.6200,34.1680,124.5350,3.1527
466,270,316,678,26.9450,21.2863,inf,27.3000,1016.6400,34.1440,124.7210,2.9867
466,270,315,678,28.7352,22.4559,inf,26.8000,1016.6200,34.1350,67.6890,3.1527
465,270,316,679,29.0857,22.4559,inf,26.5900,1016.6000,34.1780,82.0850,3.3187
466,271,316,678,27.1809,22.6314,inf,26.5400,1016.6000,34.2400,92.3090,3.3187
464,271,315,678,30.0565,22.4559,inf,26.5600,1016.6200,34.2910,99.2300,3.1527
464,271,315,679,28.7352,22.8083,inf,26.6200,1016.6200,34.3080,105.0160,3.1527
464,271,316,678,29.2877,22.8845,inf,26.6900,1016.6200,34.3480,109.1210,3.1527
463,271,316,678,29.0857,22.5309,inf,26.7600,1016.5900,34.3620,111.9650,3.4012
464,271,316,679,28.6855,22.5309,inf,26.8300,1016.6200,34.3880,114.8830,3.1527
463,271,316,679,28.1432,22.2816,inf,26.9000,1016.6200,34.3730,116.6430,3.1527
462,271,316,678,28.6358,22.9609,inf,26.9600,1016.6200,34.3710,118.6260,3.1527
463,272,316,679,28.7851,22.5811,inf,27.0100,1016.6200,34.3760,119.3870,3.1527
463,272,316,680,28.6855,22.4309,inf,27.0500,1016.6400,34.3750,121.2010,2.9867
463,272,316,679,29.1361,22.3312,inf,27.0900,1016.6400,34.3510,121.5530,2.9867
463,273,316,681,29.4400,21.8637,inf,27.1200,1016.6200,34.3440,122.6210,3.1527
464,272,316,680,28.9350,22.1826,inf,27.1500,1016.6200,34.3250,123.3430,3.1527
464,273,316,681,28.1432,22.2816,inf,27.1800,1016.6000,34.3130,123.5250,3.3187
464,273,317,681,28.5862,22.4559,inf,27.2000,1016.6000,34.3010,123.1620,3.3187
464,273,317,681,28.7352,22.3561,inf,27.2200,1016.6400,34.2820,123.5250,2.9867
465,273,318,682,29.5420,22.3312,inf,27.2400,1016.6400,34.2500,124.7210,2.9867
465,274,317,682,28.6358,22.3561,inf,27.2500,1016.6600,34.2540,124.6280,2.8207
465,274,317,682,28.9350,22.3561,inf,27.2600,1016.6400,34.2210,124.5350,2.9867
466,274,318,682,28.9852,22.4559,inf,27.2800,1016.6400,34.1890,123.7080,2.9867
466,274,318,682,28.7851,24.3249,inf,27.2900,1016.6200,34.1790,125.1870,3.1527
467,274,317,683,28.9350,22.8845,inf,27.3000,1016.6200,34.1570,125.3740,3.1527
466,274,317,682,28.7851,22.5811,inf,27.3100,1016.6000,34.1440,124.7210,3.3187
467,277,320,685,27.4187,21.8881,inf,27.3100,1016.6200,34.1270,124.9070,3.1527
468,277,319,686,28.5862,21.5251,inf,26.8200,1016.6200,34.0940,67.3620,3.1527
468,278,320,687,27.7547,22.7070,inf,26.6100,1016.6000,34.1540,81.6850,3.3187
469,277,320,687,28.5367,24.5959,inf,26.5500,1016.6200,34.2080,92.5130,3.1527
469,277,321,687,28.2902,22.6566,inf,26.5800,1016.6000,34.2530,98.8200,3.3187
469,277,321,689,28.1432,22.9099,inf,26.6400,1016.6000,34.3000,104.0370,3.3187
469,277,321,689,30.1084,21.3100,inf,26.7100,1016.5900,34.3080,108.4140,3.4012
471,279,321,689,26.6643,22.3312,inf,26.7800,1016.6200,34.3250,111.0740,3.1527
471,278,322,690,28.5862,22.3064,inf,26.8500,1016.6200,34.3350,114.1790,3.1527
471,279,322,691,28.4379,22.2816,inf,26.9200,1016.6200,34.3470,116.2390,3.1527
470,279,322,691,28.1432,22.1333,inf,26.9700,1016.6200,34.3420,117.7920,3.1527
471,279,322,691,28.5367,24.2710,inf,27.0300,1016.6200,34.3510,118.7940,3.1527
472,280,323,691,28.2411,20.8626,inf,27.0700,1016.6400,34.3200,119.9000,2.9867
473,280,323,691,28.3394,23.5550,inf,27.1100,1016.6400,34.3130,120.8510,2.9867
472,280,324,691,28.4379,22.2073,inf,27.1400,1016.6000,34.3180,122.2630,3.3187
