NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
633,561,579,827,105264.7266,2360.9695,inf,25.9400,1016.8200,36.7200,183.8640,1.4930
632,561,578,826,139664.3750,2573.4456,inf,25.4600,1016.8200,36.6660,130.8590,1.4930
630,560,578,827,113675.0156,2099.8435,inf,25.2600,1016.8000,36.7260,142.6750,1.6595
628,560,578,826,112876.9609,2449.8872,inf,25.2100,1016.7800,36.7780,150.9010,1.8249
626,559,578,826,109370.1484,2455.5911,inf,25.2400,1016.7800,36.8380,157.5730,1.8249
624,559,577,826,101347.6016,2449.8872,inf,25.2900,1016.7800,36.8630,161.3680,1.8249
623,558,578,825,94995.6953,2410.4487,inf,25.3600,1016.7800,36.8850,164.3770,1.8249
620,558,578,825,101000.4609,1953.6111,inf,25.4300,1016.7600,36.9120,166.5010,1.9909
619,558,576,826,91235.8438,2344.7751,inf,25.5000,1016.8000,36.9220,169.3630,1.6595
617,557,577,825,94356.0469,2421.6296,inf,25.5600,1016.7800,36.9200,170.5700,1.8249
616,556,575,825,93721.7031,2525.4255,inf,25.6200,1016.7800,36.9120,171.6190,1.8249
615,557,575,825,78669.4531,2421.6296,inf,25.6700,1016.7800,36.9280,171.0930,1.8249
614,556,575,824,82607.2344,3447.4824,inf,25.7100,1016.7800,36.9140,172.8590,1.8249
613,557,575,824,86217.3672,2377.3081,inf,25.7500,1016.7800,36.9100,173.0370,1.8249
612,555,575,824,84806.4297,2328.7278,inf,25.7900,1016.7800,36.8900,173.3950,1.8249
611,555,575,824,77408.3984,1832.0688,inf,25.8100,1016.8000,36.8780,173.0370,1.6595
611,555,574,824,74243.5234,2215.3611,inf,25.8400,1016.7800,36.8690,173.3950,1.8249
611,554,575,824,72836.4141,3341.9951,inf,25.8600,1016.7800,36.8530,173.9360,1.8249
610,554,574,824,75200.0313,2286.6350,inf,25.8800,1016.8000,36.8410,173.9360,1.6595
610,553,574,824,68590.8438,2156.5840,inf,25.9000,1016.8000,36.8320,173.5750,1.6595
609,553,574,824,59320.8594,1875.4501,inf,25.9100,1016.7800,36.7980,175.0260,1.8249
608,553,573,824,72605.1250,2205.4177,inf,25.9300,1016.8000,36.7690,175.2090,1.6595
608,552,574,823,73535.8203,2195.5391,inf,25.9400,1016.8000,36.7540,175.2090,1.6595
607,553,573,824,88535.6953,2118.5376,inf,25.9500,1016.7800,36.7440,176.8740,1.8249
606,553,572,823,86789.9531,2151.7791,inf,25.9600,1016.8000,36.7250,175.3930,1.6595
606,552,572,824,68161.6797,1945.1831,inf,25.9700,1016.7800,36.6950,177.0610,1.8249
604,550,571,822,42710.8750,1907.8533,inf,25.9800,1016.8000,36.6980,177.2490,1.6595
603,550,570,823,45606.4141,2013.9603,inf,25.5000,1016.8000,36.6560,122.8010,1.6595
603,549,570,822,42953.6719,1867.4625,inf,25.3000,1016.8000,36.7030,135.0810,1.6595
603,549,570,822,45869.3438,1949.3933,inf,25.2500,1016.7800,36.7670,143.5300,1.8249
603,549,570,822,40147.0625,1895.6173,inf,25.2700,1016.7800,36.8160,150.0900,1.8249
603,549,569,822,31083.2637,1871.4514,inf,25.3300,1016.7600,36.8380,155.2360,1.9909
602,547,569,822,42710.8750,1749.1670,inf,25.4000,1016.7800,36.8740,158.0190,1.8249
602,549,569,823,33770.1133,1801.3374,inf,25.4700,1016.7800,36.8830,161.5240,1.8249
602,548,569,822,40259.5156,1820.4655,inf,25.5400,1016.7800,36.8980,165.1870,1.8249
