NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
353,253,292,581,433.1327,87.2417,0.0077,26.3200,1015.6200,38.1620,293.3770,11.4536
353,253,292,581,442.0462,85.2912,0.0146,26.3600,1015.6400,38.1400,295.7480,11.2870
353,253,292,581,441.3541,83.4817,0.0089,26.3900,1015.6200,38.1480,298.1570,11.4536
353,253,292,582,443.4344,92.0175,0.0055,26.4100,1015.6400,38.1130,300.0590,11.2870
353,253,292,582,416.5078,86.1630,0.0073,26.4400,1015.6400,38.1130,302.2620,11.2870
353,253,293,582,453.2766,79.4476,0.0082,26.4500,1015.6400,38.0970,300.8810,11.2870
353,252,292,581,466.9959,85.5807,0.0054,26.4700,1015.6400,38.0890,303.3760,11.2870
353,253,292,582,487.2336,84.9068,0.0086,26.4900,1015.6200,38.0740,304.7790,11.4536
354,253,292,581,465.5320,87.8362,0.0089,26.5000,1015.6200,38.0520,304.2160,11.4536
352,252,292,581,462.6180,87.8362,0.0111,26.5100,1015.6200,38.0520,304.4980,11.4536
352,253,292,581,453.2766,89.3416,0.0093,26.5200,1015.6200,38.0370,305.3450,11.4536
354,253,291,581,448.3276,86.5536,0.0086,26.5300,1015.6200,38.0260,305.9120,11.4536
353,253,292,581,459.0019,87.9356,0.0120,26.5400,1015.6200,37.9930,306.4810,11.4536
353,253,292,582,458.2824,87.0445,0.0073,26.5400,1015.6200,37.9870,307.9140,11.4536
353,253,292,579,447.6250,83.3876,0.0082,26.5500,1015.6000,37.9660,308.7800,11.6197
354,253,292,579,463.3444,86.9461,0.0109,26.1400,1015.6400,37.9600,205.8920,11.2870
353,253,292,579,472.9000,88.3349,0.0127,25.9700,1015.6200,38.0050,226.1050,11.4536
353,253,291,579,464.8015,88.3349,0.0134,25.9200,1015.6200,38.0580,241.5260,11.4536
354,253,292,578,460.4447,87.1430,0.0093,25.9400,1015.6200,38.0820,254.5950,11.4536
353,252,291,578,475.1339,86.8477,0.0040,25.9900,1015.6000,38.1250,261.6750,11.6197
353,253,291,578,471.4168,86.2605,0.0138,26.0500,1015.6000,38.1610,269.8220,11.6197
353,253,292,578,482.6593,84.5242,0.0095,26.1100,1015.6200,38.1570,276.1570,11.4536
353,252,292,579,462.6180,87.9356,0.0132,26.1700,1015.6200,38.1790,280.8670,11.4536
353,253,293,578,464.8015,88.4350,0.0116,26.2300,1015.6000,38.1830,283.2830,11.6197
353,252,292,579,481.9011,88.5352,0.0109,26.2700,1015.6200,38.1840,286.4860,11.4536
353,252,292,579,545.7648,88.3349,0.0162,26.3200,1015.6400,38.2020,288.7470,11.2870
354,253,292,580,481.9011,88.9374,0.0132,26.3600,1015.6400,38.1690,289.0000,11.2870
354,253,292,580,477.3784,88.3349,0.0126,26.3900,1015.6200,38.1710,293.1160,11.4536
