NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
162,319,140,109,215.9651,29.7038,0.0008,34.0300,689.8300,100.0000,808.3700,3156.5579
163,319,140,109,208.3837,29.2176,0.0008,34.0300,689.8300,100.0000,808.3700,3156.5579
163,320,140,109,209.0324,29.8676,0.0012,34.0300,689.8300,100.0000,808.3700,3156.5579
163,320,140,110,207.7371,29.4760,0.0009,34.0300,689.8300,100.0000,808.3700,3156.5579
164,319,139,109,220.7136,30.3978,0.0023,34.0300,689.8300,100.0000,808.3700,3156.5579
164,319,140,110,219.3462,29.9664,0.0023,34.0300,689.8300,100.0000,808.3700,3156.5579
164,319,140,109,213.9613,29.8348,0.0109,34.0300,689.8300,100.0000,808.3700,3156.5579
164,319,140,109,224.1687,30.4982,0.0026,34.0300,689.8300,100.0000,808.3700,3156.5579
164,318,139,109,219.6873,29.7693,0.0020,34.0300,689.8300,100.0000,808.3700,3156.5579
164,320,139,109,206.4498,29.9664,0.0025,34.0300,689.8300,100.0000,808.3700,3156.5579
165,319,140,109,220.3709,30.3310,0.0026,34.0300,689.8300,100.0000,808.3700,3156.5579
165,319,139,110,215.2951,30.3644,0.0021,34.0300,689.8300,100.0000,808.3700,3156.5579
165,319,140,109,216.6371,29.9005,0.0027,34.0300,689.8300,100.0000,808.3700,3156.5579
165,318,139,109,217.6491,30.4312,0.0017,34.0300,689.8300,100.0000,808.3700,3156.5579
165,319,139,109,216.9741,30.3978,0.0023,34.0300,689.8300,100.0000,808.3700,3156.5579
165,319,139,109,219.3462,28.7075,0.0023,34.0300,689.8300,100.0000,808.3700,3156.5579
166,319,140,109,222.4344,30.7338,0.0034,34.0300,689.8300,100.0000,808.3700,3156.5579
165,318,140,109,208.7078,30.4647,0.0024,34.0300,689.8300,100.0000,808.3700,3156.5579
166,319,139,109,215.9651,30.3644,0.0020,34.0300,689.8300,100.0000,808.3700,3156.5579
166,319,139,109,229.0969,30.5318,0.0019,34.0300,689.8300,100.0000,808.3700,3156.5579
166,319,139,109,254.2215,30.8692,0.0020,34.0300,689.8300,100.0000,808.3700,3156.5579
166,319,140,109,231.2417,30.7000,0.0040,34.0300,689.8300,100.0000,808.3700,3156.5579
166,319,139,109,226.6194,31.4512,0.0026,34.0300,689.8300,100.0000,808.3700,3156.5579
167,318,140,109,208.3837,29.6060,0.0010,34.0300,689.8300,100.0000,808.3700,3156.5579
167,319,139,109,235.2263,29.3788,0.0019,34.0300,689.8300,100.0000,808.3700,3156.5579
167,319,140,109,209.3574,30.0654,0.0017,34.0300,689.8300,100.0000,808.3700,3156.5579
167,318,140,110,211.9760,29.2176,0.0022,34.0300,689.8300,100.0000,808.3700,3156.5579
167,319,139,109,213.9613,29.0573,0.0019,34.0300,689.8300,100.0000,808.3700,3156.5579
167,318,139,109,212.3056,28.6444,0.0016,34.0300,689.8300,100.0000,808.3700,3156.5579
167,319,139,109,214.6271,29.9334,0.0017,34.0300,689.8300,100.0000,808.3700,3156.5579
168,318,140,109,238.9081,29.3788,0.0019,34.0300,689.8300,100.0000,808.3700,3156.5579
169,318,140,109,223.4735,30.7000,0.0026,34.0300,689.8300,100.0000,808.3700,3156.5579
169,318,140,110,246.8288,30.2977,0.0014,34.0300,689.8300,100.0000,808.3700,3156.5579
169,318,140,110,230.8829,31.5550,0.0020,34.0300,689.8300,100.0000,808.3700,3156.5579
