NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
105,99,212,760,9,40,0,25.07,1021.59,39.45,261.21,-38.0
105,99,211,760,9,40,0,25.07,1021.59,39.47,260.18,-38.0
105,99,210,760,11,43,0,25.06,1021.59,39.47,261.0,-37.92
104,99,210,760,10,43,0,25.06,1021.58,39.48,261.42,-37.84
104,99,209,760,10,43,0,25.06,1021.57,39.49,260.39,-37.84
103,99,209,760,11,41,0,25.05,1021.57,39.5,261.0,-37.84
104,99,209,761,10,44,0,25.05,1021.57,39.51,260.8,-37.84
104,99,208,760,10,44,0,25.05,1021.57,39.51,261.42,-37.84
103,99,208,761,10,44,0,25.05,1021.57,39.52,259.98,-37.84
103,99,208,761,10,45,0,25.05,1021.57,39.52,261.21,-37.84
103,98,207,762,10,44,0,25.05,1021.57,39.53,260.8,-37.84
103,98,207,761,10,44,0,25.04,1021.57,39.53,262.25,-37.84
102,99,206,761,11,45,0,25.04,1021.57,39.54,261.83,-37.92
102,98,205,762,10,45,0,25.04,1021.58,39.54,260.8,-37.84
102,98,205,761,11,46,0,25.04,1021.57,39.55,260.8,-37.92
102,98,205,762,11,46,0,25.04,1021.58,39.56,262.04,-37.92
102,99,204,762,11,45,0,25.04,1021.58,39.56,261.83,-37.84
102,98,205,762,11,46,0,25.03,1021.57,39.57,262.45,-37.84
101,99,204,762,11,46,0,25.03,1021.57,39.57,262.25,-37.76
101,99,204,762,12,46,0,25.03,1021.56,39.58,262.45,-37.76
101,98,204,763,11,46,0,25.03,1021.56,39.59,260.8,-37.76
101,98,203,763,11,46,0,25.03,1021.56,39.59,262.45,-37.76
101,99,203,763,10,45,0,25.03,1021.56,39.59,262.45,-37.76
102,99,203,763,10,44,0,25.03,1021.56,39.59,262.66,-37.76
100,98,203,763,10,44,0,25.02,1021.56,39.59,263.29,-37.76
101,98,202,763,10,44,0,25.02,1021.56,39.59,262.25,-37.76
101,98,202,763,10,44,0,25.02,1021.56,39.6,262.04,-37.76
101,98,202,763,10,44,0,25.02,1021.56,39.6,263.29,-37.76
101,98,201,764,8,44,0,25.02,1021.56,39.6,263.08,-37.76
101,98,201,763,10,45,0,25.02,1021.56,39.6,263.5,-37.84
100,98,200,763,10,46,0,25.02,1021.57,39.6,263.08,-37.76
100,98,200,764,11,46,0,25.02,1021.56,39.6,262.45,-37.67
100,98,200,764,11,46,0,25.02,1021.55,39.6,261.62,-37.76
100,98,200,764,10,46,0,25.02,1021.56,39.61,262.45,-37.76
100,98,199,764,11,46,0,25.02,1021.56,39.6,264.76,-37.76
100,98,200,763,11,46,0,25.02,1021.56,39.6,263.92,-37.76
100,98,199,763,10,46,0,25.02,1021.56,39.62,262.87,-37.76
100,98,200,764,11,46,0,25.02,1021.56,39.62,265.19,-37.76
