NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
153,345,472,822,5,30,4294967295,25.64,1020.69,37.76,80.58,-30.56
153,343,471,821,5,33,4294967295,25.64,1020.69,37.76,80.73,-30.56
152,342,469,821,5,33,4294967295,25.64,1020.69,37.76,81.04,-30.56
152,341,469,822,4,31,4294967295,25.64,1020.69,37.78,81.04,-30.48
151,341,468,821,4,31,4294967295,25.63,1020.68,37.79,81.12,-30.48
151,340,466,821,5,30,4294967295,25.63,1020.68,37.8,81.44,-30.4
150,339,465,820,4,31,4294967295,25.63,1020.67,37.8,81.28,-30.4
149,338,464,820,5,31,4294967295,25.63,1020.67,37.81,81.36,-30.4
149,337,463,820,5,30,4294967295,25.63,1020.67,37.82,81.51,-30.4
149,336,461,820,5,31,4294967295,25.63,1020.67,37.82,81.91,-30.4
149,335,461,820,5,31,4294967295,25.63,1020.67,37.84,82.07,-30.48
149,335,459,820,5,31,4294967295,25.63,1020.68,37.84,82.23,-30.48
148,334,458,819,5,31,4294967295,25.63,1020.68,37.85,82.23,-30.56
148,333,457,819,6,31,4294967295,25.63,1020.69,37.84,82.15,-30.56
148,333,456,819,5,31,4294967295,25.63,1020.69,37.84,82.39,-30.48
148,332,456,819,5,31,4294967295,25.63,1020.68,37.84,82.23,-30.56
148,331,455,819,5,30,4294967295,25.63,1020.69,37.85,82.72,-30.56
148,331,454,819,5,31,4294967295,25.63,1020.69,37.85,83.21,-30.56
147,330,453,819,5,31,4294967295,25.63,1020.69,37.84,83.05,-30.73
148,329,452,819,5,31,4294967295,25.63,1020.71,37.85,83.37,-30.73
147,329,452,818,5,31,4294967295,25.63,1020.71,37.87,83.37,-30.73
147,328,451,818,5,31,4294967295,25.63,1020.71,37.85,83.37,-30.65
147,327,449,818,5,31,4294967295,25.63,1020.7,37.86,83.54,-30.81
147,327,449,818,5,31,4294967295,25.63,1020.72,37.86,82.96,-30.73
148,326,449,818,5,31,4294967295,25.63,1020.71,37.87,83.29,-30.65
148,326,447,817,5,33,4294967295,25.63,1020.7,37.86,83.05,-30.65
148,326,446,817,6,31,4294967295,25.63,1020.7,37.85,83.37,-30.56
148,325,446,817,6,32,4294967295,25.63,1020.69,37.86,83.21,-30.56
149,324,446,817,6,32,4294967295,25.63,1020.69,37.86,82.96,-30.56
149,324,445,817,6,32,4294967295,25.63,1020.69,37.85,83.62,-30.56
149,323,445,818,5,32,4294967295,25.63,1020.69,37.87,82.96,-30.65
150,322,445,817,6,32,4294967295,25.63,1020.7,37.85,83.37,-30.48
149,322,445,817,6,33,4294967295,25.63,1020.68,37.86,83.46,-30.48
150,321,443,817,6,32,4294967295,25.63,1020.68,37.86,83.37,-30.48
152,322,444,817,6,31,4294967295,25.63,1020.68,37.86,83.37,-30.48
152,320,443,817,6,32,4294967295,25.63,1020.68,37.87,83.37,-30.48
153,321,444,817,6,33,4294967295,25.63,1020.68,37.87,83.37,-30.48
154,320,443,817,5,31,4294967295,25.63,1020.68,37.87,83.54,-30.56
155,319,443,816,6,32,4294967295,25.63,1020.69,37.85,83.37,-30.65
156,319,443,817,6,33,4294967295,25.63,1020.7,37.86,83.46,-30.56
158,319,443,817,8,33,4294967295,25.63,1020.69,37.87,83.46,-30.56
159,318,444,817,6,33,4294967295,25.63,1020.69,37.87,83.46,-30.56
160,318,443,816,7,33,4294967295,25.63,1020.69,37.84,83.62,-30.56
160,318,444,816,6,33,4294967295,25.63,1020.69,37.87,83.71,-30.56
