NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
123,190,280,775,2,35,4294967295,25.59,1004.45,45.59,33.18,104.71
123,189,279,775,2,34,4294967295,25.59,1004.44,45.63,33.18,104.63
123,189,279,775,2,35,4294967295,25.6,1004.45,45.68,33.0,104.71
123,189,278,775,3,35,4294967295,25.6,1004.44,45.75,33.05,104.71
122,189,277,776,3,36,4294967295,25.6,1004.44,45.8,33.0,104.63
121,188,276,776,4,45,4294967295,25.6,1004.45,45.84,33.1,104.63
120,188,275,776,7,45,4294967295,25.59,1004.45,45.9,33.02,104.63
120,189,275,775,2,34,4294967295,25.59,1004.45,45.94,32.9,104.54
120,188,275,775,3,34,4294967295,25.59,1004.46,45.98,32.95,104.54
120,188,275,775,2,33,4294967295,25.59,1004.46,46.01,32.82,104.54
119,188,274,776,2,34,4294967295,25.59,1004.46,46.04,32.9,104.46
120,187,274,775,2,32,4294967295,25.59,1004.47,46.09,33.13,104.46
120,187,274,775,2,32,4294967295,25.59,1004.47,46.11,32.9,104.46
120,187,273,776,2,35,4294967295,25.6,1004.47,46.12,33.0,104.37
120,187,273,776,2,32,4294967295,25.6,1004.48,46.15,32.95,104.37
120,187,272,776,2,32,4294967295,25.6,1004.48,46.15,32.92,104.37
119,187,273,775,2,33,4294967295,25.6,1004.48,46.15,33.02,104.37
119,187,272,776,2,32,4294967295,25.6,1004.48,46.14,32.77,104.37
118,186,271,775,2,32,4294967295,25.6,1004.48,46.12,32.9,104.37
119,186,271,775,3,35,4294967295,25.61,1004.48,46.11,32.92,104.46
118,186,271,775,3,36,4294967295,25.61,1004.47,46.1,32.82,104.46
118,186,270,775,3,36,4294967295,25.61,1004.47,46.09,32.84,104.46
118,186,270,775,3,36,4294967295,25.61,1004.47,46.07,32.9,104.46
117,186,269,775,5,56,4294967295,25.61,1004.47,46.08,32.92,104.46
117,185,269,775,5,38,4294967295,25.61,1004.47,46.05,32.9,104.37
117,185,268,775,4,43,4294967295,25.61,1004.48,46.04,32.95,104.46
117,186,269,775,5,40,4294967295,25.61,1004.47,46.03,33.02,104.37
116,185,268,775,5,38,4294967295,25.61,1004.48,46.02,32.95,104.37
116,185,268,775,4,39,4294967295,25.61,1004.48,46.01,32.97,104.37
116,185,267,775,8,40,4294967295,25.61,1004.48,46.0,32.97,104.37
116,185,267,775,5,40,4294967295,25.61,1004.48,46.0,32.9,104.37
115,185,267,776,4,37,4294967295,25.61,1004.48,46.01,32.77,104.37
116,185,267,775,5,40,4294967295,25.61,1004.48,46.03,32.79,104.29
116,185,266,774,5,35,4294967295,25.62,1004.49,46.05,32.82,104.37
116,185,266,775,4,38,4294967295,25.62,1004.48,46.07,32.79,104.37
115,185,266,775,5,39,4294967295,25.62,1004.48,46.09,32.9,104.46
115,184,266,775,6,41,4294967295,25.62,1004.47,46.08,32.82,104.46
115,184,265,774,6,41,4294967295,25.62,1004.47,46.09,32.9,104.54
115,184,265,775,6,41,4294967295,25.62,1004.46,46.08,32.84,104.54
115,184,265,775,5,39,4294967295,25.62,1004.46,46.1,32.74,104.54
115,184,265,775,5,37,4294967295,25.62,1004.46,46.11,32.9,104.54
115,184,264,775,6,40,4294967295,25.62,1004.46,46.09,32.92,104.46
115,184,265,775,4,36,4294967295,25.63,1004.47,46.09,32.77,104.46
116,184,265,775,4,35,4294967295,25.63,1004.47,46.07,32.82,104.37
115,184,264,775,4,36,4294967295,25.63,1004.48,46.06,32.74,104.37
116,184,264,775,4,34,4294967295,25.63,1004.48,46.04,32.84,104.37
116,184,264,775,5,39,4294967295,25.64,1004.48,46.04,32.79,104.46
115,184,264,774,5,40,4294967295,25.64,1004.47,46.03,32.92,104.46
116,184,264,775,6,41,4294967295,25.64,1004.47,46.02,32.79,104.46
116,183,264,775,5,40,4294967295,25.64,1004.47,46.02,32.82,104.46
116,184,264,775,4,34,4294967295,25.64,1004.47,46.02,32.79,104.46
116,184,263,775,5,38,4294967295,25.65,1004.47,46.02,32.92,104.37
116,184,264,775,4,35,4294967295,25.65,1004.48,45.99,32.87,104.37
116,184,264,775,3,36,4294967295,25.65,1004.48,45.99,32.82,104.46
116,184,264,775,4,33,4294967295,25.65,1004.47,45.96,32.82,104.46
117,183,264,775,3,32,4294967295,25.65,1004.47,45.96,32.92,104.37
118,183,264,775,3,37,4294967295,25.65,1004.48,45.96,33.05,104.46
118,184,264,775,3,33,4294967295,25.66,1004.47,45.95,32.87,104.37
118,183,264,775,3,33,4294967295,25.66,1004.48,45.95,32.84,104.46
118,184,263,775,3,33,4294967295,25.66,1004.47,45.96,32.84,104.46
118,183,263,775,3,34,4294967295,25.66,1004.47,45.97,32.79,104.37
118,183,263,776,2,32,4294967295,25.67,1004.48,45.96,32.74,104.37
118,184,264,775,2,30,4294967295,25.67,1004.48,45.95,32.9,104.46
119,183,264,775,2,31,4294967295,25.67,1004.47,45.96,32.9,104.46
119,184,264,776,2,30,4294967295,25.67,1004.47,45.95,32.84,104.46
119,183,264,775,2,31,4294967295,25.67,1004.47,45.96,32.74,104.46
119,183,263,776,2,30,4294967295,25.68,1004.47,45.94,32.64,104.46
120,183,263,775,2,30,4294967295,25.68,1004.47,45.94,32.79,104.46
120,183,264,775,2,30,4294967295,25.68,1004.47,45.94,32.79,104.46
120,183,263,775,2,30,4294967295,25.68,1004.47,45.94,32.74,104.54
120,183,264,776,2,29,4294967295,25.68,1004.46,45.92,32.74,104.37
121,183,263,776,2,31,4294967295,25.68,1004.48,45.91,32.74,104.37
121,183,264,775,2,31,4294967295,25.69,1004.48,45.9,32.67,104.46
121,184,264,776,2,31,4294967295,25.69,1004.47,45.9,32.74,104.54
121,183,263,776,2,31,4294967295,25.69,1004.46,45.9,32.79,104.54
122,184,264,775,2,31,4294967295,25.69,1004.46,45.9,32.72,104.54
122,183,264,776,2,31,4294967295,25.69,1004.46,45.89,32.72,104.46
122,183,263,775,2,31,4294967295,25.69,1004.47,45.89,32.79,104.46
122,183,264,776,2,31,4294967295,25.69,1004.47,45.88,32.77,104.46
122,183,264,775,2,32,4294967295,25.7,1004.47,45.87,32.79,104.54
122,183,264,775,2,32,4294967295,25.7,1004.46,45.85,32.82,104.54
123,183,264,776,2,31,4294967295,25.7,1004.46,45.86,32.77,104.63
123,183,264,776,2,34,4294967295,25.7,1004.45,45.85,32.9,104.54
123,183,264,776,2,30,4294967295,25.7,1004.46,45.85,32.79,104.54
123,183,264,776,2,32,4294967295,25.7,1004.46,45.85,32.84,104.54
123,183,264,775,2,32,4294967295,25.7,1004.46,45.85,32.82,104.54
123,183,264,776,2,31,4294967295,25.7,1004.46,45.84,32.9,104.54
124,183,265,775,2,33,4294967295,25.7,1004.46,45.84,32.77,104.63
124,183,264,776,2,31,4294967295,25.7,1004.45,45.82,32.82,104.63
124,183,264,775,2,31,4294967295,25.7,1004.45,45.81,32.79,104.71
124,183,265,776,2,31,4294967295,25.7,1004.44,45.8,32.79,104.79
124,183,264,776,1,31,4294967295,25.7,1004.43,45.79,32.79,104.79
125,183,265,776,2,30,4294967295,25.71,1004.43,45.8,32.82,104.79
125,183,265,775,2,31,4294967295,25.71,1004.43,45.8,32.87,104.79
125,183,265,776,2,32,4294967295,25.71,1004.43,45.81,32.87,104.79
125,183,265,776,2,31,4294967295,25.71,1004.43,45.81,32.79,104.79
126,183,265,776,2,31,4294967295,25.71,1004.43,45.82,32.87,104.88
126,183,265,776,2,31,4294967295,25.71,1004.42,45.83,32.82,104.88
126,183,265,775,2,31,4294967295,25.71,1004.42,45.82,32.74,104.88
126,183,265,775,2,30,4294967295,25.71,1004.42,45.82,32.79,104.88
127,184,266,776,2,31,4294967295,25.71,1004.42,45.83,32.79,104.88
127,183,266,776,2,31,4294967295,25.71,1004.42,45.81,32.77,104.88
127,183,266,776,2,31,4294967295,25.71,1004.42,45.81,32.79,104.88
127,184,266,776,2,31,4294967295,25.71,1004.42,45.79,32.74,104.88
128,184,266,776,2,32,4294967295,25.71,1004.42,45.79,32.69,104.88
127,184,266,776,2,32,4294967295,25.71,1004.42,45.75,32.72,104.79
127,184,266,776,1,32,4294967295,25.71,1004.43,45.77,32.82,104.79
128,183,266,776,2,32,4294967295,25.72,1004.43,45.74,32.79,104.88
128,183,267,776,2,31,4294967295,25.72,1004.42,45.73,32.79,104.79
128,183,267,776,2,31,4294967295,25.72,1004.43,45.74,32.84,104.79
129,184,266,776,2,31,4294967295,25.72,1004.43,45.74,32.82,104.79
129,183,267,776,2,32,4294967295,25.72,1004.43,45.75,32.79,104.88
129,184,267,776,2,32,4294967295,25.72,1004.42,45.74,32.77,104.88
129,184,267,776,2,32,4294967295,25.72,1004.42,45.74,32.79,104.88
129,184,267,776,2,31,4294967295,25.72,1004.42,45.73,32.79,104.88
129,184,267,776,2,31,4294967295,25.73,1004.42,45.72,32.79,104.88
130,183,267,776,2,32,4294967295,25.73,1004.42,45.72,32.74,104.88
130,183,267,776,1,32,4294967295,25.72,1004.42,45.72,32.77,104.88
130,184,268,775,2,32,4294967295,25.73,1004.42,45.72,32.82,104.88
131,184,267,776,2,32,4294967295,25.73,1004.42,45.71,32.84,104.88
131,184,268,776,2,31,4294967295,25.73,1004.42,45.71,32.87,104.88
131,184,268,776,2,32,4294967295,25.73,1004.42,45.69,32.82,104.96
132,184,269,776,2,32,4294967295,25.73,1004.41,45.69,32.87,104.96
132,184,269,776,1,32,4294967295,25.73,1004.41,45.67,32.9,104.88
132,184,269,776,2,32,4294967295,25.73,1004.42,45.67,32.92,104.88
132,184,268,776,2,32,4294967295,25.73,1004.42,45.67,32.92,104.96
132,184,268,776,2,37,4294967295,25.73,1004.41,45.65,32.97,104.88
133,184,269,776,2,32,4294967295,25.73,1004.42,45.64,32.9,104.88
133,184,270,776,2,35,4294967295,25.73,1004.42,45.64,32.95,104.96
134,184,269,776,2,32,4294967295,25.73,1004.41,45.63,32.95,104.96
134,184,270,776,2,30,4294967295,25.73,1004.41,45.64,32.95,104.96
134,185,270,776,2,32,4294967295,25.73,1004.41,45.63,33.0,105.04
134,184,271,776,2,32,4294967295,25.73,1004.4,45.61,33.0,104.96
135,184,271,776,2,32,4294967295,25.73,1004.41,45.63,33.0,104.96
135,185,272,777,2,32,4294967295,25.73,1004.41,45.62,33.02,104.96
135,185,271,777,2,36,4294967295,25.74,1004.41,45.63,33.0,104.88
135,185,272,777,2,32,4294967295,25.74,1004.42,45.61,32.97,104.96
135,185,272,777,2,32,4294967295,25.74,1004.41,45.63,33.08,104.88
135,185,272,777,2,32,4294967295,25.74,1004.42,45.61,33.05,104.88
136,185,272,776,2,31,4294967295,25.74,1004.42,45.61,33.13,104.88
136,185,272,777,2,32,4294967295,25.74,1004.42,45.6,33.08,104.88
136,186,273,777,2,32,4294967295,25.74,1004.42,45.6,33.08,104.79
137,186,273,776,1,32,4294967295,25.74,1004.43,45.58,33.18,104.79
137,185,273,777,2,32,4294967295,25.74,1004.43,45.57,33.26,104.79
137,186,273,777,2,36,4294967295,25.74,1004.43,45.58,33.23,104.71
138,186,274,777,2,32,4294967295,25.74,1004.44,45.56,33.23,104.79
138,186,274,776,2,32,4294967295,25.74,1004.43,45.54,33.26,104.79
138,186,275,777,1,32,4294967295,25.74,1004.43,45.54,33.28,104.71
138,186,274,776,2,32,4294967295,25.74,1004.44,45.54,33.28,104.71
139,186,274,777,2,32,4294967295,25.74,1004.44,45.51,33.31,104.71
139,186,275,777,2,32,4294967295,25.74,1004.44,45.53,33.37,104.71
139,186,276,776,2,32,4294967295,25.74,1004.44,45.52,33.37,104.71
140,186,276,776,2,32,4294967295,25.74,1004.44,45.53,33.37,104.63
140,186,276,777,2,32,4294967295,25.74,1004.45,45.51,33.42,104.71
140,186,277,777,2,32,4294967295,25.74,1004.44,45.52,33.39,104.71
140,186,276,777,2,30,4294967295,25.74,1004.44,45.52,33.31,104.71
140,186,277,777,2,32,4294967295,25.74,1004.44,45.54,33.31,104.71
140,186,277,777,2,32,4294967295,25.74,1004.44,45.56,33.13,104.71
141,187,278,777,2,32,4294967295,25.74,1004.44,45.55,33.31,104.71
141,186,278,776,2,32,4294967295,25.74,1004.44,45.55,33.23,104.71
141,187,278,777,2,32,4294967295,25.74,1004.44,45.56,33.21,104.79
140,187,278,777,2,32,4294967295,25.74,1004.43,45.57,33.23,104.79
141,187,278,777,2,32,4294967295,25.74,1004.43,45.58,33.15,104.79
141,187,278,777,2,33,4294967295,25.74,1004.43,45.59,33.1,104.71
140,186,279,777,2,32,4294967295,25.74,1004.44,45.59,33.1,104.63
142,186,278,777,2,32,4294967295,25.74,1004.45,45.6,33.1,104.63
142,187,279,777,2,32,4294967295,25.74,1004.45,45.59,33.08,104.63
142,186,279,777,2,32,4294967295,25.74,1004.45,45.59,33.15,104.63
142,187,280,777,2,33,4294967295,25.74,1004.45,45.59,33.15,104.63
143,186,279,777,2,33,4294967295,25.74,1004.45,45.6,33.21,104.63
142,187,280,777,2,33,4294967295,25.74,1004.45,45.6,33.15,104.54
143,187,280,777,2,33,4294967295,25.74,1004.46,45.6,33.15,104.54
143,187,280,777,2,31,4294967295,25.74,1004.46,45.59,33.23,104.54
143,187,280,777,2,33,4294967295,25.74,1004.46,45.61,33.26,104.54
143,187,280,777,2,32,4294967295,25.74,1004.46,45.6,33.23,104.63
143,187,280,777,2,33,4294967295,25.74,1004.45,45.59,33.26,104.63
143,187,281,777,2,31,4294967295,25.74,1004.45,45.59,33.15,104.63
144,187,281,777,2,37,4294967295,25.74,1004.45,45.59,33.21,104.54
144,187,281,777,2,32,4294967295,25.74,1004.46,45.59,33.28,104.46
144,188,281,777,2,32,4294967295,25.74,1004.47,45.59,33.26,104.46
144,188,282,777,2,33,4294967295,25.74,1004.47,45.6,33.26,104.46
145,188,282,777,2,32,4294967295,25.75,1004.47,45.6,33.31,104.46
145,188,282,777,2,32,4294967295,25.75,1004.47,45.59,33.21,104.46
145,188,282,777,2,32,4294967295,25.74,1004.47,45.57,33.15,104.54
145,188,282,777,1,33,4294967295,25.74,1004.46,45.59,33.28,104.46
145,188,282,778,2,33,4294967295,25.74,1004.47,45.59,33.31,104.46
146,188,283,778,2,33,4294967295,25.75,1004.47,45.58,33.31,104.46
146,188,283,777,2,33,4294967295,25.75,1004.47,45.57,33.26,104.46
146,189,283,778,2,33,4294967295,25.74,1004.47,45.56,33.37,104.46
147,188,284,777,2,32,4294967295,25.75,1004.47,45.57,33.34,104.46
147,188,283,777,2,33,4294967295,25.74,1004.47,45.56,33.31,104.54
147,188,285,777,2,33,4294967295,25.75,1004.46,45.56,33.37,104.54
148,189,284,778,2,36,4294967295,25.75,1004.46,45.57,33.31,104.54
