NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
171,288,377,803,10,50,4294967295,25.43,1004.48,45.89,22.26,104.29
171,287,376,804,10,47,4294967295,25.43,1004.49,45.91,22.26,104.37
170,288,375,803,10,47,4294967295,25.43,1004.48,45.93,22.19,104.46
169,286,374,804,9,47,4294967295,25.43,1004.47,45.95,22.19,104.46
168,286,373,804,9,46,4294967295,25.43,1004.47,45.98,22.21,104.46
167,286,372,803,10,46,4294967295,25.43,1004.47,46.0,22.21,104.46
166,285,371,802,10,46,4294967295,25.43,1004.47,46.01,22.24,104.46
165,284,370,803,10,47,4294967295,25.43,1004.47,46.02,22.26,104.46
164,284,370,803,10,43,4294967295,25.43,1004.47,46.03,22.19,104.46
163,283,369,803,9,46,4294967295,25.43,1004.47,46.04,22.17,104.54
163,283,368,802,11,47,4294967295,25.43,1004.46,46.07,22.12,104.54
163,282,366,803,10,52,4294967295,25.43,1004.46,46.07,22.17,104.46
162,282,366,802,9,46,4294967295,25.43,1004.47,46.07,22.19,104.46
161,282,366,802,10,46,4294967295,25.43,1004.47,46.07,22.17,104.46
160,281,365,802,9,45,4294967295,25.43,1004.47,46.05,22.24,104.46
160,280,364,802,9,46,4294967295,25.43,1004.47,46.04,22.14,104.46
160,280,363,802,8,45,4294967295,25.43,1004.47,46.04,22.21,104.46
159,279,363,802,8,45,4294967295,25.43,1004.47,46.05,22.14,104.46
158,279,361,801,9,46,4294967295,25.43,1004.47,46.04,22.14,104.54
158,278,361,801,9,46,4294967295,25.44,1004.46,46.04,22.19,104.46
158,278,361,801,9,46,4294967295,25.44,1004.47,46.04,22.21,104.37
158,278,360,801,9,47,4294967295,25.44,1004.48,46.05,22.19,104.37
157,278,359,801,9,44,4294967295,25.44,1004.48,46.04,22.17,104.37
157,277,359,800,9,46,4294967295,25.44,1004.48,46.04,22.19,104.37
156,277,359,801,9,46,4294967295,25.44,1004.48,46.03,22.12,104.29
156,277,358,801,9,46,4294967295,25.44,1004.49,46.02,22.1,104.37
155,276,357,801,10,46,4294967295,25.44,1004.48,46.01,22.19,104.29
155,275,356,801,8,47,4294967295,25.44,1004.49,46.01,22.21,104.29
155,276,356,800,9,45,4294967295,25.44,1004.49,46.01,22.19,104.29
155,275,356,800,9,45,4294967295,25.44,1004.49,45.99,22.17,104.37
155,275,355,800,9,45,4294967295,25.44,1004.48,45.99,22.07,104.37
154,274,355,800,8,49,4294967295,25.44,1004.48,45.98,22.14,104.29
154,274,354,800,9,46,4294967295,25.45,1004.49,45.99,22.14,104.29
154,274,354,799,9,46,4294967295,25.45,1004.49,45.99,22.1,104.21
154,274,354,801,9,46,4294967295,25.45,1004.5,45.99,22.14,104.29
153,273,353,800,9,46,4294967295,25.45,1004.49,45.99,22.05,104.29
153,273,353,800,9,46,4294967295,25.45,1004.49,45.99,22.17,104.21
154,273,352,800,9,46,4294967295,25.45,1004.5,46.0,22.1,104.21
153,273,352,800,9,46,4294967295,25.45,1004.5,46.0,22.12,104.21
153,272,351,800,9,69,4294967295,25.45,1004.5,45.99,22.19,104.21
154,272,351,800,8,66,4294967295,25.45,1004.5,46.0,22.19,104.12
154,272,351,800,8,64,4294967295,25.45,1004.51,46.0,22.1,104.12
153,271,351,800,8,64,4294967295,25.45,1004.51,46.0,21.98,104.21
153,271,350,799,9,63,4294967295,25.45,1004.5,46.0,22.12,104.21
154,271,350,800,9,63,4294967295,25.45,1004.5,46.0,22.1,104.29
154,271,350,799,9,62,4294967295,25.46,1004.49,46.0,22.07,104.21
153,271,349,800,9,62,4294967295,25.46,1004.5,45.98,22.05,104.29
153,270,350,799,9,61,4294967295,25.46,1004.49,45.99,22.07,104.29
153,270,349,800,9,61,4294967295,25.46,1004.49,45.99,22.07,104.29
153,270,349,800,10,61,4294967295,25.46,1004.49,45.97,22.14,104.37
153,270,349,800,9,61,4294967295,25.46,1004.48,45.96,22.07,104.29
154,270,348,799,9,66,4294967295,25.46,1004.49,45.96,22.07,104.29
153,270,348,799,9,60,4294967295,25.46,1004.49,45.94,22.07,104.21
153,269,348,799,10,61,4294967295,25.46,1004.5,45.96,22.1,104.29
153,269,348,799,9,59,4294967295,25.46,1004.49,45.95,22.07,104.37
153,269,347,799,9,60,4294967295,25.46,1004.48,45.94,22.14,104.37
153,269,347,799,9,56,4294967295,25.46,1004.48,45.94,22.05,104.37
153,269,347,799,9,59,4294967295,25.47,1004.48,45.94,22.03,104.37
153,269,347,799,9,58,4294967295,25.47,1004.48,45.92,22.19,104.37
153,268,347,799,9,59,4294967295,25.47,1004.48,45.94,22.14,104.37
154,268,347,799,9,58,4294967295,25.47,1004.48,45.93,22.12,104.46
153,268,346,799,9,58,4294967295,25.47,1004.47,45.92,22.05,104.37
154,268,346,799,9,59,4294967295,25.47,1004.48,45.93,22.05,104.37
154,268,346,799,9,58,4294967295,25.47,1004.48,45.92,22.12,104.29
154,268,346,800,9,57,4294967295,25.47,1004.49,45.92,22.14,104.21
