Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, oregano:0 → cloves (18 / 18) ✅",1.0,0.0,0.0
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, oregano:0 → cloves (18 / 18) ✅",1.0,0.0,0.0
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",97.77,100.0,93.15,100.0,96.36,100.0,100.0,88.24,"[cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅",1.0,1.41,1.41
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",72.92,96.67,92.75,28.57,71.15,100.0,100.0,6.25,"[cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, oregano:0 → cloves (18 / 18) ✅",1.0,1.77,1.77
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",96.35,98.28,95.31,95.71,100.0,100.0,100.0,100.0,"[cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, oregano:0 → cloves (18 / 18) ✅",1.0,-3.65,3.65
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",98.44,100.0,95.89,100.0,92.31,88.89,100.0,87.5,"[cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, oregano:0 → cloves (18 / 18) ✅",1.0,6.13,6.13
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],94.64,97.26,93.15,93.59,87.27,89.47,100.0,70.59,"[cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅",1.0,7.37,7.37
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],91.52,97.22,91.89,85.9,83.64,89.47,100.0,58.82,"[cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅",1.0,7.88,7.88
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],98.88,100.0,100.0,96.71,82.46,97.5,97.44,48.57,"[cumin.24c868eadb47.csv] cloves:0, cumin:39, oregano:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ✅",1.0,16.42,16.42
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],68.75,100.0,91.3,0.0,88.24,100.0,100.0,60.0,"[cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:6, cumin:0, oregano:0 → cloves (6 / 6) ✅",1.0,-19.49,19.49
