Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],97.77,100.0,97.18,96.15,90.91,100.0,100.0,70.59,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅",1.0,6.86,6.86
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,91.95,93.33,93.33,88.89,"[cumin.real.9511a582c32f.csv] cloves:4, cumin:93, oregano:0 → cumin (93 / 97) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:1, cumin:96, oregano:0 → cumin (96 / 97) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:30, oregano:0 → cumin (30 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:5, oregano:0 → cloves (25 / 30) ✅",0.945,8.05,8.05
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",98.44,98.33,97.14,100.0,98.08,100.0,94.44,100.0,"[cumin.real.9511a582c32f.csv] cloves:3, cumin:54, oregano:6 → cumin (54 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:3, cumin:60, oregano:0 → cumin (60 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:17, oregano:1 → cumin (17 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, oregano:0 → cloves (18 / 18) ✅",0.938,0.36,0.36
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],97.54,99.32,96.69,96.67,86.84,100.0,94.87,62.86,"[cumin.real.9511a582c32f.csv] cloves:38, cumin:90, oregano:0 → cumin (90 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:128, oregano:0 → cumin (128 / 128) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:39, oregano:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ✅",0.926,10.7,10.7
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",64.06,89.47,92.31,0.0,70.59,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:2, oregano:0 → cloves (4 / 6) ✅",0.917,-6.53,6.53
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.48,98.31,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:6, cumin:57, oregano:0 → cumin (57 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:1, cumin:62, oregano:0 → cumin (62 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:17, oregano:1 → cumin (17 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:13, cumin:5, oregano:0 → cloves (13 / 18) ✅",0.889,-0.52,0.52
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],98.88,98.7,98.71,99.28,93.58,100.0,100.0,79.41,"[cumin.real.9511a582c32f.csv] cloves:38, cumin:89, oregano:0 → cumin (89 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:18, cumin:109, oregano:0 → cumin (109 / 127) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:35, oregano:2 → cumin (35 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:37, cumin:0, oregano:0 → cloves (37 / 37) ✅",0.876,5.3,5.3
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],87.5,95.45,91.3,73.68,70.59,83.33,100.0,20.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:2, cumin:2, oregano:2 → cloves (2 / 6) ✅",0.833,16.91,16.91
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.69,100.0,100.0,99.01,89.16,100.0,96.43,69.23,"[cumin.real.9511a582c32f.csv] cloves:24, cumin:72, oregano:0 → cumin (72 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:38, cumin:58, oregano:0 → cumin (58 / 96) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:1 → cumin (28 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:0, oregano:0 → cloves (29 / 29) ✅",0.83,10.53,10.53
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],98.21,100.0,99.35,94.96,97.25,100.0,97.3,94.12,"[cumin.real.9511a582c32f.csv] cloves:23, cumin:103, oregano:1 → cumin (103 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:9, cumin:118, oregano:0 → cumin (118 / 127) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:36, oregano:1 → cumin (36 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:20, cumin:0, oregano:17 → cloves (20 / 37) ✅",0.813,0.96,0.96
