Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],87.5,100.0,92.0,70.0,76.47,100.0,100.0,20.0,"[cumin.real.9511a582c32f.csv] cloves:6, cumin:13, oregano:0 → cumin (13 / 19) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:13, cumin:6, oregano:0 → cloves (13 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:2, oregano:0 → cloves (4 / 6) ✅",0.807,11.03,11.03
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],87.5,100.0,70.0,92.31,86.67,80.0,80.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:1, cumin:18, oregano:0 → cumin (18 / 19) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:10, cumin:9, oregano:0 → cloves (10 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:4, oregano:0 → cumin (4 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:3, cumin:1, oregano:1 → cloves (3 / 5) ✅",0.775,0.83,0.83
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",69.79,96.55,84.06,30.77,78.85,100.0,100.0,31.25,"[cumin.real.9511a582c32f.csv] cloves:39, cumin:4, oregano:20 → cloves (39 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, oregano:0 → cloves (18 / 18) ✅",0.676,-9.06,9.06
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],95.09,98.65,94.59,92.11,89.09,94.74,100.0,70.59,"[cumin.real.9511a582c32f.csv] cloves:6, cumin:57, oregano:0 → cumin (57 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:26, cumin:37, oregano:0 → cumin (37 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅",0.663,6.0,6.0
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",95.42,95.66,97.58,92.84,82.86,88.52,94.96,63.3,"[cumin.real.9511a582c32f.csv] cloves:68, cumin:206, oregano:114 → cumin (206 / 388) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:137, cumin:134, oregano:117 → cloves (137 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:388, oregano:0 → cumin (388 / 388) ✅ | [cumin.24c868eadb47.csv] cloves:2, cumin:117, oregano:1 → cumin (117 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:48, cumin:27, oregano:45 → cloves (48 / 120) ✅",0.652,12.56,12.56
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],97.54,100.0,98.69,93.84,85.09,100.0,94.87,57.14,"[cumin.real.9511a582c32f.csv] cloves:6, cumin:122, oregano:0 → cumin (122 / 128) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:38, cumin:90, oregano:0 → cumin (90 / 128) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:128, oregano:0 → cumin (128 / 128) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:39, oregano:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ✅",0.65,12.45,12.45
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],68.75,90.48,100.0,5.26,76.47,100.0,100.0,20.0,"[cumin.real.9511a582c32f.csv] cloves:10, cumin:9, oregano:0 → cloves (10 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:16, cumin:3, oregano:0 → cloves (16 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:2, oregano:0 → cloves (4 / 6) ✅",0.596,-7.72,7.72
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],92.19,94.17,87.93,95.05,98.8,96.55,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:15, cumin:81, oregano:0 → cumin (81 / 96) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:35, cumin:61, oregano:0 → cumin (61 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:7, cumin:88, oregano:1 → cumin (88 / 96) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:27, oregano:2 → cumin (27 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:23, cumin:5, oregano:1 → cloves (23 / 29) ✅",0.57,-6.61,6.61
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],98.66,98.05,99.35,98.56,98.17,100.0,97.3,97.06,"[cumin.real.9511a582c32f.csv] cloves:23, cumin:104, oregano:0 → cumin (104 / 127) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:33, cumin:94, oregano:0 → cumin (94 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:11, cumin:116, oregano:0 → cumin (116 / 127) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:35, oregano:2 → cumin (35 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:30, cumin:7, oregano:0 → cloves (30 / 37) ✅",0.55,0.49,0.49
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:19, cumin:42, oregano:2 → cumin (42 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:14, cumin:42, oregano:7 → cumin (42 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:18, cumin:45, oregano:0 → cumin (45 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, oregano:0 → cloves (18 / 18) ✅",0.543,0.0,0.0
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",68.75,90.91,86.36,25.0,70.59,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:11, cumin:8, oregano:0 → cloves (11 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:15, cumin:4, oregano:0 → cloves (15 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:3, cumin:2, oregano:1 → cloves (3 / 6) ✅",0.542,-1.84,1.84
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],98.96,100.0,97.1,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:3, cumin:60, oregano:0 → cumin (60 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:18, cumin:45, oregano:0 → cumin (45 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:2, cumin:59, oregano:2 → cumin (59 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:17, oregano:1 → cumin (17 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:8, oregano:0 → cloves (10 / 18) ✅",0.535,-1.04,1.04
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",77.08,93.65,89.39,47.62,80.77,100.0,100.0,37.5,"[cumin.real.9511a582c32f.csv] cloves:57, cumin:6, oregano:0 → cloves (57 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:0, oregano:8 → cloves (10 / 18) ✅",0.53,-3.69,3.69
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],90.0,97.0,86.32,87.38,96.39,89.66,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:13, cumin:83, oregano:0 → cumin (83 / 96) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:21, cumin:71, oregano:4 → cumin (71 / 96) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:2, cumin:85, oregano:9 → cumin (85 / 96) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:27, oregano:2 → cumin (27 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:10 → cloves (19 / 29) ✅",0.519,-6.39,6.39
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],99.48,98.44,100.0,100.0,98.08,94.44,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:10, cumin:53, oregano:0 → cumin (53 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:21, cumin:40, oregano:2 → cumin (40 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:2, cumin:59, oregano:2 → cumin (59 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:17, oregano:1 → cumin (17 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:9, cumin:0, oregano:9 → cloves (9 / 18) ✅",0.517,1.4,1.4
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],98.18,100.0,97.2,97.33,84.48,99.15,97.37,53.85,"[cumin.real.9511a582c32f.csv] cloves:70, cumin:310, oregano:3 → cumin (310 / 383) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:120, cumin:251, oregano:12 → cumin (251 / 383) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:80, cumin:303, oregano:0 → cumin (303 / 383) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:110, oregano:4 → cumin (110 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:76, cumin:22, oregano:17 → cloves (76 / 115) ✅",0.513,13.7,13.7
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],97.38,99.57,98.28,94.2,79.7,97.44,95.61,42.31,"[cumin.real.9511a582c32f.csv] cloves:94, cumin:283, oregano:6 → cumin (283 / 383) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:194, cumin:176, oregano:13 → cloves (194 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:208, cumin:174, oregano:1 → cloves (208 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:2, cumin:113, oregano:0 → cumin (113 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:75, cumin:21, oregano:19 → cloves (75 / 115) ✅",0.467,17.68,17.68
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",84.88,90.69,81.16,82.77,83.58,81.2,91.23,77.88,"[cumin.real.9511a582c32f.csv] cloves:192, cumin:97, oregano:94 → cloves (192 / 383) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:241, cumin:48, oregano:94 → cloves (241 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:151, cumin:219, oregano:13 → cumin (219 / 383) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:112, oregano:3 → cumin (112 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:62, cumin:2, oregano:51 → cloves (62 / 115) ✅",0.443,1.3,1.3
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",97.67,99.35,97.64,95.98,91.34,87.18,92.11,95.19,"[cumin.real.9511a582c32f.csv] cloves:167, cumin:186, oregano:30 → cumin (186 / 383) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:232, cumin:133, oregano:18 → cloves (232 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:292, cumin:91, oregano:0 → cloves (292 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:108, oregano:7 → cumin (108 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:104, cumin:10, oregano:1 → cloves (104 / 115) ✅",0.434,6.33,6.33
