Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],97.54,100.0,94.52,98.01,85.96,100.0,92.31,62.86,"[cumin.real.9511a582c32f.csv] cloves:47, cumin:81, oregano:0 → cumin (81 / 128) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:102, cumin:26, oregano:0 → cloves (102 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:29, cumin:99, oregano:0 → cumin (99 / 128) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:39, oregano:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:39, cumin:0, oregano:0 → cloves (39 / 39) ✅ | [cloves.real.64c1deab910f.csv] cloves:44, cumin:31, oregano:0 → cloves (44 / 75) ✅",0.798,11.58,11.58
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",78.65,95.08,90.91,50.77,80.77,100.0,100.0,37.5,"[cumin.real.9511a582c32f.csv] cloves:29, cumin:4, oregano:30 → oregano (30 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:56, cumin:0, oregano:7 → cloves (56 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, oregano:0 → cloves (18 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:27, cumin:0, oregano:9 → cloves (27 / 36) ✅",0.694,-2.12,2.12
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],97.32,100.0,97.22,94.87,89.09,100.0,100.0,64.71,"[cumin.real.9511a582c32f.csv] cloves:46, cumin:17, oregano:0 → cloves (46 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:57, cumin:6, oregano:0 → cloves (57 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅ | [cloves.real.64c1deab910f.csv] cloves:33, cumin:4, oregano:0 → cloves (33 / 37) ✅",0.678,8.23,8.23
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",67.19,100.0,86.36,0.0,70.59,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:13, cumin:6, oregano:0 → cloves (13 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:17, cumin:2, oregano:0 → cloves (17 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:6, cumin:0, oregano:0 → cloves (6 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:9, cumin:2, oregano:0 → cloves (9 / 11) ✅",0.671,-3.4,3.4
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",97.4,100.0,97.1,95.24,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:44, cumin:19, oregano:0 → cloves (44 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:16, cumin:47, oregano:0 → cumin (47 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:17, cumin:0, oregano:1 → cloves (17 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:35, cumin:1, oregano:0 → cloves (35 / 36) ✅",0.661,-2.6,2.6
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],68.75,100.0,91.67,0.0,76.47,100.0,100.0,20.0,"[cumin.real.9511a582c32f.csv] cloves:11, cumin:8, oregano:0 → cloves (11 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:16, cumin:3, oregano:0 → cloves (16 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:5, cumin:1, oregano:0 → cloves (5 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:8, cumin:3, oregano:0 → cloves (8 / 11) ✅",0.637,-7.72,7.72
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],98.86,100.0,98.39,98.18,93.1,96.67,93.33,88.89,"[cumin.real.9511a582c32f.csv] cloves:13, cumin:37, oregano:47 → oregano (47 / 97) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:59, cumin:22, oregano:16 → cloves (59 / 97) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:29, cumin:68, oregano:0 → cumin (68 / 97) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:30, oregano:0 → cumin (30 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:2, oregano:3 → cloves (25 / 30) ✅ | [cloves.real.64c1deab910f.csv] cloves:29, cumin:26, oregano:2 → cloves (29 / 57) ✅",0.528,5.76,5.76
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],96.56,99.06,98.25,92.0,86.75,93.1,92.86,73.08,"[cumin.real.9511a582c32f.csv] cloves:29, cumin:67, oregano:0 → cumin (67 / 96) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:50, cumin:41, oregano:5 → cloves (50 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:36, cumin:59, oregano:1 → cumin (59 / 96) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:1 → cumin (28 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:10 → cloves (19 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:13, cumin:42, oregano:1 → cumin (42 / 56) ❌",0.451,9.81,9.81
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],65.62,90.91,66.67,33.33,86.67,80.0,80.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:15, cumin:4, oregano:0 → cloves (15 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:13, cumin:6, oregano:0 → cloves (13 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:11, oregano:8 → cumin (11 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:3, oregano:1 → cumin (3 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:3, cumin:0, oregano:2 → cloves (3 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:11, cumin:0, oregano:0 → cloves (11 / 11) ✅",0.446,-21.05,21.05
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",99.72,99.38,99.8,100.0,89.43,91.8,94.96,80.73,"[cumin.real.9511a582c32f.csv] cloves:153, cumin:218, oregano:17 → cumin (218 / 388) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:209, cumin:165, oregano:14 → cloves (209 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:204, cumin:184, oregano:0 → cloves (204 / 388) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:109, oregano:11 → cumin (109 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:72, cumin:38, oregano:10 → cloves (72 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:118, cumin:106, oregano:5 → cloves (118 / 229) ✅",0.433,10.29,10.29
