Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",59.38,100.0,100.0,0.0,66.67,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:17, cumin:2, oregano:0 → cloves (17 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:5, oregano:0 → cumin (5 / 5) ✅ | [oregano.real.552189cd9ba7.csv] cloves:7, cumin:12, oregano:0 → cumin (12 / 19) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:5, cumin:0, oregano:0 → cloves (5 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:11, cumin:0, oregano:0 → cloves (11 / 11) ✅",0.496,-7.29,7.29
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],99.15,100.0,100.0,97.25,91.95,100.0,96.67,77.78,"[cumin.real.9511a582c32f.csv] cloves:50, cumin:47, oregano:0 → cloves (50 / 97) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:82, cumin:15, oregano:0 → cloves (82 / 97) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:97, oregano:0 → cumin (97 / 97) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:2 → cumin (28 / 30) ✅ | [oregano.real.552189cd9ba7.csv] cloves:23, cumin:73, oregano:0 → cumin (73 / 96) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:1, oregano:0 → cloves (29 / 30) ✅ | [cloves.real.64c1deab910f.csv] cloves:41, cumin:16, oregano:0 → cloves (41 / 57) ✅",0.456,7.2,7.2
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",65.62,100.0,86.36,0.0,70.59,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:13, cumin:6, oregano:0 → cloves (13 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:17, cumin:2, oregano:0 → cloves (17 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [oregano.real.552189cd9ba7.csv] cloves:2, cumin:17, oregano:0 → cumin (17 / 19) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:6, cumin:0, oregano:0 → cloves (6 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:9, cumin:2, oregano:0 → cloves (9 / 11) ✅",0.448,-4.97,4.97
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],68.75,100.0,95.83,0.0,70.59,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:12, cumin:7, oregano:0 → cloves (12 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:17, cumin:2, oregano:0 → cloves (17 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [oregano.real.552189cd9ba7.csv] cloves:14, cumin:5, oregano:0 → cloves (14 / 19) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:2, oregano:0 → cloves (4 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:9, cumin:2, oregano:0 → cloves (9 / 11) ✅",0.43,-1.84,1.84
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],99.55,100.0,100.0,98.72,89.09,100.0,100.0,64.71,"[cumin.real.9511a582c32f.csv] cloves:4, cumin:59, oregano:0 → cumin (59 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:41, cumin:22, oregano:0 → cloves (41 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [oregano.real.552189cd9ba7.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ✅ | [cloves.real.64c1deab910f.csv] cloves:4, cumin:33, oregano:0 → cumin (33 / 37) ❌",0.385,10.46,10.46
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],68.75,90.0,60.0,58.33,86.67,80.0,80.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:17, cumin:2, oregano:0 → cloves (17 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:14, cumin:5, oregano:0 → cloves (14 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:18, oregano:1 → cumin (18 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:4, oregano:0 → cumin (4 / 5) ✅ | [oregano.real.552189cd9ba7.csv] cloves:12, cumin:4, oregano:3 → cloves (12 / 19) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:3, cumin:2, oregano:0 → cloves (3 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:11, cumin:0, oregano:0 → cloves (11 / 11) ✅",0.365,-17.92,17.92
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",93.19,96.49,97.17,85.43,84.0,91.8,94.12,64.22,"[cumin.real.9511a582c32f.csv] cloves:113, cumin:163, oregano:112 → cumin (163 / 388) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:180, cumin:101, oregano:107 → cloves (180 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:73, cumin:315, oregano:0 → cumin (315 / 388) ✅ | [cumin.24c868eadb47.csv] cloves:5, cumin:113, oregano:2 → cumin (113 / 120) ✅ | [oregano.real.552189cd9ba7.csv] cloves:279, cumin:94, oregano:13 → cloves (279 / 386) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:68, cumin:25, oregano:27 → cloves (68 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:67, cumin:93, oregano:69 → cumin (93 / 229) ❌",0.296,9.19,9.19
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],65.62,95.65,90.91,0.0,70.59,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:6, cumin:13, oregano:0 → cumin (13 / 19) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:13, cumin:6, oregano:0 → cloves (13 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [oregano.real.552189cd9ba7.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:2, oregano:0 → cloves (4 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:0, cumin:11, oregano:0 → cumin (11 / 11) ❌",0.291,-4.97,4.97
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],96.66,98.7,94.21,97.11,94.03,98.29,94.74,88.46,"[cumin.real.9511a582c32f.csv] cloves:125, cumin:252, oregano:6 → cumin (252 / 383) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:223, cumin:147, oregano:13 → cloves (223 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:373, cumin:8, oregano:2 → cloves (373 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:2, cumin:111, oregano:2 → cumin (111 / 115) ✅ | [oregano.real.552189cd9ba7.csv] cloves:370, cumin:2, oregano:9 → cloves (370 / 381) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:86, cumin:0, oregano:29 → cloves (86 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:116, cumin:108, oregano:0 → cloves (116 / 224) ✅",0.218,2.63,2.63
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",99.55,100.0,98.71,100.0,93.58,94.74,100.0,85.29,"[cumin.real.9511a582c32f.csv] cloves:42, cumin:84, oregano:1 → cumin (84 / 127) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:74, cumin:51, oregano:2 → cloves (74 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:114, cumin:13, oregano:0 → cloves (114 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:36, oregano:1 → cumin (36 / 37) ✅ | [oregano.real.552189cd9ba7.csv] cloves:125, cumin:1, oregano:0 → cloves (125 / 126) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:22, cumin:0, oregano:15 → cloves (22 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:40, cumin:34, oregano:0 → cloves (40 / 74) ✅",0.209,5.97,5.97
