Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap_first_4,60,5,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like']",99.94,100.0,99.83,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:295, cumin:48, oregano:29 → cloves (295 / 372) ✅ | [oregano.today.a4e2dc506c8f.csv] cloves:22, cumin:25, oregano:324 → oregano (324 / 371) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:2, cumin:371, oregano:0 → cumin (371 / 373) ✅",0.887,99.94,99.94
long_overlap_first_4,60,5,"[0, 1, 2, 3]",['diff_data_like'],99.72,99.83,99.66,99.65,"[cloves.today.843ca8e0e6a8.csv] cloves:307, cumin:32, oregano:33 → cloves (307 / 372) ✅ | [oregano.today.a4e2dc506c8f.csv] cloves:25, cumin:76, oregano:270 → oregano (270 / 371) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:2, cumin:371, oregano:0 → cumin (371 / 373) ✅",0.849,99.72,99.72
long_overlap_no_benzene,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.94,100.0,99.83,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:273, cumin:44, oregano:55 → cloves (273 / 372) ✅ | [oregano.today.a4e2dc506c8f.csv] cloves:0, cumin:98, oregano:273 → oregano (273 / 371) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:2, cumin:371, oregano:0 → cumin (371 / 373) ✅",0.821,99.94,99.94
long_overlap_no_benzene,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:250, cumin:77, oregano:45 → cloves (250 / 372) ✅ | [oregano.today.a4e2dc506c8f.csv] cloves:3, cumin:107, oregano:261 → oregano (261 / 371) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:2, cumin:371, oregano:0 → cumin (371 / 373) ✅",0.79,100.0,100.0
long_overlap_no_benzene_no_alcohol,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:309, cumin:23, oregano:40 → cloves (309 / 372) ✅ | [oregano.today.a4e2dc506c8f.csv] cloves:103, cumin:85, oregano:183 → oregano (183 / 371) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:2, cumin:371, oregano:0 → cumin (371 / 373) ✅",0.773,100.0,100.0
long_overlap_no_benzene_no_alcohol,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],96.99,91.09,100.0,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:258, cumin:69, oregano:45 → cloves (258 / 372) ✅ | [oregano.today.a4e2dc506c8f.csv] cloves:14, cumin:149, oregano:208 → oregano (208 / 371) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:2, cumin:371, oregano:0 → cumin (371 / 373) ✅",0.75,96.99,96.99
long_overlap_first_4,60,5,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",93.98,95.97,96.99,88.69,"[cloves.today.843ca8e0e6a8.csv] cloves:217, cumin:60, oregano:95 → cloves (217 / 372) ✅ | [oregano.today.a4e2dc506c8f.csv] cloves:59, cumin:29, oregano:283 → oregano (283 / 371) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:151, cumin:200, oregano:22 → cumin (200 / 373) ✅",0.627,93.98,93.98
long_overlap_first_4,60,5,"[0, 1, 2, 3]",['highpass_fft_batch'],88.62,80.4,93.59,91.86,"[cloves.today.843ca8e0e6a8.csv] cloves:126, cumin:123, oregano:128 → oregano (128 / 377) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:6, cumin:30, oregano:340 → oregano (340 / 376) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:76, cumin:220, oregano:82 → cumin (220 / 378) ✅",0.382,88.62,88.62
long_overlap_first_4,60,5,"[0, 1, 2, 3]","['diff_data_like', 'highpass_fft_batch']",77.95,48.39,90.08,95.82,"[cloves.today.843ca8e0e6a8.csv] cloves:108, cumin:85, oregano:179 → oregano (179 / 372) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:4, cumin:10, oregano:357 → oregano (357 / 371) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:82, cumin:215, oregano:76 → cumin (215 / 373) ✅",0.352,77.95,77.95
long_overlap_no_benzene_no_alcohol,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",99.94,99.83,100.0,100.0,"[cloves.today.843ca8e0e6a8.csv] cloves:164, cumin:145, oregano:63 → cloves (164 / 372) ✅ | [oregano.today.a4e2dc506c8f.csv] cloves:72, cumin:125, oregano:174 → oregano (174 / 371) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:55, cumin:80, oregano:238 → oregano (238 / 373) ❌",0.091,99.94,99.94
long_overlap_first_4,60,5,"[0, 1, 2, 3]","['standard_scaler', 'highpass_fft_batch']",92.02,92.14,83.84,99.83,"[cloves.today.843ca8e0e6a8.csv] cloves:73, cumin:90, oregano:214 → oregano (214 / 377) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:2, cumin:31, oregano:343 → oregano (343 / 376) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:41, cumin:144, oregano:193 → oregano (193 / 378) ❌",-0.055,92.02,92.02
long_overlap_no_benzene_no_alcohol,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",99.89,99.83,100.0,99.82,"[cloves.today.843ca8e0e6a8.csv] cloves:113, cumin:154, oregano:105 → cumin (154 / 372) ❌ | [oregano.today.a4e2dc506c8f.csv] cloves:14, cumin:88, oregano:269 → oregano (269 / 371) ✅ | [cumin.today.a86d630d3dc6.csv] cloves:33, cumin:146, oregano:194 → oregano (194 / 373) ❌",-0.07,99.89,99.89
