NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
18,57,17,61,34.0061,23.1145,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,57,16,61,34.0641,21.8637,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,57,16,61,33.9482,23.1402,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,56,17,61,33.6599,23.0888,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,57,17,61,34.2971,23.1659,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,17,61,34.1222,23.4767,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,61,34.3555,23.3208,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,62,34.4141,23.5027,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,57,16,61,34.1804,23.0632,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,15,61,33.6599,22.2568,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,62,33.7174,23.1402,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,15,61,34.2971,23.2174,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,61,33.2600,23.4506,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,61,33.8326,23.5550,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,61,33.8903,23.4506,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,17,61,33.4309,23.3467,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,61,33.7749,23.5027,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,61,34.1804,23.5288,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,57,16,61,33.4880,23.2432,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,56,16,62,33.4309,23.0120,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,17,62,33.8326,23.2949,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,61,33.8903,23.6073,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,62,33.0900,23.6073,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,61,33.6025,23.7387,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,61,33.7174,23.3986,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,62,33.4309,23.6073,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,62,33.3738,23.4246,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,61,34.2387,23.9502,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,57,16,61,37.5233,25.3140,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,57,16,62,37.3967,24.8697,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,61,37.1447,25.0078,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,16,61,37.6503,25.0632,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,57,17,62,35.0046,24.9525,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
