NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
167,258,109,132,153.8251,12.7552,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
168,259,109,133,128.7009,12.9648,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
168,259,109,133,124.9210,12.7850,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
168,260,109,134,123.3619,12.7255,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
169,260,109,134,118.4236,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
170,261,109,135,120.2999,12.8148,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
171,261,110,134,119.3581,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
171,261,110,135,122.0132,12.7255,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
171,263,110,135,122.9751,12.3305,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
171,262,111,136,114.7552,12.3739,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
172,263,110,136,136.5960,12.3305,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
172,263,110,137,114.3945,12.7403,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
172,264,110,137,113.6763,12.0168,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
173,264,110,137,109.1125,12.7255,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
173,265,111,137,153.8251,12.3161,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
174,265,111,138,119.7340,12.3739,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
174,266,111,138,110.3235,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
174,267,111,139,114.7552,12.7701,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
175,267,112,140,111.8997,12.7701,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
175,267,112,139,110.4977,12.7403,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
175,268,112,140,110.8465,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
176,268,113,140,109.4572,12.3739,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
176,269,113,140,108.9405,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
176,269,113,140,112.6070,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
176,269,112,140,109.8030,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
176,270,112,141,107.5742,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
177,273,114,140,111.1965,12.7107,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
178,272,114,141,108.0846,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
178,273,114,140,107.9142,12.7107,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
178,274,114,139,110.6720,12.7107,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
178,274,114,140,111.5475,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
178,274,115,140,107.4046,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
178,274,114,140,110.3235,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
179,275,114,140,108.5974,12.7850,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
179,274,115,139,108.4262,12.7107,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
178,275,114,140,111.5475,13.0556,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
179,275,114,140,109.9763,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
178,276,115,138,108.5974,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
178,276,116,138,106.2243,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
178,276,114,139,109.1125,12.6959,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
179,276,115,139,107.9142,12.8447,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
179,276,115,139,109.4572,12.7255,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
179,276,115,139,113.8554,12.7850,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
178,277,116,139,111.5475,12.8297,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
179,277,115,138,115.1171,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,277,116,138,111.7235,12.7701,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,277,116,138,108.4262,12.5632,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
179,278,116,138,109.1125,13.3779,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
178,279,115,138,109.6300,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
178,278,116,137,106.7286,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,278,116,138,113.3188,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,278,116,138,111.3719,12.6959,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,281,117,138,109.9763,12.6220,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,281,118,137,113.6763,12.6811,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,281,117,137,108.7688,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,282,117,137,108.0846,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,282,118,136,110.6720,12.3594,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,282,117,137,110.8465,12.2442,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,282,118,137,111.8997,12.7403,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
181,283,118,137,112.6070,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,282,118,137,109.8030,12.2442,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,282,117,137,111.7235,12.5926,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,283,118,136,105.2226,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
181,282,117,136,110.4977,12.3305,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
181,282,118,137,112.2528,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
181,283,118,136,111.8997,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
181,283,118,136,108.5974,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
181,283,119,135,111.3719,12.7107,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,284,118,135,111.8997,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
181,283,119,136,112.9624,12.3739,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
181,284,118,135,111.5475,12.3883,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,283,119,135,111.1965,12.2299,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,283,119,135,111.8997,12.3594,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
180,284,118,135,108.2554,12.7107,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
