NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
23,63,18,62,51.7594,20.7928,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,63,18,62,54.6417,22.7576,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,64,18,62,52.3588,20.8626,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,63,18,62,49.7523,20.9093,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,63,18,62,52.3588,20.7232,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,64,18,62,52.8776,21.2151,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,64,17,62,51.5894,20.8860,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,64,17,62,49.1806,19.8824,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,63,18,62,49.0995,19.5946,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,63,18,62,47.2662,20.3101,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,64,17,62,47.2662,20.3556,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,64,18,62,47.2662,20.3328,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,64,18,62,47.2662,20.4241,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,64,18,62,47.2662,20.3328,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,64,18,62,47.2662,20.6307,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,63,18,63,47.2662,20.7000,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,64,17,62,52.9646,20.5157,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,63,17,62,49.1806,20.7928,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,63,18,62,51.5045,20.7000,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,64,17,62,51.7594,20.7000,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,63,18,62,51.5045,20.9093,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
