NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
124,183,393,764,4,25,4294967295,25.01,1006.97,29.09,367.9,83.53
123,182,392,765,4,23,4294967295,25.01,1006.97,29.19,365.86,83.53
123,182,391,765,4,23,4294967295,25.01,1006.97,29.28,366.67,83.45
122,182,390,765,4,23,4294967295,25.01,1006.98,29.39,365.86,83.45
122,182,389,765,4,23,4294967295,25.01,1006.98,29.46,366.67,83.28
121,182,387,764,4,23,4294967295,25.01,1007.0,29.55,365.86,83.2
121,182,386,764,6,23,4294967295,25.01,1007.01,29.63,363.45,83.11
119,181,385,764,4,23,4294967295,25.01,1007.02,29.7,361.86,83.03
120,181,384,764,4,23,4294967295,25.01,1007.03,29.76,363.45,82.95
119,181,383,764,5,23,4294967295,25.01,1007.04,29.8,365.86,82.86
119,181,381,764,4,23,4294967295,25.02,1007.05,29.83,366.67,82.95
118,181,380,763,4,23,4294967295,25.02,1007.04,29.82,365.05,82.86
117,181,380,764,4,23,4294967295,25.02,1007.05,29.81,368.31,82.86
117,181,378,764,5,23,4294967295,25.02,1007.05,29.82,364.25,82.95
117,180,377,764,4,23,4294967295,25.02,1007.04,29.79,369.13,82.95
116,180,376,763,5,23,4294967295,25.03,1007.04,29.8,365.46,82.95
116,180,375,763,4,23,4294967295,25.03,1007.04,29.8,367.08,83.03
115,180,374,763,5,23,4294967295,25.03,1007.03,29.8,365.05,83.11
115,180,372,763,5,22,4294967295,25.03,1007.02,29.82,368.31,83.11
114,179,372,763,5,23,4294967295,25.04,1007.02,29.81,367.08,83.2
114,179,371,763,5,23,4294967295,25.04,1007.01,29.79,365.46,83.2
113,179,369,763,5,23,4294967295,25.04,1007.01,29.78,365.86,83.2
113,179,369,763,5,23,4294967295,25.04,1007.01,29.78,368.31,83.28
113,178,368,763,4,23,4294967295,25.05,1007.0,29.8,366.27,83.37
112,179,367,763,4,23,4294967295,25.05,1006.99,29.82,368.31,83.45
111,179,366,763,4,23,4294967295,25.05,1006.98,29.82,365.46,83.45
